,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,GOLL4,2022-06-06,13.9,13.92,13.44,13.57,6214800,4374,136,4395,8904,1,0
1,GOLL4,2022-06-07,13.32,13.4,13.04,13.15,4490200,4357,100,4171,8627,1,0
2,GOLL4,2022-06-08,13.09,13.28,12.88,12.89,7194700,4802,136,6847,11785,0,0
3,GOLL4,2022-06-09,12.91,12.99,12.3,12.33,6413100,6043,164,7472,13678,1,0
4,GOLL4,2022-06-10,12.28,12.33,11.54,11.61,9280500,6082,191,6868,13141,0,0
5,GOLL4,2022-06-13,11.31,11.33,9.81,9.87,23655200,12836,454,19309,32589,10,0
6,GOLL4,2022-06-14,10.12,10.18,9.43,9.58,17817200,8858,372,10151,19373,8,0
7,GOLL4,2022-06-15,9.85,10.33,9.76,10.17,15944500,9059,245,8412,17711,5,0
8,GOLL4,2022-06-17,9.8,10.33,9.46,10.24,12874800,7706,330,5720,13756,0,0
9,GOLL4,2022-06-20,10.4,10.53,9.78,10.04,7968800,2896,184,4090,7170,0,0
10,GOLL4,2022-06-21,10.34,10.37,9.8,9.82,9156200,5100,251,6612,11963,0,0
11,GOLL4,2022-06-22,9.64,10.26,9.64,9.8,9439500,5635,193,6619,12447,0,0
12,GOLL4,2022-06-23,9.97,10.06,9.74,9.8,7608800,5022,175,5026,10223,0,0
13,GOLL4,2022-06-24,9.97,10.58,9.81,10.55,13937900,11121,151,8946,20218,0,0
14,GOLL4,2022-06-27,10.66,10.7,10.02,10.08,10636800,8498,171,9287,17956,0,0
15,GOLL4,2022-06-28,10.19,10.3,9.67,9.78,9253800,4858,155,7763,12776,0,0
16,GOLL4,2022-06-29,9.7,9.84,9.23,9.4,14551000,7942,105,8477,16522,2,0
17,GOLL4,2022-06-30,9.2,9.37,8.87,9.11,12213900,6815,222,8746,15782,1,0
18,GOLL4,2022-07-01,9.07,9.25,8.91,9.19,9726500,4893,169,5632,10694,0,0
19,GOLL4,2022-07-04,9.15,9.32,8.95,9.0,3615100,1632,145,3113,4890,0,0
20,GOLL4,2022-07-05,8.9,8.92,8.47,8.73,27711100,9709,269,10689,20653,14,0
21,GOLL4,2022-07-06,8.63,8.89,8.23,8.28,19341500,8420,162,9318,17899,1,0
22,GOLL4,2022-07-07,8.51,8.64,8.26,8.3,24114900,7905,161,11801,19864,3,0
23,GOLL4,2022-07-08,8.29,8.85,8.27,8.48,29810800,10582,114,7964,18655,5,0
24,GOLL4,2022-07-11,8.26,8.29,7.48,7.49,20995300,8150,383,11345,19878,0,0
25,GOLL4,2022-07-12,7.54,7.91,7.42,7.77,19988600,14415,120,9723,24257,1,0
26,GOLL4,2022-07-13,7.68,8.02,7.6,7.88,11439200,6011,239,7082,13332,0,0
27,GOLL4,2022-07-14,7.78,8.07,7.68,7.82,12735200,5773,90,6007,11870,0,0
28,GOLL4,2022-07-15,7.86,8.09,7.6,8.01,10231400,4420,144,4763,9327,0,0
29,GOLL4,2022-07-18,8.12,8.47,7.91,7.94,11003000,5371,92,4567,10030,0,0
30,GOLL4,2022-07-19,8.01,8.49,8.01,8.44,13573500,7073,77,6148,13298,0,0
31,GOLL4,2022-07-20,8.37,8.55,8.23,8.35,9590500,5389,130,5716,11235,0,0
32,GOLL4,2022-07-21,8.35,8.42,8.11,8.18,9835500,4073,213,6079,10365,0,0
33,GOLL4,2022-07-22,8.23,8.3,7.83,7.95,13036200,5948,89,7028,13065,0,0
34,GOLL4,2022-07-25,8.0,8.13,7.81,8.06,7623100,4046,80,4437,8563,0,0
35,GOLL4,2022-07-26,8.04,8.21,7.89,8.09,7290200,4118,86,4088,8292,0,0
36,GOLL4,2022-07-27,8.23,9.05,8.23,9.01,12644000,7987,186,5881,14054,0,0
37,GOLL4,2022-07-28,8.92,8.94,8.48,8.64,11384500,6512,201,7857,14555,15,0
38,GOLL4,2022-07-29,8.6,8.72,8.34,8.38,7234400,4361,110,4640,9110,1,0
39,GOLL4,2022-08-01,8.36,8.61,8.13,8.51,6491300,4763,74,4064,8901,0,0
40,GOLL4,2022-08-02,8.46,8.57,8.32,8.39,5703000,7118,136,5703,12954,3,0
41,GOLL4,2022-08-03,8.46,8.81,8.37,8.69,9656300,4320,86,3686,8090,2,0
42,GOLL4,2022-08-08,10.2,10.7,10.03,10.6,7700200,4855,223,4890,9968,0,0
43,GOLL4,2022-08-09,10.7,10.73,9.82,9.93,7100800,5012,179,4948,10137,2,0
44,GOLL4,2022-08-10,10.2,10.8,10.11,10.56,9734300,7937,257,5333,13525,2,0
45,GOLL4,2022-08-12,10.39,11.05,10.39,10.95,8611300,7151,169,4511,11831,0,0
46,GOLL4,2022-08-15,10.73,11.5,10.64,11.46,8599200,6178,201,5794,12173,0,0
47,GOLL4,2022-08-16,11.5,11.69,10.99,11.27,6652300,4015,156,5161,9331,1,0
48,GOLL4,2022-08-17,11.18,11.64,11.08,11.43,9648900,9369,175,6209,15753,0,0
49,GOLL4,2022-08-18,11.55,11.64,11.02,11.2,5309100,4251,108,4101,8460,0,0
50,GOLL4,2022-08-19,11.01,11.16,10.34,10.35,6544000,4259,209,4811,9279,0,0
51,GOLL4,2022-08-22,10.27,10.3,9.94,10.27,6309200,4069,131,4773,8973,0,0
52,GOLL4,2022-08-23,10.28,10.94,10.24,10.86,6282300,5289,136,3957,9381,1,0
53,GOLL4,2022-08-24,10.94,11.6,10.85,11.25,7512700,6034,90,5375,11499,0,0
54,GOLL4,2022-08-25,11.41,12.15,11.31,11.88,10438200,5570,213,6648,12431,0,0
55,GOLL4,2022-08-26,12.01,12.2,11.35,11.48,12200200,6114,121,10158,16393,0,0
56,GOLL4,2022-08-29,11.19,11.6,11.01,11.13,10990700,9826,251,7584,17661,0,0
57,GOLL4,2022-08-30,11.45,11.51,10.24,10.43,15188900,8752,269,9121,18141,1,0
58,GOLL4,2022-08-31,10.48,10.68,10.03,10.09,12331300,7052,369,9177,16570,28,0
59,GOLL4,2022-09-01,10.05,10.39,9.68,10.24,12132200,8264,179,8324,16766,1,0
60,GOLL4,2022-09-02,10.46,10.5,9.92,10.03,11938000,5984,363,5383,11730,0,0
61,GOLL4,2022-09-05,10.09,10.12,9.88,10.03,4671200,2559,159,2505,5202,21,0
62,GOLL4,2022-09-06,10.05,10.14,9.39,9.53,10747700,4471,123,6287,10881,0,0
63,GOLL4,2022-09-08,9.91,10.31,9.64,9.97,14438900,8811,302,6612,15725,0,0
64,GOLL4,2022-09-09,10.1,10.86,10.05,10.76,11681200,7716,109,4668,12492,1,0
65,GOLL4,2022-09-12,10.88,11.21,10.64,10.68,10989900,4897,115,5655,10667,0,0
66,GOLL4,2022-09-13,10.51,10.82,10.25,10.36,10504500,4931,226,5491,10648,0,0
67,GOLL4,2022-09-14,10.21,10.31,9.96,10.15,10124500,6228,221,5324,11773,0,0
68,GOLL4,2022-09-15,10.06,10.49,10.0,10.12,11147100,4590,212,4434,9236,0,0
69,GOLL4,2022-09-16,9.87,10.24,9.75,10.2,10868000,6144,135,7582,13861,0,0
70,GOLL4,2022-09-19,10.11,10.8,10.04,10.73,11109400,5575,185,4611,10371,0,0
71,GOLL4,2022-09-20,10.7,10.95,10.47,10.54,7988400,3660,217,3825,7700,2,0
72,GOLL4,2022-09-21,10.57,10.86,10.21,10.5,11752800,5429,171,5976,11576,0,0
73,GOLL4,2022-09-22,10.63,10.72,10.16,10.35,9734500,5401,125,4786,10311,1,0
74,GOLL4,2022-09-23,10.2,10.25,9.65,9.74,13885100,6042,269,10569,16880,0,0
75,GOLL4,2022-09-26,9.63,9.87,9.13,9.15,15671600,7437,263,7473,15172,1,0
76,GOLL4,2022-09-27,9.41,9.53,9.1,9.15,12275200,4987,205,5606,10798,0,0
77,GOLL4,2022-09-28,9.14,9.44,9.01,9.38,14121100,5533,158,5213,10904,0,0
78,GOLL4,2022-09-29,9.2,9.26,8.54,8.6,19340900,7046,235,11417,18696,2,0
79,GOLL4,2022-09-30,8.65,9.0,8.58,8.95,14553200,7467,145,6390,14002,0,0
80,GOLL4,2022-10-03,9.21,10.12,9.08,10.0,16063700,12835,131,8036,21002,0,0
81,GOLL4,2022-10-04,10.31,10.59,10.06,10.11,13063700,7836,249,7179,15264,0,0
82,GOLL4,2022-10-05,10.13,10.5,9.9,10.45,11306300,6869,105,5050,12024,0,0
83,GOLL4,2022-10-06,10.5,10.86,10.44,10.52,10732500,8470,113,5522,14099,6,0
