,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,GPIV33,2022-06-06,5.05,5.09,4.91,4.98,19990,40,0,13,53,0,0
1,GPIV33,2022-06-07,5.1,5.1,4.82,5.01,16965,59,0,11,70,0,0
2,GPIV33,2022-06-08,5.09,5.09,4.8,4.92,18991,19,0,25,44,0,0
3,GPIV33,2022-06-09,4.92,4.98,4.75,4.89,60779,50,1,77,128,0,0
4,GPIV33,2022-06-10,4.9,4.99,4.67,4.76,38770,24,0,69,93,0,0
5,GPIV33,2022-06-13,4.91,4.91,4.5,4.5,42214,61,0,35,96,0,0
6,GPIV33,2022-06-14,4.77,4.77,4.41,4.41,12423,76,0,43,119,0,0
7,GPIV33,2022-06-15,4.74,4.75,4.42,4.74,16607,110,6,29,145,0,0
8,GPIV33,2022-06-17,4.62,4.74,4.47,4.74,23396,48,0,23,71,0,0
9,GPIV33,2022-06-20,4.87,4.92,4.44,4.85,49816,68,0,48,116,0,0
10,GPIV33,2022-06-21,4.86,4.91,4.52,4.61,36547,36,0,177,213,0,0
11,GPIV33,2022-06-22,4.86,4.86,4.5,4.5,28516,100,5,151,256,0,0
12,GPIV33,2022-06-23,4.82,5.0,4.46,4.48,23139,77,0,25,102,0,0
13,GPIV33,2022-06-24,4.77,4.77,4.39,4.39,40120,100,0,21,121,0,0
14,GPIV33,2022-06-27,4.35,4.49,4.34,4.35,11555,51,0,27,78,0,0
15,GPIV33,2022-06-28,4.38,4.38,4.31,4.38,3565,22,0,2,24,0,0
16,GPIV33,2022-06-29,4.38,4.5,4.16,4.22,10443,42,0,70,112,0,0
17,GPIV33,2022-06-30,4.2,4.4,4.11,4.12,31733,77,0,154,231,0,0
18,GPIV33,2022-07-01,4.25,4.32,4.11,4.3,36782,464,0,23,487,0,0
19,GPIV33,2022-07-04,4.41,4.41,3.99,4.04,90252,104,0,89,193,0,0
20,GPIV33,2022-07-05,4.17,4.17,3.98,4.0,22526,78,0,52,130,0,0
21,GPIV33,2022-07-06,4.1,4.2,4.01,4.02,24199,116,0,23,139,0,0
22,GPIV33,2022-07-07,4.0,4.35,4.0,4.04,39929,315,1,22,338,0,0
23,GPIV33,2022-07-08,4.0,4.29,4.0,4.29,15123,773,0,10,783,0,0
24,GPIV33,2022-07-11,4.25,4.25,4.09,4.15,26714,12,0,33,45,0,0
25,GPIV33,2022-07-12,4.15,4.15,3.94,3.95,28860,192,0,46,238,0,0
26,GPIV33,2022-07-13,4.01,4.01,3.88,3.88,23601,40,0,31,71,0,0
27,GPIV33,2022-07-14,3.81,3.86,3.78,3.78,29189,38,0,31,69,0,0
