,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,GRND3,2023-06-05,7.25,7.25,7.01,7.13,2727500,3318,64,4084,7464,2,0
1,GRND3,2023-04-17,7.72,7.78,7.62,7.67,2479300,2439,64,2008,4510,1,0
2,GRND3,2022-06-13,7.96,8.07,7.83,7.94,850200,2034,55,1543,3632,0,0
3,GRND3,2023-06-21,7.53,7.6,7.46,7.57,1897800,2823,57,2207,5087,0,0
4,GRND3,2023-05-05,6.75,6.9,6.58,6.88,3986700,2723,98,3390,6211,0,0
5,GRND3,2023-07-17,7.25,7.43,7.21,7.37,1870800,3237,79,4231,7547,0,0
6,GRND3,2023-08-14,7.32,7.36,7.2,7.26,853800,1499,124,1646,3226,43,0
7,GRND3,2022-07-19,6.67,6.67,6.5,6.61,693800,1246,41,981,2268,0,0
8,GRND3,2023-07-27,7.74,7.78,7.48,7.49,897500,660,56,1308,2024,0,0
9,GRND3,2022-12-29,6.3,6.48,6.03,6.03,3702300,2959,174,3781,6914,0,0
10,GRND3,2022-12-06,6.42,6.44,6.34,6.38,1061600,1562,52,1810,3424,0,0
11,GRND3,2022-09-14,7.4,7.4,7.22,7.25,1037500,1434,52,2405,3891,0,0
12,GRND3,2022-12-15,5.92,6.25,5.87,6.09,1165400,2452,38,1915,4405,0,0
13,GRND3,2022-10-17,7.11,7.32,7.03,7.1,1140500,3609,44,1593,5246,0,0
14,GRND3,2023-01-03,6.18,6.26,5.85,5.9,3365800,3462,53,5101,8615,1,0
15,GRND3,2023-06-01,7.05,7.15,6.95,7.13,2194600,6341,78,3946,10365,0,0
16,GRND3,2023-02-10,6.34,6.46,6.21,6.33,1248900,3783,42,1992,5817,0,0
17,GRND3,2023-05-25,7.1,7.25,7.07,7.12,1686600,2849,52,3900,6801,0,0
18,GRND3,2023-03-14,7.61,7.77,7.44,7.47,1665000,2171,53,2488,4712,0,0
19,GRND3,2023-05-04,6.62,6.85,6.61,6.74,3831500,3706,49,3628,7382,1,0
20,GRND3,2022-09-16,7.23,7.35,7.15,7.25,1810500,3386,277,2910,6404,169,0
21,GRND3,2022-09-23,7.18,7.38,7.16,7.31,1582700,2393,35,2019,4447,0,0
22,GRND3,2022-10-19,7.22,7.28,7.15,7.23,1470800,5326,72,2128,7526,0,0
