,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,GUAR3,2022-06-27,7.34,7.58,7.29,7.33,512800,1057,34,1078,2168,1,0
1,GUAR3,2023-07-12,7.95,8.08,7.68,7.69,1456200,2551,92,2752,5395,0,0
2,GUAR3,2023-03-15,4.9,5.07,4.81,4.99,1754000,2704,40,2260,5004,0,0
3,GUAR3,2022-10-31,8.94,9.81,8.82,9.7,1593000,4079,55,2967,7099,2,0
4,GUAR3,2023-02-07,4.71,4.82,4.52,4.55,2792000,2996,54,3995,7045,0,0
5,GUAR3,2023-07-07,8.07,8.29,8.01,8.27,1213600,2569,65,2250,4884,0,0
6,GUAR3,2023-03-20,4.74,4.74,4.33,4.33,1489000,1594,36,2070,3700,0,0
7,GUAR3,2022-09-15,9.98,10.14,9.36,9.4,2026300,3102,76,3334,6510,2,0
8,GUAR3,2023-01-03,5.99,6.07,5.56,5.56,2790300,3661,73,4293,8027,0,0
9,GUAR3,2022-07-26,7.52,7.56,6.98,7.0,1963000,2033,79,2378,4489,1,0
10,GUAR3,2022-08-10,8.78,8.95,8.4,8.63,1622600,2750,63,2353,5165,1,0
11,GUAR3,2023-03-21,4.36,4.45,4.31,4.38,959800,1107,42,1432,2581,0,0
12,GUAR3,2023-01-26,5.4,5.51,5.32,5.41,1416200,3352,28,3172,6552,0,0
13,GUAR3,2023-03-09,4.69,5.24,4.69,5.02,4199100,4726,64,4483,9273,0,0
14,GUAR3,2022-07-06,6.59,7.12,6.59,7.03,2013300,4068,52,2567,6686,1,0
15,GUAR3,2023-03-02,4.19,4.32,4.06,4.24,1887100,2773,77,2588,5438,0,0
16,GUAR3,2022-06-15,7.18,7.41,7.11,7.25,1332300,2811,205,2441,5295,162,0
17,GUAR3,2023-03-06,4.19,4.41,4.12,4.36,1736900,2159,59,2035,4253,0,0
18,GUAR3,2022-07-20,7.39,7.82,7.36,7.65,1104600,2306,38,1745,4088,1,0
19,GUAR3,2023-05-30,4.88,4.99,4.71,4.86,3767200,2883,57,3519,6459,0,0
20,GUAR3,2022-12-14,6.74,6.89,6.47,6.81,1899400,3962,61,3553,7575,1,0
21,GUAR3,2023-08-22,6.61,6.83,6.6,6.78,1499900,1923,81,2001,4005,0,0
22,GUAR3,2023-06-20,6.58,6.83,6.54,6.72,2226700,3645,75,2781,6500,1,0
23,GUAR3,2022-07-25,7.55,7.77,7.43,7.52,1167200,1419,39,1376,2833,1,0
