,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,HAGA3,2022-06-06,3.37,3.37,3.25,3.28,2200,3,0,11,14,0,0
1,HAGA3,2022-06-07,3.2,3.28,3.2,3.28,1600,2,0,8,10,0,0
2,HAGA3,2022-06-08,3.29,3.29,3.25,3.25,3500,3,1,1,5,0,0
3,HAGA3,2022-06-09,3.2,3.2,3.16,3.16,1400,3,0,4,7,0,0
4,HAGA3,2022-06-10,3.02,3.16,3.01,3.01,7600,10,0,15,25,0,0
5,HAGA3,2022-06-13,3.11,3.11,2.91,2.93,3200,2,0,9,11,0,0
6,HAGA3,2022-06-14,3.0,3.0,2.91,2.91,700,0,2,4,6,0,0
7,HAGA3,2022-06-15,2.92,3.1,2.9,3.08,5400,8,0,12,20,0,0
8,HAGA3,2022-06-17,2.96,3.05,2.8,2.9,4900,9,0,14,23,0,0
9,HAGA3,2022-06-20,2.94,2.94,2.9,2.9,2500,0,0,6,6,0,0
10,HAGA3,2022-06-21,2.9,2.9,2.89,2.89,800,0,0,3,3,0,0
11,HAGA3,2022-06-22,2.89,3.12,2.89,2.96,3700,4,0,2,6,0,0
12,HAGA3,2022-06-23,2.88,2.92,2.8,2.89,20900,3,0,20,23,0,0
13,HAGA3,2022-06-24,2.95,3.02,2.82,2.82,5700,13,0,10,23,0,0
14,HAGA3,2022-06-27,2.99,2.99,2.79,2.87,3400,4,0,15,19,0,0
15,HAGA3,2022-06-28,2.96,3.2,2.81,2.85,16000,32,1,34,67,0,0
16,HAGA3,2022-06-29,2.81,2.87,2.78,2.8,9600,10,0,10,20,0,0
17,HAGA3,2022-06-30,2.79,2.83,2.77,2.83,1300,2,0,4,6,0,0
18,HAGA3,2022-07-01,2.75,2.79,2.66,2.68,2800,7,0,11,18,0,0
19,HAGA3,2022-07-04,2.75,2.75,2.66,2.7,1500,3,0,4,7,0,0
20,HAGA3,2022-07-05,2.89,2.89,2.65,2.68,4700,6,0,9,15,0,0
21,HAGA3,2022-07-06,2.75,2.75,2.63,2.66,4300,6,0,11,17,0,0
22,HAGA3,2022-07-07,2.7,2.92,2.63,2.66,18900,30,1,21,52,0,0
23,HAGA3,2022-07-08,2.77,2.77,2.7,2.71,5000,11,0,7,18,0,0
24,HAGA3,2022-07-11,2.71,2.73,2.71,2.71,3100,0,0,7,7,0,0
25,HAGA3,2022-07-12,2.65,2.72,2.65,2.67,2300,4,0,5,9,0,0
26,HAGA3,2022-07-13,2.84,2.84,2.7,2.73,5300,6,0,4,10,0,0
27,HAGA3,2022-07-14,2.68,2.88,2.62,2.62,31700,61,3,25,89,0,0
28,HAGA3,2022-07-15,2.69,2.69,2.51,2.65,2900,8,0,7,15,0,0
29,HAGA3,2022-07-18,2.73,2.73,2.67,2.68,1800,3,0,5,8,0,0
30,HAGA3,2022-07-19,2.69,2.7,2.57,2.62,5700,11,0,8,19,0,0
31,HAGA3,2022-07-20,2.61,2.65,2.61,2.64,3000,12,0,7,19,0,0
32,HAGA3,2022-07-21,2.8,2.8,2.68,2.7,4000,6,1,2,9,0,0
