,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,HAPV3,2022-06-06,6.39,6.42,5.89,5.92,53979600,14476,476,24441,39107,286,0
1,HAPV3,2022-06-07,5.91,5.99,5.74,5.87,39389000,16065,206,33531,49799,3,0
2,HAPV3,2022-06-08,5.79,6.21,5.77,6.07,71940900,17042,217,19675,36919,15,0
3,HAPV3,2022-06-09,6.07,6.36,5.88,6.26,58086300,25862,272,13008,39136,6,0
4,HAPV3,2022-06-10,6.12,6.23,5.94,6.0,47313000,26999,347,14056,41314,88,0
5,HAPV3,2022-06-13,5.85,5.88,5.54,5.63,38076500,20488,270,13266,34021,3,0
6,HAPV3,2022-06-14,5.63,5.77,5.56,5.71,44370700,33137,167,16815,50105,14,0
7,HAPV3,2022-06-15,5.81,6.23,5.7,5.95,56999500,24701,217,18313,43223,8,0
8,HAPV3,2022-06-17,5.83,6.18,5.75,6.1,76330900,23200,575,44177,67692,260,0
9,HAPV3,2022-06-20,6.1,6.18,5.83,5.84,32097900,13825,196,15014,29028,7,0
10,HAPV3,2022-06-21,5.89,5.96,5.65,5.72,39927200,13319,276,18200,31743,52,0
11,HAPV3,2022-06-22,5.62,5.72,5.51,5.55,51862600,14276,283,12846,27372,33,0
12,HAPV3,2022-06-23,5.54,5.6,5.42,5.43,64980400,16263,201,28958,45414,8,0
13,HAPV3,2022-06-24,5.57,5.69,5.42,5.58,38736900,17251,164,21811,39222,4,0
14,HAPV3,2022-06-27,5.55,5.62,5.34,5.57,82086300,16835,188,16172,33189,6,0
15,HAPV3,2022-06-28,5.58,5.65,5.19,5.21,67808700,20243,329,28976,49536,12,0
16,HAPV3,2022-06-29,5.2,5.32,5.01,5.2,52181200,23999,179,20098,44272,4,0
17,HAPV3,2022-06-30,5.13,5.71,5.11,5.42,76363500,21214,1801,26180,47841,1354,0
18,HAPV3,2022-07-01,5.45,5.66,5.35,5.65,58381400,42418,271,21691,64370,10,0
19,HAPV3,2022-07-04,5.58,6.13,5.52,6.01,49981400,21486,295,16730,38503,8,0
20,HAPV3,2022-07-05,6.0,6.27,5.87,6.24,76357100,25898,300,24046,50223,21,0
