,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,HBOR3,2022-06-06,3.01,3.04,2.9,2.91,649800,593,33,1016,1641,1,0
1,HBOR3,2022-06-07,2.91,2.92,2.83,2.86,600300,748,13,900,1661,0,0
2,HBOR3,2022-06-08,2.84,2.9,2.82,2.85,590100,647,35,615,1297,0,0
3,HBOR3,2022-06-09,2.82,2.92,2.8,2.88,794800,1195,21,729,1944,1,0
4,HBOR3,2022-06-10,2.85,2.85,2.75,2.76,595400,732,28,981,1741,0,0
5,HBOR3,2022-06-13,2.73,2.78,2.59,2.64,850000,964,21,1175,2159,1,0
6,HBOR3,2022-06-14,2.61,2.66,2.55,2.55,510800,660,17,885,1561,1,0
7,HBOR3,2022-06-15,2.67,2.67,2.56,2.59,459300,827,46,742,1615,0,0
8,HBOR3,2022-06-17,2.57,2.62,2.52,2.53,621100,952,40,1011,2002,1,0
9,HBOR3,2022-06-20,2.52,2.59,2.5,2.52,553100,653,16,703,1372,0,0
10,HBOR3,2022-06-21,2.54,2.58,2.46,2.48,654700,716,15,924,1654,1,0
11,HBOR3,2022-06-22,2.48,2.53,2.46,2.53,977200,860,28,1602,2490,0,0
12,HBOR3,2022-06-23,2.51,2.6,2.48,2.57,860400,1227,44,751,2021,1,0
13,HBOR3,2022-06-24,2.6,2.65,2.55,2.62,551200,953,21,737,1711,0,0
14,HBOR3,2022-06-27,2.59,2.65,2.56,2.56,496000,791,20,1011,1822,0,0
15,HBOR3,2022-06-28,2.56,2.61,2.48,2.51,624800,557,22,980,1559,0,0
16,HBOR3,2022-06-29,2.5,2.55,2.4,2.43,791800,625,18,1091,1733,1,0
17,HBOR3,2022-06-30,2.41,2.44,2.32,2.41,781300,1401,30,750,2181,0,0
18,HBOR3,2022-07-01,2.4,2.46,2.37,2.4,399500,745,22,831,1598,0,0
19,HBOR3,2022-07-04,2.39,2.47,2.37,2.45,641300,857,10,891,1758,0,0
20,HBOR3,2022-07-05,2.44,2.52,2.38,2.48,641000,1335,27,821,2183,0,0
21,HBOR3,2022-07-06,2.52,2.59,2.47,2.55,721100,1070,22,977,2068,1,0
22,HBOR3,2022-07-07,2.57,2.59,2.52,2.54,1394300,898,0,773,1671,0,0
23,HBOR3,2022-07-08,2.57,2.59,2.52,2.57,844300,809,23,678,1510,0,0
24,HBOR3,2022-07-11,2.56,2.57,2.48,2.51,754600,1046,17,793,1855,1,0
25,HBOR3,2022-07-12,2.5,2.6,2.49,2.6,919700,1594,25,647,2266,0,0
26,HBOR3,2022-07-13,2.65,2.68,2.59,2.65,1803500,2521,37,840,3398,0,0
27,HBOR3,2022-07-14,2.63,2.63,2.43,2.46,1567900,1054,33,1471,2558,0,0
28,HBOR3,2022-07-15,2.44,2.46,2.27,2.28,3272600,1796,43,2340,4179,0,0
29,HBOR3,2022-07-18,2.28,2.34,2.21,2.25,1333000,762,39,770,1570,1,0
30,HBOR3,2022-07-19,2.25,2.29,2.19,2.26,1102500,969,24,844,1837,0,0
31,HBOR3,2022-07-20,2.27,2.48,2.26,2.47,1784800,1769,22,1576,3367,0,0
32,HBOR3,2022-07-21,2.42,2.53,2.41,2.43,902100,1379,40,1243,2661,1,0
33,HBOR3,2022-07-22,2.42,2.47,2.4,2.43,351000,665,14,728,1407,0,0
34,HBOR3,2022-07-25,2.43,2.44,2.35,2.39,300900,583,19,973,1575,0,0
35,HBOR3,2022-07-26,2.38,2.38,2.29,2.3,412100,412,21,787,1220,0,0
36,HBOR3,2022-07-27,2.32,2.43,2.32,2.41,763400,1463,30,851,2343,1,0
37,HBOR3,2022-07-28,2.44,2.55,2.41,2.51,967900,975,43,782,1800,0,0
38,HBOR3,2022-07-29,2.53,2.53,2.45,2.46,463100,838,27,662,1526,1,0
39,HBOR3,2022-08-01,2.51,2.56,2.45,2.52,782900,712,36,815,1563,0,0
40,HBOR3,2022-08-02,2.5,2.58,2.46,2.51,776300,716,19,1151,1885,1,0
41,HBOR3,2022-08-03,2.49,2.63,2.48,2.59,810000,1082,30,686,1798,0,0
