,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,HBRE3,2022-06-06,6.31,6.31,5.69,5.69,68000,6,21,80,106,1,0
1,HBRE3,2022-06-07,5.61,5.69,5.55,5.58,39200,43,7,101,151,0,0
2,HBRE3,2022-06-08,5.53,5.69,5.33,5.33,97000,14,10,99,123,0,0
3,HBRE3,2022-06-09,5.33,5.48,5.22,5.29,59500,18,13,282,313,0,0
4,HBRE3,2022-06-10,5.2,5.2,4.87,4.95,89500,44,17,514,575,0,0
5,HBRE3,2022-06-13,4.95,4.95,4.65,4.65,119600,6,17,10,32,1,0
6,HBRE3,2022-06-14,4.65,4.75,4.64,4.75,14100,3,9,12,23,1,0
7,HBRE3,2022-06-15,4.76,4.76,4.6,4.6,69200,16,11,61,88,0,0
8,HBRE3,2022-06-17,4.64,4.79,4.55,4.55,63000,3,21,83,106,1,0
9,HBRE3,2022-06-20,4.8,4.8,4.61,4.61,69200,60,21,7,88,0,0
10,HBRE3,2022-06-21,4.62,4.83,4.62,4.68,37000,52,11,12,74,1,0
11,HBRE3,2022-06-22,4.9,4.9,4.66,4.86,19000,2,10,29,41,0,0
12,HBRE3,2022-06-23,4.86,4.86,4.6,4.6,63200,6,8,128,141,1,0
13,HBRE3,2022-06-24,4.61,4.77,4.6,4.65,33900,25,14,89,128,0,0
14,HBRE3,2022-06-27,4.61,4.69,4.52,4.53,58700,3,7,83,93,0,0
15,HBRE3,2022-06-28,4.57,4.68,4.35,4.37,87300,53,8,183,244,0,0
16,HBRE3,2022-06-29,4.38,4.46,4.2,4.2,42600,23,18,59,99,1,0
17,HBRE3,2022-06-30,4.21,4.39,4.05,4.25,95200,45,15,236,296,0,0
18,HBRE3,2022-07-01,4.21,4.3,4.05,4.2,90300,92,12,302,406,0,0
19,HBRE3,2022-07-04,4.11,4.14,4.03,4.04,54600,15,13,160,188,0,0
20,HBRE3,2022-07-05,4.03,4.03,3.82,4.01,83900,53,14,219,286,0,0
21,HBRE3,2022-07-06,4.01,4.29,4.01,4.29,36800,13,11,69,92,1,0
22,HBRE3,2022-07-07,4.21,4.6,4.14,4.27,120700,31,15,95,141,0,0
23,HBRE3,2022-07-08,4.26,4.51,4.17,4.33,78200,173,11,348,532,0,0
24,HBRE3,2022-07-11,4.3,4.3,4.0,4.0,91700,41,16,303,359,1,0
25,HBRE3,2022-07-12,4.02,4.25,3.92,4.15,102600,121,12,481,614,0,0
26,HBRE3,2022-07-13,4.07,4.21,4.07,4.19,28000,31,11,138,180,0,0
27,HBRE3,2022-07-14,4.1,4.18,3.98,4.0,61200,32,12,135,179,0,0
28,HBRE3,2022-07-15,3.95,4.45,3.95,4.45,61000,83,9,44,136,0,0
29,HBRE3,2022-07-18,4.35,4.45,4.1,4.1,63900,18,7,96,120,1,0
30,HBRE3,2022-07-19,4.09,4.1,3.84,4.1,148900,143,10,374,527,0,0
31,HBRE3,2022-07-20,4.1,4.38,4.07,4.38,10100,15,7,10,32,0,0
