,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,HBSA3,2022-06-06,3.19,3.2,3.11,3.13,4015400,2999,38,4451,7486,2,0
1,HBSA3,2022-06-07,3.13,3.14,2.89,2.93,5857500,4580,93,8054,12727,0,0
2,HBSA3,2022-06-08,2.88,2.96,2.82,2.85,2712700,2747,65,2896,5707,1,0
3,HBSA3,2022-06-09,2.87,2.91,2.82,2.9,4875000,3985,41,7779,11804,1,0
4,HBSA3,2022-06-10,2.88,2.91,2.77,2.81,4496300,8034,58,7644,15736,0,0
5,HBSA3,2022-06-13,2.79,2.79,2.66,2.7,4325000,3989,67,4995,9050,1,0
6,HBSA3,2022-06-14,2.71,2.72,2.54,2.56,4279200,2292,57,7362,9710,1,0
7,HBSA3,2022-06-15,2.58,2.72,2.52,2.69,4586800,3543,54,3910,7505,2,0
8,HBSA3,2022-06-17,2.66,2.66,2.53,2.54,8395300,2958,385,7482,10492,333,0
9,HBSA3,2022-06-20,2.54,2.65,2.51,2.6,2811900,1437,287,2687,4161,250,0
10,HBSA3,2022-06-21,2.61,2.66,2.48,2.5,3604100,2525,39,4696,7259,1,0
11,HBSA3,2022-06-22,2.49,2.59,2.47,2.49,2977700,3505,50,3225,6779,1,0
12,HBSA3,2022-06-23,2.52,2.56,2.48,2.49,2672500,3900,42,3366,7305,3,0
13,HBSA3,2022-06-24,2.51,2.52,2.36,2.38,4681000,3261,43,7666,10970,0,0
14,HBSA3,2022-06-27,2.39,2.41,2.31,2.39,4005200,5379,59,7284,12720,2,0
15,HBSA3,2022-06-28,2.4,2.44,2.29,2.32,3740000,4056,42,7657,11754,1,0
16,HBSA3,2022-06-29,2.33,2.34,2.25,2.25,3234600,2516,36,6670,9221,1,0
17,HBSA3,2022-06-30,2.31,2.31,2.19,2.25,3628300,2379,61,4267,6707,0,0
18,HBSA3,2022-07-01,2.23,2.3,2.2,2.27,3000300,3377,45,4808,8230,0,0
19,HBSA3,2022-07-04,2.27,2.28,2.18,2.18,3899800,3507,38,2890,6434,1,0
20,HBSA3,2022-07-05,2.19,2.21,2.13,2.17,4736700,4619,42,6519,11180,0,0
21,HBSA3,2022-07-06,2.21,2.32,2.18,2.3,3859100,6117,48,4251,10414,2,0
22,HBSA3,2022-07-07,2.31,2.39,2.28,2.3,3521000,3565,33,5268,8866,0,0
23,HBSA3,2022-07-08,2.3,2.33,2.24,2.29,3088400,2794,48,6165,9007,0,0
24,HBSA3,2022-07-11,2.27,2.29,2.13,2.17,5233700,6986,38,6803,13826,1,0
25,HBSA3,2022-07-12,2.15,2.18,2.11,2.16,2583200,4177,22,4389,8588,0,0
26,HBSA3,2022-07-13,2.14,2.17,2.07,2.09,2959300,2300,42,4345,6687,0,0
27,HBSA3,2022-07-14,2.05,2.09,2.04,2.04,2151900,2013,47,2745,4804,1,0
28,HBSA3,2022-07-15,2.06,2.07,2.0,2.01,4673700,4159,45,10027,14231,0,0
29,HBSA3,2022-07-18,2.0,2.09,1.99,2.02,3147800,2535,39,2871,5444,1,0
30,HBSA3,2022-07-19,2.02,2.09,1.99,2.08,2609400,3773,53,3795,7620,1,0
31,HBSA3,2022-07-20,2.09,2.18,2.07,2.16,4090500,3743,53,2849,6644,1,0
32,HBSA3,2022-07-21,2.12,2.17,2.09,2.14,2587200,2746,47,2008,4800,1,0
33,HBSA3,2022-07-22,2.15,2.19,2.05,2.08,3440700,2475,31,5362,7868,0,0
34,HBSA3,2022-07-25,2.1,2.13,2.08,2.12,1545000,1906,735,1943,3881,703,0
35,HBSA3,2022-07-26,2.17,2.18,2.1,2.1,3458800,1719,39,2496,4252,2,0
36,HBSA3,2022-07-27,2.15,2.27,2.14,2.22,3537900,3196,38,2422,5655,1,0
37,HBSA3,2022-07-28,2.23,2.32,2.22,2.29,2885700,5544,36,1890,7470,0,0
38,HBSA3,2022-07-29,2.29,2.32,2.19,2.23,3082000,5897,58,2425,8379,1,0
39,HBSA3,2022-08-01,2.22,2.27,2.15,2.23,4990200,8428,53,4733,13214,0,0
40,HBSA3,2022-08-02,2.22,2.28,2.21,2.24,3300400,2851,33,2660,5543,1,0
41,HBSA3,2022-08-03,2.25,2.41,2.24,2.39,3398700,2974,57,2592,5622,1,0
42,HBSA3,2022-08-08,2.54,2.62,2.49,2.56,5603900,5074,66,4836,9976,0,0
43,HBSA3,2022-08-09,2.58,2.61,2.48,2.58,6072200,3079,41,4784,7901,3,0
44,HBSA3,2022-08-10,2.61,2.8,2.58,2.73,7078700,9716,46,5045,14805,2,0
45,HBSA3,2022-08-12,2.69,2.76,2.56,2.69,5643400,5861,42,4660,10563,0,0
46,HBSA3,2022-08-15,2.67,2.72,2.58,2.65,5647100,5359,53,8747,14159,0,0
47,HBSA3,2022-08-16,2.67,2.71,2.56,2.58,4429300,2078,58,3656,5792,0,0
48,HBSA3,2022-08-17,2.57,2.6,2.46,2.51,8243400,4638,51,4062,8749,2,0
49,HBSA3,2022-08-18,2.54,2.54,2.33,2.37,4835900,2021,65,3738,5824,0,0
50,HBSA3,2022-08-19,2.32,2.36,2.24,2.24,7098200,3119,42,3507,6666,2,0
51,HBSA3,2022-08-22,2.22,2.31,2.18,2.29,6041400,4257,49,6307,10608,5,0
52,HBSA3,2022-08-23,2.32,2.36,2.25,2.33,4233800,3146,62,2947,6154,1,0
53,HBSA3,2022-08-24,2.34,2.39,2.3,2.36,3551900,3939,43,4256,8238,0,0
54,HBSA3,2022-08-25,2.37,2.51,2.33,2.49,6903200,2385,63,9232,11680,0,0
55,HBSA3,2022-08-26,2.57,2.57,2.41,2.5,5976000,2196,48,4838,7080,2,0
56,HBSA3,2022-08-29,2.5,2.55,2.44,2.51,5121300,2310,48,3988,6343,3,0
57,HBSA3,2022-08-30,2.53,2.55,2.47,2.49,3648500,1818,35,2614,4467,0,0
58,HBSA3,2022-08-31,2.53,2.53,2.42,2.44,8070300,1821,75,7515,9411,0,0
59,HBSA3,2022-09-01,2.41,2.61,2.41,2.53,9572400,11917,29,10555,22501,0,0
60,HBSA3,2022-09-02,2.54,2.59,2.51,2.54,5123000,2159,42,3789,5988,2,0
61,HBSA3,2022-09-05,2.56,2.58,2.52,2.53,5124400,1998,121,3268,5300,87,0
62,HBSA3,2022-09-06,2.52,2.54,2.4,2.43,5114100,1711,46,4394,6149,2,0
63,HBSA3,2022-09-08,2.46,2.49,2.39,2.43,4399300,2550,39,2008,4596,1,0
64,HBSA3,2022-09-09,2.46,2.55,2.42,2.53,4326900,3850,29,3973,7852,0,0
65,HBSA3,2022-09-12,2.57,2.61,2.5,2.51,3316500,2114,29,1992,4134,1,0
66,HBSA3,2022-09-13,2.47,2.51,2.43,2.47,4404700,2437,43,4520,6997,3,0
67,HBSA3,2022-09-14,2.47,2.53,2.45,2.48,3122900,1331,34,2700,4065,0,0
68,HBSA3,2022-09-15,2.5,2.53,2.45,2.45,3661100,2801,48,2960,5809,0,0
69,HBSA3,2022-09-16,2.45,2.48,2.39,2.46,5026300,1982,57,5681,7718,2,0
70,HBSA3,2022-09-19,2.46,2.56,2.45,2.53,2319200,1990,37,2576,4602,1,0
71,HBSA3,2022-09-20,2.54,2.57,2.48,2.48,2134700,2458,36,3130,5624,0,0
72,HBSA3,2022-09-21,2.49,2.54,2.46,2.48,1933500,2730,45,1704,4478,1,0
73,HBSA3,2022-09-22,2.5,2.65,2.47,2.63,4938100,4785,54,1801,6639,1,0
74,HBSA3,2022-09-23,2.63,2.63,2.52,2.58,2140800,1378,37,2341,3755,1,0
75,HBSA3,2022-09-26,2.57,2.57,2.4,2.42,3848100,2028,53,3293,5374,0,0
76,HBSA3,2022-09-27,2.44,2.49,2.37,2.38,3878200,1968,32,2954,4954,0,0
77,HBSA3,2022-09-28,2.4,2.48,2.34,2.37,4420300,1714,51,4418,6178,5,0
78,HBSA3,2022-09-29,2.36,2.36,2.25,2.3,4487600,1750,43,5108,6898,3,0
79,HBSA3,2022-09-30,2.28,2.4,2.26,2.36,3112000,3558,42,2591,6191,0,0
80,HBSA3,2022-10-03,2.44,2.6,2.43,2.54,5923900,9288,52,2420,11759,1,0
81,HBSA3,2022-10-04,2.64,2.64,2.51,2.56,2794900,3813,43,2531,6387,0,0
82,HBSA3,2022-10-05,2.55,2.61,2.52,2.56,3166800,2744,60,2573,5376,1,0
83,HBSA3,2022-10-06,2.58,2.68,2.55,2.58,4182200,3027,45,2064,5136,0,0
84,HBSA3,2022-10-07,2.58,2.6,2.5,2.53,2459400,4626,41,3281,7948,0,0
85,HBSA3,2022-10-10,2.53,2.56,2.46,2.47,2194500,1572,31,2502,4105,0,0
86,HBSA3,2022-10-11,2.46,2.55,2.41,2.47,3320200,2342,51,1798,4189,2,0
87,HBSA3,2022-10-13,2.44,2.53,2.39,2.47,3888100,2882,38,3698,6618,0,0
88,HBSA3,2022-10-14,2.48,2.5,2.38,2.41,2852300,1695,39,3882,5615,1,0
89,HBSA3,2022-10-17,2.4,2.48,2.36,2.44,1267800,1667,38,2307,4012,0,0
90,HBSA3,2022-10-18,2.44,2.49,2.42,2.45,4929900,1703,39,3586,5323,5,0
91,HBSA3,2022-10-19,2.44,2.47,2.41,2.46,4760800,3514,54,4846,8410,4,0
92,HBSA3,2022-10-20,2.48,2.51,2.4,2.5,2801900,1951,38,2316,4305,0,0
93,HBSA3,2022-10-21,2.46,2.57,2.45,2.55,2226600,2929,34,2210,5172,1,0
94,HBSA3,2022-10-24,2.5,2.56,2.46,2.54,1793200,2344,40,3127,5511,0,0
95,HBSA3,2022-10-25,2.55,2.56,2.46,2.47,2633600,1885,34,3870,5789,0,0
96,HBSA3,2022-10-26,2.46,2.5,2.37,2.41,6367300,3652,44,3203,6899,0,0
97,HBSA3,2022-10-27,2.43,2.59,2.4,2.55,4445100,2643,52,1912,4605,2,0
98,HBSA3,2022-10-28,2.56,2.62,2.54,2.56,1844400,2745,47,1898,4689,1,0
99,HBSA3,2022-10-31,2.6,2.82,2.54,2.81,5409200,5314,117,2166,7597,0,0
100,HBSA3,2022-11-01,2.84,2.98,2.8,2.92,6367600,6866,63,5104,12032,1,0
101,HBSA3,2022-11-03,2.88,3.06,2.84,3.01,9216200,9808,81,3904,13786,7,0
102,HBSA3,2022-11-04,3.04,3.12,2.98,3.01,3907500,4316,47,3478,7839,2,0
103,HBSA3,2022-11-07,3.03,3.05,2.93,2.95,5225100,2341,47,4903,7291,0,0
104,HBSA3,2022-11-08,2.93,3.05,2.87,3.04,3042200,1933,41,2997,4970,1,0
105,HBSA3,2022-11-09,3.01,3.07,3.0,3.03,2263400,1407,32,2002,3441,0,0
106,HBSA3,2022-11-10,2.96,2.99,2.73,2.84,10253900,3658,62,10943,14662,1,0
