,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,HBTS5,2022-06-06,44.89,44.89,44.89,44.89,100,1,0,0,1,0,0
1,HBTS5,2022-06-24,43.99,43.99,43.99,43.99,100,1,0,0,1,0,0
2,HBTS5,2022-06-29,40.0,40.0,40.0,40.0,100,0,1,0,1,0,0
3,HBTS5,2022-06-30,40.01,40.01,38.0,38.0,200,0,0,2,2,0,0
4,HBTS5,2022-07-01,37.0,37.0,37.0,37.0,100,0,0,1,1,0,0
5,HBTS5,2022-07-08,37.0,37.0,37.0,37.0,100,0,0,1,1,0,0
6,HBTS5,2022-07-11,37.0,37.0,37.0,37.0,100,0,0,1,1,0,0
7,HBTS5,2022-07-12,37.0,37.0,37.0,37.0,100,0,0,1,1,0,0
8,HBTS5,2022-07-13,36.0,36.0,36.0,36.0,100,0,0,1,1,0,0
9,HBTS5,2022-07-14,35.0,35.0,32.83,32.9,700,3,0,4,7,0,0
10,HBTS5,2022-07-15,31.0,31.04,30.21,30.61,2000,2,0,14,16,0,0
11,HBTS5,2022-08-08,38.0,38.0,38.0,38.0,100,1,0,0,1,0,0
12,HBTS5,2022-08-09,33.66,33.66,33.34,33.34,600,5,0,1,6,0,0
13,HBTS5,2022-08-24,33.34,33.34,33.34,33.34,100,0,0,1,1,0,0
14,HBTS5,2022-08-25,30.72,33.34,30.72,31.52,300,0,0,3,3,0,0
15,HBTS5,2022-08-30,33.5,33.5,31.53,31.53,200,0,0,2,2,0,0
16,HBTS5,2022-09-01,34.6,34.6,34.6,34.6,100,0,0,1,1,0,0
17,HBTS5,2022-09-02,32.3,32.3,32.3,32.3,100,1,0,0,1,0,0
18,HBTS5,2022-09-05,31.51,31.51,31.51,31.51,100,0,0,1,1,0,0
19,HBTS5,2022-09-08,30.65,30.65,30.64,30.64,200,0,1,1,2,0,0
20,HBTS5,2022-09-09,30.65,31.0,30.64,31.0,500,0,0,4,4,0,0
21,HBTS5,2022-09-12,30.62,30.91,30.61,30.91,400,0,0,3,3,0,0
22,HBTS5,2022-09-13,30.51,30.55,30.51,30.55,200,0,0,2,2,0,0
23,HBTS5,2022-09-22,31.12,32.98,31.12,32.98,300,3,0,0,3,0,0
24,HBTS5,2022-09-27,31.0,31.0,31.0,31.0,100,0,0,1,1,0,0
25,HBTS5,2022-10-07,31.26,31.26,31.26,31.26,200,1,1,0,2,0,0
26,HBTS5,2022-10-10,33.7,33.7,33.69,33.7,200,2,0,0,2,0,0
27,HBTS5,2022-10-14,33.7,33.7,33.7,33.7,100,1,0,0,1,0,0
28,HBTS5,2022-10-17,33.7,33.7,33.7,33.7,100,1,0,0,1,0,0
29,HBTS5,2022-10-18,33.9,33.9,33.9,33.9,200,1,0,1,2,0,0
30,HBTS5,2022-10-19,36.0,38.0,36.0,38.0,400,4,0,0,4,0,0
31,HBTS5,2022-10-24,34.5,35.98,34.5,35.98,1700,11,2,0,13,0,0
32,HBTS5,2022-10-26,33.0,34.0,33.0,34.0,200,1,0,1,2,0,0
33,HBTS5,2022-10-27,33.0,33.0,33.0,33.0,200,0,0,1,1,0,0
34,HBTS5,2022-10-31,32.11,32.11,32.01,32.01,700,3,0,4,7,0,0
35,HBTS5,2022-11-04,32.1,32.14,32.1,32.14,400,1,0,3,4,0,0
36,HBTS5,2022-11-07,35.0,35.0,35.0,35.0,300,3,0,0,3,0,0
37,HBTS5,2022-11-10,32.03,32.03,31.51,31.51,200,1,0,1,2,0,0
38,HBTS5,2022-11-17,31.22,31.3,30.01,30.01,800,0,0,4,4,0,0
39,HBTS5,2022-11-18,30.04,30.05,30.04,30.04,400,0,0,3,3,0,0
40,HBTS5,2022-11-25,30.11,30.11,30.11,30.11,200,1,0,1,2,0,0
41,HBTS5,2022-12-02,30.06,30.07,30.02,30.02,400,0,0,3,3,0,0
42,HBTS5,2022-12-09,30.11,30.11,30.1,30.1,200,0,0,2,2,0,0
43,HBTS5,2022-12-14,30.02,30.02,30.02,30.02,100,0,0,1,1,0,0
44,HBTS5,2022-12-27,30.02,30.02,29.0,29.0,400,1,0,3,4,0,0
45,HBTS5,2023-01-25,32.9,32.9,32.9,32.9,100,0,0,1,1,0,0
46,HBTS5,2023-02-06,30.05,30.05,30.05,30.05,200,1,0,0,1,0,0
47,HBTS5,2023-02-13,28.22,28.22,28.22,28.22,100,1,0,0,1,0,0
48,HBTS5,2023-02-27,28.0,28.0,27.7,27.7,300,2,1,0,3,0,0
49,HBTS5,2023-03-01,26.0,26.0,25.06,25.06,200,0,0,2,2,0,0
50,HBTS5,2023-03-02,24.2,25.0,24.2,25.0,200,0,0,2,2,0,0
51,HBTS5,2023-03-03,25.0,25.01,25.0,25.0,200,0,0,2,2,0,0
52,HBTS5,2023-03-06,27.0,27.0,27.0,27.0,200,2,0,0,2,0,0
53,HBTS5,2023-04-05,28.0,28.0,28.0,28.0,300,0,1,1,2,0,0
54,HBTS5,2023-04-14,29.8,29.8,29.8,29.8,100,0,1,0,1,0,0
55,HBTS5,2023-04-17,30.0,30.0,30.0,30.0,100,1,0,0,1,0,0
56,HBTS5,2023-04-19,30.0,30.0,30.0,30.0,100,0,1,0,1,0,0
57,HBTS5,2023-04-26,27.0,27.0,27.0,27.0,100,1,0,0,1,0,0
58,HBTS5,2023-05-05,29.99,29.99,29.99,29.99,100,0,0,1,1,0,0
59,HBTS5,2023-05-11,29.99,29.99,29.99,29.99,100,0,0,1,1,0,0
60,HBTS5,2023-05-18,29.99,29.99,29.99,29.99,200,2,0,0,2,0,0
61,HBTS5,2023-05-22,29.99,29.99,27.5,29.88,300,0,1,2,3,0,0
62,HBTS5,2023-05-23,30.0,30.0,30.0,30.0,100,1,0,0,1,0,0
63,HBTS5,2023-05-24,28.2,28.2,28.2,28.2,100,0,0,1,1,0,0
64,HBTS5,2023-05-25,28.3,30.0,28.3,29.0,1200,6,2,2,10,0,0
65,HBTS5,2023-05-26,28.4,29.65,28.4,29.61,500,0,0,5,5,0,0
66,HBTS5,2023-05-29,29.95,29.95,29.65,29.95,200,2,0,0,2,0,0
67,HBTS5,2023-05-30,29.96,30.0,29.95,30.0,400,2,0,2,4,0,0
68,HBTS5,2023-05-31,31.8,31.99,31.8,31.8,200,2,0,0,2,0,0
69,HBTS5,2023-06-01,32.99,34.0,32.99,34.0,400,2,0,2,4,0,0
70,HBTS5,2023-06-02,34.0,34.0,34.0,34.0,200,2,0,0,2,0,0
71,HBTS5,2023-06-05,36.0,36.0,36.0,36.0,400,1,0,3,4,0,0
72,HBTS5,2023-06-06,37.0,37.0,37.0,37.0,100,0,0,1,1,0,0
73,HBTS5,2023-06-07,39.0,39.0,39.0,39.0,600,1,1,4,6,0,0
74,HBTS5,2023-06-12,39.0,40.0,39.0,40.0,300,2,0,1,3,0,0
75,HBTS5,2023-06-13,40.0,40.0,39.9,40.0,900,5,0,1,6,0,0
76,HBTS5,2023-06-14,41.0,41.0,41.0,41.0,300,1,0,1,2,0,0
77,HBTS5,2023-06-15,41.0,41.0,41.0,41.0,200,0,0,2,2,0,0
78,HBTS5,2023-06-19,41.01,42.0,41.01,42.0,200,1,0,1,2,0,0
79,HBTS5,2023-06-22,42.03,42.03,42.03,42.03,100,0,0,1,1,0,0
80,HBTS5,2023-06-26,42.0,42.0,42.0,42.0,200,1,0,1,2,0,0
81,HBTS5,2023-06-28,39.0,39.0,39.0,39.0,200,1,0,1,2,0,0
82,HBTS5,2023-07-03,42.0,42.0,42.0,42.0,400,2,0,0,2,0,0
83,HBTS5,2023-07-06,42.0,42.0,42.0,42.0,200,0,0,2,2,0,0
84,HBTS5,2023-07-12,42.0,42.0,42.0,42.0,100,0,0,1,1,0,0
85,HBTS5,2023-07-19,42.0,42.5,42.0,42.5,300,0,0,2,2,0,0
86,HBTS5,2023-07-21,43.5,43.5,43.5,43.5,100,0,0,1,1,0,0
87,HBTS5,2023-07-24,45.0,47.0,45.0,47.0,500,4,0,0,4,0,0
88,HBTS5,2023-07-25,48.5,48.5,48.5,48.5,200,1,0,0,1,0,0
89,HBTS5,2023-07-27,48.5,48.5,48.5,48.5,200,0,0,1,1,0,0
90,HBTS5,2023-07-31,48.5,48.5,43.5,48.49,1400,7,0,5,12,0,0
91,HBTS5,2023-08-01,48.5,49.0,47.0,49.0,500,3,0,2,5,0,0
92,HBTS5,2023-08-03,52.0,52.0,52.0,52.0,600,0,0,4,4,0,0
93,HBTS5,2023-08-04,50.0,56.7,50.0,56.7,2400,4,0,4,8,0,0
94,HBTS5,2023-08-07,56.7,56.7,56.02,56.02,200,1,0,1,2,0,0
95,HBTS5,2023-08-08,56.02,56.02,56.02,56.02,100,1,0,0,1,0,0
96,HBTS5,2023-08-09,56.02,56.02,56.02,56.02,400,0,1,1,2,0,0
97,HBTS5,2023-08-11,50.51,50.51,50.0,50.0,300,0,1,2,3,0,0
98,HBTS5,2023-08-14,50.0,50.0,50.0,50.0,100,0,0,1,1,0,0
99,HBTS5,2023-08-15,50.0,50.0,48.0,48.0,600,1,0,2,3,0,0
100,HBTS5,2023-08-16,52.51,52.51,52.51,52.51,100,1,0,0,1,0,0
