,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,HETA4,2022-06-07,5.71,6.18,5.61,6.18,1000,5,0,2,7,0,0
1,HETA4,2022-06-08,5.9,5.9,5.9,5.9,200,0,0,1,1,0,0
2,HETA4,2022-06-09,5.99,5.99,5.99,5.99,3100,3,0,0,3,0,0
3,HETA4,2022-06-10,5.6,5.96,5.6,5.96,600,2,0,0,2,0,0
4,HETA4,2022-06-13,6.29,6.29,5.84,5.84,600,3,0,1,4,0,0
5,HETA4,2022-06-14,5.29,5.29,5.29,5.29,1100,1,0,4,5,0,0
6,HETA4,2022-06-15,5.01,7.39,5.01,5.34,12000,33,1,41,75,0,0
7,HETA4,2022-06-17,5.2,6.89,5.0,6.54,11100,36,0,20,56,0,0
8,HETA4,2022-06-20,6.46,6.97,6.4,6.95,600,4,0,2,6,0,0
9,HETA4,2022-06-21,7.29,7.76,5.36,5.85,10500,16,0,45,61,0,0
10,HETA4,2022-06-22,5.74,5.74,5.74,5.74,900,0,0,8,8,0,0
11,HETA4,2022-06-23,5.46,5.74,5.46,5.46,800,0,0,2,2,0,0
12,HETA4,2022-06-24,6.16,6.16,5.55,5.55,700,2,0,5,7,0,0
13,HETA4,2022-06-27,5.88,5.88,5.88,5.88,100,1,0,0,1,0,0
14,HETA4,2022-06-29,5.79,5.85,5.79,5.85,600,4,0,0,4,0,0
15,HETA4,2022-07-01,6.12,6.5,5.35,5.45,1800,10,1,1,12,0,0
16,HETA4,2022-07-04,5.5,5.5,5.5,5.5,100,1,0,0,1,0,0
17,HETA4,2022-07-05,5.89,5.94,5.84,5.84,300,3,0,0,3,0,0
18,HETA4,2022-07-07,5.81,5.81,5.14,5.14,4600,9,0,20,29,0,0
19,HETA4,2022-07-08,5.21,5.37,5.21,5.3,1800,7,0,8,15,0,0
20,HETA4,2022-07-11,5.16,5.23,5.16,5.16,800,3,0,0,3,0,0
21,HETA4,2022-07-12,5.25,5.25,5.25,5.25,300,2,0,0,2,0,0
22,HETA4,2022-07-13,5.25,5.25,5.25,5.25,100,0,0,1,1,0,0
23,HETA4,2022-07-15,5.1,5.1,5.1,5.1,100,0,0,1,1,0,0
24,HETA4,2022-07-18,5.36,5.36,5.3,5.3,300,1,0,2,3,0,0
25,HETA4,2022-07-19,5.3,5.3,5.3,5.3,300,0,0,1,1,0,0
26,HETA4,2022-07-20,5.38,5.38,5.03,5.28,1300,3,0,6,9,0,0
27,HETA4,2022-07-22,5.3,5.3,5.3,5.3,300,1,0,0,1,0,0
28,HETA4,2022-07-25,5.25,5.34,5.25,5.34,500,3,0,1,4,0,0
29,HETA4,2022-07-26,5.15,5.21,5.15,5.21,300,0,0,2,2,0,0
30,HETA4,2022-07-27,5.34,5.34,5.34,5.34,100,1,0,0,1,0,0
31,HETA4,2022-07-29,5.34,5.34,5.34,5.34,100,1,0,0,1,0,0
32,HETA4,2022-08-03,5.32,5.32,5.25,5.25,300,3,0,0,3,0,0
33,HETA4,2022-08-08,5.35,5.35,5.35,5.35,1000,1,0,0,1,0,0
34,HETA4,2022-08-10,5.24,5.25,5.24,5.25,300,2,0,0,2,0,0
35,HETA4,2022-08-12,5.01,5.01,5.0,5.0,300,0,0,3,3,0,0
36,HETA4,2022-08-15,4.99,4.99,4.99,4.99,400,2,0,0,2,0,0
37,HETA4,2022-08-16,5.1,5.46,5.09,5.2,1000,3,0,4,7,0,0
38,HETA4,2022-08-17,5.44,5.44,5.44,5.44,100,1,0,0,1,0,0
39,HETA4,2022-08-18,5.19,5.2,4.9,5.0,2400,9,0,8,17,0,0
40,HETA4,2022-08-19,4.82,4.82,4.65,4.65,1500,0,0,10,10,0,0
41,HETA4,2022-08-22,4.7,4.7,4.7,4.7,100,0,0,1,1,0,0
42,HETA4,2022-08-24,4.99,4.99,4.82,4.82,300,1,0,1,2,0,0
43,HETA4,2022-08-25,4.98,4.98,4.87,4.87,400,1,0,1,2,0,0
44,HETA4,2022-08-26,4.87,4.88,4.87,4.87,600,0,0,5,5,0,0
45,HETA4,2022-08-31,4.87,4.87,4.87,4.87,400,0,0,1,1,0,0
46,HETA4,2022-09-01,4.7,4.7,4.67,4.68,700,2,0,4,6,0,0
47,HETA4,2022-09-02,5.09,5.35,5.07,5.35,1300,8,0,1,9,0,0
48,HETA4,2022-09-06,5.29,5.47,5.04,5.45,6700,23,1,2,26,0,0
49,HETA4,2022-09-08,5.19,5.19,5.19,5.19,100,1,0,0,1,0,0
50,HETA4,2022-09-09,5.03,5.03,5.01,5.01,200,1,0,1,2,0,0
51,HETA4,2022-09-12,5.02,5.02,4.95,4.96,2000,2,0,10,12,0,0
52,HETA4,2022-09-13,4.82,5.25,4.78,4.85,5600,9,0,10,19,0,0
53,HETA4,2022-09-14,5.23,5.23,5.19,5.19,400,3,0,0,3,0,0
54,HETA4,2022-09-15,4.76,5.14,4.76,4.77,2600,8,0,12,20,0,0
55,HETA4,2022-09-16,4.78,5.34,4.78,5.34,7000,18,0,8,26,0,0
56,HETA4,2022-09-19,5.43,5.43,4.97,4.97,2200,5,0,10,15,0,0
57,HETA4,2022-09-20,4.85,5.1,4.85,5.1,2900,11,0,3,14,0,0
58,HETA4,2022-09-23,4.78,5.09,4.78,5.09,200,1,0,1,2,0,0
59,HETA4,2022-09-26,4.83,4.83,4.83,4.83,100,1,0,0,1,0,0
60,HETA4,2022-09-27,5.15,5.15,5.11,5.11,200,2,0,0,2,0,0
61,HETA4,2022-09-28,4.75,4.76,4.67,4.7,1800,3,0,7,10,0,0
62,HETA4,2022-09-29,4.67,4.7,4.51,4.51,1500,4,0,4,8,0,0
63,HETA4,2022-09-30,4.55,4.55,4.55,4.55,200,0,0,2,2,0,0
64,HETA4,2022-10-03,4.89,4.99,4.88,4.99,700,4,0,1,5,0,0
65,HETA4,2022-10-06,4.4,4.64,4.4,4.63,3000,9,2,7,18,0,0
66,HETA4,2022-10-07,4.98,4.98,4.65,4.65,600,2,1,3,6,0,0
67,HETA4,2022-10-11,4.59,4.59,4.59,4.59,200,1,0,0,1,0,0
68,HETA4,2022-10-14,4.59,4.93,4.59,4.59,800,3,0,5,8,0,0
69,HETA4,2022-10-17,4.93,4.93,4.88,4.88,200,2,0,0,2,0,0
70,HETA4,2022-10-18,4.51,4.86,4.51,4.77,1000,5,0,4,9,0,0
71,HETA4,2022-10-19,4.93,4.93,4.93,4.93,200,2,0,0,2,0,0
72,HETA4,2022-10-21,4.61,4.71,4.5,4.61,1900,7,0,7,14,0,0
73,HETA4,2022-10-24,4.77,4.77,4.58,4.75,1200,4,0,4,8,0,0
74,HETA4,2022-10-25,4.6,4.93,4.6,4.6,900,3,0,2,5,0,0
75,HETA4,2022-10-26,4.61,4.61,4.56,4.56,700,0,0,5,5,0,0
76,HETA4,2022-10-28,4.68,4.68,4.28,4.28,1600,5,0,3,8,0,0
77,HETA4,2022-10-31,4.28,4.55,4.16,4.18,600,5,0,0,5,0,0
78,HETA4,2022-11-01,4.45,4.45,4.39,4.4,300,3,0,0,3,0,0
79,HETA4,2022-11-03,4.3,4.3,4.3,4.3,300,1,0,0,1,0,0
80,HETA4,2022-11-04,4.4,4.57,4.39,4.49,900,5,0,1,6,0,0
81,HETA4,2022-11-07,4.39,4.39,4.39,4.39,200,1,0,0,1,0,0
82,HETA4,2022-11-08,4.34,4.34,4.24,4.28,1200,3,0,5,8,0,0
83,HETA4,2022-11-09,4.39,4.77,4.39,4.77,200,1,0,1,2,0,0
84,HETA4,2022-11-10,4.22,4.42,4.22,4.23,500,2,0,3,5,0,0
85,HETA4,2022-11-14,4.32,4.32,4.29,4.31,900,3,0,0,3,0,0
86,HETA4,2022-11-17,4.03,4.03,4.02,4.03,400,0,0,4,4,0,0
87,HETA4,2022-11-18,4.04,4.06,4.04,4.06,300,0,0,3,3,0,0
88,HETA4,2022-11-21,4.32,4.49,4.0,4.0,800,3,0,2,5,0,0
89,HETA4,2022-11-22,4.27,4.27,4.27,4.27,100,1,0,0,1,0,0
90,HETA4,2022-11-23,4.29,4.35,4.19,4.19,2500,7,0,0,7,0,0
91,HETA4,2022-11-24,4.35,4.35,4.05,4.05,200,1,0,1,2,0,0
92,HETA4,2022-11-25,4.33,4.33,4.05,4.05,200,1,0,1,2,0,0
93,HETA4,2022-11-28,4.05,4.15,4.05,4.15,400,3,0,1,4,0,0
94,HETA4,2022-11-29,4.2,4.32,4.2,4.32,200,1,0,1,2,0,0
95,HETA4,2022-12-02,4.29,4.29,4.29,4.29,100,1,0,0,1,0,0
96,HETA4,2022-12-07,4.27,4.27,4.27,4.27,300,2,0,0,2,0,0
97,HETA4,2022-12-08,4.1,4.17,4.05,4.05,1100,2,0,4,6,0,0
98,HETA4,2022-12-09,4.01,4.01,4.0,4.0,400,0,0,2,2,0,0
99,HETA4,2022-12-12,4.07,4.07,4.05,4.05,200,2,0,0,2,0,0
100,HETA4,2022-12-13,4.38,4.38,4.38,4.38,100,1,0,0,1,0,0
101,HETA4,2022-12-14,3.91,4.13,3.9,3.9,1000,6,0,0,6,0,0
102,HETA4,2022-12-15,4.09,4.09,3.9,3.9,200,1,0,1,2,0,0
103,HETA4,2022-12-16,3.81,3.81,3.81,3.81,100,1,0,0,1,0,0
104,HETA4,2022-12-21,3.81,3.81,3.81,3.81,100,0,0,1,1,0,0
105,HETA4,2022-12-23,4.32,4.32,4.32,4.32,100,0,1,0,1,0,0
106,HETA4,2022-12-26,4.32,4.32,4.32,4.32,100,1,0,0,1,0,0
107,HETA4,2022-12-29,4.18,4.18,4.18,4.18,400,1,0,0,1,0,0
108,HETA4,2023-01-02,4.17,4.17,4.17,4.17,200,0,0,1,1,0,0
109,HETA4,2023-01-03,3.84,3.84,3.84,3.84,100,0,0,1,1,0,0
110,HETA4,2023-01-10,3.88,4.16,3.88,4.16,500,2,0,0,2,0,0
111,HETA4,2023-01-11,4.17,4.17,4.17,4.17,100,1,0,0,1,0,0
112,HETA4,2023-01-12,4.14,4.14,4.14,4.14,100,1,0,0,1,0,0
113,HETA4,2023-01-16,4.09,4.09,4.09,4.09,100,1,0,0,1,0,0
114,HETA4,2023-01-18,4.2,4.2,4.2,4.2,100,1,0,0,1,0,0
115,HETA4,2023-01-20,4.14,4.14,4.14,4.14,100,1,0,0,1,0,0
116,HETA4,2023-01-24,3.81,4.11,3.81,4.11,200,1,0,1,2,0,0
117,HETA4,2023-01-30,3.82,4.05,3.81,4.05,600,1,0,4,5,0,0
118,HETA4,2023-01-31,4.27,4.27,4.04,4.27,400,3,0,0,3,0,0
119,HETA4,2023-02-01,4.19,4.19,4.19,4.19,100,0,0,1,1,0,0
120,HETA4,2023-02-02,4.26,4.26,4.26,4.26,100,1,0,0,1,0,0
121,HETA4,2023-02-03,4.18,4.18,4.18,4.18,100,1,0,0,1,0,0
122,HETA4,2023-02-08,3.81,3.9,3.81,3.9,200,1,0,1,2,0,0
123,HETA4,2023-02-10,3.8,4.1,3.8,4.1,800,2,0,3,5,0,0
124,HETA4,2023-02-16,3.99,3.99,3.99,3.99,100,1,0,0,1,0,0
125,HETA4,2023-02-24,3.65,3.65,3.63,3.65,1100,1,2,1,4,0,0
126,HETA4,2023-02-27,4.3,4.86,3.47,3.47,14800,35,0,60,95,0,0
127,HETA4,2023-02-28,3.87,3.94,3.4,3.45,2400,7,0,11,18,0,0
128,HETA4,2023-03-01,3.51,3.51,3.43,3.43,1500,0,0,9,9,0,0
129,HETA4,2023-03-02,3.45,3.79,3.45,3.79,2400,9,0,3,12,0,0
130,HETA4,2023-03-03,3.84,4.55,3.81,4.25,4600,20,0,7,27,0,0
131,HETA4,2023-03-06,4.24,4.24,3.72,4.0,2800,5,1,18,24,0,0
132,HETA4,2023-03-07,4.18,4.27,3.86,4.27,900,6,2,1,9,0,0
133,HETA4,2023-03-08,4.24,5.25,4.24,5.25,11200,34,0,12,46,0,0
