,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,HOOT4,2022-06-06,2.3,2.3,2.25,2.25,1600,5,3,6,14,0,0
1,HOOT4,2022-06-07,2.28,2.28,2.25,2.25,500,3,0,1,4,0,0
2,HOOT4,2022-06-08,2.29,2.29,2.29,2.29,100,1,0,0,1,0,0
3,HOOT4,2022-06-09,2.27,2.27,2.27,2.27,900,5,0,0,5,0,0
4,HOOT4,2022-06-10,2.2,2.22,2.18,2.22,1500,3,0,3,6,0,0
5,HOOT4,2022-06-13,2.1,2.22,2.1,2.18,4200,2,0,11,13,0,0
6,HOOT4,2022-06-14,2.15,2.15,1.96,1.97,20700,5,0,46,51,0,0
7,HOOT4,2022-06-15,1.96,2.07,1.96,2.03,2600,7,4,1,12,0,0
8,HOOT4,2022-06-17,2.1,2.1,2.05,2.1,700,3,2,0,5,0,0
9,HOOT4,2022-06-20,2.1,2.1,2.1,2.1,400,0,0,4,4,0,0
10,HOOT4,2022-06-21,2.11,2.14,2.11,2.14,500,4,0,0,4,0,0
11,HOOT4,2022-06-22,2.14,2.14,2.14,2.14,300,2,0,0,2,0,0
12,HOOT4,2022-06-23,2.12,2.13,2.0,2.13,3600,6,0,9,15,0,0
13,HOOT4,2022-06-24,2.12,2.12,2.12,2.12,400,1,0,0,1,0,0
14,HOOT4,2022-06-27,2.03,2.07,2.01,2.07,1900,1,0,6,7,0,0
15,HOOT4,2022-06-28,2.1,2.1,2.1,2.1,200,1,0,0,1,0,0
16,HOOT4,2022-06-29,2.1,2.1,2.07,2.09,1400,5,0,1,6,0,0
17,HOOT4,2022-06-30,2.09,2.09,2.06,2.09,3600,12,2,2,16,0,0
18,HOOT4,2022-07-01,1.96,1.97,1.8,1.82,71100,38,28,30,96,0,0
19,HOOT4,2022-07-04,1.81,1.93,1.81,1.89,13300,26,0,17,43,0,0
20,HOOT4,2022-07-05,1.86,1.94,1.82,1.86,6800,12,0,11,23,0,0
21,HOOT4,2022-07-06,1.99,1.99,1.83,1.89,800,4,0,3,7,0,0
22,HOOT4,2022-07-07,1.89,1.97,1.86,1.86,9500,15,0,19,34,0,0
23,HOOT4,2022-07-08,1.9,1.9,1.8,1.84,15900,13,0,25,38,0,0
24,HOOT4,2022-07-11,1.79,1.84,1.79,1.8,4600,2,0,5,7,0,0
25,HOOT4,2022-07-12,1.78,1.87,1.78,1.87,4100,11,0,6,17,0,0
26,HOOT4,2022-07-13,1.81,1.83,1.81,1.81,1600,4,0,3,7,0,0
27,HOOT4,2022-07-14,1.76,1.81,1.76,1.79,4800,12,0,5,17,0,0
28,HOOT4,2022-07-15,1.86,1.86,1.81,1.83,700,4,0,2,6,0,0
29,HOOT4,2022-07-18,1.76,1.76,1.76,1.76,100,0,0,1,1,0,0
30,HOOT4,2022-07-19,1.76,1.81,1.76,1.81,900,5,0,2,7,0,0
31,HOOT4,2022-07-20,1.81,1.83,1.8,1.8,2200,3,0,4,7,0,0
32,HOOT4,2022-07-21,1.79,1.79,1.77,1.77,300,1,0,2,3,0,0
33,HOOT4,2022-07-25,1.8,1.8,1.8,1.8,400,1,0,0,1,0,0
34,HOOT4,2022-07-26,1.77,1.82,1.74,1.78,4300,10,0,13,23,0,0
35,HOOT4,2022-07-27,1.78,1.79,1.78,1.79,2000,1,0,4,5,0,0
36,HOOT4,2022-07-28,1.79,1.8,1.79,1.8,1900,5,0,1,6,0,0
37,HOOT4,2022-07-29,1.79,1.79,1.79,1.79,1400,5,0,0,5,0,0
38,HOOT4,2022-08-01,1.79,1.79,1.79,1.79,200,0,0,2,2,0,0
39,HOOT4,2022-08-02,1.78,1.78,1.78,1.78,100,1,0,0,1,0,0
40,HOOT4,2022-08-03,1.8,1.89,1.8,1.85,1900,2,1,3,6,0,0
41,HOOT4,2022-08-08,1.84,1.94,1.8,1.8,5700,7,0,10,17,0,0
42,HOOT4,2022-08-09,1.9,1.9,1.87,1.87,700,2,2,3,7,0,0
43,HOOT4,2022-08-10,1.87,1.89,1.87,1.88,500,2,0,1,3,0,0
44,HOOT4,2022-08-12,1.89,1.92,1.89,1.92,600,1,0,1,2,0,0
45,HOOT4,2022-08-15,2.0,2.0,1.89,1.9,6300,8,0,14,22,0,0
46,HOOT4,2022-08-16,1.9,1.9,1.89,1.89,200,1,0,1,2,0,0
47,HOOT4,2022-08-17,1.89,1.96,1.85,1.93,1200,3,0,7,10,0,0
48,HOOT4,2022-08-18,1.86,1.87,1.86,1.86,600,0,0,2,2,0,0
49,HOOT4,2022-08-19,1.86,1.86,1.86,1.86,100,0,0,1,1,0,0
50,HOOT4,2022-08-22,1.9,1.9,1.84,1.85,600,2,0,1,3,0,0
51,HOOT4,2022-08-24,1.84,1.84,1.84,1.84,400,0,0,3,3,0,0
52,HOOT4,2022-08-25,1.91,1.92,1.84,1.85,2600,6,0,8,14,0,0
53,HOOT4,2022-08-26,1.95,1.95,1.87,1.87,400,2,0,2,4,0,0
