,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,HYPE3,2022-06-06,42.11,42.92,41.64,41.84,3768500,6967,127,8443,15536,1,0
1,HYPE3,2022-06-07,41.41,41.81,40.79,41.09,4727800,6498,165,10310,16972,1,0
2,HYPE3,2022-06-08,40.69,40.74,39.65,40.05,4235300,8081,161,8462,16698,6,0
3,HYPE3,2022-06-09,39.99,40.11,38.58,38.88,4677400,10349,168,8520,19035,2,0
4,HYPE3,2022-06-10,38.5,39.33,37.81,39.2,4474000,10243,184,7994,18396,25,0
5,HYPE3,2022-06-13,37.95,38.25,37.43,37.98,3530600,8181,247,6957,15382,3,0
6,HYPE3,2022-06-14,37.75,38.11,36.74,37.07,2648400,5913,107,6354,12372,2,0
7,HYPE3,2022-06-15,37.45,39.14,37.41,38.54,5001500,14757,176,9762,24691,4,0
8,HYPE3,2022-06-17,37.58,38.31,37.18,38.2,4759200,8173,265,6998,15399,37,0
9,HYPE3,2022-06-20,37.98,38.3,37.53,37.79,1374500,3367,91,4015,7472,1,0
10,HYPE3,2022-06-21,37.67,37.99,37.17,37.7,2357400,6309,108,8250,14667,0,0
11,HYPE3,2022-06-22,37.21,38.67,37.13,38.14,2915800,6522,120,8182,14823,1,0
12,HYPE3,2022-06-23,38.5,39.18,38.26,38.76,2857400,8736,153,5643,14531,1,0
13,HYPE3,2022-06-24,38.95,38.95,37.67,37.86,2637300,8228,121,6611,14960,0,0
14,HYPE3,2022-06-27,38.11,38.98,37.98,38.79,2604000,6029,129,4510,10667,1,0
15,HYPE3,2022-06-28,38.64,38.95,37.46,38.22,3216400,6961,187,7541,14689,0,0
16,HYPE3,2022-06-29,38.32,38.62,36.83,37.0,4111000,7722,119,9501,17339,3,0
17,HYPE3,2022-06-30,36.57,38.23,36.37,37.78,4351200,8182,1525,8273,16706,1274,0
18,HYPE3,2022-07-01,37.8,37.81,37.04,37.52,2833800,8076,185,8272,16533,0,0
19,HYPE3,2022-07-04,37.31,37.45,36.43,37.12,1659400,4781,109,4802,9692,0,0
20,HYPE3,2022-07-05,37.0,37.83,36.7,37.38,2437300,5926,169,6411,12506,0,0
21,HYPE3,2022-07-06,38.01,40.3,38.0,40.12,6732400,17440,293,13563,31295,1,0
22,HYPE3,2022-07-07,40.3,40.54,39.44,40.19,4220900,9148,615,9643,18959,447,0
23,HYPE3,2022-07-08,40.08,40.25,39.66,39.98,1263200,2999,109,3303,6411,0,0
24,HYPE3,2022-07-11,39.62,40.03,38.81,39.24,2393900,5911,135,7350,13396,0,0
25,HYPE3,2022-07-12,39.16,39.83,38.95,39.54,1898900,4394,151,5499,10044,0,0
26,HYPE3,2022-07-13,39.18,39.75,38.57,39.34,2535000,6398,133,7427,13958,0,0
27,HYPE3,2022-07-14,39.0,39.7,38.76,39.17,1998000,5090,129,5049,10268,0,0
28,HYPE3,2022-07-15,38.98,40.48,38.8,39.86,4164400,8293,226,8482,16996,5,0
29,HYPE3,2022-07-18,40.38,40.38,39.5,39.76,2061800,5846,147,4760,10752,1,0
30,HYPE3,2022-07-19,40.17,41.07,39.95,40.68,5115400,10614,258,10162,20910,124,0
31,HYPE3,2022-07-20,40.45,40.7,38.33,39.21,3553700,7721,204,8001,15925,1,0
32,HYPE3,2022-07-21,39.01,39.84,38.22,39.83,2128200,5613,146,6031,11790,0,0
33,HYPE3,2022-07-22,39.83,40.26,39.58,40.04,1931400,4197,132,5539,9864,4,0
34,HYPE3,2022-07-25,40.1,40.23,39.43,39.7,1858800,4382,109,5841,10332,0,0
35,HYPE3,2022-07-26,39.62,39.98,39.05,39.3,2322000,5751,132,8491,14374,0,0
36,HYPE3,2022-07-27,39.34,39.97,39.08,39.94,1724500,4761,131,5690,10582,0,0
37,HYPE3,2022-07-28,39.79,40.86,39.72,40.82,2159700,4757,169,4500,9400,26,0
38,HYPE3,2022-07-29,40.4,42.7,40.4,42.5,6684600,11142,198,10968,22302,6,0
39,HYPE3,2022-08-01,42.55,42.8,41.82,42.2,2935300,9350,185,7293,16827,1,0
40,HYPE3,2022-08-02,42.56,43.11,42.17,42.79,2521400,5638,203,6349,12183,7,0
41,HYPE3,2022-08-03,42.81,43.24,42.42,43.24,2515700,5964,143,5700,11805,2,0
42,HYPE3,2022-08-08,42.99,43.37,42.41,43.2,1379400,4159,148,4883,9190,0,0
43,HYPE3,2022-08-09,43.35,43.35,41.61,42.11,3094300,6358,204,6793,13349,6,0
44,HYPE3,2022-08-10,42.92,43.08,42.56,43.05,2164800,4850,232,5239,10317,4,0
45,HYPE3,2022-08-12,42.01,42.59,41.96,42.32,2950800,4028,224,4174,8423,3,0
46,HYPE3,2022-08-15,42.17,42.68,41.5,41.74,2433900,6750,197,6000,12945,2,0
47,HYPE3,2022-08-16,41.54,42.16,40.83,41.91,2286500,5817,184,6258,12257,2,0
48,HYPE3,2022-08-17,41.67,42.07,41.48,41.87,3044100,6670,147,6087,12901,3,0
49,HYPE3,2022-08-18,41.82,42.04,40.69,41.15,2596300,5816,233,4571,10617,3,0
50,HYPE3,2022-08-19,40.7,42.3,40.7,41.61,4469400,6019,192,5295,11500,6,0
51,HYPE3,2022-08-22,41.21,42.96,41.21,42.47,2600400,5443,175,6017,11633,2,0
52,HYPE3,2022-08-23,42.35,42.94,42.08,42.53,1548600,4652,139,3363,8154,0,0
53,HYPE3,2022-08-24,42.31,44.18,42.31,44.07,3163900,7056,115,7589,14758,2,0
54,HYPE3,2022-08-25,44.07,44.08,43.56,43.9,1786500,5527,109,5021,10657,0,0
55,HYPE3,2022-08-26,44.06,44.25,43.05,43.21,1794000,4711,104,4537,9352,0,0
56,HYPE3,2022-08-29,43.06,44.13,43.05,43.57,1963900,5232,110,4206,9543,5,0
57,HYPE3,2022-08-30,43.98,44.0,43.44,43.79,2200500,5347,121,4210,9674,4,0
58,HYPE3,2022-08-31,44.0,44.3,42.83,43.25,3246800,5719,222,5158,11099,0,0
59,HYPE3,2022-09-01,42.98,44.47,42.97,43.89,2633900,7005,152,5967,13124,0,0
60,HYPE3,2022-09-02,43.53,44.4,42.84,43.81,4647600,9613,608,11101,20968,354,0
61,HYPE3,2022-09-05,43.86,44.02,43.07,43.63,1826300,4755,174,4390,9303,16,0
62,HYPE3,2022-09-06,43.32,43.34,42.54,42.72,3839800,9862,123,7651,17634,2,0
63,HYPE3,2022-09-08,43.13,43.44,42.51,43.44,2628400,7673,185,6175,14032,1,0
64,HYPE3,2022-09-09,43.55,43.91,43.29,43.7,2100000,5612,126,5647,11385,0,0
65,HYPE3,2022-09-12,43.9,44.05,43.6,43.84,1956100,5378,435,5080,10629,264,0
66,HYPE3,2022-09-13,43.31,44.2,43.23,43.57,2467500,5621,122,7089,12832,0,0
67,HYPE3,2022-09-14,43.55,43.73,42.9,43.41,2016400,4778,147,4570,9494,1,0
68,HYPE3,2022-09-15,43.08,43.34,42.01,42.61,2280500,5434,126,5916,11476,0,0
69,HYPE3,2022-09-16,42.54,42.6,41.4,41.93,3898200,6071,198,5192,11461,0,0
70,HYPE3,2022-09-19,42.7,44.21,42.41,44.0,6236900,11815,235,10165,22209,6,0
71,HYPE3,2022-09-20,44.28,44.55,43.89,44.44,5499600,11314,3152,8668,20170,2964,0
72,HYPE3,2022-09-21,44.09,45.13,44.09,44.82,5577100,12421,199,10753,23371,2,0
