,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,IFCM3,2022-06-06,5.2,5.23,4.28,4.28,1286800,2134,68,2370,4570,2,0
1,IFCM3,2022-06-07,4.26,4.32,3.89,4.08,1866800,4269,43,3425,7737,0,0
2,IFCM3,2022-06-08,4.01,4.07,3.83,3.94,1440300,3301,1,2511,5813,0,0
3,IFCM3,2022-06-09,3.88,4.16,3.83,3.92,1160400,2347,43,1883,4273,0,0
4,IFCM3,2022-06-10,3.82,3.86,3.54,3.83,1395200,2473,35,1953,4461,0,0
5,IFCM3,2022-06-13,3.81,3.87,3.46,3.7,1356900,2658,47,2301,5006,0,0
6,IFCM3,2022-06-14,3.65,3.78,3.43,3.7,1877800,3480,46,2834,6360,0,0
7,IFCM3,2022-06-15,3.71,4.19,3.71,4.05,876600,2484,50,2021,4555,0,0
8,IFCM3,2022-06-17,3.97,4.34,3.84,4.34,1370300,1989,58,2204,4251,0,0
9,IFCM3,2022-06-20,4.29,4.43,4.12,4.34,940700,1024,39,1682,2743,2,0
10,IFCM3,2022-06-21,4.38,4.44,4.25,4.31,625900,1495,223,1645,3202,161,0
11,IFCM3,2022-06-22,4.22,4.47,4.09,4.27,868900,2067,43,1449,3557,2,0
12,IFCM3,2022-06-23,4.33,4.7,4.28,4.54,1424300,2608,54,2174,4836,0,0
13,IFCM3,2022-06-24,4.54,4.71,4.39,4.45,406300,872,140,1186,2089,109,0
14,IFCM3,2022-06-27,4.51,4.68,4.17,4.68,957300,1907,67,1278,3252,0,0
15,IFCM3,2022-06-28,4.68,4.98,4.56,4.72,823500,2785,0,1825,4610,0,0
16,IFCM3,2022-06-29,4.73,4.73,4.46,4.57,468900,1321,43,1196,2560,0,0
17,IFCM3,2022-06-30,4.57,4.6,4.2,4.48,819600,1668,39,1654,3361,0,0
18,IFCM3,2022-07-01,4.48,4.98,4.4,4.91,668600,1372,39,1811,3222,0,0
19,IFCM3,2022-07-04,4.94,5.22,4.83,4.9,481100,1132,54,919,2105,0,0
20,IFCM3,2022-07-05,4.95,4.95,4.46,4.8,880900,2346,40,2003,4389,0,0
21,IFCM3,2022-07-06,4.8,5.94,4.77,5.85,1820700,3606,36,2586,6228,0,0
22,IFCM3,2022-07-07,5.94,6.49,5.85,5.98,1721800,3342,50,3128,6520,0,0
23,IFCM3,2022-07-08,5.9,5.99,5.42,5.52,630900,1399,70,1456,2925,0,0
24,IFCM3,2022-07-11,5.53,5.64,5.16,5.28,397900,882,63,891,1836,0,0
25,IFCM3,2022-07-12,5.24,5.6,5.16,5.45,704000,1632,28,1462,3122,0,0
26,IFCM3,2022-07-13,5.45,5.93,5.35,5.5,657000,2124,37,1836,3997,0,0
27,IFCM3,2022-07-14,5.38,5.54,5.07,5.39,593400,1066,31,1328,2425,0,0
28,IFCM3,2022-07-15,5.51,6.0,5.42,5.9,618500,2200,36,1006,3242,0,0
29,IFCM3,2022-07-18,5.91,6.15,5.64,5.75,543500,1298,28,1066,2392,0,0
30,IFCM3,2022-07-19,5.58,5.85,5.58,5.65,408500,1159,29,996,2184,0,0
31,IFCM3,2022-07-20,5.9,6.08,5.65,5.86,326700,1066,34,848,1948,0,0
32,IFCM3,2022-07-21,5.85,6.14,5.71,5.79,621100,1264,56,1229,2549,0,0
33,IFCM3,2022-07-22,5.92,5.92,5.25,5.3,410200,785,54,996,1835,0,0
34,IFCM3,2022-07-25,5.41,5.46,5.1,5.1,363300,577,58,694,1329,0,0
35,IFCM3,2022-07-26,5.14,5.21,4.68,4.68,402200,990,60,1132,2182,0,0
36,IFCM3,2022-07-27,4.85,5.17,4.73,5.11,333400,997,55,1007,2059,0,0
37,IFCM3,2022-07-28,5.19,5.84,5.1,5.84,332100,757,47,917,1721,0,0
38,IFCM3,2022-07-29,5.85,6.26,5.74,6.04,329500,930,78,955,1963,0,0
39,IFCM3,2022-08-01,6.18,6.56,6.0,6.42,446900,1229,30,1251,2510,0,0
40,IFCM3,2022-08-02,6.5,6.88,6.5,6.8,526700,1487,46,1455,2987,1,0
41,IFCM3,2022-08-03,6.69,7.35,6.69,7.08,650800,1260,43,1391,2694,0,0
42,IFCM3,2022-08-08,8.23,9.03,8.23,8.58,460600,1117,36,1158,2311,0,0
43,IFCM3,2022-08-09,8.69,8.98,7.72,7.85,329900,674,56,1346,2076,0,0
44,IFCM3,2022-08-10,8.01,8.69,7.98,7.98,725900,2279,79,1398,3756,0,0
45,IFCM3,2022-08-12,6.7,7.12,6.17,7.0,2242600,3002,44,2252,5298,0,0
46,IFCM3,2022-08-15,7.08,7.37,6.85,7.09,1399600,2228,38,1554,3819,1,0
47,IFCM3,2022-08-16,7.17,7.24,6.79,7.0,984300,1597,42,1630,3269,0,0
48,IFCM3,2022-08-17,6.57,7.09,6.56,6.8,573200,1182,48,1086,2314,2,0
