,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,IGBR3,2022-06-06,33.0,34.15,32.7,33.1,2500,3,0,19,22,0,0
1,IGBR3,2022-06-07,33.1,33.2,32.85,33.2,1400,5,0,4,9,0,0
2,IGBR3,2022-06-08,34.0,35.15,33.2,33.9,2300,7,0,5,12,0,0
3,IGBR3,2022-06-09,32.32,32.9,31.5,32.02,1400,4,0,10,14,0,0
4,IGBR3,2022-06-10,32.0,32.02,31.52,32.0,900,3,0,6,9,0,0
5,IGBR3,2022-06-13,31.34,31.34,29.99,29.99,1900,5,0,12,17,0,0
6,IGBR3,2022-06-14,30.89,31.99,30.89,31.99,400,4,0,0,4,0,0
7,IGBR3,2022-06-15,32.0,34.0,32.0,33.0,2000,6,0,7,13,0,0
8,IGBR3,2022-06-17,31.99,33.0,30.1,33.0,1000,5,0,3,8,0,0
9,IGBR3,2022-06-20,30.5,31.9,30.5,31.5,1000,5,0,5,10,0,0
10,IGBR3,2022-06-21,31.5,34.44,31.5,34.0,4000,9,1,3,13,0,0
11,IGBR3,2022-06-22,31.41,34.0,31.41,34.0,400,1,0,2,3,0,0
12,IGBR3,2022-06-24,32.05,32.05,31.12,31.7,3500,10,0,20,30,0,0
13,IGBR3,2022-06-27,32.2,32.2,31.16,31.59,1600,7,0,8,15,0,0
14,IGBR3,2022-06-28,31.92,31.92,30.0,30.0,1700,8,0,9,17,0,0
15,IGBR3,2022-06-29,31.0,31.5,30.49,30.49,900,2,0,5,7,0,0
16,IGBR3,2022-06-30,28.04,30.5,28.0,28.0,1900,2,3,12,17,0,0
17,IGBR3,2022-07-01,29.99,29.99,29.4,29.4,200,1,0,1,2,0,0
18,IGBR3,2022-07-04,30.05,30.05,28.5,28.9,700,6,0,1,7,0,0
19,IGBR3,2022-07-05,28.6,28.61,27.81,27.9,700,2,0,5,7,0,0
20,IGBR3,2022-07-06,28.86,34.5,28.86,32.49,6300,31,0,13,44,0,0
21,IGBR3,2022-07-07,32.39,33.0,30.4,30.5,3100,10,0,11,21,0,0
22,IGBR3,2022-07-08,31.97,35.0,31.31,32.16,11700,57,0,31,88,0,0
23,IGBR3,2022-07-11,33.38,33.75,31.6,31.8,3200,8,0,18,26,0,0
24,IGBR3,2022-07-12,32.5,33.0,30.9,30.9,2200,3,2,17,22,0,0
25,IGBR3,2022-07-13,30.5,30.6,30.1,30.6,2100,5,0,13,18,0,0
26,IGBR3,2022-07-14,30.1,30.1,28.9,29.0,2300,11,0,9,20,0,0
27,IGBR3,2022-07-15,29.0,31.96,27.51,27.51,5300,8,1,34,43,0,0
28,IGBR3,2022-07-18,27.49,28.56,27.0,28.0,6300,22,1,26,49,0,0
29,IGBR3,2022-07-19,28.09,28.12,27.8,27.81,2100,1,0,12,13,0,0
30,IGBR3,2022-07-20,28.02,28.03,27.4,27.7,1800,1,0,8,9,0,0
31,IGBR3,2022-07-21,27.68,27.9,27.68,27.9,500,0,2,2,4,0,0
32,IGBR3,2022-07-22,27.91,28.88,27.9,27.9,1700,10,0,5,15,0,0
33,IGBR3,2022-07-25,27.66,28.0,27.64,27.64,900,2,0,6,8,0,0
34,IGBR3,2022-07-26,27.56,27.56,27.51,27.51,700,0,0,6,6,0,0
35,IGBR3,2022-07-27,27.13,28.03,27.13,28.03,900,6,0,3,9,0,0
36,IGBR3,2022-07-28,28.37,28.37,28.3,28.3,200,1,0,1,2,0,0
37,IGBR3,2022-07-29,28.64,28.64,28.64,28.64,1500,0,0,4,4,0,0
38,IGBR3,2022-08-01,27.54,27.54,27.54,27.54,100,0,0,1,1,0,0
39,IGBR3,2022-08-02,27.55,28.21,27.55,28.21,400,0,1,3,4,0,0
40,IGBR3,2022-08-03,27.5,27.9,27.12,27.15,2100,4,0,12,16,0,0
41,IGBR3,2022-08-08,27.55,27.55,27.5,27.5,300,1,0,2,3,0,0
42,IGBR3,2022-08-09,27.51,27.51,27.51,27.51,100,0,0,1,1,0,0
43,IGBR3,2022-08-12,27.06,27.06,27.06,27.06,100,0,0,1,1,0,0
44,IGBR3,2022-08-15,27.28,28.0,27.28,27.58,1300,1,0,9,10,0,0
45,IGBR3,2022-08-16,28.56,28.56,27.79,27.79,1600,8,0,2,10,0,0
46,IGBR3,2022-08-17,27.79,27.79,27.23,27.26,700,3,0,4,7,0,0
47,IGBR3,2022-08-18,27.22,27.22,27.11,27.11,300,0,0,3,3,0,0
48,IGBR3,2022-08-19,27.25,27.25,27.25,27.25,100,0,0,1,1,0,0
49,IGBR3,2022-08-22,28.49,28.49,28.49,28.49,100,1,0,0,1,0,0
50,IGBR3,2022-08-23,28.0,28.0,27.02,27.8,700,3,0,4,7,0,0
51,IGBR3,2022-08-24,27.0,27.33,26.71,26.71,3400,4,0,12,16,0,0
52,IGBR3,2022-08-25,27.5,27.5,27.0,27.0,400,1,1,1,3,0,0
53,IGBR3,2022-08-26,26.68,27.5,26.68,27.0,300,3,0,0,3,0,0
54,IGBR3,2022-08-29,27.01,27.01,27.01,27.01,100,0,0,1,1,0,0
55,IGBR3,2022-08-30,26.0,27.01,25.5,26.7,1200,5,1,5,11,0,0
56,IGBR3,2022-08-31,25.5,26.01,25.5,26.0,700,4,0,3,7,0,0
57,IGBR3,2022-09-01,27.5,27.5,27.0,27.5,200,2,0,0,2,0,0
58,IGBR3,2022-09-02,26.7,26.7,26.7,26.7,200,0,0,1,1,0,0
59,IGBR3,2022-09-09,26.7,26.7,26.13,26.13,1300,2,0,2,4,0,0
60,IGBR3,2022-09-12,38.11,38.5,33.3,33.9,55900,126,37,186,349,0,0
61,IGBR3,2022-09-13,34.12,35.05,33.7,33.75,6100,21,0,28,49,0,0
62,IGBR3,2022-09-14,34.58,34.58,33.51,33.51,4700,15,0,24,39,0,0
63,IGBR3,2022-09-15,34.5,35.0,33.9,33.91,3400,15,0,15,30,0,0
64,IGBR3,2022-09-16,33.97,34.3,33.6,33.8,3400,12,2,11,25,0,0
65,IGBR3,2022-09-19,33.8,34.0,33.8,34.0,200,1,0,1,2,0,0
66,IGBR3,2022-09-20,33.59,34.2,33.51,34.0,1000,1,0,5,6,0,0
67,IGBR3,2022-09-21,34.0,34.11,34.0,34.0,1400,0,0,6,6,0,0
68,IGBR3,2022-09-22,34.0,34.1,33.65,33.65,900,2,0,5,7,0,0
69,IGBR3,2022-09-23,33.25,34.1,33.1,34.1,1300,7,0,6,13,0,0
70,IGBR3,2022-09-26,34.09,36.44,34.0,34.0,8200,29,0,18,47,0,0
71,IGBR3,2022-09-27,35.9,35.9,33.6,33.75,600,3,0,3,6,0,0
72,IGBR3,2022-09-28,33.75,33.75,33.1,33.75,1900,3,0,14,17,0,0
73,IGBR3,2022-09-29,33.11,33.59,32.99,33.0,1700,6,0,11,17,0,0
74,IGBR3,2022-09-30,34.48,34.48,34.48,34.48,100,1,0,0,1,0,0
75,IGBR3,2022-10-03,33.06,33.55,33.06,33.55,600,3,0,3,6,0,0
76,IGBR3,2022-10-04,32.3,34.4,32.3,33.05,500,1,0,4,5,0,0
77,IGBR3,2022-10-05,32.2,33.5,32.2,33.5,700,2,0,5,7,0,0
78,IGBR3,2022-10-07,34.45,34.45,34.45,34.45,100,1,0,0,1,0,0
79,IGBR3,2022-10-10,34.48,34.48,33.6,33.6,900,2,1,4,7,0,0
80,IGBR3,2022-10-11,33.6,33.6,33.4,33.4,300,1,0,2,3,0,0
81,IGBR3,2022-10-13,33.26,33.89,33.26,33.89,400,1,1,2,4,0,0
82,IGBR3,2022-10-14,35.0,35.0,33.15,33.15,4300,10,0,19,29,0,0
83,IGBR3,2022-10-17,34.02,35.99,34.02,35.8,2100,16,0,2,18,0,0
84,IGBR3,2022-10-18,35.0,35.15,34.5,34.55,3900,18,1,6,25,0,0
85,IGBR3,2022-10-19,35.0,36.5,34.75,35.22,8000,12,2,30,44,0,0
86,IGBR3,2022-10-20,35.03,36.8,35.0,36.45,3700,7,0,11,18,0,0
87,IGBR3,2022-10-21,36.0,36.0,34.75,34.75,3000,8,0,21,29,0,0
88,IGBR3,2022-10-24,34.69,34.69,34.69,34.69,100,0,0,1,1,0,0
89,IGBR3,2022-10-25,34.2,34.35,34.2,34.3,600,1,0,5,6,0,0
90,IGBR3,2022-10-26,34.35,34.35,34.01,34.01,1200,2,0,6,8,0,0
91,IGBR3,2022-10-27,34.25,34.6,34.0,34.0,800,4,0,2,6,0,0
92,IGBR3,2022-10-28,34.02,34.15,33.95,33.99,1700,4,0,10,14,0,0
93,IGBR3,2022-10-31,34.0,34.0,34.0,34.0,800,3,0,2,5,0,0
94,IGBR3,2022-11-01,33.9,33.99,33.6,33.63,400,1,0,3,4,0,0
95,IGBR3,2022-11-03,34.0,34.0,33.99,34.0,1000,7,0,0,7,0,0
96,IGBR3,2022-11-04,33.9,33.9,33.52,33.52,1100,2,0,2,4,0,0
97,IGBR3,2022-11-07,33.52,33.52,33.52,33.52,300,0,0,2,2,0,0
98,IGBR3,2022-11-08,33.01,33.05,32.0,32.5,11500,18,0,37,55,0,0
99,IGBR3,2022-11-09,33.5,34.0,33.5,34.0,200,2,0,0,2,0,0
100,IGBR3,2022-11-10,32.51,33.0,32.05,32.05,1100,2,0,8,10,0,0
101,IGBR3,2022-11-14,31.31,32.0,31.31,32.0,200,1,0,1,2,0,0
102,IGBR3,2022-11-17,32.0,32.0,30.07,31.99,700,1,0,6,7,0,0
103,IGBR3,2022-11-21,31.99,31.99,31.8,31.8,200,2,0,0,2,0,0
104,IGBR3,2022-11-22,31.0,31.2,31.0,31.0,1700,1,1,4,6,0,0
105,IGBR3,2022-11-23,31.0,31.0,30.2,31.0,900,4,0,4,8,0,0
106,IGBR3,2022-11-24,32.0,32.0,32.0,32.0,100,1,0,0,1,0,0
107,IGBR3,2022-11-25,31.62,31.62,31.5,31.5,1000,2,0,0,2,0,0
108,IGBR3,2022-11-29,30.61,30.99,30.05,30.99,2200,6,0,8,14,0,0
109,IGBR3,2022-11-30,31.0,31.99,30.2,31.99,1200,3,0,7,10,0,0
110,IGBR3,2022-12-01,31.11,31.49,31.1,31.49,300,1,0,2,3,0,0
111,IGBR3,2022-12-02,31.3,31.3,30.0,31.0,2300,7,0,13,20,0,0
112,IGBR3,2022-12-06,30.01,30.4,30.01,30.3,1600,3,0,10,13,0,0
113,IGBR3,2022-12-07,30.3,31.01,30.3,30.32,400,1,0,2,3,0,0
114,IGBR3,2022-12-08,30.31,30.31,30.31,30.31,100,1,0,0,1,0,0
115,IGBR3,2022-12-09,29.31,30.0,29.2,29.81,800,3,0,4,7,0,0
116,IGBR3,2022-12-12,30.17,30.17,29.5,29.65,1100,2,0,4,6,0,0
117,IGBR3,2022-12-13,29.6,29.7,29.6,29.7,300,0,0,2,2,0,0
118,IGBR3,2022-12-14,29.0,29.6,29.0,29.4,1000,1,0,8,9,0,0
119,IGBR3,2022-12-15,28.45,29.5,28.45,29.0,800,3,0,3,6,0,0
120,IGBR3,2022-12-16,29.02,29.03,28.51,28.75,800,1,0,4,5,0,0
121,IGBR3,2022-12-19,29.24,31.8,29.21,30.99,600,3,1,2,6,0,0
122,IGBR3,2022-12-20,30.41,32.0,30.41,31.3,2600,4,0,8,12,0,0
123,IGBR3,2022-12-21,30.19,30.23,30.19,30.23,200,0,0,2,2,0,0
124,IGBR3,2022-12-22,30.51,32.18,30.51,30.52,800,1,0,6,7,0,0
125,IGBR3,2022-12-23,29.02,30.81,29.02,30.81,500,0,1,3,4,0,0
126,IGBR3,2022-12-26,30.23,32.75,30.23,31.36,1100,7,0,3,10,0,0
127,IGBR3,2022-12-27,32.0,32.5,31.36,32.5,900,4,0,3,7,0,0
128,IGBR3,2022-12-28,32.5,34.25,32.5,34.2,2400,15,0,2,17,0,0
129,IGBR3,2022-12-29,32.01,34.44,32.01,34.0,600,3,0,3,6,0,0
130,IGBR3,2023-01-02,33.0,34.45,33.0,34.45,4400,10,0,0,10,0,0
131,IGBR3,2023-01-03,34.6,35.7,33.6,34.99,3700,20,0,7,27,0,0
132,IGBR3,2023-01-04,33.23,35.3,33.23,35.3,400,3,0,1,4,0,0
133,IGBR3,2023-01-05,34.08,35.45,34.08,35.45,3200,4,0,14,18,0,0
134,IGBR3,2023-01-06,34.8,35.75,34.8,35.75,1500,7,0,3,10,0,0
135,IGBR3,2023-01-09,35.93,36.02,34.13,36.02,800,4,1,3,8,0,0
136,IGBR3,2023-01-10,36.1,37.25,35.02,35.7,6300,18,0,12,30,0,0
137,IGBR3,2023-01-11,36.98,37.7,36.75,37.7,4200,14,0,9,23,0,0
138,IGBR3,2023-01-12,36.4,37.62,36.05,36.05,2100,9,0,6,15,0,0
139,IGBR3,2023-01-13,36.99,37.0,36.7,37.0,500,4,0,0,4,0,0
140,IGBR3,2023-01-16,35.5,35.5,32.96,32.96,6500,3,0,42,45,0,0
141,IGBR3,2023-01-17,33.2,34.0,33.2,34.0,400,4,0,0,4,0,0
142,IGBR3,2023-01-18,34.5,34.69,33.69,33.69,1600,3,1,6,10,0,0
143,IGBR3,2023-01-19,33.69,34.59,33.65,33.69,2600,9,0,9,18,0,0
144,IGBR3,2023-01-20,38.22,42.0,38.22,40.85,35300,112,4,84,200,0,0
145,IGBR3,2023-01-23,42.68,44.0,41.21,42.15,13900,60,0,28,88,0,0
146,IGBR3,2023-01-24,42.0,42.0,40.21,40.5,3000,10,0,17,27,0,0
147,IGBR3,2023-01-25,41.6,43.0,41.6,42.18,2900,13,0,8,21,0,0
148,IGBR3,2023-01-26,42.0,44.5,41.99,42.0,4600,17,1,15,33,0,0
149,IGBR3,2023-01-30,41.0,42.65,39.01,40.11,13900,27,0,53,80,0,0
150,IGBR3,2023-01-31,40.0,41.59,39.53,40.2,3600,11,1,11,23,0,0
151,IGBR3,2023-02-01,40.15,43.0,40.15,42.0,10100,28,0,27,55,0,0
152,IGBR3,2023-02-02,43.93,56.7,43.0,56.2,38200,166,0,92,258,0,0
