,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,IGTI3,2022-06-06,2.57,2.59,2.52,2.54,146900,270,9,148,427,0,0
1,IGTI3,2022-06-07,2.5,2.55,2.46,2.52,72900,145,13,84,242,0,0
2,IGTI3,2022-06-08,2.48,2.51,2.4,2.43,189500,176,0,386,562,0,0
3,IGTI3,2022-06-09,2.44,2.47,2.38,2.43,140500,118,0,102,220,0,0
4,IGTI3,2022-06-10,2.43,2.45,2.37,2.37,71500,129,5,116,250,0,0
5,IGTI3,2022-06-13,2.33,2.51,2.29,2.51,317200,358,28,505,891,0,0
6,IGTI3,2022-06-14,2.42,2.42,2.25,2.29,288300,336,21,659,1016,0,0
7,IGTI3,2022-06-15,2.29,2.47,2.29,2.47,357200,249,10,324,583,0,0
8,IGTI3,2022-06-17,2.37,2.5,2.37,2.5,173200,259,15,368,642,0,0
9,IGTI3,2022-06-20,2.42,2.45,2.35,2.35,202900,256,0,455,711,0,0
10,IGTI3,2022-06-21,2.39,2.43,2.3,2.34,109100,119,0,215,334,0,0
11,IGTI3,2022-06-22,2.28,2.37,2.25,2.35,154400,145,5,140,290,0,0
12,IGTI3,2022-06-23,2.36,2.39,2.33,2.38,121600,179,3,170,352,0,0
13,IGTI3,2022-06-24,2.34,2.36,2.28,2.31,319000,216,18,523,757,0,0
14,IGTI3,2022-06-27,2.29,2.36,2.29,2.33,107700,127,0,146,273,0,0
15,IGTI3,2022-06-28,2.31,2.4,2.29,2.3,203200,90,7,130,227,0,0
16,IGTI3,2022-06-29,2.33,2.38,2.3,2.3,59900,63,6,60,129,0,0
17,IGTI3,2022-06-30,2.29,2.32,2.29,2.31,37200,44,0,72,116,0,0
18,IGTI3,2022-07-01,2.31,2.32,2.28,2.32,88100,73,8,259,340,0,0
19,IGTI3,2022-07-04,2.29,2.36,2.25,2.26,393300,327,7,692,1026,0,0
20,IGTI3,2022-07-05,2.25,2.31,2.22,2.31,89200,56,5,79,140,0,0
21,IGTI3,2022-07-06,2.31,2.39,2.27,2.36,117100,108,0,89,197,0,0
22,IGTI3,2022-07-07,2.3,2.55,2.3,2.48,427000,155,6,359,520,0,0
23,IGTI3,2022-07-08,2.51,2.56,2.46,2.52,179000,105,11,296,412,0,0
24,IGTI3,2022-07-11,2.51,2.51,2.44,2.44,38200,47,3,102,152,0,0
25,IGTI3,2022-07-12,2.48,2.53,2.41,2.5,90500,63,0,185,248,0,0
26,IGTI3,2022-07-13,2.5,2.58,2.42,2.42,160200,165,0,107,272,0,0
27,IGTI3,2022-07-14,2.44,2.52,2.37,2.52,138900,124,0,158,282,0,0
