,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,INEP3,2022-06-06,0.88,0.9,0.86,0.87,814000,121,0,102,223,0,0
1,INEP3,2022-06-07,0.87,0.89,0.85,0.87,649500,104,0,75,179,0,0
2,INEP3,2022-06-08,0.86,0.86,0.8,0.83,2452900,235,0,297,532,0,0
3,INEP3,2022-06-09,0.83,0.92,0.83,0.87,3266100,558,0,392,950,0,0
4,INEP3,2022-06-10,0.87,0.89,0.82,0.88,2258000,274,0,233,507,0,0
5,INEP3,2022-06-13,0.85,0.85,0.72,0.76,2440300,293,2,397,692,0,0
6,INEP3,2022-06-14,0.72,0.74,0.58,0.62,5866600,690,10,722,1422,0,0
7,INEP3,2022-06-15,0.63,0.68,0.6,0.62,2039500,320,0,308,628,0,0
8,INEP3,2022-06-17,0.61,0.61,0.58,0.61,1409200,135,12,244,391,0,0
9,INEP3,2022-06-20,0.61,0.64,0.59,0.59,1331800,172,0,244,416,0,0
10,INEP3,2022-06-21,0.62,0.63,0.59,0.61,1281400,126,0,121,247,0,0
11,INEP3,2022-06-22,0.59,0.63,0.58,0.62,1321900,149,0,109,258,0,0
12,INEP3,2022-06-23,0.63,0.63,0.61,0.62,877700,96,0,100,196,0,0
13,INEP3,2022-06-24,0.61,0.63,0.6,0.62,430400,96,0,63,159,0,0
14,INEP3,2022-06-27,0.61,0.62,0.6,0.61,694300,75,0,85,160,0,0
15,INEP3,2022-06-28,0.61,0.62,0.59,0.6,1272900,98,0,151,249,0,0
16,INEP3,2022-06-29,0.59,0.6,0.57,0.59,1240500,590,0,168,758,0,0
17,INEP3,2022-06-30,0.58,0.59,0.53,0.54,1713700,148,8,199,355,0,0
18,INEP3,2022-07-01,0.54,0.55,0.51,0.53,1050300,157,0,124,281,0,0
19,INEP3,2022-07-04,0.52,0.53,0.51,0.53,877100,169,0,506,675,0,0
20,INEP3,2022-07-05,0.53,0.54,0.51,0.53,2132500,206,0,216,422,0,0
21,INEP3,2022-07-06,0.53,0.53,0.5,0.52,1482500,132,0,212,344,0,0
22,INEP3,2022-07-07,0.52,0.55,0.51,0.55,1804300,476,0,250,726,0,0
23,INEP3,2022-07-08,0.53,0.66,0.53,0.64,5035500,526,18,474,1018,0,0
24,INEP3,2022-07-11,0.64,0.64,0.58,0.59,1474000,168,0,294,462,0,0
25,INEP3,2022-07-12,0.6,0.7,0.57,0.64,2287200,305,0,335,640,0,0
26,INEP3,2022-07-13,0.64,0.71,0.62,0.67,2715700,384,0,277,661,0,0
27,INEP3,2022-07-14,0.65,0.67,0.62,0.62,1505700,251,0,226,477,0,0
28,INEP3,2022-07-15,0.63,0.63,0.58,0.61,1397300,169,0,223,392,0,0
29,INEP3,2022-07-18,0.6,0.64,0.59,0.59,1407600,124,0,134,258,0,0
30,INEP3,2022-07-19,0.62,0.62,0.59,0.6,900600,127,0,105,232,0,0
31,INEP3,2022-07-20,0.6,0.62,0.59,0.6,764800,127,1,98,226,0,0
32,INEP3,2022-07-21,0.6,0.92,0.59,0.83,6375500,1077,7,951,2035,0,0
33,INEP3,2022-07-22,0.84,0.97,0.77,0.77,5782300,1021,57,1222,2300,0,0
34,INEP3,2022-07-25,0.77,0.82,0.75,0.75,1589900,259,0,319,578,0,0
35,INEP3,2022-07-26,0.83,0.91,0.78,0.85,7028700,910,54,736,1700,0,0
36,INEP3,2022-07-27,0.86,0.88,0.79,0.8,3197500,344,21,520,885,0,0
37,INEP3,2022-07-28,0.8,0.82,0.74,0.8,4263600,428,20,492,940,0,0
38,INEP3,2022-07-29,0.78,0.79,0.76,0.78,986400,175,0,178,353,0,0
39,INEP3,2022-08-01,0.77,0.77,0.75,0.77,745100,75,0,165,240,0,0
40,INEP3,2022-08-02,0.77,0.86,0.75,0.81,3307100,777,0,395,1172,0,0
41,INEP3,2022-08-03,0.82,0.83,0.79,0.8,2270400,203,0,254,457,0,0
42,INEP3,2022-08-08,0.85,0.88,0.83,0.86,2219000,218,0,277,495,0,0
43,INEP3,2022-08-09,0.84,0.86,0.8,0.8,1454300,160,0,262,422,0,0
44,INEP3,2022-08-10,0.81,0.83,0.78,0.79,1531400,331,0,208,539,0,0
45,INEP3,2022-08-12,0.79,0.85,0.79,0.83,1839300,206,0,271,477,0,0
46,INEP3,2022-08-15,0.82,0.83,0.79,0.79,2512200,340,6,277,623,0,0
