,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,INTB3,2023-07-24,24.02,24.29,23.77,24.12,496700,1860,45,1202,3107,0,0
1,INTB3,2023-05-25,26.53,27.16,26.34,26.63,944400,2510,88,2495,5093,0,0
2,INTB3,2023-04-24,23.5,23.65,23.15,23.33,1048200,1897,409,3508,5463,351,0
3,INTB3,2023-08-18,22.5,23.23,22.2,22.91,1172800,4575,55,1934,6563,1,0
4,INTB3,2023-06-05,25.3,25.48,24.56,25.43,1336300,3724,58,3788,7568,2,0
5,INTB3,2022-09-22,29.38,30.2,28.66,29.81,1271800,3823,85,3115,7021,2,0
6,INTB3,2023-06-14,26.91,28.29,26.91,28.01,1485100,2072,69,2052,4189,4,0
7,INTB3,2023-03-13,26.56,27.68,26.37,27.14,1360400,5031,77,2564,7671,1,0
8,INTB3,2022-12-12,29.3,29.64,27.3,27.77,2853800,5042,136,4519,9695,2,0
9,INTB3,2022-10-25,34.39,34.4,33.6,33.79,533700,1418,89,1690,3196,1,0
10,INTB3,2022-08-22,26.95,26.95,26.15,26.9,1105600,3608,139,2580,6325,2,0
11,INTB3,2023-08-15,22.7,22.98,22.5,22.75,585800,1688,71,1582,3341,0,0
12,INTB3,2023-02-08,29.61,30.02,29.53,29.65,1157900,2480,78,2490,5047,1,0
13,INTB3,2022-12-01,31.92,32.39,31.53,32.22,668400,1953,70,2442,4465,0,0
14,INTB3,2023-04-10,21.98,22.97,21.89,22.94,1415300,2437,470,2610,5126,391,0
15,INTB3,2022-07-27,26.32,27.73,26.11,27.35,1671400,4952,268,4964,10001,183,0
16,INTB3,2023-01-20,30.67,30.69,29.79,30.04,675500,1218,115,2116,3404,45,0
17,INTB3,2022-11-28,31.17,31.44,30.79,30.95,806900,1538,72,1508,3118,0,0
18,INTB3,2023-04-04,23.33,24.02,23.1,23.5,2916700,5584,88,6675,12345,2,0
19,INTB3,2022-07-12,23.79,23.9,23.39,23.6,1098100,2010,80,1984,4072,2,0
20,INTB3,2022-08-12,27.51,28.52,27.51,28.19,1749500,3957,71,2502,6528,2,0
21,INTB3,2023-04-26,22.4,22.6,21.87,22.3,719500,1491,61,2260,3812,0,0
22,INTB3,2022-11-17,30.9,31.15,29.82,30.86,2273000,3876,96,3813,7782,3,0
23,INTB3,2022-09-13,29.25,29.32,28.52,28.63,827800,1801,91,2655,4545,2,0
24,INTB3,2023-03-09,29.21,29.69,28.4,28.4,1544200,3671,634,2874,6657,522,0
25,INTB3,2022-12-26,29.68,30.05,29.25,29.91,367900,1291,47,1190,2528,0,0
26,INTB3,2022-10-13,31.85,32.69,31.51,32.67,689900,2141,53,1474,3668,0,0
27,INTB3,2023-03-03,28.98,29.7,28.82,29.55,1287400,3699,80,2441,6218,2,0
28,INTB3,2023-01-17,30.83,31.11,30.35,30.6,565200,1420,67,1825,3312,0,0
29,INTB3,2023-06-09,27.41,28.14,27.29,27.69,711400,2513,45,2022,4580,0,0
30,INTB3,2022-07-26,26.41,26.88,25.88,26.27,516100,2040,98,1561,3690,9,0
31,INTB3,2022-08-08,28.82,29.39,28.5,28.72,785300,2305,85,2377,4766,1,0
32,INTB3,2023-04-18,25.17,25.17,24.46,24.73,1385000,2818,71,3601,6489,1,0
33,INTB3,2023-05-02,22.6,22.71,21.74,22.3,1842500,2890,74,3004,5968,0,0
34,INTB3,2023-04-07,22.5,22.71,21.99,22.32,1402300,3844,77,3117,7037,1,0
35,INTB3,2023-05-18,25.3,26.08,25.22,25.98,646000,1957,55,1964,3976,0,0
36,INTB3,2023-01-16,30.8,31.0,30.56,30.76,279800,827,60,1317,2203,1,0
37,INTB3,2023-03-30,24.55,24.55,23.58,23.71,2338800,4484,121,5239,9840,4,0
38,INTB3,2023-08-10,23.47,23.8,23.4,23.7,309400,664,41,988,1693,0,0
39,INTB3,2023-05-22,26.77,27.07,26.23,26.26,947800,2870,65,3350,6285,0,0
40,INTB3,2022-11-01,35.93,36.33,34.39,35.5,2736700,5395,130,6682,12204,3,0
41,INTB3,2022-09-16,27.84,28.66,27.35,28.38,668800,2362,72,1816,4249,1,0
42,INTB3,2022-08-29,27.57,28.06,27.27,27.54,1314200,3077,72,3303,6451,1,0
43,INTB3,2022-08-23,26.84,27.47,26.66,27.25,974300,3195,101,2122,5418,0,0
44,INTB3,2023-07-31,22.95,23.77,22.45,23.7,3828400,7189,43,4581,11811,2,0
45,INTB3,2022-07-29,27.83,27.84,26.92,27.19,725900,1738,78,1855,3671,0,0
46,INTB3,2022-12-22,29.47,29.78,29.12,29.3,802700,1875,62,3202,5139,0,0
47,INTB3,2023-08-21,22.92,23.0,22.46,22.91,653000,2029,70,1830,3929,0,0
48,INTB3,2023-01-31,30.46,31.17,30.2,30.88,1922200,2865,72,2719,5655,1,0
49,INTB3,2023-04-13,24.81,24.94,24.22,24.61,1480000,2201,251,2040,4300,192,0
50,INTB3,2023-06-12,27.95,27.95,27.28,27.64,875900,1440,40,1385,2863,2,0
51,INTB3,2022-08-02,26.53,26.83,26.15,26.26,851900,2940,67,2834,5840,1,0
52,INTB3,2023-03-28,25.28,25.82,24.87,25.3,4851400,6900,186,8642,15722,6,0
53,INTB3,2022-10-28,34.14,35.25,33.94,35.24,1867800,1962,88,2324,4369,5,0
54,INTB3,2022-08-19,27.9,27.99,26.75,27.07,1006300,2620,98,2885,5603,0,0
55,INTB3,2022-06-30,24.32,24.89,24.1,24.66,2059300,3732,88,4626,8443,3,0
56,INTB3,2023-03-01,28.75,29.08,27.88,29.04,3117200,2733,84,2759,5573,3,0
57,INTB3,2022-08-15,28.09,29.26,27.7,29.2,2039300,3251,134,3276,6658,3,0
58,INTB3,2022-08-30,27.66,28.23,27.25,27.67,1034000,2465,54,2653,5172,0,0
59,INTB3,2023-06-28,24.16,25.04,23.81,24.61,1068500,4167,46,2312,6525,0,0
60,INTB3,2022-09-12,29.39,29.6,28.96,29.26,863100,2919,64,2714,5696,1,0
61,INTB3,2023-08-01,23.62,24.78,23.41,24.0,2471900,5152,68,3935,9152,3,0
62,INTB3,2022-10-17,33.9,34.48,33.65,33.9,943600,2082,122,1941,4143,2,0
63,INTB3,2023-05-08,26.29,26.91,25.85,25.87,1516000,5077,64,4613,9753,1,0
64,INTB3,2023-04-14,24.64,25.0,24.03,24.8,876500,1729,46,2197,3971,1,0
65,INTB3,2022-09-30,29.04,29.78,28.78,29.44,571100,1540,58,2235,3832,1,0
66,INTB3,2022-08-31,27.8,28.34,27.52,27.52,783100,1912,74,2594,4579,1,0
67,INTB3,2023-05-04,24.27,26.35,24.17,25.51,3875400,5630,95,7188,12910,3,0
68,INTB3,2022-12-23,29.43,30.08,28.99,30.04,2596400,3565,69,4839,8467,6,0
69,INTB3,2022-09-09,29.2,29.35,28.35,29.1,1070600,4180,67,3099,7345,1,0
70,INTB3,2022-07-13,23.6,25.07,23.39,24.52,1453500,4062,71,3783,7915,1,0
