,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,IRBR3,2022-06-06,2.92,2.98,2.83,2.84,11092700,2921,122,3700,6742,1,0
1,IRBR3,2022-06-07,2.81,2.83,2.78,2.79,6093200,1372,153,4493,6018,0,0
2,IRBR3,2022-06-08,2.73,2.84,2.72,2.76,7823600,3382,142,5008,8532,0,0
3,IRBR3,2022-06-09,2.76,2.85,2.73,2.83,8936200,6431,86,3162,9677,2,0
4,IRBR3,2022-06-10,2.79,2.82,2.74,2.77,6940400,5585,81,3492,9155,3,0
5,IRBR3,2022-06-13,2.73,2.74,2.59,2.62,11227500,7308,202,3387,10897,0,0
6,IRBR3,2022-06-14,2.64,2.71,2.62,2.63,12909100,3974,98,6493,10565,0,0
7,IRBR3,2022-06-15,2.67,2.76,2.66,2.74,13797500,6450,149,4718,11312,5,0
8,IRBR3,2022-06-17,2.71,2.75,2.66,2.74,12687500,4506,186,7032,11723,1,0
9,IRBR3,2022-06-20,2.76,2.79,2.68,2.7,7367700,2631,68,2854,5552,1,0
10,IRBR3,2022-06-21,2.74,2.83,2.66,2.82,15754900,3999,100,4938,9037,0,0
11,IRBR3,2022-06-22,2.68,2.73,2.52,2.53,32610700,6821,334,23970,31125,0,0
12,IRBR3,2022-06-23,2.53,2.56,2.42,2.43,17117800,5599,235,6663,12495,2,0
13,IRBR3,2022-06-24,2.45,2.5,2.42,2.44,11460600,5439,149,4454,10042,0,0
14,IRBR3,2022-06-27,2.44,2.46,2.29,2.29,23834200,3978,260,6042,10280,0,0
15,IRBR3,2022-06-28,2.32,2.32,2.2,2.21,18583900,3494,259,4592,8345,0,0
16,IRBR3,2022-06-29,2.24,2.24,2.11,2.13,15474700,4084,202,5681,9967,0,0
17,IRBR3,2022-06-30,2.12,2.14,2.03,2.03,20984600,3754,264,8905,12920,3,0
18,IRBR3,2022-07-01,2.04,2.16,1.98,2.16,18400400,5667,145,8111,13923,0,0
19,IRBR3,2022-07-04,2.17,2.19,2.05,2.07,8081300,1755,126,5936,7816,1,0
20,IRBR3,2022-07-05,2.03,2.12,2.02,2.1,12176200,2772,178,5662,8612,0,0
21,IRBR3,2022-07-06,2.09,2.17,2.08,2.13,10730500,7254,113,4479,11846,0,0
22,IRBR3,2022-07-07,2.17,2.24,2.17,2.21,10845300,3957,131,5246,9334,0,0
23,IRBR3,2022-07-08,2.22,2.28,2.16,2.21,11209000,2393,133,3960,6486,0,0
24,IRBR3,2022-07-11,2.17,2.18,2.08,2.1,7274300,2175,104,5117,7396,0,0
25,IRBR3,2022-07-12,2.1,2.17,2.06,2.16,12511400,3614,78,6557,10249,0,0
26,IRBR3,2022-07-13,2.14,2.21,2.12,2.13,9691400,2686,136,6042,8864,0,0
27,IRBR3,2022-07-14,2.12,2.15,2.09,2.12,8571100,2758,90,2689,5536,1,0
28,IRBR3,2022-07-15,2.15,2.15,2.07,2.12,13429000,2540,150,16380,19068,2,0
29,IRBR3,2022-07-18,2.16,2.29,2.09,2.11,17082000,3269,132,20515,23915,1,0
30,IRBR3,2022-07-19,2.11,2.18,2.09,2.16,9559200,4215,100,3582,7896,1,0
31,IRBR3,2022-07-20,2.15,2.18,2.11,2.14,17706100,3058,369,16218,19642,3,0
32,IRBR3,2022-07-21,2.13,2.24,2.12,2.18,17368000,4594,166,5894,10654,0,0
33,IRBR3,2022-07-22,2.05,2.08,1.99,2.01,48797000,17227,887,13042,31156,0,0
34,IRBR3,2022-07-25,2.01,2.03,1.88,1.89,36757300,11090,521,16369,27980,0,0
35,IRBR3,2022-07-26,1.89,1.93,1.89,1.92,9895800,7553,102,6323,13977,1,0
36,IRBR3,2022-07-27,1.94,1.97,1.92,1.97,9269700,5219,153,3878,9250,0,0
37,IRBR3,2022-07-28,1.96,1.99,1.9,1.95,12376300,3381,179,3948,7508,0,0
38,IRBR3,2022-07-29,1.96,1.96,1.91,1.92,11295300,3336,298,3371,7005,0,0
39,IRBR3,2022-08-01,1.93,1.95,1.9,1.91,14385800,15687,140,4126,19952,1,0
40,IRBR3,2022-08-02,1.92,2.04,1.91,2.01,18718300,5679,189,4720,10588,0,0
41,IRBR3,2022-08-03,2.02,2.15,2.01,2.12,24421800,4882,122,5334,10337,1,0
42,IRBR3,2022-08-08,2.31,2.37,2.26,2.31,17212500,5240,163,6867,12270,0,0
43,IRBR3,2022-08-09,2.32,2.35,2.2,2.25,18609400,4409,186,6296,10889,2,0
44,IRBR3,2022-08-10,2.29,2.48,2.29,2.44,29664400,13775,141,7565,21478,3,0
45,IRBR3,2022-08-12,2.32,2.4,2.27,2.27,29957000,6739,235,12944,19917,1,0
46,IRBR3,2022-08-15,2.0,2.19,1.97,2.11,58592600,11773,1487,13226,26486,0,0
47,IRBR3,2022-08-16,2.0,2.2,1.97,2.14,48734800,7887,114,9397,17397,1,0
48,IRBR3,2022-08-17,2.13,2.22,2.09,2.17,32726700,8453,228,6301,14981,1,0
49,IRBR3,2022-08-18,2.18,2.19,2.1,2.16,23990200,9400,255,5982,15637,0,0
50,IRBR3,2022-08-19,2.15,2.23,2.11,2.18,30134500,12093,195,6345,18632,1,0
51,IRBR3,2022-08-22,2.17,2.2,2.12,2.13,24537300,5359,125,7306,12788,2,0
52,IRBR3,2022-08-23,2.15,2.19,2.11,2.11,40919800,3047,586,3692,7324,1,0
53,IRBR3,2022-08-24,2.12,2.18,2.01,2.02,57934300,5987,709,9853,16548,1,0
54,IRBR3,2022-08-25,2.02,2.16,2.01,2.08,63717300,7382,388,6368,14138,0,0
55,IRBR3,2022-08-26,2.07,2.1,1.94,1.97,48436700,12370,433,12913,25716,0,0
56,IRBR3,2022-08-29,1.94,1.95,1.85,1.85,50203100,8113,380,14762,23253,2,0
57,IRBR3,2022-08-30,1.86,1.91,1.68,1.72,46414800,6470,400,15851,22721,0,0
58,IRBR3,2022-08-31,1.72,1.73,1.63,1.64,33705800,6582,1055,10557,18193,1,0
59,IRBR3,2022-09-01,1.64,1.64,1.39,1.39,91811300,13208,765,15887,29860,0,0
60,IRBR3,2022-09-02,1.09,1.31,1.08,1.22,217480500,12099,8583,19427,40109,0,0
61,IRBR3,2022-09-05,1.15,1.23,1.1,1.19,184879900,15316,4132,10696,30135,9,0
62,IRBR3,2022-09-06,1.23,1.29,1.17,1.2,138902700,9717,1872,10658,22245,2,0
63,IRBR3,2022-09-08,1.22,1.32,1.19,1.22,134607600,8634,1691,13204,23525,4,0
64,IRBR3,2022-09-09,1.27,1.28,1.21,1.24,91859000,11249,1059,11086,23394,0,0
65,IRBR3,2022-09-12,1.27,1.28,1.24,1.28,63931900,9450,354,4548,14352,0,0
66,IRBR3,2022-09-13,1.26,1.29,1.24,1.26,55500200,10999,456,7612,19066,1,0
67,IRBR3,2022-09-14,1.26,1.26,1.18,1.18,69851400,11087,311,13143,24540,1,0
68,IRBR3,2022-09-15,1.18,1.2,1.17,1.19,84718000,3821,371,9730,13920,2,0
69,IRBR3,2022-09-16,1.18,1.23,1.17,1.21,64952900,10135,335,13449,23917,2,0
70,IRBR3,2022-09-19,1.21,1.22,1.18,1.2,23233000,6450,127,8163,14738,2,0
71,IRBR3,2022-09-20,1.2,1.24,1.2,1.23,41589800,5974,458,5767,12198,1,0
72,IRBR3,2022-09-21,1.23,1.24,1.2,1.21,41780000,6959,253,6334,13546,0,0
73,IRBR3,2022-09-22,1.2,1.2,1.14,1.15,67857400,13811,471,10767,25048,1,0
74,IRBR3,2022-09-23,1.1,1.14,1.1,1.11,29917100,11844,835,8075,20753,1,0
75,IRBR3,2022-09-26,1.11,1.16,1.1,1.1,43799900,8775,138,8877,17789,1,0
76,IRBR3,2022-09-27,1.13,1.13,1.05,1.07,46077800,3288,181,7189,10657,1,0
77,IRBR3,2022-09-28,1.07,1.07,1.04,1.05,38335000,4219,223,7867,12309,0,0
78,IRBR3,2022-09-29,1.05,1.06,1.0,1.02,48475100,4176,288,9746,14209,1,0
79,IRBR3,2022-09-30,1.03,1.1,1.01,1.1,41706200,10614,121,6831,17566,0,0
80,IRBR3,2022-10-03,1.12,1.18,1.1,1.11,63277500,18576,403,12549,31528,0,0
81,IRBR3,2022-10-04,1.13,1.15,1.04,1.07,68402900,9613,238,15264,25115,0,0
82,IRBR3,2022-10-05,1.06,1.08,1.02,1.04,40135900,9509,308,41651,51468,0,0
83,IRBR3,2022-10-06,1.06,1.13,1.04,1.12,61843400,10620,173,4616,15382,27,0
84,IRBR3,2022-10-07,1.12,1.14,1.07,1.08,32625500,7025,138,8931,16094,0,0
85,IRBR3,2022-10-10,1.09,1.1,1.07,1.08,23857200,7789,281,4623,12692,1,0
86,IRBR3,2022-10-11,1.09,1.14,1.09,1.09,33586500,6954,177,11427,18558,0,0
87,IRBR3,2022-10-13,1.1,1.11,1.06,1.07,30377800,6478,267,9098,15838,5,0
88,IRBR3,2022-10-14,1.08,1.09,1.03,1.04,24363400,2569,252,10655,13474,2,0
89,IRBR3,2022-10-17,1.05,1.07,1.04,1.06,24321700,3706,230,3805,7741,0,0
90,IRBR3,2022-10-18,1.07,1.09,1.06,1.09,20592900,5611,180,6531,12322,0,0
91,IRBR3,2022-10-19,1.08,1.09,1.06,1.06,30231200,6586,408,9718,16690,22,0
92,IRBR3,2022-10-20,1.07,1.08,1.03,1.05,25243300,5825,149,8367,14340,1,0
93,IRBR3,2022-10-21,1.04,1.08,1.02,1.06,38524700,15776,255,5288,21316,3,0
94,IRBR3,2022-10-24,1.03,1.05,0.97,0.98,98660200,9620,599,44541,54760,0,0
95,IRBR3,2022-10-25,0.98,0.98,0.9,0.91,66752000,8429,1443,15273,25145,0,0
96,IRBR3,2022-10-26,0.91,0.93,0.85,0.86,57503000,5757,450,17154,23360,1,0
97,IRBR3,2022-10-27,0.87,0.98,0.86,0.93,77912100,10055,179,10567,20799,2,0
98,IRBR3,2022-10-28,0.94,0.97,0.92,0.94,53816100,7617,194,22233,30044,0,0
99,IRBR3,2022-10-31,0.92,0.99,0.91,0.93,66643300,16256,291,20235,36780,2,0
100,IRBR3,2022-11-01,0.96,1.01,0.94,1.01,67723400,13090,140,6868,20097,1,0
101,IRBR3,2022-11-03,1.0,1.07,0.99,1.01,61390500,13872,420,20056,34344,4,0
102,IRBR3,2022-11-04,1.04,1.05,0.95,0.96,61228900,9869,370,5164,15403,0,0
103,IRBR3,2022-11-07,0.96,0.99,0.92,0.94,49876000,5441,134,32341,37916,0,0
104,IRBR3,2022-11-08,0.94,0.96,0.92,0.93,25973700,4236,195,4717,9148,0,0
105,IRBR3,2022-11-09,0.93,0.94,0.9,0.91,28173200,5993,164,6648,12805,0,0
106,IRBR3,2022-11-10,0.9,0.9,0.85,0.86,54544000,7917,210,23522,31648,1,0
107,IRBR3,2022-11-14,0.83,0.96,0.83,0.94,86994400,26469,340,5227,32036,0,0
108,IRBR3,2022-11-17,0.85,0.85,0.79,0.81,93577700,10916,894,13117,24927,0,0
109,IRBR3,2022-11-18,0.84,0.85,0.74,0.75,119767900,10188,823,17093,28100,4,0
110,IRBR3,2022-11-21,0.76,0.79,0.74,0.79,66126000,12406,319,10843,23568,0,0
111,IRBR3,2022-11-22,0.78,0.8,0.76,0.77,32363600,11647,388,7574,19609,0,0
112,IRBR3,2022-11-23,0.77,0.78,0.76,0.76,29164000,6223,283,6129,12635,0,0
113,IRBR3,2022-11-24,0.77,0.82,0.77,0.8,48275500,9461,194,1708,11362,1,0
114,IRBR3,2022-11-25,0.8,0.84,0.78,0.78,61547100,7913,704,5130,13747,0,0
115,IRBR3,2022-11-28,0.79,0.8,0.74,0.74,51801000,3495,877,5825,10197,0,0
116,IRBR3,2022-11-29,0.75,0.76,0.73,0.74,43976400,5761,612,6799,13172,0,0
117,IRBR3,2022-11-30,0.75,0.76,0.73,0.75,32330700,5979,166,7391,13536,0,0
118,IRBR3,2022-12-01,0.72,0.74,0.7,0.7,49917700,6346,1115,11450,18911,0,0
119,IRBR3,2022-12-02,0.69,0.72,0.67,0.7,48900500,8075,406,5132,13613,0,0
120,IRBR3,2022-12-05,0.71,0.72,0.66,0.66,48635200,6595,506,9194,16295,0,0
121,IRBR3,2022-12-06,0.67,0.69,0.63,0.69,48882600,9364,292,6110,15765,1,0
122,IRBR3,2022-12-07,0.67,0.72,0.67,0.68,51035300,10639,370,13557,24565,1,0
123,IRBR3,2022-12-08,0.68,0.7,0.65,0.7,42984000,11432,254,6197,17883,0,0
124,IRBR3,2022-12-09,0.7,0.79,0.69,0.72,79026100,6162,486,4936,11581,3,0
125,IRBR3,2022-12-12,0.72,0.76,0.68,0.71,39824900,8627,326,9404,18357,0,0
126,IRBR3,2022-12-13,0.72,0.75,0.7,0.7,60746400,8281,295,7946,16521,1,0
127,IRBR3,2022-12-14,0.7,0.72,0.68,0.7,60516500,13089,214,14902,28200,5,0
128,IRBR3,2022-12-15,0.7,0.74,0.69,0.72,41160000,28529,176,5388,34091,2,0
129,IRBR3,2022-12-16,0.72,0.74,0.69,0.71,102477300,30656,350,8732,39738,0,0
130,IRBR3,2022-12-19,0.72,0.78,0.71,0.77,48030600,6581,359,3825,10765,0,0
131,IRBR3,2022-12-20,0.77,0.83,0.76,0.81,50351000,5429,947,5419,11795,0,0
132,IRBR3,2022-12-21,0.86,1.04,0.86,1.01,212332200,25979,3697,10110,39786,0,0
133,IRBR3,2022-12-22,1.02,1.03,0.9,0.95,81121600,18449,1162,5198,24808,1,0
134,IRBR3,2022-12-23,0.96,0.97,0.9,0.91,38292200,4792,360,4174,9326,0,0
135,IRBR3,2022-12-26,0.91,0.93,0.86,0.9,34622600,4993,609,5714,11315,1,0
136,IRBR3,2022-12-27,0.91,0.92,0.87,0.88,26380100,5521,197,8008,13725,1,0
137,IRBR3,2022-12-28,0.87,0.94,0.87,0.94,38016900,8375,222,2401,10997,1,0
138,IRBR3,2022-12-29,0.94,0.95,0.86,0.86,149419200,4883,444,46623,51948,2,0
139,IRBR3,2023-01-02,0.85,0.9,0.85,0.87,33286300,10471,249,2635,13355,0,0
140,IRBR3,2023-01-03,0.88,0.91,0.86,0.87,36640900,7696,204,2894,10793,1,0
141,IRBR3,2023-01-04,0.88,1.0,0.88,0.97,91154300,12931,249,51620,64800,0,0
142,IRBR3,2023-01-05,0.99,1.01,0.92,0.93,53514800,3570,80,46486,50132,4,0
143,IRBR3,2023-01-06,0.93,1.03,0.92,0.99,63650500,6361,103,3885,10349,0,0
144,IRBR3,2023-01-09,0.97,1.11,0.96,1.06,78321300,19889,259,3974,24122,0,0
145,IRBR3,2023-01-10,1.07,1.27,1.05,1.24,119424500,36202,159,10084,46444,1,0
