,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ITSA3,2022-06-06,9.54,9.65,9.54,9.61,48800,95,0,95,190,0,0
1,ITSA3,2022-06-07,9.61,9.61,9.54,9.55,84700,102,6,138,246,0,0
2,ITSA3,2022-06-08,9.54,9.55,9.35,9.45,140500,189,0,157,346,0,0
3,ITSA3,2022-06-09,9.45,9.45,9.3,9.33,105800,112,7,201,320,0,0
4,ITSA3,2022-06-10,9.32,9.34,9.18,9.23,115800,211,11,290,512,0,0
5,ITSA3,2022-06-13,9.23,9.24,9.03,9.2,150100,276,14,388,678,0,0
6,ITSA3,2022-06-14,9.21,9.21,9.1,9.17,116200,154,1,257,412,0,0
7,ITSA3,2022-06-15,9.18,9.31,9.15,9.23,118000,231,0,209,440,0,0
8,ITSA3,2022-06-17,9.19,9.29,8.99,9.28,117700,183,1,241,425,0,0
9,ITSA3,2022-06-20,9.28,9.44,9.06,9.3,137700,325,0,187,512,0,0
10,ITSA3,2022-06-21,9.23,9.38,9.2,9.21,52500,107,13,108,228,0,0
11,ITSA3,2022-06-22,9.2,9.24,9.13,9.14,79800,171,0,260,431,0,0
12,ITSA3,2022-06-23,9.25,9.25,9.0,9.17,99300,193,26,239,458,0,0
13,ITSA3,2022-06-24,9.16,9.16,9.01,9.05,90700,167,1,185,353,0,0
14,ITSA3,2022-06-27,9.11,9.13,8.97,9.06,145100,261,0,249,510,0,0
15,ITSA3,2022-06-28,9.07,9.16,8.9,9.04,86300,154,15,241,410,0,0
16,ITSA3,2022-06-29,9.03,9.04,8.9,8.93,59200,114,11,156,281,0,0
17,ITSA3,2022-06-30,8.93,8.93,8.75,8.86,175600,243,17,385,645,0,0
18,ITSA3,2022-07-01,8.86,8.86,8.61,8.75,260500,267,0,343,610,0,0
19,ITSA3,2022-07-04,8.75,8.98,8.67,8.69,187000,237,0,233,470,0,0
20,ITSA3,2022-07-05,8.74,8.75,8.63,8.75,117400,190,10,164,364,0,0
21,ITSA3,2022-07-06,8.74,8.79,8.65,8.72,95200,126,0,176,302,0,0
22,ITSA3,2022-07-07,8.76,8.91,8.72,8.86,105800,195,11,184,390,0,0
23,ITSA3,2022-07-08,8.85,8.94,8.83,8.85,75800,135,0,173,308,0,0
24,ITSA3,2022-07-11,8.86,8.86,8.64,8.71,151300,176,0,234,410,0,0
25,ITSA3,2022-07-12,8.75,8.76,8.63,8.71,101000,144,1,194,339,0,0
26,ITSA3,2022-07-13,8.71,8.72,8.55,8.55,236200,150,0,244,394,0,0
27,ITSA3,2022-07-14,8.55,8.63,8.45,8.59,187400,294,0,351,645,0,0
28,ITSA3,2022-07-15,8.64,8.85,8.53,8.78,147800,316,0,224,540,0,0
29,ITSA3,2022-07-18,8.81,9.02,8.75,8.85,161200,324,0,266,590,0,0
30,ITSA3,2022-07-19,8.85,9.07,8.85,9.03,90100,222,0,96,318,0,0
31,ITSA3,2022-07-20,8.93,9.03,8.93,8.94,61600,81,10,112,203,0,0
32,ITSA3,2022-07-21,8.93,9.05,8.83,9.05,85600,144,1,155,300,0,0
33,ITSA3,2022-07-22,9.0,9.05,8.84,8.92,78300,135,0,176,311,0,0
34,ITSA3,2022-07-25,8.94,9.03,8.93,9.03,64100,116,0,129,245,0,0
35,ITSA3,2022-07-26,9.03,9.04,8.85,8.95,133400,145,0,209,354,0,0
36,ITSA3,2022-07-27,8.95,9.05,8.92,9.01,36400,81,7,74,162,0,0
37,ITSA3,2022-07-28,8.96,9.2,8.95,9.16,96900,228,8,119,355,0,0
38,ITSA3,2022-07-29,9.12,9.24,9.05,9.13,77800,158,20,169,347,0,0
39,ITSA3,2022-08-01,9.19,9.19,8.9,8.99,258000,367,38,250,655,0,0
40,ITSA3,2022-08-02,8.93,9.09,8.88,9.05,93600,179,0,165,344,0,0
41,ITSA3,2022-08-03,9.08,9.1,8.96,9.08,91500,199,9,162,370,0,0
42,ITSA3,2022-08-08,9.32,9.4,9.22,9.33,178000,290,0,181,471,0,0
43,ITSA3,2022-08-09,9.36,9.58,9.35,9.48,231700,324,7,329,660,0,0
44,ITSA3,2022-08-10,9.47,9.54,9.43,9.53,181800,253,6,226,485,0,0
45,ITSA3,2022-08-12,9.5,9.57,9.5,9.54,147000,254,0,195,449,0,0
46,ITSA3,2022-08-15,9.56,9.57,9.49,9.57,175600,325,0,227,552,0,0
47,ITSA3,2022-08-16,9.6,9.66,9.53,9.63,167000,157,0,211,368,0,0
48,ITSA3,2022-08-17,9.59,9.65,9.54,9.6,103800,181,11,141,333,0,0
49,ITSA3,2022-08-18,9.6,9.66,9.57,9.58,78600,143,6,115,264,0,0
50,ITSA3,2022-08-19,9.53,9.69,9.4,9.55,102600,167,7,183,357,0,0
51,ITSA3,2022-08-22,9.53,9.53,9.36,9.45,77000,194,0,108,302,0,0
52,ITSA3,2022-08-23,9.5,9.5,9.41,9.42,63600,123,0,125,248,0,0
53,ITSA3,2022-08-24,9.36,9.49,9.36,9.41,83100,134,0,113,247,0,0
54,ITSA3,2022-08-25,9.42,9.55,9.41,9.5,130900,158,0,140,298,0,0
55,ITSA3,2022-08-26,9.51,9.57,9.4,9.4,119000,168,0,124,292,0,0
56,ITSA3,2022-08-29,9.4,9.5,9.37,9.4,103800,114,5,144,263,0,0
57,ITSA3,2022-08-30,9.4,9.55,9.39,9.46,151100,208,0,139,347,0,0
58,ITSA3,2022-08-31,9.46,9.51,9.28,9.36,164900,145,18,225,388,0,0
59,ITSA3,2022-09-01,9.35,9.39,9.11,9.25,203400,242,29,208,479,0,0
60,ITSA3,2022-09-02,9.27,9.48,9.27,9.37,279300,299,0,258,557,0,0
61,ITSA3,2022-09-05,9.41,9.49,9.36,9.47,348700,589,0,474,1063,0,0
62,ITSA3,2022-09-06,9.49,9.5,9.28,9.39,354700,637,19,414,1070,0,0
63,ITSA3,2022-09-08,9.39,9.47,9.37,9.42,90000,125,0,148,273,0,0
64,ITSA3,2022-09-09,9.45,9.49,9.4,9.46,91900,119,0,150,269,0,0
65,ITSA3,2022-09-12,9.5,9.66,9.47,9.62,701100,707,0,400,1107,0,0
66,ITSA3,2022-09-13,9.64,9.64,9.47,9.47,78600,130,0,155,285,0,0
67,ITSA3,2022-09-14,9.44,9.55,9.43,9.47,113800,178,0,157,335,0,0
68,ITSA3,2022-09-15,9.47,9.54,9.41,9.44,101300,185,0,154,339,0,0
69,ITSA3,2022-09-16,9.44,9.48,9.32,9.42,145300,151,20,161,332,0,0
70,ITSA3,2022-09-19,9.42,9.7,9.37,9.67,519600,696,0,327,1023,0,0
71,ITSA3,2022-09-20,9.67,9.93,9.65,9.89,586000,718,0,349,1067,0,0
72,ITSA3,2022-09-21,9.86,10.0,9.82,9.85,279500,382,0,269,651,0,0
73,ITSA3,2022-09-22,9.85,10.13,9.85,10.12,561900,636,0,1549,2185,0,0
74,ITSA3,2022-09-23,10.06,10.06,9.8,9.88,120200,170,8,198,376,0,0
75,ITSA3,2022-09-26,9.88,9.88,9.65,9.65,81500,121,0,203,324,0,0
76,ITSA3,2022-09-27,9.72,9.74,9.55,9.62,180500,172,23,147,342,0,0
77,ITSA3,2022-09-28,9.53,9.68,9.47,9.64,91900,164,0,143,307,0,0
78,ITSA3,2022-09-29,9.63,9.79,9.53,9.76,83700,122,9,154,285,0,0
79,ITSA3,2022-09-30,9.7,9.9,9.67,9.87,88000,136,0,124,260,0,0
80,ITSA3,2022-10-03,9.96,10.52,9.95,10.49,281700,388,8,303,699,0,0
81,ITSA3,2022-10-04,10.46,10.69,10.35,10.35,159400,168,0,245,413,0,0
82,ITSA3,2022-10-05,10.49,10.57,10.31,10.42,111400,132,22,175,329,0,0
83,ITSA3,2022-10-06,10.49,10.5,10.35,10.39,57300,89,0,127,216,0,0
84,ITSA3,2022-10-07,10.38,10.38,10.15,10.27,157700,247,0,118,365,0,0
85,ITSA3,2022-10-10,10.27,10.38,10.2,10.25,226400,235,0,251,486,0,0
86,ITSA3,2022-10-11,10.19,10.33,10.15,10.17,86000,101,0,134,235,0,0
87,ITSA3,2022-10-13,10.01,10.5,10.01,10.12,180100,156,0,299,455,0,0
88,ITSA3,2022-10-14,10.11,10.29,10.0,10.09,78100,112,0,207,319,0,0
