,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ITUB3,2022-06-06,22.04,22.26,21.86,21.97,343600,579,40,552,1171,0,0
1,ITUB3,2022-06-07,21.89,22.03,21.75,21.98,363600,451,42,487,980,0,0
2,ITUB3,2022-06-08,21.78,21.96,21.49,21.64,676100,1007,35,815,1856,1,0
3,ITUB3,2022-06-09,21.6,21.6,21.08,21.16,246300,332,39,348,719,0,0
4,ITUB3,2022-06-10,21.07,21.07,20.49,20.69,631500,991,37,770,1798,0,0
5,ITUB3,2022-06-13,20.36,20.57,20.14,20.38,356300,646,49,484,1179,0,0
6,ITUB3,2022-06-14,20.44,20.58,20.13,20.28,551900,1183,42,1090,2315,0,0
7,ITUB3,2022-06-15,20.5,20.67,20.2,20.27,535700,1175,44,634,1853,0,0
8,ITUB3,2022-06-17,20.03,20.2,19.64,19.98,933600,791,150,631,1572,0,0
9,ITUB3,2022-06-20,20.01,20.91,20.01,20.83,600600,942,41,676,1659,0,0
10,ITUB3,2022-06-21,20.92,21.01,20.58,20.75,313300,464,34,386,884,0,0
11,ITUB3,2022-06-22,20.59,20.72,20.42,20.5,417100,814,45,460,1319,0,0
12,ITUB3,2022-06-23,20.55,20.6,19.95,20.06,541700,982,37,815,1834,0,0
13,ITUB3,2022-06-24,20.15,20.23,19.92,20.03,236900,309,29,428,766,0,0
14,ITUB3,2022-06-27,20.02,20.31,19.98,20.26,510100,473,22,771,1266,0,0
15,ITUB3,2022-06-28,20.26,20.47,19.83,20.09,499500,647,51,1170,1868,0,0
16,ITUB3,2022-06-29,20.1,20.29,19.85,19.96,531700,783,41,1011,1835,0,0
17,ITUB3,2022-06-30,19.7,19.77,19.45,19.52,502000,721,24,612,1357,0,0
18,ITUB3,2022-07-01,19.2,19.77,19.2,19.67,534900,602,50,659,1311,0,0
19,ITUB3,2022-07-04,19.51,19.65,19.34,19.44,206200,284,31,366,680,1,0
20,ITUB3,2022-07-05,19.39,19.59,19.18,19.44,304600,674,21,518,1213,0,0
21,ITUB3,2022-07-06,19.5,19.71,19.29,19.53,490200,781,35,483,1299,0,0
