,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,JALL3,2022-06-06,10.51,10.54,10.09,10.29,696800,1372,53,2251,3676,0,0
1,JALL3,2022-06-07,10.26,10.28,9.82,9.83,789200,1764,62,2786,4611,1,0
2,JALL3,2022-06-08,9.55,9.89,9.54,9.86,690900,1763,42,2145,3949,1,0
3,JALL3,2022-06-09,9.69,9.78,9.57,9.65,684900,2224,45,2165,4433,1,0
4,JALL3,2022-06-10,9.5,9.77,9.5,9.64,777100,2019,37,2514,4570,0,0
5,JALL3,2022-06-13,9.68,9.7,9.17,9.29,901900,2607,49,2530,5186,0,0
6,JALL3,2022-06-14,9.3,9.51,8.66,8.8,1371000,3504,53,3505,7062,0,0
7,JALL3,2022-06-15,8.85,8.87,8.28,8.47,2026100,3854,284,4227,8143,222,0
8,JALL3,2022-06-17,8.29,8.75,8.18,8.75,1353200,2732,382,2518,5342,290,0
9,JALL3,2022-06-20,8.76,8.81,8.03,8.27,1605200,2936,210,2442,5428,160,0
10,JALL3,2022-06-21,8.28,8.3,7.86,7.9,1544800,3156,251,2773,5983,197,0
11,JALL3,2022-06-22,7.85,7.85,7.51,7.52,1714700,3606,48,3969,7623,0,0
12,JALL3,2022-06-23,7.56,7.9,7.56,7.71,1301300,3124,44,2483,5651,0,0
13,JALL3,2022-06-24,7.76,7.79,7.44,7.59,1071300,2489,83,2336,4908,0,0
14,JALL3,2022-06-27,7.6,7.79,7.51,7.65,810500,2171,34,1514,3719,0,0
15,JALL3,2022-06-28,7.7,7.7,7.2,7.41,1615300,1926,67,2893,4884,2,0
16,JALL3,2022-06-29,7.41,7.7,7.3,7.55,2337400,2009,46,2649,4702,2,0
17,JALL3,2022-06-30,7.5,7.75,7.35,7.66,1811700,2941,65,3108,6113,1,0
18,JALL3,2022-07-01,7.6,7.82,7.37,7.74,1356000,3491,55,3185,6731,0,0
19,JALL3,2022-07-04,7.77,7.78,7.62,7.63,729100,976,75,1411,2462,0,0
20,JALL3,2022-07-05,7.6,7.65,7.4,7.52,626800,1632,48,1827,3507,0,0
21,JALL3,2022-07-06,7.52,7.56,7.35,7.4,861300,2225,54,2504,4783,0,0
22,JALL3,2022-07-07,7.47,7.75,7.47,7.62,813500,2809,57,2518,5384,0,0
23,JALL3,2022-07-08,7.74,8.0,7.69,7.74,824800,2542,41,2808,5391,0,0
