,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,JBSS3,2022-06-06,34.79,34.91,34.31,34.47,4162200,6723,212,7651,14586,0,0
1,JBSS3,2022-06-07,34.4,35.14,34.17,35.06,5162700,6879,199,8120,15195,3,0
2,JBSS3,2022-06-08,34.81,35.15,34.54,34.6,5120400,8563,251,8281,17050,45,0
3,JBSS3,2022-06-09,34.42,35.18,34.4,34.97,7130900,11045,216,7570,18830,1,0
4,JBSS3,2022-06-10,34.74,35.38,34.42,34.72,8942200,14843,201,10447,25488,3,0
5,JBSS3,2022-06-13,34.66,34.83,33.18,33.3,9761700,13439,326,11381,25143,3,0
6,JBSS3,2022-06-14,33.36,33.39,32.68,32.85,6788400,10591,256,11346,22189,4,0
7,JBSS3,2022-06-15,33.57,33.8,32.88,33.23,10713400,18782,462,13663,32769,138,0
8,JBSS3,2022-06-17,32.9,33.21,32.2,32.6,13377600,11217,504,9801,21390,132,0
9,JBSS3,2022-06-20,32.79,32.9,32.23,32.7,3268000,5440,257,5027,10651,73,0
10,JBSS3,2022-06-21,32.73,33.21,32.17,32.35,4808700,6933,307,7931,15078,93,0
11,JBSS3,2022-06-22,32.22,33.44,31.88,32.81,9184600,13751,300,11497,25482,66,0
12,JBSS3,2022-06-23,33.0,33.75,32.45,32.72,10774000,11668,329,12215,24150,62,0
13,JBSS3,2022-06-24,33.02,33.25,32.42,33.02,4693500,7921,230,6465,14567,49,0
14,JBSS3,2022-06-27,33.14,33.28,32.84,33.08,6064800,10271,246,6333,16846,4,0
15,JBSS3,2022-06-28,33.29,33.86,32.7,33.05,6515100,9078,138,10142,19355,3,0
16,JBSS3,2022-06-29,32.99,33.21,32.25,32.32,6591100,6484,300,9659,16373,70,0
17,JBSS3,2022-06-30,32.18,32.48,31.39,31.4,9173800,10620,336,13792,24731,17,0
18,JBSS3,2022-07-01,31.42,32.34,31.23,31.85,9686400,14461,240,13492,28188,5,0
19,JBSS3,2022-07-04,31.75,32.16,31.32,31.87,3853300,5680,180,8133,13983,10,0
20,JBSS3,2022-07-05,31.72,32.16,31.53,31.79,3850200,6489,234,7889,14612,0,0
21,JBSS3,2022-07-06,31.66,32.33,31.37,32.14,5346300,8045,260,10570,18873,2,0
22,JBSS3,2022-07-07,32.26,32.63,31.58,31.68,7683800,9760,257,12263,22278,2,0
23,JBSS3,2022-07-08,31.72,31.95,30.85,31.0,6803300,9753,225,8597,18572,3,0
24,JBSS3,2022-07-11,30.67,31.3,30.66,31.01,5635000,7996,193,8948,17135,2,0
25,JBSS3,2022-07-12,30.97,31.18,30.5,30.67,5953100,9944,187,10374,20503,2,0
26,JBSS3,2022-07-13,30.46,30.81,30.32,30.32,5018000,6621,223,9497,16338,3,0
27,JBSS3,2022-07-14,30.03,30.88,29.91,30.64,4996300,6903,253,7500,14650,6,0
28,JBSS3,2022-07-15,30.61,30.65,29.9,29.95,3019100,4422,165,5384,9965,6,0
29,JBSS3,2022-07-18,30.03,30.37,29.56,29.79,6133700,7867,258,9230,17351,4,0
