,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,JHSF3,2022-09-12,7.61,7.91,7.61,7.86,6044000,8863,103,5655,14620,1,0
1,JHSF3,2022-08-10,6.0,6.52,5.93,6.42,4251600,7848,120,3217,11182,3,0
2,JHSF3,2022-10-27,7.09,7.28,7.06,7.11,1862000,1934,69,2592,4595,0,0
3,JHSF3,2022-06-28,6.3,6.33,6.16,6.2,1744100,2252,195,3040,5404,83,0
4,JHSF3,2022-09-30,7.14,7.42,7.08,7.38,2805200,3664,97,1940,5701,0,0
5,JHSF3,2023-02-24,4.72,4.8,4.6,4.63,1349900,1721,46,1471,3238,0,0
6,JHSF3,2023-08-02,5.64,5.77,5.62,5.68,3501900,4025,49,2332,6406,0,0
7,JHSF3,2022-12-05,5.56,5.57,5.21,5.21,1626800,1459,96,2359,3914,0,0
8,JHSF3,2022-11-10,6.9,7.01,6.39,6.44,4125500,3225,68,6434,9727,0,0
9,JHSF3,2023-05-09,3.99,4.05,3.91,3.99,2072000,1737,61,2027,3825,0,0
10,JHSF3,2022-11-08,7.11,7.16,6.89,6.95,3146400,4041,82,3249,7372,0,0
11,JHSF3,2023-08-01,5.6,5.65,5.54,5.64,2241400,1406,50,2104,3560,0,0
12,JHSF3,2023-04-13,3.96,4.13,3.91,4.07,5587800,3693,83,2308,6084,0,0
13,JHSF3,2023-03-29,3.85,3.86,3.65,3.73,2882600,2526,73,4717,7316,0,0
14,JHSF3,2022-12-08,5.22,5.24,5.08,5.08,2463500,2647,64,4146,6857,0,0
15,JHSF3,2022-06-29,6.27,6.32,6.18,6.18,3168900,3694,222,4228,8020,124,0
16,JHSF3,2023-03-08,4.23,4.45,4.2,4.41,3987800,4788,61,2908,7757,0,0
17,JHSF3,2022-06-27,6.22,6.28,6.17,6.28,1489400,2401,235,3865,6370,131,0
18,JHSF3,2022-12-15,4.92,5.04,4.83,4.83,2570700,2068,66,2430,4563,1,0
19,JHSF3,2022-09-05,7.08,7.35,6.99,7.34,6047900,6065,166,7426,13657,0,0
20,JHSF3,2022-11-17,5.71,5.77,5.33,5.58,5448300,5619,83,6717,12418,1,0
21,JHSF3,2023-02-27,4.63,4.63,4.5,4.52,2304900,1481,48,1674,3203,0,0
22,JHSF3,2023-05-15,4.05,4.09,3.98,4.07,2223900,1893,56,2367,4316,0,0
23,JHSF3,2023-02-02,5.12,5.25,5.05,5.05,2503500,2347,47,2452,4846,0,0
