,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,JSLG3,2022-06-06,6.37,6.38,6.05,6.05,249400,524,35,632,1191,0,0
1,JSLG3,2022-06-07,6.06,6.13,5.94,6.05,209900,550,18,716,1284,0,0
2,JSLG3,2022-06-08,5.99,6.08,5.88,6.04,702800,568,26,658,1251,1,0
3,JSLG3,2022-06-09,5.99,6.12,5.92,6.02,399600,753,33,646,1431,1,0
4,JSLG3,2022-06-10,6.0,6.02,5.8,5.89,267000,691,46,583,1320,0,0
5,JSLG3,2022-06-13,5.77,5.79,5.42,5.48,516000,812,43,933,1788,0,0
6,JSLG3,2022-06-14,5.5,5.51,5.35,5.38,312200,738,26,1091,1855,0,0
7,JSLG3,2022-06-15,5.51,5.66,5.4,5.58,445200,799,13,731,1543,0,0
8,JSLG3,2022-06-17,5.43,5.52,5.32,5.43,207900,510,27,545,1082,0,0
9,JSLG3,2022-06-20,5.52,5.55,5.37,5.5,347600,576,26,542,1144,0,0
10,JSLG3,2022-06-21,5.51,5.57,5.28,5.39,332100,561,53,800,1414,0,0
11,JSLG3,2022-06-22,5.32,5.42,5.14,5.14,410800,719,47,1158,1924,0,0
12,JSLG3,2022-06-23,5.22,5.36,5.13,5.18,888800,778,30,1005,1812,1,0
13,JSLG3,2022-06-24,5.34,5.36,5.14,5.25,395700,615,37,943,1595,0,0
14,JSLG3,2022-06-27,5.26,5.34,5.2,5.28,413100,728,42,1195,1965,0,0
15,JSLG3,2022-06-28,5.29,5.31,5.0,5.03,460400,818,51,1114,1983,0,0
16,JSLG3,2022-06-29,5.11,5.16,4.95,5.16,569800,434,78,594,1104,2,0
17,JSLG3,2022-06-30,5.05,5.15,4.97,5.12,415400,786,47,692,1525,0,0
18,JSLG3,2022-07-01,5.09,5.09,4.93,4.94,385800,873,69,795,1737,0,0
19,JSLG3,2022-07-04,4.98,5.1,4.95,5.03,309500,671,43,786,1500,0,0
20,JSLG3,2022-07-05,4.99,4.99,4.78,4.91,474500,1468,117,1085,2586,84,0
21,JSLG3,2022-07-06,4.91,5.02,4.81,4.84,672800,1101,54,812,1966,1,0
22,JSLG3,2022-07-07,5.0,5.08,4.87,4.87,696900,1190,24,1805,3018,1,0
23,JSLG3,2022-07-08,4.95,4.99,4.8,4.87,590900,789,19,1244,2051,1,0
24,JSLG3,2022-07-11,4.85,4.87,4.6,4.6,604800,880,28,1396,2304,0,0
25,JSLG3,2022-07-12,4.6,4.6,4.43,4.5,1059800,1373,29,825,2226,1,0
26,JSLG3,2022-07-13,4.41,4.57,4.38,4.42,853600,1620,24,1967,3610,1,0
27,JSLG3,2022-07-14,4.46,4.59,4.4,4.5,880100,915,46,1187,2147,1,0
28,JSLG3,2022-07-15,4.59,4.65,4.48,4.6,254400,591,26,557,1174,0,0
29,JSLG3,2022-07-18,4.69,4.71,4.5,4.57,430900,863,50,1200,2113,0,0
30,JSLG3,2022-07-19,4.65,4.69,4.57,4.68,312200,642,21,696,1359,0,0
31,JSLG3,2022-07-20,4.67,4.85,4.58,4.85,370100,1283,36,661,1980,0,0
32,JSLG3,2022-07-21,4.89,4.97,4.74,4.95,1137600,1549,23,898,2469,1,0
33,JSLG3,2022-07-22,4.97,5.03,4.78,4.99,526600,957,81,697,1735,0,0
34,JSLG3,2022-07-25,5.04,5.04,4.87,4.93,342300,687,24,1005,1716,0,0
35,JSLG3,2022-07-26,4.98,5.03,4.64,4.67,389400,757,45,698,1500,0,0
36,JSLG3,2022-07-27,4.74,5.0,4.67,4.97,457500,720,28,632,1379,1,0
