,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,KEPL3,2022-06-06,20.13,20.34,19.0,19.31,620900,1502,77,1719,3298,0,0
1,KEPL3,2022-06-07,19.16,19.16,18.2,18.65,819800,1742,76,1815,3633,0,0
2,KEPL3,2022-06-08,18.39,18.72,18.31,18.47,522600,1112,52,1198,2362,0,0
3,KEPL3,2022-06-09,18.49,18.6,17.87,17.97,705000,1087,66,1109,2262,0,0
4,KEPL3,2022-06-10,17.85,17.85,17.3,17.4,696400,1565,86,1427,3078,0,0
5,KEPL3,2022-06-13,16.98,17.37,16.74,16.85,642100,1918,55,1731,3704,0,0
6,KEPL3,2022-06-14,17.07,17.07,16.67,17.0,417700,1417,63,862,2342,0,0
7,KEPL3,2022-06-15,17.07,17.49,16.85,17.42,581800,1719,273,922,2697,217,0
8,KEPL3,2022-06-17,17.03,17.03,16.02,16.34,899200,2170,261,1901,4154,178,0
9,KEPL3,2022-06-20,16.24,16.44,15.61,15.8,746400,2168,201,1715,3957,127,0
10,KEPL3,2022-06-21,15.99,16.08,15.01,15.2,1183000,2522,255,2436,5059,154,0
11,KEPL3,2022-06-22,14.95,15.29,14.67,15.29,1120500,2988,216,2741,5815,130,0
12,KEPL3,2022-06-23,15.32,15.44,14.64,14.9,897700,2651,85,2071,4807,0,0
13,KEPL3,2022-06-24,14.95,15.28,14.73,15.03,396600,999,71,951,2021,0,0
14,KEPL3,2022-06-27,15.13,15.36,14.64,15.19,492800,1198,82,897,2177,0,0
15,KEPL3,2022-06-28,15.35,15.55,15.04,15.27,625100,2046,57,1855,3958,0,0
16,KEPL3,2022-06-29,15.39,15.39,14.32,14.58,646700,1359,203,1961,3420,103,0
17,KEPL3,2022-06-30,14.48,14.7,14.05,14.6,1241300,2519,70,2981,5569,1,0
18,KEPL3,2022-07-01,14.71,15.08,14.52,15.03,1226400,2031,81,1970,4081,1,0
19,KEPL3,2022-07-04,14.89,15.08,14.44,14.62,522000,1456,50,1338,2844,0,0
20,KEPL3,2022-07-05,14.5,14.69,14.3,14.47,446300,1392,52,1774,3218,0,0
21,KEPL3,2022-07-06,14.44,14.8,14.3,14.52,376200,1207,63,992,2262,0,0
22,KEPL3,2022-07-07,14.69,15.12,14.51,14.81,832100,2044,55,1372,3471,0,0
23,KEPL3,2022-07-08,14.88,15.32,14.63,15.2,641400,1492,62,1316,2870,0,0
24,KEPL3,2022-07-11,15.05,15.71,14.87,15.4,989600,2215,73,1827,4114,1,0
25,KEPL3,2022-07-12,15.35,15.78,14.95,15.47,800200,1309,65,1051,2425,0,0
26,KEPL3,2022-07-13,15.37,15.97,15.12,15.79,667400,1284,56,862,2202,0,0
27,KEPL3,2022-07-14,15.51,15.79,15.09,15.55,659200,1725,59,967,2751,0,0
28,KEPL3,2022-07-15,15.59,16.08,15.5,15.9,620600,1270,65,1146,2481,0,0
29,KEPL3,2022-07-18,16.03,16.39,15.91,16.18,787500,1783,56,1548,3387,0,0
