,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,KLBN4,2022-06-06,4.32,4.33,4.27,4.29,195100,124,0,246,370,0,0
1,KLBN4,2022-06-07,4.3,4.35,4.27,4.3,350900,290,0,396,686,0,0
2,KLBN4,2022-06-08,4.31,4.31,4.18,4.24,459100,385,0,617,1002,0,0
3,KLBN4,2022-06-09,4.24,4.25,4.16,4.23,282800,270,0,328,598,0,0
4,KLBN4,2022-06-10,4.2,4.2,4.1,4.17,588700,476,15,643,1134,0,0
5,KLBN4,2022-06-13,4.13,4.16,4.07,4.16,455200,422,15,440,877,0,0
6,KLBN4,2022-06-14,4.15,4.17,4.01,4.05,602700,449,1,657,1107,0,0
7,KLBN4,2022-06-15,4.05,4.12,4.01,4.08,561600,357,0,814,1171,0,0
8,KLBN4,2022-06-17,4.09,4.09,3.92,4.02,1524900,1017,45,1716,2778,0,0
9,KLBN4,2022-06-20,4.0,4.06,3.96,4.01,607000,906,0,708,1614,0,0
10,KLBN4,2022-06-21,4.03,4.08,3.97,4.02,552900,338,0,633,971,0,0
11,KLBN4,2022-06-22,4.0,4.03,3.93,3.97,561900,423,7,698,1128,0,0
12,KLBN4,2022-06-23,4.0,4.0,3.85,3.89,1701400,786,0,1727,2513,0,0
13,KLBN4,2022-06-24,3.9,3.97,3.89,3.94,790700,606,0,637,1243,0,0
14,KLBN4,2022-06-27,3.98,4.05,3.96,4.01,564200,356,0,461,817,0,0
15,KLBN4,2022-06-28,4.01,4.05,3.96,4.01,708800,351,0,882,1233,0,0
16,KLBN4,2022-06-29,3.99,4.05,3.97,4.0,354000,332,8,387,727,0,0
17,KLBN4,2022-06-30,4.0,4.08,3.95,4.03,491800,423,0,428,851,0,0
18,KLBN4,2022-07-01,4.03,4.04,3.97,4.01,467500,327,3,420,750,0,0
19,KLBN4,2022-07-04,4.03,4.03,3.98,3.98,326800,328,15,344,687,0,0
20,KLBN4,2022-07-05,4.0,4.0,3.9,3.94,858000,492,9,908,1409,0,0
21,KLBN4,2022-07-06,3.96,3.97,3.89,3.95,518500,374,10,627,1011,0,0
22,KLBN4,2022-07-07,3.97,4.05,3.95,3.97,422300,326,4,405,735,0,0
23,KLBN4,2022-07-08,4.0,4.0,3.9,3.92,713200,469,11,699,1179,0,0
24,KLBN4,2022-07-11,3.92,3.93,3.86,3.86,867100,482,0,976,1458,0,0
25,KLBN4,2022-07-12,3.86,3.9,3.86,3.87,357200,340,0,277,617,0,0
26,KLBN4,2022-07-13,3.89,3.89,3.78,3.8,1518100,649,4,2506,3159,0,0
27,KLBN4,2022-07-14,3.81,3.81,3.7,3.74,1188600,996,10,1498,2504,0,0
28,KLBN4,2022-07-15,3.76,3.76,3.66,3.67,1145900,820,0,1748,2568,0,0
29,KLBN4,2022-07-18,3.72,3.74,3.63,3.65,1379000,886,16,1569,2471,0,0
