,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,KRSA3,2022-06-06,3.3,3.31,3.07,3.15,147400,147,15,385,547,0,0
1,KRSA3,2022-06-07,3.17,3.17,3.03,3.05,105700,137,22,294,453,0,0
2,KRSA3,2022-06-08,3.07,3.12,3.0,3.0,78400,108,19,177,304,0,0
3,KRSA3,2022-06-09,3.07,3.07,2.94,3.01,204000,304,12,390,706,0,0
4,KRSA3,2022-06-10,2.93,2.97,2.79,2.83,251100,208,21,414,643,0,0
5,KRSA3,2022-06-13,2.83,2.98,2.65,2.97,508000,1896,22,765,2683,0,0
6,KRSA3,2022-06-14,2.92,3.07,2.82,2.9,176100,336,13,640,989,0,0
7,KRSA3,2022-06-15,2.92,2.96,2.76,2.83,155000,178,31,459,668,0,0
8,KRSA3,2022-06-17,2.85,2.85,2.74,2.82,105000,142,18,262,422,0,0
9,KRSA3,2022-06-20,2.76,2.84,2.56,2.6,487500,198,14,303,515,0,0
10,KRSA3,2022-06-21,2.65,2.65,2.51,2.6,209600,370,0,379,749,0,0
11,KRSA3,2022-06-22,2.54,2.85,2.54,2.85,319600,804,11,227,1042,0,0
12,KRSA3,2022-06-23,2.93,2.99,2.74,2.85,57800,241,0,137,378,0,0
13,KRSA3,2022-06-24,2.85,3.04,2.75,3.0,166100,482,9,376,867,0,0
14,KRSA3,2022-06-27,3.0,3.24,2.91,3.22,147900,244,16,161,421,0,0
15,KRSA3,2022-06-28,3.25,3.48,3.2,3.35,468100,1714,10,638,2362,0,0
16,KRSA3,2022-06-29,3.45,3.6,3.35,3.4,251300,1303,13,583,1899,0,0
17,KRSA3,2022-06-30,3.4,3.6,3.4,3.6,1284100,3859,17,2559,6435,0,0
18,KRSA3,2022-07-01,3.6,3.66,3.45,3.47,48000,49,27,81,157,0,0
19,KRSA3,2022-07-04,3.4,3.4,3.26,3.32,184500,147,18,191,355,1,0
20,KRSA3,2022-07-05,3.25,3.29,3.15,3.18,35800,42,14,72,128,0,0
21,KRSA3,2022-07-06,3.2,3.29,3.13,3.16,186100,115,0,228,343,0,0
22,KRSA3,2022-07-07,3.2,3.24,3.12,3.13,159700,119,10,241,370,0,0
23,KRSA3,2022-07-08,3.23,3.26,3.09,3.09,54900,65,15,110,190,0,0
24,KRSA3,2022-07-11,3.07,3.12,3.05,3.05,54200,40,13,78,131,0,0
25,KRSA3,2022-07-12,3.01,3.2,2.91,3.0,100900,82,16,127,225,0,0
26,KRSA3,2022-07-13,3.01,3.04,2.9,3.0,47200,46,0,84,130,0,0
27,KRSA3,2022-07-14,2.93,3.24,2.91,3.24,66600,368,16,101,485,0,0
28,KRSA3,2022-07-15,3.15,3.43,3.11,3.27,81900,181,7,174,362,0,0
29,KRSA3,2022-07-18,3.36,3.36,3.16,3.16,20000,15,4,16,35,0,0
30,KRSA3,2022-07-19,3.16,3.21,3.02,3.1,167300,17,12,69,94,4,0
31,KRSA3,2022-07-20,3.09,3.2,2.97,3.05,255400,71,9,257,337,0,0
32,KRSA3,2022-07-21,3.01,3.16,3.0,3.06,181500,152,18,111,281,0,0
33,KRSA3,2022-07-22,3.15,3.15,3.06,3.11,11000,2,9,5,16,0,0
34,KRSA3,2022-07-25,3.25,3.25,2.95,2.96,69700,37,18,172,227,0,0
35,KRSA3,2022-07-26,2.96,3.04,2.91,2.94,53900,13,5,18,36,0,0
36,KRSA3,2022-07-27,3.0,3.08,2.6,2.9,214200,144,20,341,505,0,0
37,KRSA3,2022-07-28,2.9,3.06,2.85,3.06,60400,52,12,45,109,0,0
38,KRSA3,2022-07-29,3.1,3.1,2.8,2.84,553800,508,22,871,1401,0,0
39,KRSA3,2022-08-01,2.91,2.95,2.8,2.92,867700,61,16,75,152,0,0
40,KRSA3,2022-08-02,3.0,3.0,2.88,2.88,6300,8,7,7,22,0,0
41,KRSA3,2022-08-03,2.91,2.99,2.85,2.99,55700,87,8,45,140,0,0
42,KRSA3,2022-08-08,3.12,3.28,3.02,3.07,130400,152,14,111,277,0,0
43,KRSA3,2022-08-09,3.07,3.2,3.03,3.15,150700,182,0,146,328,0,0
44,KRSA3,2022-08-10,3.22,3.31,3.16,3.21,267300,92,11,158,261,0,0
45,KRSA3,2022-08-12,3.15,3.15,2.9,2.9,218200,66,10,103,179,0,0
46,KRSA3,2022-08-15,2.95,3.01,2.85,2.9,151800,207,13,132,352,0,0
47,KRSA3,2022-08-16,2.98,3.05,2.87,2.98,133100,156,17,119,292,0,0
48,KRSA3,2022-08-17,3.02,3.02,2.73,2.9,151600,226,14,215,455,0,0
49,KRSA3,2022-08-18,2.88,2.97,2.81,2.91,5600,10,7,12,29,0,0
50,KRSA3,2022-08-19,2.89,2.9,2.81,2.81,38000,35,11,44,90,0,0
51,KRSA3,2022-08-22,2.88,2.89,2.7,2.7,18200,25,18,45,88,0,0
52,KRSA3,2022-08-23,2.76,2.95,2.76,2.88,11900,16,7,27,50,0,0
53,KRSA3,2022-08-24,2.94,3.04,2.9,2.9,149700,68,20,133,221,0,0
54,KRSA3,2022-08-25,2.95,2.98,2.88,2.9,16600,30,10,26,66,0,0
55,KRSA3,2022-08-26,2.88,2.92,2.79,2.81,70900,27,20,30,77,0,0
56,KRSA3,2022-08-29,2.8,2.8,2.71,2.72,19000,16,9,37,62,0,0
57,KRSA3,2022-08-30,2.74,2.8,2.65,2.73,65400,81,10,66,157,0,0
58,KRSA3,2022-08-31,2.75,2.89,2.74,2.84,8800,16,8,7,31,0,0
59,KRSA3,2022-09-01,2.82,2.99,2.75,2.99,21200,83,8,16,107,0,0
60,KRSA3,2022-09-02,2.96,3.0,2.85,3.0,55600,68,7,54,129,0,0
61,KRSA3,2022-09-05,3.0,3.02,2.7,2.72,4939600,87,18,196,301,0,0
62,KRSA3,2022-09-06,2.73,2.75,2.63,2.66,218900,306,18,216,540,0,0
63,KRSA3,2022-09-08,2.65,2.69,2.46,2.6,269900,271,9,281,561,0,0
