,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,LAND3,2022-06-06,29.93,29.93,29.22,29.6,33400,67,0,38,105,0,0
1,LAND3,2022-06-07,29.79,29.79,29.19,29.49,6500,27,0,21,48,0,0
2,LAND3,2022-06-08,29.38,29.39,28.3,29.1,37400,106,0,90,196,0,0
3,LAND3,2022-06-09,28.88,29.1,28.65,29.05,293000,29,11,19,59,0,0
4,LAND3,2022-06-10,28.99,29.1,28.34,29.1,16300,49,0,50,99,0,0
5,LAND3,2022-06-13,28.81,28.99,28.14,28.8,30000,108,0,102,210,0,0
6,LAND3,2022-06-14,28.99,28.99,28.53,28.53,158800,43,1,11,54,1,0
7,LAND3,2022-06-15,28.62,29.15,28.31,28.31,25200,59,0,29,88,0,0
8,LAND3,2022-06-17,28.6,28.99,28.21,28.99,25700,67,0,32,99,0,0
9,LAND3,2022-06-20,28.79,28.85,28.34,28.72,11300,45,0,24,69,0,0
10,LAND3,2022-06-21,28.54,28.62,27.63,27.98,47600,157,0,119,276,0,0
11,LAND3,2022-06-22,27.61,27.64,25.54,26.81,79400,173,0,211,384,0,0
12,LAND3,2022-06-23,26.78,28.21,26.11,27.1,54500,138,9,97,244,0,0
13,LAND3,2022-06-24,27.35,27.5,26.82,27.49,34800,55,0,23,78,0,0
14,LAND3,2022-06-27,27.51,29.74,27.51,29.74,45800,151,0,40,191,0,0
15,LAND3,2022-06-28,29.61,31.0,29.44,29.95,32400,78,0,38,116,0,0
16,LAND3,2022-06-29,30.0,30.79,29.65,29.65,19800,45,5,24,74,0,0
17,LAND3,2022-06-30,30.45,30.45,29.7,30.24,26600,72,29,40,141,0,0
18,LAND3,2022-07-01,29.9,29.94,28.79,29.43,19200,54,0,42,96,0,0
19,LAND3,2022-07-04,29.75,29.75,28.5,28.95,14800,33,0,42,75,0,0
20,LAND3,2022-07-05,29.44,29.44,28.61,28.65,17200,58,13,34,105,0,0
21,LAND3,2022-07-06,28.7,28.9,27.12,28.18,68500,121,17,216,354,0,0
22,LAND3,2022-07-07,28.01,29.52,27.89,28.45,46400,165,0,98,263,0,0
23,LAND3,2022-07-08,28.41,28.45,27.16,28.45,31000,89,0,92,181,0,0
24,LAND3,2022-07-11,28.11,28.34,27.99,28.07,14400,41,0,42,83,0,0
25,LAND3,2022-07-12,28.39,28.39,27.73,28.14,13500,27,0,45,72,0,0
26,LAND3,2022-07-13,28.13,28.15,27.72,28.15,107400,23,0,19,42,0,0
27,LAND3,2022-07-14,28.37,28.37,27.25,27.35,28300,76,0,70,146,0,0
28,LAND3,2022-07-15,27.36,28.15,27.32,28.15,267100,28,8,24,58,2,0
29,LAND3,2022-07-18,28.15,28.15,26.96,26.96,19700,53,0,58,111,0,0
30,LAND3,2022-07-19,27.2,27.65,26.7,26.71,60800,77,0,70,147,0,0
31,LAND3,2022-07-20,26.56,26.79,26.26,26.7,20500,70,9,51,130,0,0
32,LAND3,2022-07-21,26.98,26.98,26.0,26.21,28800,31,18,162,211,0,0
33,LAND3,2022-07-22,26.01,26.45,21.69,25.99,143500,415,9,339,763,0,0
34,LAND3,2022-07-25,25.71,25.99,25.4,25.97,9700,42,0,38,80,0,0
35,LAND3,2022-07-26,25.94,27.3,25.42,27.3,65800,115,0,149,264,0,0
36,LAND3,2022-07-27,27.3,28.0,26.96,27.6,29100,38,7,73,118,0,0
37,LAND3,2022-07-28,27.64,28.42,27.63,28.15,23100,53,0,60,113,0,0
38,LAND3,2022-07-29,28.14,28.27,27.9,28.27,15800,40,8,35,83,0,0
39,LAND3,2022-08-01,28.26,28.27,27.34,27.88,19000,40,0,65,105,0,0
40,LAND3,2022-08-02,27.75,27.86,27.14,27.49,11200,28,0,49,77,0,0
41,LAND3,2022-08-03,27.5,28.0,27.34,27.69,8200,23,0,19,42,0,0
42,LAND3,2022-08-08,28.26,28.26,27.31,27.31,15800,44,0,29,73,0,0
43,LAND3,2022-08-09,27.36,27.87,26.78,27.81,16100,57,0,56,113,0,0
44,LAND3,2022-08-10,28.17,28.72,27.73,27.95,17400,46,0,56,102,0,0
45,LAND3,2022-08-12,27.88,28.1,26.98,26.98,36600,101,0,83,184,0,0
46,LAND3,2022-08-15,27.27,28.12,27.13,28.1,22200,76,0,74,150,0,0
47,LAND3,2022-08-16,28.11,28.54,27.07,27.84,41600,89,0,196,285,0,0
48,LAND3,2022-08-17,28.07,28.23,27.16,28.15,62000,158,4,158,320,0,0
49,LAND3,2022-08-18,28.47,28.47,27.32,27.5,23500,72,0,87,159,0,0
50,LAND3,2022-08-19,27.49,27.49,26.62,27.24,27900,84,0,135,219,0,0
51,LAND3,2022-08-22,26.92,28.0,26.71,28.0,24400,80,0,66,146,0,0
52,LAND3,2022-08-23,28.0,28.02,27.53,28.02,23400,84,0,64,148,0,0
53,LAND3,2022-08-24,27.71,28.09,26.9,27.12,22700,63,0,70,133,0,0
54,LAND3,2022-08-25,27.12,27.29,26.26,26.8,38900,97,17,104,218,0,0
55,LAND3,2022-08-26,26.61,27.2,26.05,27.0,45300,127,0,145,272,0,0
56,LAND3,2022-08-29,27.17,27.92,27.13,27.25,223800,44,19,41,104,0,0
57,LAND3,2022-08-30,27.48,27.5,27.02,27.25,22000,78,0,78,156,0,0
58,LAND3,2022-08-31,27.03,27.34,26.93,27.0,49100,119,12,86,217,0,0
59,LAND3,2022-09-01,26.93,26.93,26.4,26.82,16400,48,8,45,101,0,0
60,LAND3,2022-09-02,27.42,27.42,26.72,26.92,2000,8,0,9,17,0,0
61,LAND3,2022-09-05,26.77,27.51,26.77,27.5,18300,87,0,14,101,0,0
62,LAND3,2022-09-06,27.42,27.5,26.77,27.48,17300,64,0,29,93,0,0
63,LAND3,2022-09-08,27.48,27.92,26.95,27.22,131400,84,10,40,134,0,0
64,LAND3,2022-09-09,26.99,27.5,26.95,27.5,5600,14,0,23,37,0,0
