,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,LAVV3,2022-06-06,5.21,5.23,5.06,5.12,989800,2515,17,1937,4468,1,0
1,LAVV3,2022-06-07,5.09,5.09,4.89,4.97,1728400,4485,23,2932,7440,0,0
2,LAVV3,2022-06-08,4.95,5.02,4.86,4.87,3751600,881,39,1558,2478,0,0
3,LAVV3,2022-06-09,4.9,5.02,4.9,4.94,481300,791,31,1157,1979,0,0
4,LAVV3,2022-06-10,4.94,4.94,4.74,4.85,922200,1498,44,1504,3046,0,0
5,LAVV3,2022-06-13,4.85,4.85,4.67,4.74,1472600,1503,41,1731,3273,2,0
6,LAVV3,2022-06-14,4.75,4.8,4.64,4.69,1897600,843,37,1161,2038,3,0
7,LAVV3,2022-06-15,4.72,4.8,4.65,4.8,830200,1097,56,1394,2547,0,0
8,LAVV3,2022-06-17,4.73,4.73,4.64,4.66,944100,1111,33,1645,2788,1,0
9,LAVV3,2022-06-20,4.71,4.71,4.56,4.63,2951400,740,22,808,1570,0,0
10,LAVV3,2022-06-21,4.69,4.71,4.56,4.57,562800,1210,75,1128,2367,46,0
11,LAVV3,2022-06-22,4.54,4.64,4.51,4.55,444900,918,24,684,1626,0,0
12,LAVV3,2022-06-23,4.59,4.63,4.53,4.6,374600,1060,37,793,1889,1,0
13,LAVV3,2022-06-24,4.6,4.65,4.55,4.6,324400,831,26,861,1718,0,0
14,LAVV3,2022-06-27,4.64,4.65,4.54,4.59,284200,768,32,595,1395,0,0
15,LAVV3,2022-06-28,4.65,4.69,4.58,4.67,439100,1305,31,840,2176,0,0
16,LAVV3,2022-06-29,4.67,4.71,4.55,4.65,736600,1635,43,712,2389,1,0
17,LAVV3,2022-06-30,4.65,4.66,4.55,4.65,845800,1644,149,1655,3337,111,0
18,LAVV3,2022-07-01,4.65,4.7,4.56,4.66,602300,1931,24,959,2914,0,0
19,LAVV3,2022-07-04,4.61,4.68,4.53,4.53,502300,795,33,917,1745,0,0
20,LAVV3,2022-07-05,4.55,4.55,4.41,4.52,723300,1342,53,1343,2738,0,0
21,LAVV3,2022-07-06,4.53,4.59,4.43,4.52,669200,2049,25,1205,3278,1,0
22,LAVV3,2022-07-07,4.56,4.64,4.52,4.54,906300,2787,34,2085,4906,0,0
23,LAVV3,2022-07-08,4.54,4.6,4.48,4.51,660600,2448,26,1999,4473,0,0
24,LAVV3,2022-07-11,4.47,4.51,4.33,4.35,766400,1157,48,1304,2508,1,0
25,LAVV3,2022-07-12,4.36,4.43,4.31,4.35,639100,1230,40,1443,2713,0,0
26,LAVV3,2022-07-13,4.4,4.4,4.32,4.33,733600,1027,31,1147,2205,0,0
27,LAVV3,2022-07-14,4.33,4.34,4.22,4.3,464500,899,23,946,1868,0,0
28,LAVV3,2022-07-15,4.36,4.43,4.25,4.38,774900,2415,33,890,3338,0,0
29,LAVV3,2022-07-18,4.45,4.49,4.35,4.38,477200,1148,28,855,2029,2,0
30,LAVV3,2022-07-19,4.38,4.47,4.36,4.47,312500,728,16,792,1536,0,0
31,LAVV3,2022-07-20,4.45,4.6,4.41,4.56,641600,1314,39,629,1982,0,0
32,LAVV3,2022-07-21,4.55,4.75,4.52,4.71,932900,1426,31,844,2298,3,0
33,LAVV3,2022-07-22,4.75,4.76,4.57,4.6,503100,720,38,1250,2008,0,0
34,LAVV3,2022-07-25,4.58,4.63,4.42,4.44,949400,879,56,1266,2201,0,0
35,LAVV3,2022-07-26,4.46,4.47,4.38,4.41,574300,823,23,1279,2125,0,0
36,LAVV3,2022-07-27,4.45,4.62,4.4,4.62,814500,1533,80,1268,2880,1,0
37,LAVV3,2022-07-28,4.59,4.88,4.59,4.88,1963800,1932,46,828,2803,3,0
38,LAVV3,2022-07-29,4.9,4.91,4.81,4.83,644000,1133,37,636,1805,1,0
39,LAVV3,2022-08-01,4.86,4.98,4.83,4.89,1645800,4628,61,2668,7357,0,0
40,LAVV3,2022-08-02,4.89,4.95,4.86,4.9,377800,563,23,871,1456,1,0
41,LAVV3,2022-08-03,4.92,5.17,4.92,5.1,932300,1588,24,1265,2877,0,0
42,LAVV3,2022-08-08,5.62,5.69,5.56,5.59,1753000,2139,31,1608,3777,1,0
43,LAVV3,2022-08-09,5.61,5.71,5.52,5.55,791400,1351,27,1224,2602,0,0
44,LAVV3,2022-08-10,5.6,5.88,5.6,5.76,1500400,3199,49,1544,4790,2,0
45,LAVV3,2022-08-12,5.36,5.59,5.31,5.36,902600,1530,43,1839,3412,0,0
46,LAVV3,2022-08-15,5.36,5.53,5.31,5.46,946900,1813,38,1467,3318,0,0
47,LAVV3,2022-08-16,5.48,5.49,5.37,5.38,510200,848,33,745,1626,0,0
48,LAVV3,2022-08-17,5.4,5.54,5.35,5.47,748900,940,26,959,1925,0,0
49,LAVV3,2022-08-18,5.56,5.62,5.38,5.41,703400,907,36,1015,1958,0,0
50,LAVV3,2022-08-19,5.4,5.4,5.14,5.15,738600,993,27,1636,2656,0,0
51,LAVV3,2022-08-22,5.14,5.14,4.99,4.99,608000,617,58,1113,1788,0,0
52,LAVV3,2022-08-23,5.0,5.14,4.97,5.06,647800,885,17,1202,2104,0,0
53,LAVV3,2022-08-24,5.11,5.23,5.04,5.23,1227700,1297,37,1290,2624,0,0
54,LAVV3,2022-08-25,5.24,5.31,5.19,5.25,616600,945,24,943,1912,0,0
55,LAVV3,2022-08-26,5.57,5.77,5.55,5.62,1088200,1470,56,1150,2676,0,0
56,LAVV3,2022-08-29,5.8,6.04,5.66,5.93,2473800,4528,43,2535,7106,0,0
57,LAVV3,2022-08-30,5.94,6.03,5.83,5.98,3144500,2221,64,2152,4436,1,0
58,LAVV3,2022-08-31,5.66,5.79,5.51,5.67,1461600,1293,55,1043,2391,0,0
59,LAVV3,2022-09-01,5.72,5.9,5.54,5.8,1882900,3542,77,3922,7541,0,0
60,LAVV3,2022-09-02,5.88,5.92,5.52,5.59,2390300,1661,109,2102,3871,1,0
61,LAVV3,2022-09-05,5.56,5.63,5.47,5.53,915700,2455,92,1827,4374,0,0
62,LAVV3,2022-09-06,5.54,5.55,5.33,5.33,739800,867,76,1540,2483,0,0
63,LAVV3,2022-09-08,5.38,5.5,5.35,5.38,944000,1703,34,2419,4156,0,0
64,LAVV3,2022-09-09,5.44,5.59,5.41,5.49,599500,1289,27,1496,2812,0,0
65,LAVV3,2022-09-12,5.58,5.7,5.5,5.53,716300,1153,48,1827,3028,0,0
66,LAVV3,2022-09-13,5.58,5.58,5.4,5.48,532800,894,28,1440,2361,1,0
67,LAVV3,2022-09-14,5.54,5.57,5.44,5.52,584200,684,27,944,1655,0,0
68,LAVV3,2022-09-15,5.52,5.56,5.4,5.46,571300,1165,30,1843,3038,0,0
69,LAVV3,2022-09-16,5.46,5.46,5.3,5.36,1353200,2461,41,3262,5764,0,0
70,LAVV3,2022-09-19,5.35,5.43,5.31,5.32,487200,1025,42,1293,2360,0,0
71,LAVV3,2022-09-20,5.39,5.4,5.25,5.4,766600,2791,67,1368,4226,0,0
72,LAVV3,2022-09-21,5.39,5.39,5.09,5.27,1531100,1821,60,3290,5171,0,0
73,LAVV3,2022-09-22,5.31,5.68,5.31,5.52,1453400,1761,55,1126,2942,0,0
74,LAVV3,2022-09-23,5.54,5.72,5.5,5.64,704100,1067,42,1164,2273,0,0
75,LAVV3,2022-09-27,5.68,5.84,5.59,5.61,843900,1229,28,2035,3292,0,0
76,LAVV3,2022-09-28,5.6,5.86,5.55,5.83,1500600,1118,33,867,2017,1,0
77,LAVV3,2022-09-29,5.79,5.88,5.73,5.85,869000,969,35,1128,2132,0,0
78,LAVV3,2022-09-30,5.81,6.08,5.74,6.0,1047100,1963,37,1332,3332,0,0
79,LAVV3,2022-10-03,6.1,6.7,6.1,6.56,2497300,5067,52,3016,8135,0,0
80,LAVV3,2022-10-04,6.57,6.66,6.34,6.41,1226100,1752,35,2502,4289,0,0
81,LAVV3,2022-10-05,6.45,6.64,6.35,6.48,1094000,1445,39,2176,3660,0,0
82,LAVV3,2022-10-06,6.52,6.6,6.42,6.55,882200,1693,32,2263,3988,0,0
83,LAVV3,2022-10-07,6.54,6.59,6.42,6.5,865400,1537,29,2428,3994,0,0
84,LAVV3,2022-10-10,6.51,6.55,6.42,6.53,435100,878,49,906,1833,0,0
85,LAVV3,2022-10-11,6.5,6.54,6.41,6.41,370600,657,33,848,1538,0,0
86,LAVV3,2022-10-13,6.36,6.5,6.28,6.31,434700,701,56,845,1602,0,0
87,LAVV3,2022-10-14,6.44,6.44,6.12,6.15,552200,916,45,1186,2147,0,0
88,LAVV3,2022-10-17,6.23,6.35,6.16,6.16,448000,1129,38,818,1985,0,0
89,LAVV3,2022-10-18,6.23,6.26,6.05,6.14,395800,1138,21,927,2086,0,0
90,LAVV3,2022-10-19,6.14,6.19,5.98,6.12,1365400,2742,86,4612,7440,0,0
91,LAVV3,2022-10-20,6.16,6.16,5.85,5.92,798500,1272,47,2073,3392,0,0
92,LAVV3,2022-10-21,5.91,6.08,5.81,6.04,517200,1316,36,1086,2438,0,0
93,LAVV3,2022-10-24,5.94,6.03,5.91,5.95,695300,1641,48,1667,3356,0,0
94,LAVV3,2022-10-25,6.01,6.07,5.89,5.92,475800,1113,34,1747,2894,0,0
95,LAVV3,2022-10-26,5.92,5.92,5.63,5.63,766800,867,56,2061,2984,0,0
