,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,LEVE3,2022-06-06,26.79,26.82,25.72,26.18,287300,452,60,1383,1867,0,28
1,LEVE3,2022-06-07,26.09,26.09,24.97,25.3,346100,715,77,1672,2436,0,28
2,LEVE3,2022-06-08,24.9,25.48,24.6,24.71,387700,686,99,1376,2114,1,46
3,LEVE3,2022-06-09,24.71,25.11,24.5,24.78,222300,358,93,935,1342,1,43
4,LEVE3,2022-06-10,24.41,24.79,24.07,24.36,249000,640,81,1031,1712,0,40
5,LEVE3,2022-06-13,24.01,24.29,23.53,23.95,342800,901,100,1200,2160,0,41
6,LEVE3,2022-06-14,23.95,24.04,23.14,23.69,298800,917,91,1014,1976,0,46
7,LEVE3,2022-06-15,24.29,24.39,23.49,23.89,250400,561,105,929,1544,0,51
8,LEVE3,2022-06-17,23.37,23.63,22.9,23.54,232500,514,110,856,1434,0,46
9,LEVE3,2022-06-20,23.31,23.54,23.02,23.07,185800,549,58,665,1240,0,32
10,LEVE3,2022-06-21,23.16,23.4,22.94,23.19,115300,258,74,439,734,0,37
11,LEVE3,2022-06-22,23.08,23.68,22.92,23.55,190800,584,57,609,1220,0,30
12,LEVE3,2022-06-23,23.47,23.64,23.03,23.3,112300,345,58,334,715,0,22
13,LEVE3,2022-06-24,23.38,23.84,23.09,23.44,192100,506,73,820,1373,0,26
14,LEVE3,2022-06-27,23.46,24.14,23.27,23.81,162100,671,60,522,1227,0,26
15,LEVE3,2022-06-28,24.1,25.01,23.44,23.85,246300,709,94,897,1643,0,57
16,LEVE3,2022-06-29,23.95,23.95,23.2,23.51,122600,280,87,456,788,0,35
17,LEVE3,2022-06-30,23.0,23.56,22.51,22.94,248800,840,103,544,1437,0,50
18,LEVE3,2022-07-01,23.29,24.23,22.45,24.02,395800,1377,108,1195,2609,0,71
19,LEVE3,2022-07-04,23.62,24.05,22.96,23.3,321400,1129,94,599,1781,0,41
20,LEVE3,2022-07-05,23.39,23.39,22.37,22.6,371700,1043,99,1204,2293,0,53
21,LEVE3,2022-07-06,22.7,23.84,22.47,23.14,177500,657,65,531,1225,0,28
22,LEVE3,2022-07-07,23.26,23.56,23.0,23.25,244400,897,84,717,1657,0,41
23,LEVE3,2022-07-08,23.34,23.71,22.65,22.65,201900,448,77,844,1335,0,34
24,LEVE3,2022-07-11,22.64,23.42,22.0,22.8,304300,957,82,845,1830,0,54
25,LEVE3,2022-07-12,22.69,23.14,22.44,23.07,153700,532,53,474,1030,0,29
26,LEVE3,2022-07-13,22.83,23.56,22.79,23.07,142700,503,62,448,983,0,30
27,LEVE3,2022-07-14,23.09,23.11,22.5,22.75,128600,497,67,354,886,0,32
28,LEVE3,2022-07-15,22.91,23.27,22.6,23.01,150700,597,72,363,995,0,37
29,LEVE3,2022-07-18,23.2,23.51,22.64,22.9,108200,454,71,306,788,0,43
30,LEVE3,2022-07-19,22.89,23.3,22.68,23.01,173000,712,63,422,1166,0,31
31,LEVE3,2022-07-20,22.95,23.66,22.95,23.42,174100,514,63,481,1019,0,39
32,LEVE3,2022-07-21,23.5,23.98,23.5,23.9,154800,390,57,583,999,0,31
33,LEVE3,2022-07-22,24.0,24.21,23.25,23.53,127700,277,58,446,758,0,23
34,LEVE3,2022-07-25,23.53,23.6,23.12,23.28,126300,298,49,489,814,0,22
35,LEVE3,2022-07-26,23.33,23.71,23.0,23.23,134500,292,75,447,774,0,40
36,LEVE3,2022-07-27,23.3,23.71,23.23,23.5,142400,362,56,543,932,0,29
37,LEVE3,2022-07-28,23.5,23.85,23.25,23.35,114300,299,69,334,676,0,26
38,LEVE3,2022-07-29,23.54,24.4,23.42,23.96,243600,739,58,779,1546,0,30
39,LEVE3,2022-08-01,24.2,24.2,23.05,23.28,317900,878,94,1536,2470,0,38
40,LEVE3,2022-08-02,23.19,23.64,23.01,23.45,160300,430,69,599,1071,0,27
41,LEVE3,2022-08-03,23.32,23.5,23.08,23.39,157300,535,83,597,1185,0,30
42,LEVE3,2022-08-08,24.56,25.32,23.99,25.2,169100,606,92,402,1055,0,45
43,LEVE3,2022-08-09,25.31,25.53,24.66,25.23,133900,473,56,394,894,0,29
44,LEVE3,2022-08-10,25.52,25.88,25.08,25.61,219200,798,74,589,1418,0,43
45,LEVE3,2022-08-12,25.08,25.71,24.84,25.71,199000,586,78,532,1165,0,31
46,LEVE3,2022-08-15,25.6,26.2,25.25,25.75,287400,912,101,1082,2039,0,56
47,LEVE3,2022-08-16,26.0,26.2,25.6,26.2,170700,523,75,671,1223,0,46
48,LEVE3,2022-08-17,25.96,26.41,25.64,26.01,286600,1195,72,766,1998,0,35
