,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,LIGT3,2022-06-06,8.55,8.63,8.27,8.31,2131100,3243,55,2851,6149,0,0
1,LIGT3,2022-06-07,8.27,8.3,7.93,7.96,2489400,4517,81,3680,8278,0,0
2,LIGT3,2022-06-08,7.91,8.14,7.76,8.02,2055200,4356,61,3713,8130,0,0
3,LIGT3,2022-06-09,8.0,8.22,7.92,7.99,2229600,4281,74,2812,7167,0,0
4,LIGT3,2022-06-10,7.9,7.92,7.62,7.66,3360100,4502,93,3278,7849,24,0
5,LIGT3,2022-06-13,7.47,7.84,7.42,7.71,3528600,6963,126,3994,11083,0,0
6,LIGT3,2022-06-14,7.75,7.95,7.69,7.72,3155900,5245,74,3388,8707,0,0
7,LIGT3,2022-06-15,7.83,8.05,7.78,7.91,1911400,3320,94,2832,6246,0,0
8,LIGT3,2022-06-17,7.81,8.0,7.71,7.95,1830100,2328,228,2106,4558,104,0
9,LIGT3,2022-06-20,7.96,8.12,7.71,7.81,1759300,2137,61,2636,4834,0,0
10,LIGT3,2022-06-21,7.8,7.9,7.52,7.59,2459000,2892,58,2948,5898,0,0
11,LIGT3,2022-06-22,7.5,7.69,7.46,7.59,2113200,3315,61,3062,6438,0,0
12,LIGT3,2022-06-23,7.63,7.71,7.5,7.55,2199300,2983,59,2852,5894,0,0
13,LIGT3,2022-06-24,7.65,7.78,7.51,7.67,1650900,2459,43,2552,5054,0,0
14,LIGT3,2022-06-27,7.68,7.75,7.53,7.56,1586000,2296,51,3340,5687,0,0
15,LIGT3,2022-06-28,7.6,7.68,7.22,7.25,1986000,1971,57,3513,5541,0,0
16,LIGT3,2022-06-29,7.25,7.25,6.81,6.83,2929300,3548,64,3511,7123,0,0
17,LIGT3,2022-06-30,6.66,6.68,5.75,5.81,12690400,9254,211,12994,22459,0,0
18,LIGT3,2022-07-01,5.88,5.89,5.32,5.4,12114500,9895,264,11582,21740,1,0
19,LIGT3,2022-07-04,5.4,5.69,5.34,5.56,4009600,3083,102,3863,7048,0,0
20,LIGT3,2022-07-05,5.54,5.56,5.08,5.26,5791600,4895,73,6243,11211,0,0
21,LIGT3,2022-07-06,5.2,5.28,5.0,5.14,5516300,5833,94,6034,11961,0,0
22,LIGT3,2022-07-07,5.26,5.65,5.14,5.57,6045900,7618,84,6429,14131,0,0
23,LIGT3,2022-07-08,5.56,5.73,5.38,5.59,4732200,6311,66,5835,12212,0,0
24,LIGT3,2022-07-11,5.54,5.61,5.32,5.45,3405900,4165,83,4839,9087,0,0
25,LIGT3,2022-07-12,5.42,5.44,5.26,5.29,3080500,3738,57,3850,7645,0,0
26,LIGT3,2022-07-13,5.43,6.07,5.41,5.92,11250600,10929,82,9927,20938,0,0
27,LIGT3,2022-07-14,5.8,5.84,5.55,5.73,5009500,7064,65,5209,12337,1,0
28,LIGT3,2022-07-15,5.74,5.82,5.53,5.7,4278000,4711,76,5501,10288,0,0
29,LIGT3,2022-07-18,5.78,5.94,5.59,5.6,2548000,3222,51,3979,7252,0,0
30,LIGT3,2022-07-19,5.65,5.68,5.45,5.48,2172100,2836,69,2313,5218,0,0
31,LIGT3,2022-07-20,5.44,5.78,5.43,5.76,3283700,4897,61,3862,8820,0,0
32,LIGT3,2022-07-21,5.75,5.89,5.64,5.71,2271300,2261,66,2760,5087,0,0
33,LIGT3,2022-07-22,5.73,5.75,5.58,5.62,1710500,2378,48,2081,4507,0,0
34,LIGT3,2022-07-25,5.66,5.69,5.33,5.34,4439300,4935,65,4285,9285,0,0
35,LIGT3,2022-07-26,5.37,5.39,5.15,5.25,4265800,4101,50,4174,8325,0,0
36,LIGT3,2022-07-27,5.27,5.41,5.2,5.36,3132400,3183,53,2989,6225,0,0
37,LIGT3,2022-07-28,5.35,5.59,5.33,5.55,3039400,3039,66,3426,6531,0,0
38,LIGT3,2022-07-29,5.58,5.62,5.33,5.34,3715900,3031,69,3545,6645,0,0
39,LIGT3,2022-08-01,5.37,5.56,5.3,5.49,3141900,3757,64,4065,7886,0,0
40,LIGT3,2022-08-02,5.5,5.57,5.43,5.54,3760200,5551,40,3664,9255,0,0
41,LIGT3,2022-08-03,5.54,5.67,5.41,5.53,2507800,2287,59,2617,4963,0,0
42,LIGT3,2022-08-08,6.11,6.89,6.03,6.65,8531900,7621,80,6436,14137,0,0
43,LIGT3,2022-08-09,6.67,6.68,5.92,5.97,7206900,6887,130,6119,13135,1,0
44,LIGT3,2022-08-10,6.07,6.23,5.97,6.13,6295400,6301,80,6387,12766,2,0
45,LIGT3,2022-08-12,5.8,6.46,5.8,6.34,7533700,9338,90,8190,17615,3,0
46,LIGT3,2022-08-15,6.29,6.63,6.1,6.5,5615500,6267,89,6581,12937,0,0
47,LIGT3,2022-08-16,6.56,6.66,6.37,6.43,2542200,2828,79,4097,7004,0,0
48,LIGT3,2022-08-17,6.37,6.59,6.37,6.54,2062300,3273,64,3850,7187,0,0
49,LIGT3,2022-08-18,6.57,6.57,6.27,6.4,4013300,3439,86,4602,8127,0,0
50,LIGT3,2022-08-19,6.35,6.36,6.07,6.13,2598200,1995,59,3128,5181,1,0
51,LIGT3,2022-08-22,6.05,6.09,5.86,5.99,2730400,2615,59,3921,6595,0,0
52,LIGT3,2022-08-23,6.03,6.08,5.95,6.06,2607200,3259,59,3667,6985,0,0
53,LIGT3,2022-08-24,6.01,6.25,6.0,6.24,2690700,2409,66,2962,5437,0,0
54,LIGT3,2022-08-25,6.28,6.38,6.02,6.1,2931900,3171,79,4070,7319,1,0
55,LIGT3,2022-08-26,6.13,6.18,5.81,5.91,3115000,2839,70,3363,6272,0,0
56,LIGT3,2022-08-29,5.78,5.98,5.71,5.87,3395200,3432,71,5173,8676,0,0
57,LIGT3,2022-08-30,5.87,5.96,5.63,5.77,3576600,3301,53,3624,6978,0,0
58,LIGT3,2022-08-31,5.76,5.89,5.6,5.65,4088200,2913,61,3641,6615,0,0
59,LIGT3,2022-09-01,5.65,5.74,5.52,5.74,3347200,4345,45,4114,8504,0,0
60,LIGT3,2022-09-02,5.78,5.95,5.69,5.85,2234600,2623,61,2032,4716,0,0
61,LIGT3,2022-09-05,5.86,5.92,5.74,5.83,1407200,1217,43,1457,2717,0,0
62,LIGT3,2022-09-06,5.8,5.81,5.62,5.75,3071800,1953,57,2584,4594,0,0
63,LIGT3,2022-09-08,5.77,5.84,5.62,5.8,4147800,3530,60,3878,7467,1,0
