,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,LJQQ3,2022-06-06,8.36,8.36,7.73,7.84,2940200,2145,62,4591,6797,1,0
1,LJQQ3,2022-06-07,7.64,7.7,7.35,7.44,2905100,3072,91,3861,7024,0,0
2,LJQQ3,2022-06-08,7.43,7.77,7.27,7.74,5173600,4258,40,4637,8933,2,0
3,LJQQ3,2022-06-09,7.69,7.99,7.54,7.72,2446400,3221,47,3319,6584,3,0
4,LJQQ3,2022-06-10,7.65,7.84,7.42,7.7,2751000,2340,39,4622,7001,0,0
5,LJQQ3,2022-06-13,7.58,7.58,7.01,7.06,3410500,3035,56,5094,8185,0,0
6,LJQQ3,2022-06-14,7.06,7.23,6.92,7.22,2768900,3587,42,5239,8868,0,0
7,LJQQ3,2022-06-15,7.3,7.54,7.23,7.45,1995400,3387,32,3510,6929,0,0
8,LJQQ3,2022-06-17,7.3,7.35,7.06,7.07,3923900,3869,57,5994,9920,0,0
9,LJQQ3,2022-06-20,7.18,7.22,6.88,6.91,2411800,2802,42,3015,5858,1,0
10,LJQQ3,2022-06-21,7.0,7.11,6.71,6.81,3090100,2767,1052,4415,7252,982,0
11,LJQQ3,2022-06-22,6.6,6.77,6.47,6.47,2140100,2863,43,3238,6144,0,0
12,LJQQ3,2022-06-23,6.5,6.71,6.38,6.55,2418100,3711,63,3710,7484,0,0
13,LJQQ3,2022-06-24,6.51,6.51,6.17,6.25,3852300,2859,82,4071,7008,4,0
14,LJQQ3,2022-06-27,6.29,6.44,6.02,6.02,1698100,1757,59,2704,4520,0,0
15,LJQQ3,2022-06-28,6.07,6.11,5.81,5.83,1851900,2111,47,3342,5500,0,0
16,LJQQ3,2022-06-29,5.85,5.96,5.74,5.74,2314300,2278,47,2361,4686,0,0
17,LJQQ3,2022-06-30,5.69,5.91,5.6,5.69,2561400,2306,58,3189,5553,0,0
18,LJQQ3,2022-07-01,5.67,5.92,5.55,5.83,1995400,2999,62,2537,5597,1,0
19,LJQQ3,2022-07-04,5.82,6.01,5.69,5.7,1429100,1767,53,3059,4879,0,0
20,LJQQ3,2022-07-05,5.65,5.99,5.64,5.74,5059000,3342,84,3653,7078,1,0
21,LJQQ3,2022-07-06,5.73,6.13,5.73,6.02,5536200,5021,57,4539,9614,3,0
22,LJQQ3,2022-07-07,6.18,6.27,5.87,5.87,5947500,4530,83,4263,8875,1,0
23,LJQQ3,2022-07-08,5.87,6.07,5.77,5.87,6777000,3976,176,3261,7413,0,0
24,LJQQ3,2022-07-11,5.86,5.86,5.37,5.42,4216700,2793,981,4172,7055,891,0
25,LJQQ3,2022-07-12,5.4,5.62,5.28,5.51,4504900,3190,62,3337,6585,4,0
26,LJQQ3,2022-07-13,5.42,5.71,5.25,5.54,5576800,4245,66,4538,8845,4,0
27,LJQQ3,2022-07-14,5.5,5.73,5.43,5.59,2889600,2132,71,1880,4083,0,0
28,LJQQ3,2022-07-15,5.63,5.81,5.54,5.73,3530800,3616,51,2860,6525,2,0
29,LJQQ3,2022-07-18,5.75,5.97,5.58,5.59,3632700,2225,42,3898,6164,1,0
30,LJQQ3,2022-07-19,5.63,5.7,5.37,5.44,2366400,2687,47,2606,5340,0,0
31,LJQQ3,2022-07-20,5.41,5.73,5.33,5.59,3181400,3259,46,3404,6708,1,0
32,LJQQ3,2022-07-21,5.56,5.78,5.56,5.71,1740900,2436,39,2340,4815,0,0
33,LJQQ3,2022-07-22,5.74,5.85,5.6,5.67,2010800,2210,34,2619,4863,0,0
34,LJQQ3,2022-07-25,5.68,5.78,5.5,5.53,1807600,1995,505,1754,3786,468,0
