,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,LLIS3,2022-06-06,1.58,1.73,1.58,1.62,297700,169,21,154,344,0,0
1,LLIS3,2022-06-07,1.64,2.08,1.64,1.99,4840900,1539,30,1083,2652,0,0
2,LLIS3,2022-06-08,1.86,1.99,1.81,1.84,730100,621,0,404,1025,0,0
3,LLIS3,2022-06-09,1.87,1.9,1.76,1.82,251100,129,10,164,303,0,0
4,LLIS3,2022-06-10,1.82,1.94,1.7,1.84,255100,116,4,181,301,0,0
5,LLIS3,2022-06-13,1.82,1.93,1.72,1.9,362500,72,50,128,250,0,0
6,LLIS3,2022-06-14,1.89,1.89,1.74,1.74,194000,112,15,80,205,2,0
7,LLIS3,2022-06-15,1.8,1.83,1.77,1.81,165100,102,9,90,201,0,0
8,LLIS3,2022-06-17,1.81,1.81,1.68,1.77,201500,149,4,82,235,0,0
9,LLIS3,2022-06-20,1.77,1.77,1.68,1.71,184300,315,1,109,425,0,0
10,LLIS3,2022-06-21,1.72,1.79,1.67,1.68,60800,30,11,50,91,0,0
11,LLIS3,2022-06-22,1.67,1.69,1.59,1.6,154900,70,16,171,257,0,0
12,LLIS3,2022-06-23,1.6,1.68,1.6,1.61,147800,79,5,92,176,0,0
13,LLIS3,2022-06-24,1.63,1.65,1.6,1.6,66500,21,8,79,108,0,0
14,LLIS3,2022-06-27,1.6,1.77,1.6,1.72,259600,371,11,155,537,0,0
15,LLIS3,2022-06-28,1.72,1.73,1.66,1.66,71700,29,15,72,116,0,0
16,LLIS3,2022-06-29,1.66,1.69,1.57,1.57,208600,55,9,109,173,0,0
17,LLIS3,2022-06-30,1.58,1.59,1.5,1.54,164800,91,6,146,243,0,0
18,LLIS3,2022-07-01,1.54,1.58,1.52,1.54,84500,63,6,78,147,0,0
19,LLIS3,2022-07-04,1.54,1.55,1.5,1.52,68300,15,10,69,94,0,0
20,LLIS3,2022-07-05,1.52,1.55,1.48,1.52,102700,70,4,125,199,0,0
21,LLIS3,2022-07-06,1.54,1.6,1.54,1.54,61200,35,3,46,84,0,0
22,LLIS3,2022-07-07,1.59,1.63,1.57,1.58,68500,36,4,47,87,0,0
23,LLIS3,2022-07-08,1.58,1.64,1.49,1.52,514100,121,13,167,301,0,0
24,LLIS3,2022-07-11,1.53,1.53,1.44,1.45,234600,57,25,334,416,0,0
25,LLIS3,2022-07-12,1.46,1.53,1.44,1.48,115300,82,9,57,148,0,0
26,LLIS3,2022-07-13,1.48,1.5,1.47,1.47,52400,30,0,40,70,0,0
27,LLIS3,2022-07-14,1.47,1.49,1.45,1.47,30500,23,3,31,57,0,0
28,LLIS3,2022-07-15,1.49,1.49,1.45,1.46,39000,23,5,45,73,0,0
29,LLIS3,2022-07-18,1.48,1.5,1.42,1.42,159200,53,8,368,429,0,0
30,LLIS3,2022-07-19,1.43,1.45,1.42,1.42,33200,23,0,46,69,0,0
31,LLIS3,2022-07-20,1.42,1.47,1.42,1.45,61100,52,0,41,93,0,0
32,LLIS3,2022-07-21,1.5,1.57,1.46,1.48,262200,127,19,180,326,0,0
33,LLIS3,2022-07-22,1.49,1.53,1.47,1.47,88100,46,13,355,414,0,0
34,LLIS3,2022-07-25,1.47,1.51,1.45,1.45,90600,31,8,301,340,0,0
35,LLIS3,2022-07-26,1.47,1.47,1.44,1.45,73900,27,0,291,318,0,0
36,LLIS3,2022-07-27,1.44,1.47,1.44,1.46,97000,25,1,206,232,0,0
37,LLIS3,2022-07-28,1.47,1.5,1.44,1.47,97200,101,0,332,433,0,0
38,LLIS3,2022-07-29,1.47,1.48,1.42,1.43,141700,55,13,330,398,0,0
39,LLIS3,2022-08-01,1.45,1.45,1.41,1.43,123500,39,11,78,128,0,0
40,LLIS3,2022-08-02,1.41,1.43,1.4,1.42,104300,29,15,68,112,0,0
41,LLIS3,2022-08-03,1.43,1.43,1.41,1.43,98100,39,0,55,94,0,0
42,LLIS3,2022-08-08,1.54,1.6,1.54,1.58,227500,96,7,109,212,0,0
43,LLIS3,2022-08-09,1.57,1.57,1.49,1.5,199700,138,11,83,232,0,0
44,LLIS3,2022-08-10,1.51,1.57,1.51,1.57,137800,89,2,53,144,0,0
45,LLIS3,2022-08-12,1.53,1.62,1.5,1.55,174900,155,8,101,264,0,0
46,LLIS3,2022-08-15,1.55,1.65,1.55,1.63,219800,123,3,84,210,0,0
47,LLIS3,2022-08-16,1.63,1.65,1.61,1.63,60800,89,0,64,153,0,0
48,LLIS3,2022-08-17,1.63,1.66,1.59,1.6,81000,71,0,91,162,0,0
49,LLIS3,2022-08-18,1.65,1.84,1.62,1.73,796100,381,19,236,636,0,0
50,LLIS3,2022-08-19,1.71,1.88,1.61,1.73,4553700,2152,13,991,3156,0,0
51,LLIS3,2022-08-22,1.74,1.75,1.6,1.63,999000,388,4,373,765,0,0
52,LLIS3,2022-08-23,1.62,1.7,1.56,1.59,931400,398,0,698,1096,0,0
53,LLIS3,2022-08-24,1.58,1.67,1.58,1.61,425700,221,0,175,396,0,0
54,LLIS3,2022-08-25,1.63,1.75,1.62,1.74,715300,709,1,217,927,0,0
55,LLIS3,2022-08-26,1.74,1.83,1.68,1.74,576900,346,0,245,591,0,0
56,LLIS3,2022-08-29,1.78,1.87,1.74,1.79,524100,398,8,201,607,0,0
57,LLIS3,2022-08-30,1.8,1.98,1.8,1.82,698100,643,1,353,997,0,0
58,LLIS3,2022-08-31,1.85,1.9,1.73,1.76,278100,301,0,226,527,0,0
59,LLIS3,2022-09-01,1.79,1.84,1.68,1.73,317000,151,11,158,320,0,0
60,LLIS3,2022-09-02,1.74,1.76,1.66,1.69,301300,274,14,104,392,0,0
61,LLIS3,2022-09-05,1.65,1.73,1.65,1.73,140100,208,0,65,273,0,0
62,LLIS3,2022-09-06,1.68,1.75,1.62,1.67,172700,286,5,163,454,0,0
63,LLIS3,2022-09-08,1.69,1.8,1.66,1.66,149000,142,0,86,228,0,0
64,LLIS3,2022-09-09,1.7,1.72,1.64,1.68,281900,105,5,122,232,0,0
65,LLIS3,2022-09-12,1.71,1.72,1.65,1.67,177500,58,0,104,162,0,0
66,LLIS3,2022-09-13,1.67,1.68,1.61,1.63,172200,34,0,104,138,0,0
67,LLIS3,2022-09-14,1.61,1.63,1.59,1.61,160700,53,0,93,146,0,0
68,LLIS3,2022-09-15,1.64,1.71,1.63,1.67,221700,116,6,89,211,0,0
69,LLIS3,2022-09-16,1.63,1.67,1.6,1.66,189700,62,1,80,142,1,0
70,LLIS3,2022-09-19,1.65,1.73,1.61,1.69,193500,105,0,82,187,0,0
71,LLIS3,2022-09-20,1.69,1.7,1.66,1.69,50600,33,0,47,80,0,0
72,LLIS3,2022-09-21,1.67,1.69,1.64,1.66,74700,36,0,96,132,0,0
73,LLIS3,2022-09-22,1.68,1.68,1.65,1.65,47400,57,0,42,99,0,0
74,LLIS3,2022-09-23,1.64,1.66,1.62,1.66,72700,90,0,27,117,0,0
75,LLIS3,2022-09-27,1.65,1.66,1.6,1.61,148200,122,1,138,261,0,0
76,LLIS3,2022-09-28,1.62,1.64,1.61,1.63,26900,23,6,26,55,0,0
77,LLIS3,2022-09-29,1.59,1.61,1.56,1.58,39500,32,0,54,86,0,0
78,LLIS3,2022-09-30,1.6,1.62,1.55,1.59,93900,56,0,62,118,0,0
79,LLIS3,2022-10-03,1.6,1.68,1.59,1.62,116900,69,1,62,132,0,0
80,LLIS3,2022-10-04,1.62,1.67,1.59,1.62,149900,115,0,90,205,0,0
81,LLIS3,2022-10-05,1.6,1.63,1.47,1.52,719100,159,0,192,351,0,0
82,LLIS3,2022-10-06,1.51,1.58,1.51,1.57,381000,253,0,143,396,0,0
83,LLIS3,2022-10-07,1.58,1.58,1.52,1.55,314600,84,1,76,161,0,0
84,LLIS3,2022-10-10,1.52,1.54,1.5,1.52,226700,38,0,59,97,0,0
85,LLIS3,2022-10-11,1.52,1.54,1.51,1.51,62000,12,0,40,52,0,0
86,LLIS3,2022-10-13,1.55,1.55,1.49,1.49,127700,38,0,68,106,0,0
87,LLIS3,2022-10-14,1.53,1.53,1.47,1.47,137200,22,0,69,91,0,0
88,LLIS3,2022-10-17,1.5,1.52,1.49,1.49,58700,25,0,21,46,0,0
89,LLIS3,2022-10-18,1.52,1.54,1.47,1.48,122500,26,0,64,90,0,0
90,LLIS3,2022-10-19,1.48,1.52,1.46,1.49,249200,252,0,142,394,0,0
91,LLIS3,2022-10-20,1.5,1.5,1.4,1.42,426600,64,21,130,215,0,0
92,LLIS3,2022-10-21,1.4,2.07,1.4,1.83,5602200,3336,41,1161,4538,0,0
93,LLIS3,2022-10-24,1.71,1.93,1.66,1.78,554200,622,0,497,1119,0,0
94,LLIS3,2022-10-25,1.8,1.87,1.76,1.82,379600,1117,0,551,1668,0,0
95,LLIS3,2022-10-26,1.82,1.85,1.76,1.76,180300,495,0,173,668,0,0
96,LLIS3,2022-10-27,1.77,1.83,1.77,1.78,161400,199,1,132,332,0,0
97,LLIS3,2022-10-28,1.81,1.98,1.81,1.87,590400,562,0,544,1106,0,0
98,LLIS3,2022-10-31,1.92,1.98,1.78,1.83,512900,125,0,198,323,0,0
