,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,LOGG3,2022-06-06,22.96,23.32,21.51,21.76,395200,1479,45,1159,2683,0,0
1,LOGG3,2022-06-07,21.52,21.54,21.06,21.23,459000,1734,52,1337,3123,0,0
2,LOGG3,2022-06-08,21.16,21.88,21.02,21.44,308500,1355,46,899,2300,0,0
3,LOGG3,2022-06-09,21.39,21.46,20.83,20.83,210500,698,45,765,1508,0,0
4,LOGG3,2022-06-10,20.61,20.79,20.03,20.52,287900,1132,32,883,2047,0,0
5,LOGG3,2022-06-13,20.15,20.15,19.25,19.5,467300,1817,37,1154,3008,0,0
6,LOGG3,2022-06-14,19.3,19.52,18.88,18.99,373700,1468,44,1248,2760,0,0
7,LOGG3,2022-06-15,19.39,19.42,18.88,19.32,318400,1382,47,1116,2545,0,0
8,LOGG3,2022-06-17,18.75,19.12,18.35,19.12,518400,1588,73,1483,3144,0,0
9,LOGG3,2022-06-20,19.11,19.31,18.51,18.51,172700,626,48,635,1309,0,0
10,LOGG3,2022-06-21,18.56,18.94,18.53,18.78,221500,717,31,892,1640,0,0
11,LOGG3,2022-06-22,18.57,19.26,18.54,18.83,141600,574,35,504,1113,0,0
12,LOGG3,2022-06-23,19.04,19.46,18.8,19.31,165700,781,37,535,1353,0,0
13,LOGG3,2022-06-24,19.53,19.6,19.01,19.07,167100,706,30,651,1387,0,0
14,LOGG3,2022-06-27,19.14,19.4,19.02,19.11,125800,522,25,484,1031,0,0
15,LOGG3,2022-06-28,18.99,19.0,18.29,18.4,541800,1719,36,1428,3183,0,0
16,LOGG3,2022-06-29,18.59,18.63,18.2,18.39,468800,1818,39,1111,2968,0,0
17,LOGG3,2022-06-30,18.3,18.7,18.04,18.35,426100,1283,50,1075,2408,0,0
18,LOGG3,2022-07-01,18.32,19.31,17.94,19.08,575800,1956,34,1263,3253,0,0
19,LOGG3,2022-07-04,19.16,19.17,18.76,18.93,260600,1113,44,743,1900,0,0
20,LOGG3,2022-07-05,18.8,19.01,18.69,19.01,288400,995,31,1108,2134,0,0
21,LOGG3,2022-07-06,18.95,19.82,18.93,19.36,487700,1443,25,1268,2732,4,0
22,LOGG3,2022-07-07,19.6,20.03,19.6,19.77,239800,1145,42,741,1928,0,0
23,LOGG3,2022-07-08,19.58,19.9,19.05,19.05,189500,693,41,778,1512,0,0
24,LOGG3,2022-07-11,19.0,19.0,18.44,18.7,352200,1102,41,914,2057,0,0
25,LOGG3,2022-07-12,18.7,19.11,18.54,18.82,254800,1099,30,802,1931,0,0
26,LOGG3,2022-07-13,18.6,18.96,18.49,18.66,198200,707,29,630,1366,0,0
27,LOGG3,2022-07-14,18.45,18.93,18.25,18.7,311100,1024,32,1057,2113,0,0
28,LOGG3,2022-07-15,18.59,19.38,18.5,19.22,246600,845,26,868,1739,0,0
29,LOGG3,2022-07-18,19.4,19.57,18.71,18.96,168400,557,25,656,1238,0,0
30,LOGG3,2022-07-19,18.86,19.07,18.7,18.9,219600,975,22,695,1692,0,0
31,LOGG3,2022-07-20,18.95,19.46,18.95,19.39,232400,1023,23,928,1974,0,0
32,LOGG3,2022-07-21,19.3,19.71,19.16,19.32,246500,1127,41,804,1972,0,0
33,LOGG3,2022-07-22,19.4,19.55,18.86,18.93,234000,725,44,944,1713,0,0
34,LOGG3,2022-07-25,18.85,19.15,18.54,18.54,206900,854,38,743,1635,0,0
35,LOGG3,2022-07-26,18.55,18.61,17.96,18.19,372300,1368,53,1321,2742,0,0
36,LOGG3,2022-07-27,18.62,20.23,18.43,20.16,542500,2234,39,1346,3619,0,0
37,LOGG3,2022-07-28,20.27,21.04,19.33,20.55,470600,1691,38,1358,3087,0,0
38,LOGG3,2022-07-29,20.56,21.04,19.98,20.92,412100,1548,42,1656,3246,0,0
39,LOGG3,2022-08-01,20.72,22.56,20.59,21.85,586600,2231,49,1925,4205,0,0
40,LOGG3,2022-08-02,21.87,22.36,21.53,21.53,365400,1299,33,1298,2629,1,0
41,LOGG3,2022-08-03,21.58,22.32,21.4,22.09,212400,610,48,662,1320,0,0
42,LOGG3,2022-08-08,23.81,23.86,23.4,23.4,221000,505,31,872,1408,0,0
43,LOGG3,2022-08-09,23.18,23.42,22.47,22.97,302100,883,31,934,1847,1,0
44,LOGG3,2022-08-10,23.1,24.28,23.02,23.65,319600,1345,42,890,2277,0,0
45,LOGG3,2022-08-12,23.87,24.01,23.15,23.59,224200,751,30,844,1625,0,0
46,LOGG3,2022-08-15,23.4,25.49,23.36,25.1,310900,1140,37,974,2151,0,0
47,LOGG3,2022-08-16,25.1,25.81,24.25,25.3,389400,1378,25,1395,2798,0,0
48,LOGG3,2022-08-17,25.16,25.29,24.37,24.96,316200,862,71,1172,2105,0,0
