,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,LOGN3,2022-06-06,34.08,34.26,33.75,34.13,93200,332,34,348,714,0,0
1,LOGN3,2022-06-07,34.01,34.22,33.5,34.13,132200,294,50,359,703,0,0
2,LOGN3,2022-06-08,33.93,34.27,33.55,33.84,101000,331,45,295,671,0,0
3,LOGN3,2022-06-09,33.93,34.32,33.3,34.27,161300,417,36,403,856,0,0
4,LOGN3,2022-06-10,33.8,33.93,33.13,33.63,218200,659,36,598,1293,0,0
5,LOGN3,2022-06-13,33.2,33.38,32.62,32.79,355500,637,49,1419,2105,0,0
6,LOGN3,2022-06-14,32.91,33.03,32.19,32.49,233200,894,36,712,1642,0,0
7,LOGN3,2022-06-15,32.77,33.76,32.33,32.82,442800,1224,117,1315,2579,77,0
8,LOGN3,2022-06-17,32.31,32.94,31.67,32.68,250900,619,132,771,1436,86,0
9,LOGN3,2022-06-20,32.5,32.65,31.8,31.9,239900,546,90,977,1569,44,0
10,LOGN3,2022-06-21,32.14,32.17,31.42,32.09,194500,713,41,557,1311,0,0
11,LOGN3,2022-06-22,31.78,32.7,31.62,31.91,182100,460,94,494,997,51,0
12,LOGN3,2022-06-23,32.12,32.13,31.41,31.6,203700,603,110,444,1104,53,0
13,LOGN3,2022-06-24,31.86,32.25,31.15,31.65,192900,803,70,648,1487,34,0
14,LOGN3,2022-06-27,31.7,31.84,31.32,31.36,209700,459,70,665,1163,31,0
15,LOGN3,2022-06-28,31.65,32.11,30.55,31.05,276900,791,32,963,1786,0,0
16,LOGN3,2022-06-29,31.08,31.14,30.13,30.42,167400,401,107,462,926,44,0
17,LOGN3,2022-06-30,30.11,30.91,29.88,29.96,240500,616,62,783,1449,12,0
18,LOGN3,2022-07-01,30.45,30.49,29.25,29.9,426500,1161,59,1122,2342,0,0
19,LOGN3,2022-07-04,29.31,30.12,29.15,29.43,154900,588,32,517,1131,6,0
20,LOGN3,2022-07-05,29.1,29.38,28.07,28.7,360900,1197,38,1211,2446,0,0
21,LOGN3,2022-07-06,28.54,28.98,28.05,28.53,260000,953,32,965,1950,0,0
22,LOGN3,2022-07-07,28.83,29.46,28.48,28.65,144700,519,35,457,1011,0,0
23,LOGN3,2022-07-08,28.51,28.78,28.0,28.07,215200,595,34,624,1253,0,0
24,LOGN3,2022-07-11,27.74,27.95,27.42,27.42,188400,407,38,542,987,0,0
25,LOGN3,2022-07-12,27.3,27.45,26.85,27.07,143300,588,24,406,1018,0,0
26,LOGN3,2022-07-13,26.91,27.61,26.7,26.75,68600,252,19,234,505,0,0
27,LOGN3,2022-07-14,26.5,26.95,25.86,26.54,234000,656,36,723,1415,0,0
28,LOGN3,2022-07-15,26.55,27.6,26.34,27.15,180000,642,37,559,1238,0,0
29,LOGN3,2022-07-18,27.12,28.44,27.12,27.71,191700,782,55,670,1507,0,0
30,LOGN3,2022-07-19,27.94,28.2,27.43,27.93,146200,666,39,431,1136,0,0
31,LOGN3,2022-07-20,28.16,29.99,28.05,29.62,238500,786,55,703,1544,0,0
32,LOGN3,2022-07-21,29.73,30.73,29.59,30.29,178000,514,40,530,1084,0,0
33,LOGN3,2022-07-22,29.97,30.64,29.81,30.47,127800,416,33,409,858,0,0
34,LOGN3,2022-07-25,30.71,31.95,30.34,31.76,171900,646,32,459,1137,0,0
35,LOGN3,2022-07-26,31.7,31.87,30.6,30.61,190000,698,48,509,1255,0,0
36,LOGN3,2022-07-27,30.83,32.46,30.71,32.2,238200,749,32,739,1520,0,0
37,LOGN3,2022-07-28,32.03,32.58,31.59,32.55,132700,400,38,473,911,0,0
38,LOGN3,2022-07-29,32.55,32.59,31.62,32.5,219300,752,53,648,1453,0,0
39,LOGN3,2022-08-01,32.4,33.15,32.23,32.45,300700,1096,42,1064,2202,0,0
40,LOGN3,2022-08-02,32.55,32.69,31.42,31.69,263100,648,37,933,1618,0,0
41,LOGN3,2022-08-03,31.94,32.41,31.1,31.45,309300,764,41,1257,2062,0,0
42,LOGN3,2022-08-08,34.88,35.76,34.77,35.17,168800,508,32,464,1004,0,0
43,LOGN3,2022-08-09,35.25,35.8,34.74,35.4,114700,354,41,511,906,0,0
44,LOGN3,2022-08-10,35.88,37.85,35.62,36.9,318500,1093,41,901,2035,0,0
45,LOGN3,2022-08-12,37.3,38.13,36.5,38.13,953000,1259,52,749,2059,1,0
46,LOGN3,2022-08-15,37.8,37.97,37.08,37.72,570600,994,49,561,1604,0,0
47,LOGN3,2022-08-16,37.78,37.84,37.59,37.84,377100,486,43,489,1016,2,0
48,LOGN3,2022-08-17,37.84,37.9,37.27,37.77,319300,721,48,817,1586,0,0
49,LOGN3,2022-08-18,37.9,38.21,37.17,37.85,244200,616,51,576,1243,0,0
50,LOGN3,2022-08-19,37.48,37.79,36.63,37.06,212800,673,38,580,1291,0,0
51,LOGN3,2022-08-22,37.0,37.73,36.7,37.25,439700,971,38,1152,2161,0,0
52,LOGN3,2022-08-23,37.35,37.93,36.84,37.44,210600,606,30,749,1385,0,0
53,LOGN3,2022-08-24,37.57,37.58,37.01,37.38,194300,700,31,647,1378,0,0
54,LOGN3,2022-08-25,37.58,37.8,36.9,37.8,3886700,584,42,791,1416,1,0
55,LOGN3,2022-08-26,37.96,39.17,37.79,39.0,275500,573,32,892,1497,0,0
56,LOGN3,2022-08-29,38.49,39.94,37.94,39.94,249900,942,40,813,1795,0,0
57,LOGN3,2022-08-30,39.5,39.95,38.19,38.9,177000,609,46,690,1345,0,0
58,LOGN3,2022-08-31,39.05,39.82,38.5,39.45,238300,794,43,862,1699,0,0
59,LOGN3,2022-09-01,39.23,41.03,39.17,40.8,381300,1338,57,1267,2662,0,0
60,LOGN3,2022-09-02,40.98,43.08,40.85,41.31,434000,1144,92,1076,2312,0,0
61,LOGN3,2022-09-05,41.58,41.99,39.86,40.0,193300,586,58,821,1457,8,0
62,LOGN3,2022-09-06,40.0,40.34,37.18,37.18,322400,926,95,954,1975,0,0
63,LOGN3,2022-09-08,37.94,38.24,37.37,37.82,306800,985,63,1249,2297,0,0
64,LOGN3,2022-09-09,38.18,38.75,37.46,38.24,207800,682,45,895,1622,0,0
65,LOGN3,2022-09-12,38.64,39.41,38.0,38.0,220000,608,44,920,1572,0,0
66,LOGN3,2022-09-13,37.46,37.81,35.34,35.34,363200,956,66,1537,2559,0,0
67,LOGN3,2022-09-14,35.2,36.39,35.02,35.1,429200,1477,61,1848,3386,0,0
68,LOGN3,2022-09-15,35.31,35.64,34.3,35.1,447900,1931,42,1484,3456,1,0
69,LOGN3,2022-09-16,35.36,38.01,34.58,36.53,2269400,2121,117,1925,4163,0,0
70,LOGN3,2022-09-19,35.5,36.71,35.0,35.55,210400,602,45,558,1205,0,0
71,LOGN3,2022-09-20,35.4,35.84,34.81,35.25,175500,606,30,654,1290,0,0
72,LOGN3,2022-09-21,35.12,35.57,34.68,35.0,146300,532,35,475,1042,0,0
73,LOGN3,2022-09-22,35.08,35.1,34.05,34.05,154400,334,43,404,781,0,0
74,LOGN3,2022-09-23,33.21,33.82,33.21,33.55,174600,412,64,625,1101,0,0
75,LOGN3,2022-09-27,32.4,32.93,32.4,32.6,115900,377,32,364,773,0,0
76,LOGN3,2022-09-28,32.62,33.05,32.25,32.61,239900,742,29,496,1266,1,0
77,LOGN3,2022-09-29,32.43,32.92,32.26,32.6,191900,592,35,426,1053,0,0
78,LOGN3,2022-09-30,32.59,33.06,32.51,32.83,256200,892,35,556,1483,0,0
79,LOGN3,2022-10-03,32.55,34.38,32.55,33.81,185800,875,38,675,1588,0,0
80,LOGN3,2022-10-04,33.56,34.52,33.56,33.8,166100,608,27,789,1424,0,0
81,LOGN3,2022-10-05,34.04,34.04,33.06,33.76,104900,377,21,464,862,0,0
82,LOGN3,2022-10-06,34.07,34.48,33.5,34.47,77300,282,15,349,646,0,0
83,LOGN3,2022-10-07,33.53,34.37,33.43,34.31,151800,550,32,597,1179,0,0
84,LOGN3,2022-10-10,34.46,35.07,33.66,34.94,219200,634,44,704,1382,0,0
85,LOGN3,2022-10-11,34.98,35.36,34.11,34.54,129700,359,33,515,907,0,0
86,LOGN3,2022-10-13,34.49,35.25,33.9,34.61,253900,826,59,918,1803,0,0
87,LOGN3,2022-10-14,34.64,34.98,33.9,34.0,78900,223,29,372,624,0,0
88,LOGN3,2022-10-17,34.25,35.09,34.15,34.77,126700,530,19,493,1042,0,0
89,LOGN3,2022-10-18,34.5,35.51,34.5,35.4,180100,570,30,805,1405,0,0
90,LOGN3,2022-10-19,35.53,35.98,35.18,35.52,243800,794,60,1094,1948,0,0
91,LOGN3,2022-10-20,35.89,36.25,35.23,36.25,180300,468,25,642,1135,0,0
92,LOGN3,2022-10-21,36.11,37.46,35.81,37.44,218800,711,33,474,1218,0,0
93,LOGN3,2022-10-24,38.0,38.7,36.87,37.52,206600,672,42,683,1397,0,0
94,LOGN3,2022-10-25,37.59,37.65,36.35,36.46,153500,534,40,547,1121,0,0
