,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,LPSB3,2022-06-06,2.86,2.9,2.77,2.82,167000,143,14,299,456,0,0
1,LPSB3,2022-06-07,2.77,2.84,2.75,2.77,266900,279,0,332,611,0,0
2,LPSB3,2022-06-08,2.77,2.83,2.73,2.77,120200,130,1,230,361,0,0
3,LPSB3,2022-06-09,2.74,2.84,2.7,2.8,407800,320,0,623,943,0,0
4,LPSB3,2022-06-10,2.75,2.76,2.68,2.72,318400,367,0,514,881,0,0
5,LPSB3,2022-06-13,2.72,2.72,2.51,2.65,518200,399,1,461,861,0,0
6,LPSB3,2022-06-14,2.6,2.67,2.47,2.54,396300,411,0,472,883,0,0
7,LPSB3,2022-06-15,2.55,2.65,2.53,2.64,387300,613,0,479,1092,0,0
8,LPSB3,2022-06-17,2.62,2.68,2.49,2.68,280900,330,27,390,747,0,0
9,LPSB3,2022-06-20,2.64,2.74,2.6,2.69,115900,136,22,139,297,0,0
10,LPSB3,2022-06-21,2.68,2.74,2.55,2.65,195800,228,25,342,595,0,0
11,LPSB3,2022-06-22,2.54,2.67,2.54,2.61,336500,334,33,564,931,0,0
12,LPSB3,2022-06-23,2.6,2.65,2.51,2.52,515800,367,22,707,1096,0,0
13,LPSB3,2022-06-24,2.54,2.59,2.44,2.52,430200,288,28,647,963,0,0
14,LPSB3,2022-06-27,2.5,2.64,2.5,2.64,293900,372,13,358,743,0,0
15,LPSB3,2022-06-28,2.61,2.69,2.49,2.63,198000,181,28,278,487,0,0
16,LPSB3,2022-06-29,2.62,2.64,2.48,2.64,282200,293,39,419,751,0,0
17,LPSB3,2022-06-30,2.58,2.63,2.5,2.63,377900,333,46,265,644,0,0
18,LPSB3,2022-07-01,2.56,2.61,2.48,2.51,280900,205,0,422,627,0,0
19,LPSB3,2022-07-04,2.5,2.55,2.45,2.45,118200,75,0,202,277,0,0
20,LPSB3,2022-07-05,2.47,2.47,2.34,2.38,183600,240,5,240,485,0,0
21,LPSB3,2022-07-06,2.39,2.54,2.38,2.47,257700,309,0,269,578,0,0
22,LPSB3,2022-07-07,2.5,2.7,2.48,2.61,348300,536,0,440,976,0,0
23,LPSB3,2022-07-08,2.6,2.66,2.53,2.53,110900,170,0,182,352,0,0
24,LPSB3,2022-07-11,2.53,2.76,2.52,2.6,377500,511,11,444,966,0,0
25,LPSB3,2022-07-12,2.62,2.68,2.54,2.58,281200,370,0,308,678,0,0
26,LPSB3,2022-07-13,2.6,2.65,2.52,2.55,212600,217,0,226,443,0,0
27,LPSB3,2022-07-14,2.56,2.57,2.48,2.53,165700,145,1,175,321,0,0
28,LPSB3,2022-07-15,2.54,2.62,2.51,2.58,114700,166,0,142,308,0,0
29,LPSB3,2022-07-18,2.59,2.64,2.56,2.58,232200,369,0,426,795,0,0
30,LPSB3,2022-07-19,2.58,2.63,2.49,2.56,198600,247,0,312,559,0,0
31,LPSB3,2022-07-20,2.51,2.69,2.51,2.69,262700,271,12,261,544,0,0
32,LPSB3,2022-07-21,2.63,2.85,2.63,2.84,151500,239,0,191,430,0,0
33,LPSB3,2022-07-22,2.84,2.94,2.78,2.84,139700,343,0,217,560,0,0
34,LPSB3,2022-07-25,2.84,2.87,2.74,2.82,78200,137,6,172,315,0,0
35,LPSB3,2022-07-26,2.8,2.8,2.69,2.69,193200,207,21,275,503,0,0
36,LPSB3,2022-07-27,2.72,2.9,2.72,2.87,123900,264,6,154,424,0,0
37,LPSB3,2022-07-28,2.86,3.07,2.85,3.04,293500,574,9,234,817,0,0
38,LPSB3,2022-07-29,3.03,3.1,2.99,3.0,173800,653,0,359,1012,0,0
39,LPSB3,2022-08-01,2.99,3.09,2.89,2.92,180400,376,0,265,641,0,0
40,LPSB3,2022-08-02,2.96,2.99,2.88,2.88,226200,407,0,708,1115,0,0
41,LPSB3,2022-08-03,2.9,3.03,2.68,3.02,1111700,1015,57,2127,3199,0,0
42,LPSB3,2022-08-08,3.12,3.24,3.07,3.19,127000,142,17,193,352,0,0
