,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,LREN3,2022-06-06,28.37,28.42,26.92,27.02,5537000,9944,241,10924,21109,0,0
1,LREN3,2022-06-07,26.62,26.83,26.07,26.59,9997300,19591,232,24606,44428,1,0
2,LREN3,2022-06-08,26.4,26.68,26.0,26.44,8778500,16219,310,19098,35575,52,0
3,LREN3,2022-06-09,26.29,26.39,24.93,25.32,24432400,26331,333,19138,45772,30,0
4,LREN3,2022-06-10,25.12,25.28,23.96,24.06,18831800,28070,363,22020,50324,129,0
5,LREN3,2022-06-13,23.57,23.65,22.95,23.06,10974900,27314,320,13116,40747,3,0
6,LREN3,2022-06-14,23.0,23.73,22.78,22.85,9092500,18710,228,17297,36233,2,0
7,LREN3,2022-06-15,23.36,24.5,23.35,23.9,14634200,22154,212,22469,44825,10,0
8,LREN3,2022-06-17,23.3,23.82,22.76,23.44,20016100,24021,506,19022,43385,164,0
9,LREN3,2022-06-20,23.84,24.61,23.24,23.83,9937100,9426,278,11875,21467,112,0
10,LREN3,2022-06-21,23.88,24.13,22.9,23.26,14227200,14804,299,18765,33825,43,0
11,LREN3,2022-06-22,22.7,23.88,22.66,23.37,8213900,13059,271,13768,27098,0,0
12,LREN3,2022-06-23,23.48,24.38,23.48,23.78,12033500,16951,241,16497,33684,5,0
13,LREN3,2022-06-24,24.0,24.1,22.87,23.1,10987700,12438,205,12913,25553,3,0
14,LREN3,2022-06-27,23.2,23.88,23.12,23.25,6230300,10431,204,8564,19194,5,0
15,LREN3,2022-06-28,23.38,23.39,22.31,22.75,8885300,15174,274,13761,29207,2,0
16,LREN3,2022-06-29,22.73,22.81,22.07,22.18,6088400,10636,230,10550,21413,3,0
17,LREN3,2022-06-30,21.99,22.79,21.77,22.48,9205200,22334,657,17687,40251,427,0
18,LREN3,2022-07-01,22.43,23.44,22.2,23.2,15403800,20620,259,16113,36977,15,0
19,LREN3,2022-07-04,23.03,23.57,22.82,23.12,5335200,5981,185,6449,12608,7,0
20,LREN3,2022-07-05,22.73,23.24,22.45,23.1,9343000,16655,234,13434,30318,5,0
21,LREN3,2022-07-06,23.05,24.03,23.01,23.81,10288400,19539,194,16681,36412,2,0
22,LREN3,2022-07-07,24.11,25.02,24.01,24.58,12932000,17366,266,18495,36111,16,0
23,LREN3,2022-07-08,24.82,25.39,24.45,24.68,10964900,10314,189,16346,26840,9,0
24,LREN3,2022-07-11,24.48,24.56,23.92,24.02,7636600,10566,225,14826,25613,4,0
25,LREN3,2022-07-12,24.1,24.69,23.95,24.28,7272400,12146,284,12267,24694,3,0
26,LREN3,2022-07-13,23.98,25.2,23.96,24.5,18043400,21196,268,20850,42298,16,0
27,LREN3,2022-07-14,24.36,24.88,24.24,24.67,12680600,15277,265,19454,34977,19,0
28,LREN3,2022-07-15,24.72,25.4,24.52,24.98,11699900,16320,195,18515,35019,11,0
29,LREN3,2022-07-18,25.46,26.03,24.84,24.95,15832900,17199,284,20577,38038,22,0
30,LREN3,2022-07-19,25.23,25.59,24.33,24.74,8496400,12811,207,14592,27606,4,0
