,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,LUPA3,2022-06-06,4.7,4.7,4.51,4.63,418600,386,16,309,711,0,0
1,LUPA3,2022-06-07,4.6,4.68,4.44,4.52,301600,343,15,363,721,0,0
2,LUPA3,2022-06-08,4.47,4.55,4.36,4.42,299100,210,37,305,552,0,0
3,LUPA3,2022-06-09,4.44,4.45,4.22,4.22,323200,222,21,403,646,0,0
4,LUPA3,2022-06-10,4.21,4.22,4.01,4.01,377300,263,0,354,617,0,0
5,LUPA3,2022-06-13,3.99,4.04,3.85,3.88,434200,216,0,350,566,0,0
6,LUPA3,2022-06-14,3.95,4.0,3.83,3.87,432100,372,9,361,742,0,0
7,LUPA3,2022-06-15,3.91,3.99,3.73,3.82,363300,284,9,440,733,0,0
8,LUPA3,2022-06-17,3.74,3.77,3.57,3.66,405200,346,21,331,698,0,0
9,LUPA3,2022-06-20,3.65,3.7,3.46,3.62,324600,355,0,366,721,0,0
10,LUPA3,2022-06-21,3.65,3.71,3.49,3.58,292600,331,23,245,599,0,0
11,LUPA3,2022-06-22,3.43,3.69,3.43,3.56,422100,493,0,326,819,0,0
12,LUPA3,2022-06-23,3.6,3.69,3.5,3.6,398600,302,19,288,609,0,0
13,LUPA3,2022-06-24,3.56,3.66,3.51,3.57,332100,180,19,218,417,0,0
14,LUPA3,2022-06-27,3.52,3.61,3.52,3.57,225600,124,13,130,267,0,0
15,LUPA3,2022-06-28,3.62,3.62,3.43,3.45,202100,111,0,236,347,0,0
16,LUPA3,2022-06-29,3.45,3.46,2.99,3.1,1850000,1150,0,1206,2356,0,0
17,LUPA3,2022-06-30,3.05,3.27,2.95,3.13,968500,561,0,586,1147,0,0
18,LUPA3,2022-07-01,3.14,3.18,3.05,3.15,248600,541,0,306,847,0,0
19,LUPA3,2022-07-04,3.12,3.22,3.11,3.18,123300,142,0,114,256,0,0
20,LUPA3,2022-07-05,3.13,3.16,3.0,3.15,315200,402,0,264,666,0,0
21,LUPA3,2022-07-06,3.19,3.4,3.12,3.16,642300,484,5,453,942,0,0
22,LUPA3,2022-07-07,3.2,3.44,3.2,3.34,701900,615,19,424,1058,0,0
23,LUPA3,2022-07-08,3.29,3.44,3.26,3.42,420300,445,0,331,776,0,0
24,LUPA3,2022-07-11,3.33,3.38,3.18,3.26,595700,411,20,411,842,0,0
25,LUPA3,2022-07-12,3.27,3.37,3.18,3.28,293300,321,0,211,532,0,0
26,LUPA3,2022-07-13,3.28,3.42,3.22,3.4,357400,339,0,227,566,0,0
27,LUPA3,2022-07-14,3.3,3.36,3.18,3.19,231000,157,0,211,368,0,0
28,LUPA3,2022-07-15,3.21,3.27,3.01,3.02,504700,212,65,328,605,0,0
29,LUPA3,2022-07-18,3.08,3.22,2.95,2.99,487200,365,0,355,720,0,0
30,LUPA3,2022-07-19,3.04,3.06,2.97,3.0,430800,185,0,261,446,0,0
31,LUPA3,2022-07-20,3.01,3.59,3.01,3.47,1297300,1012,26,802,1840,0,0
32,LUPA3,2022-07-21,3.49,3.67,3.28,3.29,1307500,625,31,648,1304,0,0
33,LUPA3,2022-07-22,3.3,3.37,3.18,3.18,378200,292,0,447,739,0,0
34,LUPA3,2022-07-25,3.5,3.56,3.25,3.3,1112000,680,20,602,1302,0,0
35,LUPA3,2022-07-26,3.3,3.38,3.14,3.21,638500,305,21,385,711,0,0
36,LUPA3,2022-07-27,3.23,3.47,3.22,3.39,1073300,787,0,658,1445,0,0
37,LUPA3,2022-07-28,3.4,3.6,3.35,3.47,985500,596,0,480,1076,0,0
38,LUPA3,2022-07-29,3.51,3.66,3.46,3.46,793800,387,0,422,809,0,0
39,LUPA3,2022-08-01,3.49,3.6,3.48,3.52,340800,230,0,270,500,0,0
40,LUPA3,2022-08-02,3.5,3.69,3.48,3.56,518800,375,15,350,740,0,0
41,LUPA3,2022-08-03,3.56,3.62,3.52,3.62,333500,239,10,310,559,0,0
42,LUPA3,2022-08-08,3.82,4.1,3.8,3.99,720200,703,0,505,1208,0,0
43,LUPA3,2022-08-09,4.02,4.16,3.92,4.0,537300,425,21,494,940,0,0
44,LUPA3,2022-08-10,4.03,4.25,4.03,4.07,583400,456,0,350,806,0,0
45,LUPA3,2022-08-12,3.95,4.19,3.95,4.11,615000,555,0,458,1013,0,0
46,LUPA3,2022-08-15,4.03,4.4,4.0,4.31,790700,628,0,395,1023,0,0
47,LUPA3,2022-08-16,4.09,4.16,3.78,3.86,1374300,715,57,932,1704,0,0
48,LUPA3,2022-08-17,3.86,3.91,3.7,3.79,601000,420,13,615,1048,0,0
49,LUPA3,2022-08-18,3.79,4.08,3.77,3.89,1099900,800,0,601,1401,0,0
50,LUPA3,2022-08-19,3.77,3.81,3.56,3.61,657500,304,24,532,860,0,0
51,LUPA3,2022-08-22,3.6,3.6,3.4,3.43,604400,303,0,386,689,0,0
52,LUPA3,2022-08-23,3.45,3.79,3.42,3.74,940600,843,15,469,1327,0,0
53,LUPA3,2022-08-24,3.74,3.82,3.55,3.66,735800,757,13,1031,1801,0,0
54,LUPA3,2022-08-25,3.65,3.88,3.65,3.81,720900,831,2,459,1292,0,0
55,LUPA3,2022-08-26,3.78,3.93,3.66,3.69,440000,428,22,470,920,0,0
56,LUPA3,2022-08-29,3.64,3.74,3.6,3.63,364900,328,12,310,650,0,0
57,LUPA3,2022-08-30,3.65,4.28,3.47,4.13,2142800,1446,0,997,2443,0,0
58,LUPA3,2022-08-31,4.11,4.48,3.89,4.16,1885000,1323,29,1277,2629,0,0
59,LUPA3,2022-09-01,4.3,4.3,3.95,4.0,1096000,746,45,1063,1854,0,0
60,LUPA3,2022-09-02,4.04,4.09,3.85,3.91,819100,355,40,529,924,0,0
61,LUPA3,2022-09-05,3.92,4.28,3.92,4.06,993600,586,23,409,1018,0,0
62,LUPA3,2022-09-06,4.03,4.07,3.85,3.93,813300,658,19,487,1164,0,0
63,LUPA3,2022-09-08,4.04,4.21,3.89,4.09,1125800,755,33,506,1294,0,0
64,LUPA3,2022-09-09,4.08,4.22,3.91,3.91,1331100,734,55,580,1369,0,0
65,LUPA3,2022-09-12,3.91,4.05,3.91,3.95,881900,551,0,473,1024,0,0
66,LUPA3,2022-09-13,3.91,3.93,3.81,3.85,705100,440,15,432,887,0,0
67,LUPA3,2022-09-14,3.85,4.7,3.84,4.59,4045200,2412,49,1470,3931,0,0
