,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,LUXM4,2022-06-06,82.0,83.5,81.5,83.5,1700,5,3,5,13,0,0
1,LUXM4,2022-06-07,83.0,83.0,83.0,83.0,100,1,0,0,1,0,0
2,LUXM4,2022-06-08,82.01,83.0,82.01,83.0,2000,9,0,7,16,0,0
3,LUXM4,2022-06-14,81.51,82.98,81.51,82.98,400,2,0,2,4,0,0
4,LUXM4,2022-06-20,82.67,82.67,82.67,82.67,100,0,1,0,1,0,0
5,LUXM4,2022-06-28,81.98,81.99,81.98,81.99,300,2,1,0,3,0,0
6,LUXM4,2022-06-30,81.98,81.98,81.97,81.98,200,2,0,0,2,0,0
7,LUXM4,2022-07-04,81.02,81.87,81.0,81.87,1200,4,0,3,7,0,0
8,LUXM4,2022-07-05,81.02,81.47,81.0,81.47,700,4,0,3,7,0,0
9,LUXM4,2022-07-06,81.0,81.0,81.0,81.0,500,3,0,2,5,0,0
10,LUXM4,2022-07-07,81.0,81.0,78.04,79.3,2000,10,0,5,15,0,0
11,LUXM4,2022-07-13,79.77,79.77,79.77,79.77,100,1,0,0,1,0,0
12,LUXM4,2022-07-15,79.49,79.49,79.0,79.48,400,3,0,1,4,0,0
13,LUXM4,2022-07-26,79.34,79.39,78.25,79.39,700,4,0,2,6,0,0
14,LUXM4,2022-08-01,78.5,79.0,78.5,79.0,200,2,0,0,2,0,0
15,LUXM4,2022-08-03,78.0,78.0,76.01,76.01,400,1,0,3,4,0,0
16,LUXM4,2022-08-12,77.01,78.46,77.01,78.46,500,3,0,2,5,0,0
17,LUXM4,2022-08-26,78.15,78.15,78.15,78.15,200,2,0,0,2,0,0
18,LUXM4,2022-08-31,78.14,79.19,78.14,79.19,1100,7,0,0,7,0,0
19,LUXM4,2022-09-09,79.11,79.11,79.11,79.11,200,1,0,0,1,0,0
20,LUXM4,2022-09-19,78.96,78.96,78.96,78.96,400,4,0,0,4,0,0
21,LUXM4,2022-09-29,78.44,80.5,78.44,79.49,3800,13,5,7,25,0,0
22,LUXM4,2022-09-30,78.5,84.0,78.49,84.0,3900,14,0,11,25,0,0
23,LUXM4,2022-10-03,84.0,84.0,84.0,84.0,100,1,0,0,1,0,0
24,LUXM4,2022-10-04,80.01,83.98,80.01,83.98,1000,5,0,3,8,0,0
25,LUXM4,2022-10-05,81.04,81.04,80.0,80.0,2700,9,0,7,16,0,0
26,LUXM4,2022-10-06,79.5,79.5,79.0,79.0,800,4,0,2,6,0,0
27,LUXM4,2022-10-07,80.0,80.0,78.01,78.01,1200,0,1,8,9,0,0
28,LUXM4,2022-10-10,78.0,78.0,78.0,78.0,100,1,0,0,1,0,0
29,LUXM4,2022-10-11,79.0,79.0,79.0,79.0,100,0,0,1,1,0,0
