,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,LWSA3,2022-06-06,7.16,7.3,7.06,7.17,12096700,6955,157,7326,14437,1,0
1,LWSA3,2022-06-07,6.94,7.41,6.86,7.4,17798700,8896,360,7409,16665,0,0
2,LWSA3,2022-06-08,7.2,7.5,6.94,6.94,16523000,10437,249,8039,18725,0,0
3,LWSA3,2022-06-09,6.92,7.04,6.62,6.62,11932100,8818,329,8591,17738,0,0
4,LWSA3,2022-06-10,6.48,6.64,6.27,6.27,11837600,10105,296,7717,18118,0,0
5,LWSA3,2022-06-13,6.13,6.15,5.63,5.68,19642200,10647,272,9679,20596,2,0
6,LWSA3,2022-06-14,5.76,5.91,5.52,5.59,10219400,5748,164,7401,13312,1,0
7,LWSA3,2022-06-15,5.74,5.94,5.62,5.85,14014200,9083,540,9346,18772,197,0
8,LWSA3,2022-06-17,5.62,5.75,5.46,5.46,18426500,8502,524,10317,19130,213,0
9,LWSA3,2022-06-20,5.48,5.56,5.23,5.32,15100900,4287,244,6096,10497,130,0
10,LWSA3,2022-06-21,5.37,5.64,5.31,5.39,14961500,7490,211,11748,19448,1,0
11,LWSA3,2022-06-22,5.27,5.7,5.24,5.57,11015500,5061,213,7974,13245,3,0
12,LWSA3,2022-06-23,5.65,6.15,5.64,6.01,15826800,9094,155,9050,18295,4,0
13,LWSA3,2022-06-24,6.2,6.36,5.93,6.12,10549900,6924,176,6574,13674,0,0
14,LWSA3,2022-06-27,6.22,6.26,5.89,6.0,10607600,6448,164,5829,12441,0,0
15,LWSA3,2022-06-28,6.01,6.1,5.77,5.9,8862900,5365,112,5973,11450,0,0
16,LWSA3,2022-06-29,5.92,5.95,5.55,5.65,9834500,4251,388,7441,11815,265,0
17,LWSA3,2022-06-30,5.54,5.78,5.36,5.63,10724900,6604,241,9463,16308,0,0
18,LWSA3,2022-07-01,5.67,5.83,5.47,5.72,10066400,8600,170,7551,16319,2,0
19,LWSA3,2022-07-04,5.65,6.18,5.59,5.98,14656200,6664,173,7909,14744,2,0
20,LWSA3,2022-07-05,5.91,6.16,5.42,6.06,23405300,9581,247,9823,19651,0,0
21,LWSA3,2022-07-06,6.08,6.67,5.99,6.59,18708400,11355,157,9382,20892,2,0
22,LWSA3,2022-07-07,6.7,6.8,6.36,6.55,13055200,8758,183,6727,15668,0,0
23,LWSA3,2022-07-08,6.47,6.69,6.32,6.44,10546100,7203,202,6117,13522,0,0
24,LWSA3,2022-07-11,6.3,6.45,6.06,6.08,7544200,4427,116,6413,10956,0,0
25,LWSA3,2022-07-12,6.03,6.38,6.02,6.24,9322500,5548,171,5452,11168,1,2
26,LWSA3,2022-07-13,6.14,6.37,5.97,6.12,9823900,6653,123,7117,13885,0,8
27,LWSA3,2022-07-14,6.06,6.14,5.83,5.85,6913700,4478,152,4593,9212,0,11
28,LWSA3,2022-07-15,6.02,6.03,5.65,5.65,8123700,3706,204,5904,9800,1,13
29,LWSA3,2022-07-18,5.82,6.02,5.47,5.49,10179600,5470,140,5963,11562,0,11
30,LWSA3,2022-07-19,5.58,5.84,5.51,5.81,8613400,5064,220,5631,10901,0,14
31,LWSA3,2022-07-20,5.81,6.83,5.8,6.78,32610500,9864,765,12848,22998,2,477
32,LWSA3,2022-07-21,6.69,6.89,6.48,6.67,17279600,8095,934,7986,16355,2,658
33,LWSA3,2022-07-22,6.68,6.8,6.5,6.77,11213000,6193,458,6745,13084,2,310
34,LWSA3,2022-07-25,6.85,6.85,6.32,6.42,11689800,5668,474,5782,11622,2,300
35,LWSA3,2022-07-26,6.44,6.52,6.2,6.29,9384200,4852,268,5861,10828,3,150
36,LWSA3,2022-07-27,6.4,6.86,6.4,6.81,13459900,6519,411,6013,12648,0,295
37,LWSA3,2022-07-28,6.74,6.99,6.59,6.99,9552800,6055,362,4879,11031,24,241
38,LWSA3,2022-07-29,7.01,7.27,6.7,6.75,14591700,11888,554,8968,21061,1,348
39,LWSA3,2022-08-01,6.7,7.23,6.7,7.06,13334300,9341,440,9285,18765,1,300
40,LWSA3,2022-08-02,6.99,8.02,6.99,7.69,28817700,19300,992,14538,34122,4,704
41,LWSA3,2022-08-03,7.8,8.68,7.66,8.68,36189000,16594,1015,16271,33124,11,745
42,LWSA3,2022-08-08,9.1,9.36,8.6,8.69,15975600,10168,651,12334,22690,7,456
43,LWSA3,2022-08-09,8.72,8.97,8.57,8.77,17824000,11443,557,12411,24001,19,391
44,LWSA3,2022-08-10,9.25,9.52,8.95,9.22,20490200,18217,730,14928,33471,10,394
45,LWSA3,2022-08-12,9.36,9.98,9.15,9.8,21674300,12729,971,9217,22446,4,467
46,LWSA3,2022-08-15,9.66,10.78,9.62,10.35,17992100,13421,1085,19900,33594,9,803
47,LWSA3,2022-08-16,10.48,10.77,10.06,10.47,12927400,8470,588,12039,20657,9,431
48,LWSA3,2022-08-17,10.27,10.95,10.22,10.65,18311500,9721,699,17256,27238,5,433
49,LWSA3,2022-08-18,10.99,11.12,10.58,10.76,12790300,12844,749,11824,24964,9,444
50,LWSA3,2022-08-19,10.6,10.79,9.89,9.98,16029400,8539,725,9055,17764,8,547
51,LWSA3,2022-08-22,9.65,10.1,9.44,10.1,20041500,10016,808,10701,21147,5,373
52,LWSA3,2022-08-23,10.25,10.67,10.16,10.35,10220200,7764,753,6276,14370,0,423
53,LWSA3,2022-08-24,10.18,10.72,9.99,10.07,20969400,9223,1052,11706,21216,0,765
54,LWSA3,2022-08-25,10.18,10.24,9.82,9.91,10448100,5789,419,6435,12332,1,310
55,LWSA3,2022-08-26,10.02,10.15,9.57,9.58,8177800,5264,535,6181,11669,3,308
56,LWSA3,2022-08-29,9.49,9.79,9.41,9.56,11843000,7663,440,10220,18052,3,268
57,LWSA3,2022-08-30,9.72,9.99,9.2,9.36,9278000,6357,419,5792,12306,3,259
58,LWSA3,2022-08-31,9.44,9.68,9.29,9.29,6964200,5327,322,5263,10752,1,159
59,LWSA3,2022-09-01,9.29,9.63,9.12,9.58,8828000,8691,447,7012,15918,3,229
60,LWSA3,2022-09-02,9.7,9.98,9.33,9.37,9869700,6935,565,7099,14339,0,260
61,LWSA3,2022-09-05,9.49,9.8,9.37,9.39,5682200,3113,320,4068,7318,5,178
62,LWSA3,2022-09-06,9.39,9.39,8.88,9.0,8790700,5732,353,8625,14499,2,209
63,LWSA3,2022-09-08,9.05,9.34,9.05,9.25,5846900,4742,375,4974,9894,2,195
64,LWSA3,2022-09-09,9.35,9.46,9.2,9.25,6878100,6198,295,4835,11150,5,173
65,LWSA3,2022-09-12,9.38,9.85,9.32,9.7,9749700,7648,543,5016,12832,4,371
66,LWSA3,2022-09-13,9.39,9.4,9.01,9.21,13309900,11447,562,7723,19368,5,359
67,LWSA3,2022-09-14,9.25,9.51,9.11,9.26,6534200,4893,400,5187,10205,5,270
68,LWSA3,2022-09-15,9.31,9.41,9.01,9.11,6422800,4599,286,6351,11080,2,154
69,LWSA3,2022-09-16,8.9,9.28,8.75,9.06,14538800,9176,487,7741,17238,2,164
70,LWSA3,2022-09-19,8.95,9.24,8.93,9.15,5043900,5630,273,3446,9194,2,153
71,LWSA3,2022-09-20,9.16,9.38,9.0,9.27,5941100,4867,324,4566,9600,1,156
72,LWSA3,2022-09-21,9.24,9.55,9.05,9.19,7008600,5509,302,4476,10116,0,171
73,LWSA3,2022-09-22,9.4,9.59,8.85,9.11,10795900,8922,347,6469,15518,0,220
74,LWSA3,2022-09-23,8.95,9.12,8.92,9.09,5673000,4080,279,6774,11035,4,94
75,LWSA3,2022-09-27,9.06,9.38,8.82,8.93,8716300,4957,391,6107,11179,2,274
76,LWSA3,2022-09-28,8.97,9.0,8.75,8.96,5698800,4084,243,4893,9125,0,95
77,LWSA3,2022-09-29,8.85,8.87,8.4,8.43,11104000,4696,506,14997,19916,1,282
78,LWSA3,2022-09-30,8.43,9.21,8.29,9.04,16997700,11001,395,12245,23396,0,245
79,LWSA3,2022-10-03,9.3,10.01,9.27,9.86,15872300,17647,574,14718,32669,0,270
80,LWSA3,2022-10-04,10.08,10.72,10.07,10.39,13080800,13323,775,10557,24158,2,495
81,LWSA3,2022-10-05,10.38,10.83,10.02,10.77,9687100,9252,537,8210,17610,4,385
82,LWSA3,2022-10-06,10.73,11.34,10.66,11.09,12511800,11805,562,7432,19355,19,425
83,LWSA3,2022-10-07,11.13,11.45,10.74,10.89,8589700,7294,553,8131,15631,5,342
84,LWSA3,2022-10-10,10.97,11.2,10.51,10.66,7669500,8070,427,7440,15653,3,281
85,LWSA3,2022-10-11,10.63,10.67,9.88,9.93,10816800,9529,664,9314,19091,0,416
86,LWSA3,2022-10-13,9.71,10.17,9.48,9.92,11388500,8042,575,11155,19440,5,327
87,LWSA3,2022-10-14,10.11,10.34,9.58,9.71,8504600,5701,524,7569,13456,0,338
88,LWSA3,2022-10-17,9.8,10.43,9.77,10.19,9527700,7860,524,7011,14987,3,405
89,LWSA3,2022-10-18,10.65,10.84,10.17,10.8,15534000,16621,836,10207,26987,1,676
90,LWSA3,2022-10-19,10.81,10.9,10.31,10.39,21183200,15872,1290,13088,29416,28,806
91,LWSA3,2022-10-20,10.54,10.63,9.97,10.2,6960000,6868,493,5405,12485,2,279
92,LWSA3,2022-10-21,10.16,10.61,10.13,10.54,7222600,7284,458,4803,12268,3,274
93,LWSA3,2022-10-24,10.4,10.55,10.21,10.38,5753000,7576,342,6335,14094,1,158
94,LWSA3,2022-10-25,10.43,11.16,10.31,10.34,12542500,5931,665,8204,14320,1,479
95,LWSA3,2022-10-26,10.27,10.32,9.26,9.34,14742200,9230,907,14252,23748,132,509
96,LWSA3,2022-10-27,9.34,9.99,9.34,9.62,7716600,6416,638,5209,11832,1,430
97,LWSA3,2022-10-28,9.65,10.29,9.59,10.07,8372100,8505,520,7670,16347,2,346
98,LWSA3,2022-10-31,9.83,11.0,9.71,10.89,9932000,11140,433,8629,19939,2,261
99,LWSA3,2022-11-01,10.93,11.1,10.69,10.82,6465400,7168,427,6600,13911,1,283
100,LWSA3,2022-11-03,10.74,11.23,10.4,11.09,8732300,8678,553,6880,15776,2,333
101,LWSA3,2022-11-04,11.2,11.39,10.0,10.01,20501300,17115,886,13415,30826,8,582
102,LWSA3,2022-11-07,10.0,10.25,9.57,9.63,7617800,6895,876,9152,16251,5,667
103,LWSA3,2022-11-08,9.5,9.87,9.47,9.72,7521200,5524,661,6174,11916,2,441
104,LWSA3,2022-11-09,9.66,10.15,9.61,10.0,8560300,8337,515,6504,15011,1,344
105,LWSA3,2022-11-10,9.5,9.8,8.71,8.96,16521100,13554,721,22909,36736,1,447
106,LWSA3,2022-11-14,7.98,8.59,7.94,8.4,10120700,10077,465,7553,17766,0,329
107,LWSA3,2022-11-17,7.46,7.59,7.13,7.55,10865700,8918,394,8477,17511,1,277
108,LWSA3,2022-11-18,7.74,7.85,7.37,7.4,7851200,5000,382,7523,12710,1,194
109,LWSA3,2022-11-21,7.68,7.84,7.52,7.77,6545400,5348,387,6919,12463,1,190
110,LWSA3,2022-11-22,7.89,7.95,7.35,7.48,5984700,3288,334,5522,9022,1,121
111,LWSA3,2022-11-23,7.5,7.65,7.3,7.52,6876700,3706,406,5658,9546,0,224
112,LWSA3,2022-11-24,7.71,7.92,7.59,7.7,4748100,4243,289,3532,7931,1,132
113,LWSA3,2022-11-25,7.68,7.68,7.28,7.36,6033200,4790,329,5485,10463,0,141
114,LWSA3,2022-11-28,7.35,7.57,7.28,7.45,5965600,4515,596,4607,9216,331,171
115,LWSA3,2022-11-29,7.49,7.98,7.29,7.81,8828600,7182,453,6533,13820,1,347
116,LWSA3,2022-11-30,7.81,8.56,7.7,8.4,22188900,12973,623,11466,24614,13,435
117,LWSA3,2022-12-01,8.4,8.53,8.06,8.41,11557400,7117,432,9348,16637,9,251
118,LWSA3,2022-12-02,8.5,9.02,8.43,8.97,14727600,9882,456,9083,19123,5,293
119,LWSA3,2022-12-05,8.79,8.89,8.41,8.44,9221700,11771,362,9770,21763,0,140
120,LWSA3,2022-12-06,8.52,8.6,8.06,8.2,8896400,5617,367,6672,12440,3,213
121,LWSA3,2022-12-07,8.16,8.31,7.7,7.92,11430700,6706,401,9519,16329,4,293
