,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MATD3,2022-06-06,9.14,9.15,8.69,8.7,320600,574,44,712,1330,0,0
1,MATD3,2022-06-07,8.7,8.88,8.52,8.52,316400,835,45,1093,1973,0,0
2,MATD3,2022-06-08,8.53,8.83,8.42,8.83,490000,1302,81,1306,2689,0,0
3,MATD3,2022-06-09,8.71,8.98,8.67,8.79,302700,833,44,777,1654,0,0
4,MATD3,2022-06-10,8.58,8.76,8.33,8.49,337500,1057,31,1139,2227,0,0
5,MATD3,2022-06-13,8.17,8.59,8.01,8.01,526800,1390,65,1358,2813,0,0
6,MATD3,2022-06-14,8.13,8.26,7.75,7.82,464500,1595,37,1256,2888,0,0
7,MATD3,2022-06-15,8.01,8.36,7.84,8.18,624800,1983,56,1444,3483,0,0
8,MATD3,2022-06-17,8.09,8.43,7.92,8.3,957400,1479,53,1349,2881,0,0
9,MATD3,2022-06-20,8.26,8.42,7.67,7.8,513900,894,197,1425,2395,121,0
10,MATD3,2022-06-21,7.79,8.14,7.72,7.96,912000,1537,45,2756,4337,1,0
11,MATD3,2022-06-22,7.96,8.07,7.81,7.84,463300,909,83,1870,2861,1,0
12,MATD3,2022-06-23,7.98,8.19,7.85,8.12,263900,775,46,1309,2130,0,0
13,MATD3,2022-06-24,8.16,8.34,8.06,8.19,260900,971,40,870,1881,0,0
14,MATD3,2022-06-27,8.22,8.3,7.92,7.95,243500,359,44,476,879,0,0
15,MATD3,2022-06-28,8.04,8.04,7.54,7.75,392000,794,51,964,1809,0,0
16,MATD3,2022-06-29,7.73,7.73,7.45,7.51,187200,424,49,659,1132,0,0
17,MATD3,2022-06-30,7.39,7.67,7.21,7.67,1351700,1858,61,1642,3560,1,0
18,MATD3,2022-07-01,7.58,7.79,7.51,7.72,255500,634,34,578,1246,0,0
19,MATD3,2022-07-04,7.76,7.94,7.69,7.69,143500,260,30,182,472,0,0
20,MATD3,2022-07-05,7.66,8.18,7.55,8.17,465000,1542,71,1089,2702,0,0
21,MATD3,2022-07-06,8.07,8.42,7.99,8.19,148900,574,33,388,995,0,0
22,MATD3,2022-07-07,8.34,8.79,8.15,8.51,367900,963,68,710,1741,0,0
23,MATD3,2022-07-08,8.45,8.53,8.24,8.42,375600,705,46,693,1443,1,0
24,MATD3,2022-07-11,8.4,8.45,8.1,8.12,173900,494,46,524,1064,0,0
25,MATD3,2022-07-12,8.18,8.54,8.04,8.27,337000,1111,35,1253,2399,0,0
26,MATD3,2022-07-13,8.29,8.29,7.92,7.92,242500,591,43,722,1356,0,0
27,MATD3,2022-07-14,8.03,8.16,7.77,8.16,305300,484,56,798,1338,0,0
28,MATD3,2022-07-15,8.13,8.34,7.87,8.14,1065500,788,48,515,1350,1,0
29,MATD3,2022-07-18,8.19,8.19,7.5,7.5,364500,500,0,706,1206,0,0
30,MATD3,2022-07-19,7.62,7.71,7.42,7.47,664800,513,39,678,1230,0,0
31,MATD3,2022-07-20,7.47,7.83,7.37,7.74,457800,924,28,686,1638,0,0
32,MATD3,2022-07-21,7.73,8.69,7.73,8.69,540400,1444,60,1438,2942,0,0
33,MATD3,2022-07-22,8.5,8.56,8.25,8.29,172700,328,38,445,811,0,0
34,MATD3,2022-07-25,8.31,8.31,8.03,8.15,234100,370,60,416,846,0,0
35,MATD3,2022-07-26,8.02,8.04,7.6,7.67,312100,573,57,904,1534,0,0
