,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MBLY3,2022-06-06,3.46,3.49,3.25,3.28,1053500,907,49,761,1716,1,0
1,MBLY3,2022-06-07,3.24,3.29,3.09,3.29,1931000,1504,39,1119,2661,1,0
2,MBLY3,2022-06-08,3.25,3.31,3.13,3.13,1488600,2307,49,911,3267,0,0
3,MBLY3,2022-06-09,3.15,3.16,2.99,2.99,1280500,668,37,863,1567,1,0
4,MBLY3,2022-06-10,3.03,3.03,2.8,2.82,1445800,838,26,853,1717,0,0
5,MBLY3,2022-06-13,2.83,2.83,2.33,2.36,2826100,1192,53,1605,2850,0,0
6,MBLY3,2022-06-14,2.4,2.49,2.29,2.39,1386000,689,1,881,1570,1,0
7,MBLY3,2022-06-15,2.47,2.6,2.39,2.6,1576300,861,64,937,1862,0,0
8,MBLY3,2022-06-17,2.54,2.54,2.36,2.5,904800,574,34,513,1121,0,0
9,MBLY3,2022-06-20,2.52,2.52,2.35,2.47,957700,523,42,457,1022,0,0
10,MBLY3,2022-06-21,2.49,2.49,2.38,2.43,536700,495,51,378,924,0,0
11,MBLY3,2022-06-22,2.41,2.5,2.37,2.43,1067500,768,49,474,1291,0,0
12,MBLY3,2022-06-23,2.42,2.49,2.38,2.43,867700,573,39,524,1136,0,0
13,MBLY3,2022-06-24,2.48,2.55,2.35,2.37,1420800,717,42,769,1527,1,0
14,MBLY3,2022-06-27,2.41,2.5,2.38,2.49,2390600,941,32,956,1926,3,0
15,MBLY3,2022-06-28,2.48,2.49,2.36,2.43,706000,526,46,492,1064,0,0
16,MBLY3,2022-06-29,2.44,2.47,2.31,2.38,1052500,654,46,526,1226,0,0
17,MBLY3,2022-06-30,2.35,2.35,2.19,2.34,2058300,1027,82,872,1981,0,0
18,MBLY3,2022-07-01,2.28,2.36,2.16,2.2,1140500,682,76,791,1549,0,0
19,MBLY3,2022-07-04,2.18,2.19,2.09,2.14,1039200,529,31,566,1126,0,0
20,MBLY3,2022-07-05,2.13,2.23,2.05,2.16,2050000,958,32,751,1741,0,0
21,MBLY3,2022-07-06,2.2,2.37,2.15,2.23,1652200,858,43,965,1865,1,0
22,MBLY3,2022-07-07,2.29,2.39,2.23,2.36,1257600,733,52,720,1505,0,0
23,MBLY3,2022-07-08,2.35,2.38,2.27,2.33,924900,741,42,563,1346,0,0
24,MBLY3,2022-07-11,2.31,2.36,2.21,2.36,1882700,1072,68,1068,2208,0,0
25,MBLY3,2022-07-12,2.37,2.44,2.26,2.37,1317800,1082,66,874,2022,0,0
26,MBLY3,2022-07-13,2.35,2.47,2.3,2.4,2155700,1086,51,1670,2807,0,0
27,MBLY3,2022-07-14,2.37,2.43,2.3,2.4,1181000,722,40,1516,2277,1,0
28,MBLY3,2022-07-15,2.42,2.46,2.28,2.37,920200,882,47,1179,2108,0,0
29,MBLY3,2022-07-18,2.49,2.49,2.31,2.39,1513800,887,38,1501,2426,0,0
30,MBLY3,2022-07-19,2.39,2.59,2.37,2.49,2516400,1633,61,2374,4068,0,0
31,MBLY3,2022-07-20,2.47,2.55,2.41,2.53,1237600,1364,51,1689,3104,0,0
32,MBLY3,2022-07-21,2.5,2.55,2.45,2.46,708500,603,34,604,1241,0,0
33,MBLY3,2022-07-22,2.5,2.5,2.3,2.32,1218500,369,42,755,1166,0,0
34,MBLY3,2022-07-25,2.34,2.35,2.23,2.26,642900,316,33,610,959,0,0
35,MBLY3,2022-07-26,2.3,2.3,2.17,2.21,902700,460,23,659,1141,1,0
36,MBLY3,2022-07-27,2.23,2.3,2.19,2.29,889700,460,30,285,774,1,0
37,MBLY3,2022-07-28,2.27,2.42,2.25,2.4,1201800,620,19,311,950,0,0
38,MBLY3,2022-07-29,2.45,2.48,2.38,2.44,875800,598,36,648,1282,0,0
39,MBLY3,2022-08-01,2.43,2.57,2.41,2.46,932100,774,31,751,1556,0,0
40,MBLY3,2022-08-02,2.49,2.57,2.45,2.54,1248700,555,1,606,1162,0,0
41,MBLY3,2022-08-03,2.6,2.82,2.58,2.82,1237200,1318,22,557,1896,1,0
42,MBLY3,2022-08-08,2.81,2.88,2.73,2.75,741800,584,26,1004,1614,0,0
43,MBLY3,2022-08-09,2.79,2.81,2.57,2.68,1299400,551,37,1584,2171,1,0
44,MBLY3,2022-08-10,2.76,2.98,2.68,2.95,1263600,883,23,901,1807,0,0
45,MBLY3,2022-08-12,2.88,2.91,2.7,2.7,1089000,723,45,1388,2156,0,0
46,MBLY3,2022-08-15,2.69,2.99,2.61,2.93,1534900,1137,18,846,2001,0,0
