,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MDIA3,2022-06-06,26.05,26.13,25.88,25.96,819000,1752,76,2033,3859,2,0
1,MDIA3,2022-06-07,25.75,25.85,25.39,25.52,740500,1869,96,2386,4351,0,0
2,MDIA3,2022-06-08,25.49,26.17,25.29,25.69,1390000,4018,57,2975,7050,0,0
3,MDIA3,2022-06-09,25.7,26.58,25.66,26.14,1471900,3341,90,3511,6942,0,0
4,MDIA3,2022-06-10,25.84,26.16,25.45,25.9,2214600,3141,88,3501,6729,1,0
5,MDIA3,2022-06-13,25.43,26.02,25.37,25.53,2074100,4920,88,4807,9815,0,0
6,MDIA3,2022-06-14,25.5,25.77,24.49,24.6,1900600,3839,74,5052,8964,1,0
7,MDIA3,2022-06-15,24.75,25.17,24.31,24.65,1329200,2837,65,4237,7138,1,0
8,MDIA3,2022-06-17,24.18,24.69,23.98,24.08,2043400,3740,96,5554,9390,0,0
9,MDIA3,2022-06-20,24.15,24.49,23.53,24.43,1121100,2633,61,3356,6050,0,0
10,MDIA3,2022-06-21,24.69,24.74,24.03,24.28,798400,2644,42,2702,5388,0,0
11,MDIA3,2022-06-22,24.23,25.43,24.11,24.82,1240700,3155,55,3354,6564,0,0
12,MDIA3,2022-06-23,24.53,25.88,24.53,25.66,1345600,3690,81,3126,6897,0,0
13,MDIA3,2022-06-24,25.76,26.15,25.66,26.03,1510600,3784,68,2903,6755,0,0
14,MDIA3,2022-06-27,26.03,27.4,25.99,26.95,1734400,4016,108,4001,8125,0,0
15,MDIA3,2022-06-28,27.06,27.14,26.07,26.23,1092200,2607,100,2754,5461,0,0
16,MDIA3,2022-06-29,26.34,26.67,26.21,26.52,992600,2299,68,2336,4703,0,0
17,MDIA3,2022-06-30,26.02,26.83,25.92,26.29,1227800,3112,439,2952,6154,349,0
18,MDIA3,2022-07-01,26.03,26.69,25.79,26.45,1462800,2776,2380,2923,5806,2273,0
19,MDIA3,2022-07-04,26.35,26.78,26.24,26.66,873300,2800,56,2503,5358,1,0
20,MDIA3,2022-07-05,26.74,27.85,26.65,27.7,1423500,2927,71,3358,6356,0,0
21,MDIA3,2022-07-06,27.77,30.35,27.77,29.82,3640500,5967,91,5887,11939,6,0
22,MDIA3,2022-07-07,30.12,30.19,29.29,29.78,1329000,3146,72,3114,6332,0,0
23,MDIA3,2022-07-08,29.58,30.65,29.41,30.34,960400,2021,71,3319,5411,0,0
24,MDIA3,2022-07-11,30.19,31.33,30.16,31.0,1973800,3571,90,5844,9504,1,0
25,MDIA3,2022-07-12,30.71,31.05,30.0,30.39,1213600,3502,77,3337,6916,0,0
26,MDIA3,2022-07-13,30.23,31.2,30.12,30.82,1144200,2454,50,2670,5174,0,0
27,MDIA3,2022-07-14,30.46,31.15,30.36,30.88,1313600,3068,47,3350,6464,1,0
28,MDIA3,2022-07-15,30.84,30.93,30.18,30.36,905100,2163,43,2226,4432,0,0
29,MDIA3,2022-07-18,30.37,30.63,29.73,30.09,1263900,2961,79,3469,6508,1,0
30,MDIA3,2022-07-19,30.09,30.38,29.66,30.18,868600,2465,44,2378,4887,0,0
31,MDIA3,2022-07-20,29.95,30.71,29.95,30.37,788500,2339,71,2579,4989,0,0
32,MDIA3,2022-07-21,30.42,30.8,30.14,30.7,623300,1783,307,2100,3940,250,0
33,MDIA3,2022-07-22,30.81,30.93,30.4,30.85,843800,2037,59,3237,5333,0,0
34,MDIA3,2022-07-25,30.88,31.06,30.68,30.8,642000,1749,50,2827,4626,0,0
35,MDIA3,2022-07-26,30.81,31.52,30.62,31.06,1071300,2036,771,3250,5345,712,0
36,MDIA3,2022-07-27,31.11,32.0,30.99,31.76,1187400,3884,83,3297,7264,0,0
37,MDIA3,2022-07-28,31.7,32.0,30.95,31.16,775100,3014,69,2177,5253,7,0
38,MDIA3,2022-07-29,31.29,31.45,30.85,31.13,862700,2466,76,3325,5867,0,0
39,MDIA3,2022-08-01,31.16,31.79,30.92,31.35,616600,1909,60,1770,3738,1,0
40,MDIA3,2022-08-02,31.28,32.26,31.28,32.17,796200,2027,56,2365,4448,0,0
41,MDIA3,2022-08-03,32.2,32.71,32.0,32.21,1079200,3175,77,3502,6753,1,0
42,MDIA3,2022-08-08,32.53,33.7,32.34,32.61,1332700,3013,74,3504,6589,2,0
43,MDIA3,2022-08-09,32.7,32.89,32.3,32.48,765700,1661,72,2420,4152,1,0
44,MDIA3,2022-08-10,32.5,32.89,32.47,32.85,602100,2125,67,1771,3963,0,0
45,MDIA3,2022-08-12,31.62,32.86,31.62,32.5,1170600,3238,85,3239,6562,0,0
46,MDIA3,2022-08-15,34.59,41.3,34.56,40.25,8670200,16549,328,14431,31307,1,0
47,MDIA3,2022-08-16,40.0,40.74,39.15,40.26,2395000,6014,109,8120,14243,0,0
48,MDIA3,2022-08-17,39.9,41.0,39.9,40.7,1985700,5529,83,6939,12551,0,0
49,MDIA3,2022-08-18,40.69,41.91,40.65,41.78,1704900,4296,79,5308,9683,0,0
50,MDIA3,2022-08-19,41.37,43.06,41.3,42.7,2467200,5524,77,6626,12227,0,0
51,MDIA3,2022-08-22,42.63,42.63,41.39,41.75,1202100,2765,93,3559,6417,0,0
52,MDIA3,2022-08-23,41.6,42.2,41.45,41.7,1172300,2525,69,3681,6275,0,0
53,MDIA3,2022-08-24,41.46,42.86,41.11,41.77,2575700,3628,76,5062,8761,5,0
54,MDIA3,2022-08-25,41.9,43.64,41.9,42.08,1951200,3834,131,5604,9568,1,0
55,MDIA3,2022-08-26,42.08,42.46,41.4,41.5,1236400,3130,100,3944,7174,0,0
56,MDIA3,2022-08-29,41.21,42.79,41.21,42.06,1086000,3248,91,3531,6870,0,0
57,MDIA3,2022-08-30,42.51,44.32,42.5,44.19,2839300,6208,119,5880,12207,0,0
