,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MDNE3,2022-06-06,6.24,6.24,6.01,6.01,100400,94,0,376,470,0,0
1,MDNE3,2022-06-07,6.01,6.02,5.85,5.98,285100,565,17,856,1438,0,0
2,MDNE3,2022-06-08,5.9,5.91,5.71,5.82,175000,386,0,591,977,0,0
3,MDNE3,2022-06-09,5.71,5.75,5.58,5.75,292300,572,0,1408,1980,0,0
4,MDNE3,2022-06-10,5.67,5.74,5.5,5.7,398500,572,2,683,1257,0,0
5,MDNE3,2022-06-13,5.5,5.71,5.3,5.62,229900,366,15,326,707,0,0
6,MDNE3,2022-06-14,5.61,5.84,5.57,5.66,170200,293,0,289,582,0,0
7,MDNE3,2022-06-15,5.8,5.92,5.55,5.6,404000,521,0,573,1094,0,0
8,MDNE3,2022-06-17,5.56,5.62,5.4,5.58,119400,186,17,210,413,0,0
9,MDNE3,2022-06-20,5.55,5.65,5.47,5.6,76900,127,0,113,240,0,0
10,MDNE3,2022-06-21,5.64,5.65,5.5,5.57,35500,83,0,107,190,0,0
11,MDNE3,2022-06-22,5.48,5.55,5.4,5.45,374600,301,18,483,802,0,0
12,MDNE3,2022-06-23,5.46,5.5,5.31,5.36,203200,437,43,649,1129,0,0
13,MDNE3,2022-06-24,5.41,5.42,5.22,5.31,93100,83,17,225,325,0,0
14,MDNE3,2022-06-27,5.32,5.32,5.14,5.23,157800,210,12,834,1056,0,0
15,MDNE3,2022-06-28,5.24,5.34,5.21,5.32,57000,160,13,132,305,0,0
16,MDNE3,2022-06-29,5.34,5.36,5.14,5.17,108500,300,17,244,561,0,0
17,MDNE3,2022-06-30,5.13,5.2,5.01,5.14,133600,237,27,398,662,0,0
18,MDNE3,2022-07-01,5.04,5.27,5.04,5.15,157400,335,1,255,590,1,0
19,MDNE3,2022-07-04,5.15,5.21,5.0,5.0,159200,406,0,644,1050,0,0
20,MDNE3,2022-07-05,5.0,5.15,4.96,5.14,221600,209,6,170,385,0,0
21,MDNE3,2022-07-06,5.15,5.42,5.14,5.39,78200,150,7,121,278,0,0
22,MDNE3,2022-07-07,5.33,5.64,5.31,5.64,74200,137,1,95,233,0,0
23,MDNE3,2022-07-08,5.56,5.6,5.25,5.35,85700,96,14,184,294,0,0
24,MDNE3,2022-07-11,5.3,5.3,5.07,5.22,112900,234,8,464,704,2,0
25,MDNE3,2022-07-12,5.18,5.24,5.06,5.15,150200,261,9,544,814,0,0
26,MDNE3,2022-07-13,5.14,5.29,5.11,5.19,116800,193,6,372,571,0,0
27,MDNE3,2022-07-14,5.14,5.14,4.93,4.93,151300,176,1,364,540,1,0
28,MDNE3,2022-07-15,4.94,5.03,4.87,4.88,204400,481,2,642,1124,1,0
29,MDNE3,2022-07-18,4.93,5.12,4.91,5.0,204100,149,9,140,298,0,0
30,MDNE3,2022-07-19,5.03,5.03,4.91,4.92,165500,449,0,624,1073,0,0
31,MDNE3,2022-07-20,4.91,5.17,4.91,5.04,298000,237,11,467,715,0,0
32,MDNE3,2022-07-21,5.01,5.14,4.98,5.04,222600,421,17,857,1294,1,0
33,MDNE3,2022-07-22,5.04,5.08,4.87,5.08,155700,299,0,387,686,0,0
34,MDNE3,2022-07-25,5.05,5.1,4.93,5.09,96300,188,0,288,476,0,0
35,MDNE3,2022-07-26,5.14,5.14,4.9,4.97,73900,96,0,124,220,0,0
36,MDNE3,2022-07-27,4.96,5.18,4.93,5.06,209400,373,27,478,878,0,0
37,MDNE3,2022-07-28,5.07,5.41,5.07,5.26,122400,252,1,196,448,1,0
38,MDNE3,2022-07-29,5.25,5.4,5.2,5.21,147300,230,25,273,528,0,0
39,MDNE3,2022-08-01,5.3,5.63,5.3,5.41,152300,447,1,306,754,0,0
40,MDNE3,2022-08-02,5.48,5.7,5.41,5.7,98300,307,0,155,462,0,0
41,MDNE3,2022-08-03,5.71,6.22,5.66,6.09,324200,815,13,641,1469,0,0
42,MDNE3,2022-08-08,6.27,6.47,6.25,6.35,94700,293,13,286,592,0,0
43,MDNE3,2022-08-09,6.34,6.4,6.23,6.35,79400,159,9,140,308,0,0
44,MDNE3,2022-08-10,6.37,6.6,6.17,6.5,211900,338,12,290,640,0,0
45,MDNE3,2022-08-12,6.54,7.02,6.54,7.02,172700,143,32,131,306,0,0
46,MDNE3,2022-08-15,7.0,7.2,6.8,7.08,163400,210,16,336,562,0,0
47,MDNE3,2022-08-16,7.02,7.1,6.94,6.99,52000,102,14,85,201,0,0
48,MDNE3,2022-08-17,7.02,7.1,6.84,6.97,127900,203,11,381,595,0,0
49,MDNE3,2022-08-18,7.0,7.07,6.83,6.93,39900,58,13,72,143,0,0
50,MDNE3,2022-08-19,6.84,6.92,6.68,6.83,154000,211,17,254,482,0,0
51,MDNE3,2022-08-22,6.74,6.78,6.55,6.65,144500,82,19,115,216,0,0
52,MDNE3,2022-08-23,6.58,6.79,6.5,6.62,170400,262,32,621,915,0,0
53,MDNE3,2022-08-24,6.72,6.81,6.6,6.67,193500,114,23,641,778,0,0
54,MDNE3,2022-08-25,6.88,7.04,6.59,6.62,598200,423,39,1210,1672,0,0
55,MDNE3,2022-08-26,6.69,6.74,6.47,6.54,136100,221,18,593,832,0,0
56,MDNE3,2022-08-29,6.55,6.66,6.41,6.56,159800,188,19,719,926,0,0
57,MDNE3,2022-08-30,6.67,6.69,6.38,6.6,136200,349,23,188,560,0,0
58,MDNE3,2022-08-31,6.69,6.69,6.5,6.67,81200,123,14,170,307,0,0
59,MDNE3,2022-09-01,6.65,6.85,6.55,6.85,98400,226,11,122,359,0,0
60,MDNE3,2022-09-02,6.85,6.85,6.36,6.5,340500,248,36,927,1210,1,0
61,MDNE3,2022-09-05,6.49,7.05,6.27,6.87,517900,674,25,1229,1928,0,0
62,MDNE3,2022-09-06,6.91,7.05,6.5,6.77,540100,1418,33,679,2130,0,0
63,MDNE3,2022-09-08,6.72,6.82,6.52,6.59,227600,185,28,484,697,0,0
64,MDNE3,2022-09-09,6.56,6.8,6.56,6.64,139500,139,23,451,613,0,0
65,MDNE3,2022-09-12,6.74,6.9,6.7,6.85,92300,150,0,151,301,0,0
66,MDNE3,2022-09-13,6.72,6.99,6.68,6.78,192600,313,21,388,722,0,0
67,MDNE3,2022-09-14,6.89,7.12,6.77,6.95,283300,901,24,765,1690,0,0
68,MDNE3,2022-09-15,6.95,7.15,6.92,7.01,270200,228,19,227,474,0,0
69,MDNE3,2022-09-16,6.91,6.91,6.43,6.43,409500,328,69,778,1175,0,0
70,MDNE3,2022-09-19,6.47,6.67,6.42,6.48,261300,240,25,340,604,1,0
71,MDNE3,2022-09-20,6.48,6.6,6.39,6.5,256800,270,25,550,845,0,0
72,MDNE3,2022-09-21,6.49,6.52,6.21,6.5,300000,316,25,842,1183,0,0
73,MDNE3,2022-09-22,6.54,6.87,6.44,6.87,268300,545,15,984,1544,0,0
74,MDNE3,2022-09-23,6.68,6.73,6.54,6.55,151500,260,43,418,721,0,0
75,MDNE3,2022-09-27,6.35,6.53,6.29,6.42,292800,702,14,914,1629,1,0
76,MDNE3,2022-09-28,6.38,6.52,6.34,6.4,96300,172,20,238,430,0,0
77,MDNE3,2022-09-29,6.36,6.44,6.2,6.27,248700,233,16,324,573,0,0
78,MDNE3,2022-09-30,6.39,6.65,6.25,6.48,337800,409,26,638,1073,0,0
79,MDNE3,2022-10-03,6.73,6.93,6.62,6.7,557000,776,1,869,1645,1,0
80,MDNE3,2022-10-04,6.71,6.9,6.55,6.81,276900,405,12,621,1038,0,0
81,MDNE3,2022-10-05,6.87,7.28,6.66,7.2,276000,492,10,744,1246,0,0
82,MDNE3,2022-10-06,7.25,7.43,7.12,7.35,501600,196,19,124,338,1,0
83,MDNE3,2022-10-07,7.49,7.85,7.32,7.52,951600,1112,0,997,2109,0,0
84,MDNE3,2022-10-10,7.37,7.6,7.37,7.5,102400,158,16,133,307,0,0
85,MDNE3,2022-10-11,7.46,7.68,7.41,7.53,147100,189,15,381,585,0,0
86,MDNE3,2022-10-13,7.41,7.84,7.38,7.71,312100,293,19,339,650,1,0
87,MDNE3,2022-10-14,7.75,7.87,7.59,7.65,141100,272,10,371,653,0,0
88,MDNE3,2022-10-17,7.62,7.71,7.5,7.51,187100,610,27,297,934,0,0
89,MDNE3,2022-10-18,7.51,7.54,7.21,7.4,150000,158,26,410,594,0,0
90,MDNE3,2022-10-19,7.39,7.39,7.2,7.2,380400,152,82,336,570,0,0
91,MDNE3,2022-10-20,7.3,7.39,7.12,7.17,108000,114,17,301,432,0,0
92,MDNE3,2022-10-21,7.2,7.46,7.08,7.46,84600,284,18,172,474,0,0
93,MDNE3,2022-10-24,7.37,7.44,7.21,7.34,537900,304,4196,119,423,4196,0
94,MDNE3,2022-10-25,7.3,7.52,7.11,7.4,218500,517,13,302,832,0,0
95,MDNE3,2022-10-26,7.39,7.39,6.81,6.9,285700,340,38,353,731,0,0
96,MDNE3,2022-10-27,6.96,7.15,6.82,6.89,204100,655,30,345,1030,0,0
97,MDNE3,2022-10-28,6.95,7.11,6.77,7.1,215500,259,19,814,1092,0,0
98,MDNE3,2022-10-31,7.04,7.4,6.82,7.4,205300,195,28,256,478,1,0
99,MDNE3,2022-11-01,7.47,7.55,7.2,7.55,118700,200,21,279,500,0,0
100,MDNE3,2022-11-03,7.5,7.61,7.31,7.48,95100,184,12,178,374,0,0
101,MDNE3,2022-11-04,7.63,7.68,7.48,7.68,67100,104,15,138,257,0,0
102,MDNE3,2022-11-07,7.7,7.7,7.35,7.5,284600,747,22,548,1317,0,0
103,MDNE3,2022-11-08,7.39,7.62,7.24,7.62,259200,260,26,421,707,0,0
104,MDNE3,2022-11-09,7.6,7.79,7.47,7.54,145100,225,18,168,411,0,0
105,MDNE3,2022-11-10,7.51,7.51,6.82,6.97,429300,359,19,741,1119,0,0
106,MDNE3,2022-11-14,6.73,6.81,6.4,6.5,364200,349,17,448,814,0,0
107,MDNE3,2022-11-17,6.01,6.05,5.7,5.92,570300,809,23,631,1463,0,0
108,MDNE3,2022-11-18,5.95,6.2,5.76,5.8,177600,246,18,242,506,0,0
109,MDNE3,2022-11-21,5.96,6.01,5.66,5.68,203200,228,0,404,632,0,0
110,MDNE3,2022-11-22,5.74,5.8,5.25,5.41,736900,607,41,475,1123,0,0
111,MDNE3,2022-11-23,5.34,5.45,5.22,5.44,187200,301,0,252,553,0,0
112,MDNE3,2022-11-24,5.44,5.8,5.44,5.7,200800,139,13,133,285,0,0
113,MDNE3,2022-11-25,5.71,5.71,5.5,5.6,85700,118,0,177,295,0,0
114,MDNE3,2022-11-28,5.57,5.69,5.51,5.65,86900,58,16,106,180,0,0
115,MDNE3,2022-11-29,5.65,5.88,5.65,5.88,103100,187,22,164,373,0,0
116,MDNE3,2022-11-30,5.82,5.82,5.54,5.67,233700,200,26,396,622,0,0
117,MDNE3,2022-12-01,5.7,5.88,5.6,5.78,210900,568,17,457,1042,0,0
118,MDNE3,2022-12-02,5.78,5.98,5.75,5.93,89300,160,13,155,328,0,0
119,MDNE3,2022-12-05,5.93,6.0,5.65,5.65,123500,185,16,497,698,0,0
120,MDNE3,2022-12-06,5.71,5.72,5.54,5.6,111500,192,16,186,394,0,0
121,MDNE3,2022-12-07,5.6,5.92,5.6,5.73,170300,342,12,285,639,0,0
122,MDNE3,2022-12-08,5.71,5.71,5.49,5.64,621700,377,15,429,821,0,0
123,MDNE3,2022-12-09,5.63,5.7,5.39,5.41,115300,277,0,294,571,0,0
124,MDNE3,2022-12-12,5.45,5.49,5.21,5.39,180500,176,0,257,433,0,0
125,MDNE3,2022-12-13,5.4,5.55,5.31,5.39,162900,203,15,222,440,0,0
126,MDNE3,2022-12-14,5.4,5.6,5.01,5.6,412300,364,20,448,832,0,0
127,MDNE3,2022-12-15,5.53,5.6,5.34,5.38,132500,142,34,250,426,0,0
128,MDNE3,2022-12-16,5.38,5.42,5.22,5.32,106100,170,29,344,543,0,0
129,MDNE3,2022-12-19,5.32,5.58,5.24,5.47,188700,192,16,380,588,0,0
130,MDNE3,2022-12-20,5.55,5.87,5.48,5.79,194000,429,10,298,737,0,0
131,MDNE3,2022-12-21,5.86,5.86,5.61,5.81,95000,115,10,170,295,0,0
132,MDNE3,2022-12-22,5.81,5.86,5.71,5.71,61100,120,25,138,283,0,0
133,MDNE3,2022-12-23,5.69,5.92,5.69,5.87,313000,408,16,303,727,0,0
134,MDNE3,2022-12-26,5.76,5.88,5.68,5.72,51400,95,0,115,210,0,0
135,MDNE3,2022-12-27,5.72,5.72,5.49,5.49,149200,134,24,366,524,0,0
136,MDNE3,2022-12-28,5.6,5.69,5.48,5.66,76300,85,9,127,221,0,0
137,MDNE3,2022-12-29,5.66,5.91,5.59,5.81,104500,137,11,134,282,0,0
138,MDNE3,2023-01-02,5.79,5.8,5.44,5.48,104200,139,0,295,434,0,0
139,MDNE3,2023-01-03,5.48,5.58,5.32,5.33,121200,168,1,280,449,0,0
140,MDNE3,2023-01-04,5.34,5.53,5.3,5.4,97000,166,0,176,342,0,0
141,MDNE3,2023-01-05,5.36,5.8,5.32,5.77,199400,160,0,248,408,0,0
142,MDNE3,2023-01-06,5.78,6.18,5.76,5.9,188500,211,0,310,521,0,0
143,MDNE3,2023-01-09,5.8,5.89,5.61,5.81,171800,355,0,528,883,0,0
144,MDNE3,2023-01-10,5.81,5.96,5.7,5.95,161400,268,19,227,514,0,0
145,MDNE3,2023-01-11,5.97,5.99,5.75,5.87,109600,244,1,224,469,0,0
146,MDNE3,2023-01-12,5.89,6.02,5.64,5.9,253700,373,17,307,697,0,0
147,MDNE3,2023-01-13,5.9,5.9,5.56,5.58,271000,232,38,434,704,0,0
148,MDNE3,2023-01-16,5.6,5.63,5.48,5.52,119700,142,17,250,409,0,0
149,MDNE3,2023-01-17,5.53,5.84,5.53,5.77,113200,177,14,297,488,0,0
150,MDNE3,2023-01-18,5.78,5.9,5.65,5.65,300000,592,17,760,1369,0,0
151,MDNE3,2023-01-19,5.64,5.77,5.55,5.73,121200,115,19,156,290,0,0
152,MDNE3,2023-01-20,5.73,5.84,5.67,5.75,256500,217,18,212,447,0,0
153,MDNE3,2023-01-23,5.81,5.87,5.66,5.86,117300,236,1,340,577,0,0
154,MDNE3,2023-01-24,5.86,5.86,5.69,5.81,139400,270,12,269,551,0,0
155,MDNE3,2023-01-25,5.8,5.99,5.77,5.95,127600,379,1,238,618,0,0
156,MDNE3,2023-01-26,5.95,6.04,5.84,5.85,166900,614,0,501,1115,0,0
157,MDNE3,2023-01-30,5.83,5.97,5.7,5.75,98000,161,0,174,335,0,0
158,MDNE3,2023-01-31,5.72,5.83,5.67,5.67,127700,198,0,272,470,0,0
159,MDNE3,2023-02-01,5.68,5.75,5.52,5.68,108400,173,11,278,462,0,0
160,MDNE3,2023-02-02,5.6,5.8,5.55,5.6,141800,367,0,155,522,0,0
161,MDNE3,2023-02-03,5.58,5.7,5.43,5.58,89100,98,0,180,278,0,0
162,MDNE3,2023-02-06,5.54,5.57,5.35,5.46,146700,144,0,482,626,0,0
163,MDNE3,2023-02-07,5.46,5.57,5.39,5.47,86900,129,0,180,309,0,0
164,MDNE3,2023-02-08,5.5,5.59,5.42,5.57,171200,454,0,262,716,0,0
165,MDNE3,2023-02-09,5.5,5.5,5.2,5.2,221300,161,28,317,506,0,0
166,MDNE3,2023-02-10,5.2,5.35,5.18,5.34,149800,160,14,423,597,0,0
167,MDNE3,2023-02-13,5.34,5.38,5.26,5.29,112900,125,0,692,817,0,0
168,MDNE3,2023-02-14,5.33,5.37,5.22,5.22,119900,107,0,215,322,0,0
169,MDNE3,2023-02-15,5.28,5.5,5.19,5.38,142100,221,0,196,417,0,0
170,MDNE3,2023-02-16,5.49,5.49,5.19,5.2,217100,319,17,377,713,0,0
171,MDNE3,2023-02-17,5.18,5.35,5.18,5.34,77500,152,11,119,282,0,0
172,MDNE3,2023-02-20,5.18,5.35,5.18,5.34,77500,152,11,119,282,0,0
173,MDNE3,2023-02-21,5.18,5.35,5.18,5.34,77500,152,11,119,282,0,0
174,MDNE3,2023-02-22,5.3,5.32,5.16,5.31,148900,47,23,229,299,0,0
175,MDNE3,2023-02-23,5.3,5.32,5.2,5.22,83800,80,21,83,184,0,0
176,MDNE3,2023-02-24,5.27,5.34,5.15,5.29,87700,81,0,89,170,0,0
177,MDNE3,2023-02-27,5.28,5.37,5.11,5.37,227500,328,32,336,696,0,0
178,MDNE3,2023-02-28,5.29,5.3,5.05,5.05,203900,187,34,298,519,0,0
179,MDNE3,2023-03-01,5.1,5.14,4.85,4.92,308900,418,1,457,876,0,0
180,MDNE3,2023-03-02,4.97,5.01,4.84,4.92,128200,166,1,154,321,0,0
181,MDNE3,2023-03-03,5.02,5.1,4.87,4.93,194500,238,6,254,498,0,0
182,MDNE3,2023-03-06,4.93,5.07,4.9,4.99,72100,102,0,153,255,0,0
183,MDNE3,2023-03-07,5.1,5.19,4.9,5.01,161000,125,0,225,350,0,0
184,MDNE3,2023-03-08,5.02,5.5,4.94,5.5,318800,324,0,566,890,0,0
185,MDNE3,2023-03-09,5.44,5.44,5.11,5.2,740600,822,0,600,1422,0,0
186,MDNE3,2023-03-10,5.12,5.3,4.93,5.0,386300,220,0,287,507,0,0
187,MDNE3,2023-03-13,4.99,5.09,4.91,5.02,138700,205,0,144,349,0,0
188,MDNE3,2023-03-14,5.06,5.07,4.92,4.93,138600,264,0,151,415,0,0
189,MDNE3,2023-03-15,4.9,5.06,4.8,5.06,117100,150,2,120,272,0,0
190,MDNE3,2023-03-16,5.0,5.25,5.0,5.2,298300,259,17,200,476,0,0
191,MDNE3,2023-03-17,5.26,5.27,4.95,4.99,318800,186,0,200,386,0,0
192,MDNE3,2023-03-20,5.01,5.01,4.81,4.81,124400,124,0,179,303,0,0
193,MDNE3,2023-03-21,4.81,4.9,4.76,4.87,108500,94,0,289,383,0,0
194,MDNE3,2023-03-23,4.88,4.93,4.66,4.73,348000,311,14,259,583,1,0
195,MDNE3,2023-03-24,4.7,4.9,4.7,4.84,136000,122,0,174,296,0,0
196,MDNE3,2023-03-27,4.94,4.97,4.75,4.9,568700,119,22,199,340,0,0
197,MDNE3,2023-03-28,4.91,5.02,4.85,5.01,208300,139,0,165,304,0,0
198,MDNE3,2023-03-29,4.94,5.02,4.84,4.93,159700,145,15,342,502,0,0
199,MDNE3,2023-03-30,5.03,5.18,4.98,5.06,201700,178,18,217,412,1,0
200,MDNE3,2023-03-31,5.07,5.1,4.94,5.1,463100,118,18,210,346,0,0
201,MDNE3,2023-04-04,5.07,5.07,4.92,4.95,190600,184,1,187,372,0,0
202,MDNE3,2023-04-05,5.04,5.06,4.86,4.94,132900,361,0,296,657,0,0
203,MDNE3,2023-04-06,4.99,5.01,4.86,4.97,214600,223,0,380,603,0,0
204,MDNE3,2023-04-07,4.99,5.01,4.86,4.97,214600,223,0,380,603,0,0
205,MDNE3,2023-04-10,5.0,5.1,4.93,5.09,156200,244,0,325,569,0,0
206,MDNE3,2023-04-11,5.08,5.39,5.08,5.25,263600,466,1,270,736,1,0
207,MDNE3,2023-04-12,5.34,5.52,5.22,5.42,195900,197,0,190,387,0,0
208,MDNE3,2023-04-13,5.42,5.62,5.36,5.51,241200,196,15,214,425,0,0
209,MDNE3,2023-04-14,5.6,5.87,5.46,5.85,268400,258,14,243,515,0,0
210,MDNE3,2023-04-17,5.85,5.99,5.71,5.84,151400,195,7,238,440,0,0
211,MDNE3,2023-04-18,5.98,5.98,5.63,5.63,177800,169,31,274,473,1,0
212,MDNE3,2023-04-19,5.6,5.64,5.36,5.4,167500,131,1,256,388,0,0
213,MDNE3,2023-04-20,5.44,5.44,5.24,5.25,197700,137,1,260,397,1,0
214,MDNE3,2023-04-21,5.44,5.44,5.24,5.25,197700,137,1,260,397,1,0
215,MDNE3,2023-04-24,5.23,5.37,5.17,5.37,98900,140,0,149,289,0,0
216,MDNE3,2023-04-25,5.42,5.42,5.18,5.19,75200,106,0,144,250,0,0
217,MDNE3,2023-04-26,5.23,5.35,5.2,5.21,83000,102,0,78,180,0,0
218,MDNE3,2023-04-27,5.35,5.4,5.29,5.32,72600,92,2,90,182,2,0
219,MDNE3,2023-04-28,5.43,5.7,5.31,5.57,99100,146,9,123,278,0,0
220,MDNE3,2023-05-01,5.43,5.7,5.31,5.57,99100,146,9,123,278,0,0
221,MDNE3,2023-05-02,5.57,5.57,5.32,5.4,78700,119,1,234,354,0,0
222,MDNE3,2023-05-03,5.41,5.49,5.26,5.39,225500,157,0,377,534,0,0
223,MDNE3,2023-05-04,5.41,5.52,5.26,5.4,273800,425,0,460,885,0,0
224,MDNE3,2023-05-05,5.44,5.59,5.31,5.59,155800,93,0,443,536,0,0
225,MDNE3,2023-05-08,5.59,5.68,5.54,5.56,313000,149,0,443,592,0,0
226,MDNE3,2023-05-09,5.57,5.9,5.56,5.82,223600,177,0,394,571,0,0
227,MDNE3,2023-05-10,5.92,5.94,5.7,5.94,321600,235,23,484,741,1,0
228,MDNE3,2023-05-11,5.95,6.1,5.8,6.1,328300,245,15,414,673,1,0
229,MDNE3,2023-05-12,6.11,6.35,6.05,6.1,553400,446,2,629,1077,0,0
230,MDNE3,2023-05-15,6.16,6.16,6.01,6.11,168600,130,24,329,483,0,0
231,MDNE3,2023-05-16,6.15,6.15,5.8,5.96,210800,296,22,366,684,0,0
232,MDNE3,2023-05-17,5.96,6.29,5.88,6.23,286100,387,0,444,831,0,0
233,MDNE3,2023-05-18,6.24,6.35,5.9,6.08,2372600,972,49,1452,2473,0,0
234,MDNE3,2023-05-19,6.13,6.52,6.09,6.5,546200,460,23,796,1279,0,0
235,MDNE3,2023-05-22,6.55,6.78,6.33,6.6,638900,630,38,1104,1772,0,0
236,MDNE3,2023-05-23,6.6,6.64,6.42,6.44,385300,193,57,545,795,0,0
237,MDNE3,2023-05-24,6.44,6.68,6.33,6.48,566000,411,44,634,1089,0,0
238,MDNE3,2023-05-25,6.53,6.71,6.43,6.63,927900,857,18,1608,2483,0,0
239,MDNE3,2023-05-26,6.71,7.01,6.64,7.0,786600,647,43,884,1574,0,0
240,MDNE3,2023-05-29,7.0,7.19,6.89,7.18,484000,667,1,764,1432,0,0
241,MDNE3,2023-05-30,7.14,7.22,6.9,7.05,493900,369,0,790,1159,0,0
242,MDNE3,2023-05-31,7.2,7.56,6.95,7.44,604200,568,56,621,1245,0,0
243,MDNE3,2023-06-01,7.51,7.95,7.44,7.86,559500,962,24,1069,2055,0,0
244,MDNE3,2023-06-02,7.98,8.49,7.96,8.1,1155100,974,56,1622,2652,0,0
245,MDNE3,2023-06-05,8.13,8.57,7.98,8.5,683400,806,50,1168,2024,0,0
246,MDNE3,2023-06-06,8.5,8.69,8.39,8.63,339200,543,21,676,1240,0,0
247,MDNE3,2023-06-07,8.7,8.78,8.49,8.72,360200,788,20,805,1613,0,0
