,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MEAL3,2022-06-06,2.07,2.08,1.94,1.97,3113600,1076,115,1653,2843,1,0
1,MEAL3,2022-06-07,1.93,1.94,1.89,1.9,2341500,2109,20,1414,3543,0,0
2,MEAL3,2022-06-08,1.92,1.93,1.87,1.9,1520700,1296,19,636,1951,0,0
3,MEAL3,2022-06-09,1.92,1.92,1.81,1.82,2013700,935,52,1255,2241,1,0
4,MEAL3,2022-06-10,1.83,1.83,1.77,1.8,1623100,1886,18,1012,2916,0,0
5,MEAL3,2022-06-13,1.75,1.76,1.66,1.69,2203100,1683,39,1020,2742,0,0
6,MEAL3,2022-06-14,1.67,1.68,1.59,1.6,2207800,846,25,1481,2352,0,0
7,MEAL3,2022-06-15,1.61,1.71,1.6,1.69,3994800,4654,404,977,5670,365,0
8,MEAL3,2022-06-17,1.66,1.69,1.62,1.69,1659900,1125,30,1441,2595,1,0
9,MEAL3,2022-06-20,1.66,1.67,1.6,1.66,1948400,924,11,935,1870,0,0
10,MEAL3,2022-06-21,1.64,1.67,1.61,1.61,1283200,549,23,1284,1856,0,0
11,MEAL3,2022-06-22,1.6,1.71,1.59,1.66,3075900,1391,21,1466,2878,0,0
12,MEAL3,2022-06-23,1.64,1.69,1.63,1.68,1259000,1386,34,447,1867,0,0
13,MEAL3,2022-06-24,1.7,1.77,1.67,1.72,2643700,1333,20,1031,2384,0,0
14,MEAL3,2022-06-27,1.69,1.74,1.68,1.7,795100,592,12,777,1381,0,0
15,MEAL3,2022-06-28,1.68,1.73,1.62,1.62,1101700,430,28,1138,1596,0,0
16,MEAL3,2022-06-29,1.62,1.64,1.59,1.59,1319200,347,794,1001,1362,780,0
17,MEAL3,2022-06-30,1.56,1.63,1.53,1.6,1753900,1766,26,890,2682,0,0
18,MEAL3,2022-07-01,1.59,1.65,1.57,1.65,762300,677,45,1199,1921,0,0
19,MEAL3,2022-07-04,1.65,1.65,1.58,1.59,678100,416,32,643,1091,0,0
20,MEAL3,2022-07-05,1.6,1.6,1.51,1.57,1539900,562,13,1362,1937,0,0
21,MEAL3,2022-07-06,1.56,1.65,1.55,1.64,1724200,1402,16,965,2383,0,0
22,MEAL3,2022-07-07,1.67,1.7,1.61,1.63,1313900,941,58,954,1953,0,0
23,MEAL3,2022-07-08,1.62,1.65,1.59,1.6,1270900,408,14,743,1165,0,0
24,MEAL3,2022-07-11,1.59,1.6,1.53,1.54,1031100,760,29,779,1568,0,0
25,MEAL3,2022-07-12,1.56,1.62,1.53,1.57,3232500,1198,12,823,2033,0,0
26,MEAL3,2022-07-13,1.56,1.62,1.55,1.6,971600,870,26,433,1329,0,0
27,MEAL3,2022-07-14,1.58,1.6,1.54,1.56,1876500,1115,11,646,1772,0,0
28,MEAL3,2022-07-15,1.54,1.57,1.53,1.55,1708000,2228,10,582,2820,0,0
29,MEAL3,2022-07-18,1.55,1.59,1.54,1.54,1244700,604,6,483,1093,0,0
30,MEAL3,2022-07-19,1.55,1.57,1.53,1.54,1279300,1714,14,430,2158,0,0
31,MEAL3,2022-07-20,1.55,1.68,1.54,1.62,2679200,1417,81,859,2357,0,0
32,MEAL3,2022-07-21,1.62,1.71,1.62,1.71,1735600,1634,26,1226,2886,0,0
33,MEAL3,2022-07-22,1.71,1.77,1.66,1.68,3293000,3270,19,1376,4665,0,0
34,MEAL3,2022-07-25,1.7,1.7,1.63,1.65,1611400,1116,19,630,1765,0,0
35,MEAL3,2022-07-26,1.66,1.66,1.54,1.54,3328100,956,57,1102,2115,0,0
36,MEAL3,2022-07-27,1.55,1.6,1.54,1.59,2145000,1051,19,708,1778,0,0
37,MEAL3,2022-07-28,1.6,1.63,1.56,1.61,1548200,687,12,644,1342,1,0
38,MEAL3,2022-07-29,1.6,1.65,1.58,1.63,1936800,1330,27,447,1804,0,0
39,MEAL3,2022-08-01,1.64,1.73,1.63,1.67,2130700,2674,22,1647,4343,0,0
40,MEAL3,2022-08-02,1.67,1.72,1.64,1.69,1935500,990,27,647,1664,0,0
41,MEAL3,2022-08-03,1.68,1.82,1.68,1.82,3215800,1698,34,688,2419,1,0
42,MEAL3,2022-08-08,2.11,2.16,2.05,2.05,2115600,888,38,971,1897,0,0
43,MEAL3,2022-08-09,2.06,2.08,1.91,1.95,1731800,841,25,1702,2568,0,0
44,MEAL3,2022-08-10,1.96,2.1,1.95,2.07,2123200,2963,22,869,3854,0,0
45,MEAL3,2022-08-12,2.0,2.08,1.97,2.02,1863500,3866,31,859,4756,0,0
46,MEAL3,2022-08-15,2.08,2.15,2.01,2.13,2077800,1952,20,994,2966,0,0
47,MEAL3,2022-08-16,2.14,2.28,2.08,2.24,2166400,1249,17,953,2219,0,0
48,MEAL3,2022-08-17,2.28,2.28,2.12,2.15,2869900,1116,44,1270,2430,0,0
49,MEAL3,2022-08-18,2.16,2.16,2.02,2.05,1842600,685,51,1485,2221,0,0
50,MEAL3,2022-08-19,2.03,2.03,1.94,1.98,1571800,550,23,1105,1677,1,0
51,MEAL3,2022-08-22,1.96,1.98,1.91,1.98,748300,511,18,1299,1828,0,0
52,MEAL3,2022-08-23,1.96,2.03,1.93,2.0,917200,699,21,1575,2295,0,0
53,MEAL3,2022-08-24,2.0,2.1,2.0,2.04,1520600,743,18,1081,1842,0,0
54,MEAL3,2022-08-25,2.06,2.1,2.03,2.06,1259500,558,23,621,1202,0,0
55,MEAL3,2022-08-26,2.08,2.16,1.97,2.0,2561600,1065,46,904,2015,0,0
56,MEAL3,2022-08-29,2.05,2.12,2.02,2.1,1953600,1059,20,1050,2129,0,0
57,MEAL3,2022-08-30,2.1,2.13,2.0,2.04,2072100,1089,33,1264,2386,0,0
58,MEAL3,2022-08-31,2.04,2.07,1.99,1.99,862300,496,28,681,1205,0,0
59,MEAL3,2022-09-01,1.99,2.04,1.95,2.01,1013900,1154,14,471,1639,0,0
60,MEAL3,2022-09-02,2.03,2.08,2.01,2.03,1031200,890,35,560,1485,0,0
61,MEAL3,2022-09-05,2.0,2.03,1.99,2.0,847200,429,32,473,934,0,0
62,MEAL3,2022-09-06,2.01,2.02,1.93,1.95,1239000,605,26,1149,1780,0,0
63,MEAL3,2022-09-08,2.0,2.03,1.96,2.03,1750800,1434,27,893,2354,0,0
64,MEAL3,2022-09-09,2.02,2.11,2.02,2.06,1236300,1267,14,589,1870,0,0
65,MEAL3,2022-09-12,2.06,2.11,2.06,2.1,760900,621,28,590,1239,0,0
66,MEAL3,2022-09-13,2.09,2.1,2.04,2.06,1035800,1097,14,1202,2313,0,0
67,MEAL3,2022-09-14,2.05,2.08,2.02,2.06,867200,550,2,1169,1721,0,0
68,MEAL3,2022-09-15,2.03,2.07,2.01,2.05,990700,852,26,1168,2046,0,0
69,MEAL3,2022-09-16,2.02,2.02,1.95,1.95,2177200,634,144,2006,2783,1,0
70,MEAL3,2022-09-19,2.06,2.22,2.06,2.15,4125000,1534,49,1182,2765,0,0
