,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MEGA3,2022-06-06,10.53,10.65,10.04,10.08,1164100,1677,79,2153,3909,0,0
1,MEGA3,2022-06-07,10.0,10.23,9.87,10.23,1247900,3421,66,2512,5999,0,0
2,MEGA3,2022-06-08,10.16,10.31,10.02,10.1,557900,1464,61,1320,2844,1,0
3,MEGA3,2022-06-09,10.11,10.11,9.8,9.82,1281000,1858,79,2352,4289,0,0
4,MEGA3,2022-06-10,9.67,9.69,9.28,9.29,2471900,4489,121,2650,7198,62,0
5,MEGA3,2022-06-13,9.13,9.27,8.98,9.01,1350100,2720,70,2311,5101,0,0
6,MEGA3,2022-06-14,9.07,9.23,8.94,9.02,1766200,2420,67,2562,5048,1,0
7,MEGA3,2022-06-15,9.17,9.98,9.1,9.98,2841600,5617,95,5195,10907,0,0
8,MEGA3,2022-06-17,9.79,10.2,9.77,10.0,4003300,3643,244,2637,6447,77,0
9,MEGA3,2022-06-20,10.14,10.21,9.91,10.08,1389500,3118,60,2597,5775,0,0
10,MEGA3,2022-06-21,10.14,10.47,10.11,10.3,1358100,2664,61,2656,5381,0,0
11,MEGA3,2022-06-22,10.1,10.47,10.01,10.23,1443500,3572,74,2602,6247,1,0
12,MEGA3,2022-06-23,10.31,10.4,9.99,10.04,841100,1781,67,1861,3709,0,0
13,MEGA3,2022-06-24,10.12,10.28,10.05,10.05,1306300,1980,66,2913,4959,0,0
14,MEGA3,2022-06-27,10.22,10.3,10.0,10.18,1177900,2775,69,2846,5690,0,0
15,MEGA3,2022-06-28,11.78,12.14,11.67,11.95,12182100,8666,283,8056,16997,8,0
16,MEGA3,2022-06-29,11.9,12.25,11.7,12.03,6716400,4271,91,8097,12453,6,0
17,MEGA3,2022-06-30,12.75,12.78,11.85,11.87,77226900,5829,251,7875,13951,4,0
18,MEGA3,2022-07-01,11.99,12.17,11.4,11.7,5377400,7341,107,6081,13522,7,0
19,MEGA3,2022-07-04,11.6,11.65,10.98,11.29,3800200,3077,60,4099,7236,0,0
20,MEGA3,2022-07-05,11.2,11.54,11.0,11.33,2078200,4837,59,3362,8258,0,0
21,MEGA3,2022-07-06,11.35,11.59,11.13,11.5,2622700,3711,61,2997,6769,0,0
22,MEGA3,2022-07-07,11.63,11.81,11.42,11.48,1691800,2496,657,1989,4539,603,0
23,MEGA3,2022-07-08,11.4,11.52,11.15,11.35,2086000,3099,52,3124,6271,4,0
24,MEGA3,2022-07-11,11.16,11.35,11.08,11.27,1044900,2368,51,2519,4938,0,0
25,MEGA3,2022-07-12,11.2,11.32,11.04,11.28,1966900,2851,73,3114,6037,1,0
26,MEGA3,2022-07-13,11.07,11.22,10.46,10.54,1852100,2852,109,2264,5225,0,0
27,MEGA3,2022-07-14,10.1,10.58,10.1,10.52,891900,1638,92,1413,3143,0,0
28,MEGA3,2022-07-15,10.5,10.53,10.21,10.22,1642700,1518,93,1549,3158,2,0
29,MEGA3,2022-07-18,10.22,10.73,10.22,10.51,1227500,1566,64,1377,3005,2,0
30,MEGA3,2022-07-19,10.41,10.81,10.41,10.77,1236100,3466,48,1743,5257,0,0
31,MEGA3,2022-07-20,10.69,11.07,10.69,10.9,1088200,2554,62,1196,3811,1,0
32,MEGA3,2022-07-21,10.84,11.43,10.8,11.41,2807200,2265,57,1798,4119,1,0
33,MEGA3,2022-07-22,11.35,11.91,11.35,11.81,2023500,2194,82,3454,5729,1,0
34,MEGA3,2022-07-25,12.5,12.69,12.14,12.35,35368400,4833,269,4764,9866,0,0
35,MEGA3,2022-07-26,12.25,12.52,12.25,12.5,988400,1544,50,1980,3574,0,0
36,MEGA3,2022-07-27,12.51,12.58,12.09,12.3,1642000,2569,76,2519,5159,5,0
37,MEGA3,2022-07-28,12.29,12.49,12.2,12.47,682900,1277,82,1647,3006,0,0
