,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MELK3,2022-06-06,3.85,3.91,3.7,3.73,128100,200,1,373,574,0,0
1,MELK3,2022-06-07,3.73,3.73,3.6,3.62,263900,380,0,899,1279,0,0
2,MELK3,2022-06-08,3.63,3.64,3.55,3.6,186500,328,8,623,959,0,0
3,MELK3,2022-06-09,3.57,3.66,3.52,3.59,157700,303,17,401,721,0,0
4,MELK3,2022-06-10,3.58,3.62,3.52,3.53,227500,508,21,490,1019,0,0
5,MELK3,2022-06-13,3.51,3.66,3.42,3.6,337800,569,11,422,1002,0,0
6,MELK3,2022-06-14,3.58,3.64,3.41,3.49,316800,376,16,428,820,0,0
7,MELK3,2022-06-15,3.5,3.55,3.42,3.55,176100,311,20,451,782,0,0
8,MELK3,2022-06-17,3.48,3.61,3.42,3.61,138800,286,0,325,611,0,0
9,MELK3,2022-06-20,3.64,3.64,3.49,3.53,98400,288,21,188,497,0,0
10,MELK3,2022-06-21,3.54,3.59,3.42,3.55,247400,285,0,343,628,0,0
11,MELK3,2022-06-22,3.54,3.6,3.48,3.51,127600,410,19,194,623,0,0
12,MELK3,2022-06-23,3.52,3.58,3.48,3.49,126000,264,0,343,607,0,0
13,MELK3,2022-06-24,3.55,3.57,3.49,3.53,91000,195,0,177,372,0,0
14,MELK3,2022-06-27,3.57,3.59,3.5,3.55,64900,183,10,199,392,0,0
15,MELK3,2022-06-28,3.53,3.6,3.45,3.49,176600,293,0,511,804,0,0
16,MELK3,2022-06-29,3.49,3.66,3.41,3.49,150900,257,7,300,564,0,0
17,MELK3,2022-06-30,3.44,3.58,3.4,3.58,158100,349,17,327,693,0,0
18,MELK3,2022-07-01,3.57,3.57,3.47,3.49,84400,167,0,164,331,0,0
19,MELK3,2022-07-04,3.49,3.55,3.4,3.44,145200,199,0,229,428,0,0
20,MELK3,2022-07-05,3.44,3.83,3.41,3.79,173200,418,10,236,664,0,0
21,MELK3,2022-07-06,3.84,3.85,3.69,3.83,160700,404,0,291,695,0,0
22,MELK3,2022-07-07,3.89,3.93,3.78,3.82,178400,442,11,244,697,0,0
23,MELK3,2022-07-08,3.78,3.94,3.76,3.83,135300,195,0,196,391,0,0
24,MELK3,2022-07-11,3.84,3.9,3.73,3.9,88700,212,0,215,427,0,0
25,MELK3,2022-07-12,3.89,3.89,3.69,3.69,421500,517,16,574,1107,0,0
26,MELK3,2022-07-13,3.72,3.92,3.69,3.92,269800,481,11,640,1132,0,0
27,MELK3,2022-07-14,3.91,3.91,3.65,3.71,276100,507,14,706,1227,0,0
28,MELK3,2022-07-15,3.72,3.78,3.65,3.66,122400,345,13,215,573,0,0
29,MELK3,2022-07-18,3.66,3.76,3.56,3.56,138500,261,0,364,625,0,0
30,MELK3,2022-07-19,3.56,3.69,3.53,3.69,86800,186,0,195,381,0,0
31,MELK3,2022-07-20,3.73,3.73,3.62,3.7,68200,164,5,181,350,0,0
32,MELK3,2022-07-21,3.75,3.75,3.66,3.72,88100,208,13,214,435,0,0
33,MELK3,2022-07-22,3.72,3.75,3.68,3.75,79400,154,11,180,345,0,0
34,MELK3,2022-07-25,3.77,3.8,3.71,3.76,49300,138,8,153,299,0,0
35,MELK3,2022-07-26,3.79,3.79,3.68,3.75,154800,143,10,168,321,0,0
36,MELK3,2022-07-27,3.75,3.9,3.64,3.9,152500,287,16,288,591,0,0
37,MELK3,2022-07-28,3.89,3.98,3.88,3.9,154400,260,11,478,749,0,0
38,MELK3,2022-07-29,3.91,3.97,3.89,3.94,136100,283,11,236,530,0,0
39,MELK3,2022-08-01,3.95,3.99,3.87,3.9,169800,417,9,396,822,0,0
40,MELK3,2022-08-02,3.88,3.93,3.8,3.82,124000,232,12,329,573,0,0
41,MELK3,2022-08-03,3.81,4.0,3.81,3.96,165900,232,3,212,447,0,0
42,MELK3,2022-08-08,4.09,4.15,4.04,4.15,167200,290,16,300,606,0,0
43,MELK3,2022-08-09,4.19,4.19,4.01,4.09,139600,235,15,231,481,0,0
44,MELK3,2022-08-10,4.14,4.39,4.09,4.23,434200,715,19,673,1407,0,0
45,MELK3,2022-08-12,4.18,4.29,4.12,4.25,292000,261,13,340,613,1,0
46,MELK3,2022-08-15,4.22,4.39,4.15,4.38,456800,446,18,497,960,1,0
47,MELK3,2022-08-16,4.5,4.8,4.24,4.33,667700,446,24,724,1194,0,0
48,MELK3,2022-08-17,4.3,4.38,4.18,4.18,228500,294,16,328,638,0,0
49,MELK3,2022-08-18,4.26,4.32,4.15,4.2,164200,255,14,274,543,0,0
50,MELK3,2022-08-19,4.11,4.43,4.01,4.3,294800,815,1,618,1434,0,0
51,MELK3,2022-08-22,4.3,4.3,4.14,4.15,148200,221,16,229,466,0,0
52,MELK3,2022-08-23,4.22,4.32,4.15,4.27,133300,249,0,281,530,0,0
53,MELK3,2022-08-24,4.32,4.42,4.23,4.41,185200,351,11,227,589,0,0
54,MELK3,2022-08-25,4.41,4.42,4.35,4.35,96300,165,2,181,348,0,0
55,MELK3,2022-08-26,4.3,4.56,4.24,4.31,223700,201,0,222,423,0,0
56,MELK3,2022-08-29,4.24,4.44,4.24,4.28,173800,218,0,278,496,0,0
57,MELK3,2022-08-30,4.28,4.39,4.2,4.31,513800,594,0,451,1045,0,0
58,MELK3,2022-08-31,4.38,4.38,4.16,4.21,138400,178,24,242,444,0,0
59,MELK3,2022-09-01,4.27,4.48,4.13,4.47,346700,954,14,654,1622,0,0
60,MELK3,2022-09-02,4.46,4.46,4.27,4.33,325700,416,8,747,1171,0,0
61,MELK3,2022-09-05,4.4,4.4,4.24,4.3,210800,280,13,475,768,0,0
62,MELK3,2022-09-06,4.3,4.37,4.17,4.37,135900,217,13,262,492,0,0
63,MELK3,2022-09-08,4.45,4.45,4.21,4.23,131500,157,34,304,495,0,0
64,MELK3,2022-09-09,4.34,4.37,4.27,4.27,132200,186,25,369,580,0,0
65,MELK3,2022-09-12,4.38,4.38,4.23,4.27,142000,282,16,544,842,0,0
66,MELK3,2022-09-13,4.21,4.27,4.15,4.15,106900,148,13,299,460,0,0
67,MELK3,2022-09-14,4.18,4.29,4.14,4.24,156300,274,0,418,692,0,0
68,MELK3,2022-09-15,4.24,4.26,4.18,4.2,139300,247,18,266,531,0,0
69,MELK3,2022-09-16,4.19,4.27,4.1,4.19,195700,351,10,468,829,0,0
70,MELK3,2022-09-19,4.17,4.21,4.11,4.18,137600,285,9,348,642,0,0
71,MELK3,2022-09-20,4.18,4.19,4.11,4.13,73600,146,7,172,325,0,0
72,MELK3,2022-09-21,4.22,4.25,4.15,4.23,121300,286,8,308,602,0,0
73,MELK3,2022-09-22,4.3,4.37,4.17,4.26,436300,1045,11,508,1564,0,0
74,MELK3,2022-09-23,4.32,4.38,4.25,4.38,170600,231,0,262,493,0,0
75,MELK3,2022-09-27,4.36,4.41,4.1,4.12,183500,216,20,278,514,0,0
76,MELK3,2022-09-28,4.11,4.22,4.1,4.13,90500,157,4,188,349,0,0
77,MELK3,2022-09-29,4.16,4.25,4.11,4.13,153800,190,11,205,406,0,0
78,MELK3,2022-09-30,4.23,4.39,4.17,4.38,246500,365,17,396,778,0,0
79,MELK3,2022-10-03,4.45,4.6,4.4,4.6,406400,379,20,331,730,0,0
80,MELK3,2022-10-04,4.6,4.69,4.48,4.52,140000,169,7,287,463,0,0
81,MELK3,2022-10-05,4.53,4.64,4.5,4.55,129500,180,8,219,407,0,0
82,MELK3,2022-10-06,4.54,4.59,4.43,4.45,204400,220,13,272,505,0,0
83,MELK3,2022-10-07,4.47,4.47,4.39,4.4,1151900,172,16,272,458,2,0
84,MELK3,2022-10-10,4.45,4.55,4.33,4.41,498000,649,26,690,1365,0,0
85,MELK3,2022-10-11,4.47,4.47,4.25,4.27,250300,374,0,792,1166,0,0
86,MELK3,2022-10-13,4.23,4.37,4.18,4.36,143100,274,0,214,488,0,0
87,MELK3,2022-10-14,4.38,4.43,4.11,4.11,316200,296,18,524,838,0,0
88,MELK3,2022-10-17,4.17,4.24,4.09,4.16,472700,292,13,773,1078,0,0
89,MELK3,2022-10-18,4.18,4.23,4.06,4.15,375000,381,15,506,902,0,0
90,MELK3,2022-10-19,4.24,4.24,4.05,4.06,536000,554,52,780,1386,0,0
91,MELK3,2022-10-20,4.16,4.16,3.94,4.05,377900,425,12,588,1025,0,0
92,MELK3,2022-10-21,4.05,4.13,4.01,4.1,207300,279,4,317,600,0,0
93,MELK3,2022-10-24,4.11,4.11,3.98,4.1,248900,271,0,555,826,0,0
94,MELK3,2022-10-25,4.09,4.12,4.0,4.09,259200,256,8,627,891,0,0
95,MELK3,2022-10-26,4.02,4.09,3.97,4.09,118300,219,27,166,412,0,0
96,MELK3,2022-10-27,4.04,4.11,4.03,4.09,144900,344,0,296,640,0,0
97,MELK3,2022-10-28,4.04,4.14,4.02,4.14,205500,241,0,259,500,0,0
98,MELK3,2022-10-31,4.06,4.25,4.05,4.24,170400,317,12,294,623,0,0
99,MELK3,2022-11-01,4.24,4.3,4.14,4.15,194500,388,15,358,761,0,0
100,MELK3,2022-11-03,4.08,4.34,4.08,4.26,146200,277,8,383,668,0,0
101,MELK3,2022-11-04,4.34,4.39,4.21,4.34,118700,187,14,300,501,0,0
102,MELK3,2022-11-07,4.32,4.34,4.15,4.24,98200,221,11,193,425,0,0
103,MELK3,2022-11-08,4.17,4.33,4.13,4.32,215700,255,13,285,553,0,0
104,MELK3,2022-11-09,4.3,4.38,4.14,4.19,116200,240,13,224,477,0,0
105,MELK3,2022-11-10,4.1,4.15,3.96,3.96,174200,258,12,249,519,0,0
106,MELK3,2022-11-14,3.91,3.96,3.75,3.85,410600,737,0,828,1565,0,0
107,MELK3,2022-11-17,3.76,3.77,3.56,3.69,573100,969,21,915,1905,0,0
108,MELK3,2022-11-18,3.75,3.83,3.58,3.67,280600,257,20,722,999,0,0
109,MELK3,2022-11-21,3.68,3.73,3.53,3.63,370000,457,15,761,1233,0,0
110,MELK3,2022-11-22,3.58,3.65,3.45,3.51,327200,364,14,656,1034,0,0
111,MELK3,2022-11-23,3.51,3.55,3.28,3.39,866900,529,52,824,1405,0,0
112,MELK3,2022-11-24,3.4,3.61,3.39,3.52,182300,248,26,272,546,0,0
113,MELK3,2022-11-25,3.58,3.59,3.42,3.42,84900,122,16,200,338,0,0
114,MELK3,2022-11-28,3.45,3.45,3.35,3.35,105500,148,21,214,383,0,0
115,MELK3,2022-11-29,3.36,3.5,3.33,3.49,263500,285,22,242,549,0,0
116,MELK3,2022-11-30,3.49,3.53,3.29,3.34,561300,431,41,874,1346,0,0
117,MELK3,2022-12-01,3.37,3.39,3.3,3.34,144600,196,6,264,466,0,0
118,MELK3,2022-12-02,3.35,3.44,3.34,3.4,112300,149,0,183,332,0,0
119,MELK3,2022-12-05,3.4,3.44,3.31,3.44,325000,440,16,620,1076,0,0
120,MELK3,2022-12-06,3.41,3.41,3.32,3.36,295500,592,13,604,1209,0,0
121,MELK3,2022-12-07,3.36,3.46,3.36,3.4,81100,238,11,195,444,0,0
122,MELK3,2022-12-08,3.39,3.4,3.29,3.34,224400,255,12,497,764,0,0
123,MELK3,2022-12-09,3.34,3.4,3.25,3.35,519000,634,15,1200,1849,0,0
124,MELK3,2022-12-12,3.38,3.38,3.03,3.03,2294500,1268,78,3699,5045,0,0
125,MELK3,2022-12-13,3.07,3.17,3.0,3.12,391500,345,11,440,796,0,0
126,MELK3,2022-12-14,3.07,3.17,3.01,3.17,252000,390,12,341,743,0,0
127,MELK3,2022-12-15,3.1,3.31,3.09,3.1,321600,323,26,495,844,0,0
128,MELK3,2022-12-16,3.06,3.12,3.01,3.04,260600,439,10,529,978,0,0
129,MELK3,2022-12-19,3.06,3.21,3.04,3.12,163800,327,5,273,605,0,0
130,MELK3,2022-12-20,3.12,3.28,3.12,3.15,144400,332,17,328,677,0,0
131,MELK3,2022-12-21,3.23,3.29,3.17,3.21,306400,439,13,513,965,0,0
132,MELK3,2022-12-22,3.21,3.25,3.12,3.18,190000,483,1,255,739,0,0
133,MELK3,2022-12-23,3.2,3.28,3.2,3.28,232000,414,0,585,999,0,0
134,MELK3,2022-12-26,3.28,3.32,3.19,3.24,144200,274,1,180,455,0,0
135,MELK3,2022-12-27,3.29,3.29,3.15,3.19,261900,219,13,311,543,0,0
136,MELK3,2022-12-28,3.3,3.3,3.19,3.23,215400,270,13,453,736,0,0
137,MELK3,2022-12-29,3.24,3.3,3.15,3.29,231900,187,30,330,547,0,0
138,MELK3,2023-01-02,3.25,3.25,2.95,2.97,1099600,751,41,1635,2427,0,0
139,MELK3,2023-01-03,3.01,3.06,2.95,3.03,301200,254,30,475,759,0,0
140,MELK3,2023-01-04,3.03,3.12,2.96,3.12,552600,677,7,1135,1819,0,0
141,MELK3,2023-01-05,3.07,3.15,3.03,3.06,360400,368,30,435,833,0,0
142,MELK3,2023-01-06,3.12,3.17,3.1,3.1,144600,196,13,324,533,0,0
143,MELK3,2023-01-09,3.1,3.18,3.04,3.18,124500,262,6,230,498,0,0
144,MELK3,2023-01-10,3.19,3.28,3.14,3.24,405700,407,13,542,962,0,0
145,MELK3,2023-01-11,3.24,3.32,3.09,3.2,591800,336,19,561,916,0,0
146,MELK3,2023-01-12,3.2,3.22,3.14,3.2,155900,158,2,250,410,0,0
147,MELK3,2023-01-13,3.2,3.2,3.12,3.12,120700,184,0,206,390,0,0
148,MELK3,2023-01-16,3.12,3.14,2.98,3.0,713900,543,22,1774,2339,0,0
149,MELK3,2023-01-17,3.01,3.1,3.01,3.09,152800,347,4,235,586,0,0
150,MELK3,2023-01-18,3.09,3.11,3.05,3.05,180100,229,0,265,494,0,0
151,MELK3,2023-01-19,3.04,3.07,2.98,3.0,344400,309,19,628,956,0,0
152,MELK3,2023-01-20,3.02,3.07,2.95,3.07,131800,239,1,264,504,0,0
153,MELK3,2023-01-23,3.07,3.09,3.0,3.0,174500,255,35,268,558,0,0
154,MELK3,2023-01-24,3.03,3.1,3.03,3.05,147100,210,9,379,598,0,0
155,MELK3,2023-01-25,3.06,3.13,3.05,3.07,149300,320,15,169,504,0,0
156,MELK3,2023-01-26,3.08,3.22,3.08,3.16,381800,559,15,437,1011,0,0
157,MELK3,2023-01-30,3.1,3.15,2.99,2.99,345500,378,21,897,1296,0,0
158,MELK3,2023-01-31,3.01,3.05,3.0,3.0,366700,328,44,521,893,0,0
159,MELK3,2023-02-01,3.02,3.03,2.96,2.96,348300,565,23,464,1052,0,0
160,MELK3,2023-02-02,2.97,3.05,2.96,3.0,468500,279,17,433,728,1,0
161,MELK3,2023-02-03,3.01,3.02,2.88,2.93,1545500,531,0,4552,5083,0,0
162,MELK3,2023-02-06,2.93,2.94,2.84,2.92,534300,938,1,1207,2146,0,0
163,MELK3,2023-02-07,2.93,2.97,2.85,2.9,371900,639,0,1117,1756,0,0
164,MELK3,2023-02-08,2.92,3.0,2.86,3.0,328100,363,0,1206,1569,0,0
165,MELK3,2023-02-09,3.0,3.0,2.89,3.0,440800,248,57,1387,1692,0,0
166,MELK3,2023-02-10,3.0,3.07,2.93,2.97,1058200,595,19,831,1445,0,0
167,MELK3,2023-02-13,2.98,3.09,2.92,3.0,338900,328,21,375,724,0,0
168,MELK3,2023-02-14,3.04,3.08,3.01,3.01,114000,155,7,291,453,0,0
169,MELK3,2023-02-15,3.02,3.13,3.01,3.05,139800,215,0,269,484,0,0
170,MELK3,2023-02-16,3.06,3.09,3.01,3.05,249500,281,11,248,540,0,0
171,MELK3,2023-02-17,3.05,3.05,3.01,3.05,52400,120,8,137,265,0,0
172,MELK3,2023-02-20,3.05,3.05,3.01,3.05,52400,120,8,137,265,0,0
173,MELK3,2023-02-21,3.05,3.05,3.01,3.05,52400,120,8,137,265,0,0
174,MELK3,2023-02-22,3.05,3.12,3.0,3.12,102700,122,17,125,264,0,0
175,MELK3,2023-02-23,3.1,3.1,3.04,3.08,81600,149,5,140,294,0,0
176,MELK3,2023-02-24,3.08,3.09,2.97,3.03,425600,529,17,1257,1803,0,0
177,MELK3,2023-02-27,3.02,3.06,2.99,3.04,146100,303,10,421,734,0,0
178,MELK3,2023-02-28,3.03,3.06,2.98,3.0,465900,532,10,787,1328,1,0
179,MELK3,2023-03-01,3.01,3.01,2.87,2.97,451100,541,16,1039,1596,0,0
180,MELK3,2023-03-02,2.94,2.94,2.86,2.9,250800,379,17,426,821,1,0
181,MELK3,2023-03-03,2.89,2.95,2.78,2.82,673800,479,17,2105,2601,0,0
182,MELK3,2023-03-06,2.84,2.96,2.82,2.89,342400,500,23,352,875,0,0
183,MELK3,2023-03-07,2.9,2.99,2.9,2.93,331500,561,18,772,1351,0,0
