,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MERC4,2022-06-15,8.2,8.2,8.04,8.04,200,0,1,1,2,0,0
1,MERC4,2022-06-22,8.86,8.86,8.86,8.86,100,1,0,0,1,0,0
2,MERC4,2022-06-23,8.8,8.8,8.8,8.8,200,2,0,0,2,0,0
3,MERC4,2022-07-01,8.88,8.88,8.88,8.88,100,0,0,1,1,0,0
4,MERC4,2022-07-07,8.85,8.85,8.85,8.85,100,1,0,0,1,0,0
5,MERC4,2022-07-08,8.79,8.85,8.79,8.85,1100,3,0,0,3,0,0
6,MERC4,2022-07-12,8.81,8.81,8.7,8.7,300,2,0,0,2,0,0
7,MERC4,2022-08-01,8.5,8.5,8.4,8.4,300,2,1,0,3,0,0
8,MERC4,2022-08-02,8.87,8.87,8.87,8.87,100,1,0,0,1,0,0
9,MERC4,2022-08-03,8.5,8.5,8.0,8.48,1200,8,0,2,10,0,0
10,MERC4,2022-08-08,8.25,8.25,8.25,8.25,100,1,0,0,1,0,0
11,MERC4,2022-08-09,7.43,8.23,7.43,8.13,600,2,0,4,6,0,0
12,MERC4,2022-08-12,8.5,8.5,8.4,8.5,200,2,0,0,2,0,0
13,MERC4,2022-08-18,8.0,8.65,8.0,8.65,200,2,0,0,2,0,0
14,MERC4,2022-08-22,8.1,8.8,7.91,8.8,500,4,0,1,5,0,0
15,MERC4,2022-09-02,8.2,8.2,8.2,8.2,500,1,1,0,2,0,0
16,MERC4,2022-09-05,8.8,9.38,8.14,8.4,3800,14,0,4,18,0,0
17,MERC4,2022-09-06,9.0,9.29,8.21,8.21,1700,3,0,5,8,0,0
18,MERC4,2022-09-13,8.13,8.63,8.13,8.63,600,2,0,3,5,0,0
19,MERC4,2022-09-14,7.8,8.5,7.8,8.5,700,3,0,1,4,0,0
20,MERC4,2022-09-30,8.59,8.59,8.0,8.0,600,0,0,5,5,0,0
21,MERC4,2022-10-03,8.0,8.0,8.0,8.0,500,1,0,2,3,0,0
22,MERC4,2022-10-04,8.49,8.49,8.49,8.49,700,1,0,1,2,0,0
23,MERC4,2022-10-05,8.4,8.4,8.4,8.4,100,1,0,0,1,0,0
24,MERC4,2022-10-10,8.49,8.49,8.4,8.4,200,2,0,0,2,0,0
25,MERC4,2022-10-13,8.37,8.37,8.37,8.37,200,2,0,0,2,0,0
26,MERC4,2022-10-14,8.49,8.49,8.49,8.49,100,1,0,0,1,0,0
27,MERC4,2022-10-18,8.0,8.0,8.0,8.0,900,1,0,1,2,0,0
28,MERC4,2022-10-19,8.15,8.15,8.15,8.15,800,0,2,4,6,0,0
29,MERC4,2022-10-20,8.37,8.37,8.37,8.37,100,1,0,0,1,0,0
30,MERC4,2022-10-21,8.3,8.3,8.3,8.3,100,1,0,0,1,0,0
31,MERC4,2022-10-24,8.2,8.2,8.2,8.2,600,1,0,0,1,0,0
32,MERC4,2022-10-25,8.25,8.25,8.25,8.25,200,1,0,0,1,0,0
33,MERC4,2022-10-26,8.25,8.25,8.15,8.15,1800,2,1,0,3,0,0
34,MERC4,2022-10-31,8.0,8.0,7.6,7.7,1300,6,0,1,7,0,0
35,MERC4,2022-11-03,7.95,7.95,7.95,7.95,100,1,0,0,1,0,0
36,MERC4,2022-11-04,7.6,7.6,7.6,7.6,600,5,0,1,6,0,0
37,MERC4,2022-11-08,7.59,7.59,7.1,7.1,1200,0,0,5,5,0,0
38,MERC4,2022-11-09,7.5,7.5,7.5,7.5,200,0,0,2,2,0,0
39,MERC4,2022-11-14,7.45,7.45,7.45,7.45,1000,0,0,3,3,0,0
40,MERC4,2022-11-17,6.9,7.29,6.9,7.29,300,0,0,3,3,0,0
41,MERC4,2022-11-18,7.32,7.32,7.32,7.32,100,0,0,1,1,0,0
42,MERC4,2022-11-21,7.42,7.42,7.41,7.42,1500,0,0,2,2,0,0
43,MERC4,2022-12-02,7.48,7.48,7.48,7.48,1000,0,1,0,1,0,0
44,MERC4,2022-12-05,7.48,7.48,7.48,7.48,2000,1,0,2,3,0,0
45,MERC4,2022-12-06,7.47,7.47,7.47,7.47,1000,0,0,1,1,0,0
46,MERC4,2022-12-07,7.47,7.47,7.47,7.47,1500,0,0,1,1,0,0
47,MERC4,2022-12-21,7.46,7.46,7.26,7.26,400,1,0,3,4,0,0
48,MERC4,2022-12-23,7.25,7.25,7.25,7.25,200,0,1,1,2,0,0
49,MERC4,2022-12-27,7.25,7.25,7.25,7.25,100,1,0,0,1,0,0
50,MERC4,2022-12-28,7.35,7.35,7.35,7.35,100,0,1,0,1,0,0
51,MERC4,2022-12-29,7.05,7.34,6.8,7.34,600,2,0,4,6,0,0
52,MERC4,2023-01-10,7.39,7.39,7.39,7.39,100,0,1,0,1,0,0
53,MERC4,2023-01-12,7.5,7.5,7.5,7.5,100,0,0,1,1,0,0
54,MERC4,2023-01-18,7.5,7.5,7.5,7.5,2400,0,2,1,3,0,0
55,MERC4,2023-01-20,7.45,7.45,7.45,7.45,2400,0,0,5,5,0,0
56,MERC4,2023-01-24,8.0,8.42,8.0,8.42,200,1,0,1,2,0,0
57,MERC4,2023-02-01,7.8,8.2,7.8,8.2,200,2,0,0,2,0,0
58,MERC4,2023-02-03,7.8,7.8,7.7,7.7,2000,0,0,4,4,0,0
59,MERC4,2023-02-07,7.7,7.7,7.7,7.7,200,0,0,2,2,0,0
60,MERC4,2023-02-10,7.7,7.7,7.7,7.7,1000,0,0,2,2,0,0
61,MERC4,2023-02-14,7.7,7.7,7.7,7.7,2000,1,1,0,2,0,0
62,MERC4,2023-02-15,7.7,7.7,7.7,7.7,100,0,0,1,1,0,0
63,MERC4,2023-02-16,7.69,7.69,7.65,7.65,5000,0,0,7,7,0,0
64,MERC4,2023-03-01,8.2,8.2,8.2,8.2,100,0,0,1,1,0,0
65,MERC4,2023-03-08,8.2,8.2,7.5,7.51,300,0,1,2,3,0,0
66,MERC4,2023-03-09,7.6,7.6,7.6,7.6,300,0,0,2,2,0,0
67,MERC4,2023-03-10,7.7,7.7,7.7,7.7,1500,0,0,2,2,0,0
68,MERC4,2023-03-13,7.6,7.6,7.6,7.6,1600,2,0,1,3,0,0
69,MERC4,2023-03-15,7.56,7.56,7.55,7.55,3200,1,1,3,5,0,0
70,MERC4,2023-03-20,7.26,7.26,7.26,7.26,200,0,0,1,1,0,0
71,MERC4,2023-03-21,7.55,7.55,7.54,7.55,900,2,0,0,2,0,0
72,MERC4,2023-03-23,7.4,7.4,7.4,7.4,2500,0,0,3,3,0,0
73,MERC4,2023-03-24,7.4,7.4,7.4,7.4,1500,0,0,2,2,0,0
74,MERC4,2023-03-28,7.4,7.4,7.4,7.4,300,0,1,0,1,0,0
75,MERC4,2023-03-31,7.5,7.5,7.5,7.5,2600,0,0,4,4,0,0
76,MERC4,2023-04-13,7.5,7.5,7.5,7.5,2000,0,1,0,1,0,0
77,MERC4,2023-04-17,7.49,7.5,7.49,7.49,1600,0,0,2,2,0,0
78,MERC4,2023-04-19,7.45,7.45,7.45,7.45,1400,0,0,2,2,0,0
79,MERC4,2023-05-05,6.51,6.51,6.51,6.51,100,1,0,0,1,0,0
80,MERC4,2023-05-17,6.9,6.9,6.9,6.9,200,0,1,0,1,0,0
81,MERC4,2023-05-18,7.5,8.65,7.5,8.04,9700,20,3,20,43,0,0
82,MERC4,2023-05-19,8.68,11.4,8.68,10.01,24400,56,1,48,105,0,0
83,MERC4,2023-05-22,10.2,13.0,10.2,12.8,37700,166,0,102,268,0,0
84,MERC4,2023-05-23,12.3,12.3,9.71,10.35,19700,56,0,61,117,0,0
85,MERC4,2023-05-24,10.7,11.0,9.43,9.48,10200,40,0,39,79,0,0
86,MERC4,2023-05-25,9.89,9.89,9.01,9.01,4700,14,0,22,36,0,0
87,MERC4,2023-05-26,9.01,9.05,8.7,8.7,3700,8,0,19,27,0,0
88,MERC4,2023-05-29,9.06,9.06,8.5,8.85,1500,6,0,8,14,0,0
89,MERC4,2023-05-30,8.9,8.9,7.9,7.9,3000,4,0,23,27,0,0
90,MERC4,2023-05-31,7.72,7.97,7.72,7.88,700,1,0,5,6,0,0
91,MERC4,2023-06-01,7.9,7.9,7.11,7.11,2700,8,0,11,19,0,0
92,MERC4,2023-06-02,7.59,7.75,7.25,7.71,1700,13,0,2,15,0,0
93,MERC4,2023-06-05,7.26,8.1,7.26,8.08,5000,25,0,13,38,0,0
94,MERC4,2023-06-06,8.08,8.16,7.52,7.79,4200,17,0,14,31,0,0
95,MERC4,2023-06-07,7.88,7.88,7.55,7.55,500,1,0,4,5,0,0
96,MERC4,2023-06-19,7.46,7.46,7.46,7.46,1400,4,0,4,8,0,0
97,MERC4,2023-06-20,7.4,7.45,7.4,7.45,500,0,0,4,4,0,0
98,MERC4,2023-06-21,7.36,7.36,7.36,7.36,100,0,0,1,1,0,0
99,MERC4,2023-06-23,7.22,7.5,7.22,7.5,600,2,0,2,4,0,0
100,MERC4,2023-06-26,8.5,8.5,7.52,7.52,1500,6,0,6,12,0,0
101,MERC4,2023-06-27,7.6,8.24,7.5,8.24,216100,6,0,11,17,0,0
102,MERC4,2023-06-28,8.39,8.4,7.35,7.38,3100,4,0,22,26,0,0
103,MERC4,2023-06-29,7.48,7.48,7.25,7.25,1800,1,0,11,12,0,0
104,MERC4,2023-07-03,8.15,8.93,8.0,8.21,10100,33,0,22,55,0,0
105,MERC4,2023-07-04,7.93,8.15,7.93,8.14,500,1,0,4,5,0,0
