,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MGEL4,2022-06-06,16.9,16.9,16.9,16.9,300,1,0,0,1,0,0
1,MGEL4,2022-06-07,16.8,16.8,16.8,16.8,500,0,1,0,0,1,0
2,MGEL4,2022-06-08,16.7,16.7,16.7,16.7,1500,0,1,0,0,1,0
3,MGEL4,2022-06-09,16.0,16.68,16.0,16.5,500,2,1,2,5,0,0
4,MGEL4,2022-06-10,16.5,16.5,14.9,15.11,8100,13,0,36,49,0,0
5,MGEL4,2022-06-14,15.0,15.0,14.03,14.05,2700,17,0,1,18,0,0
6,MGEL4,2022-06-15,13.6,14.5,13.6,14.35,4300,0,0,6,6,0,0
7,MGEL4,2022-06-17,13.6,13.6,13.6,13.6,100,0,0,1,1,0,0
8,MGEL4,2022-06-20,13.44,13.65,13.44,13.61,700,1,0,2,3,0,0
9,MGEL4,2022-06-21,14.85,14.85,14.85,14.85,100,0,1,0,1,0,0
10,MGEL4,2022-06-22,14.85,15.3,14.85,14.85,200,2,0,0,2,0,0
11,MGEL4,2022-06-23,15.29,15.3,15.29,15.3,3100,4,0,0,4,0,0
12,MGEL4,2022-06-24,15.29,15.3,15.29,15.3,1100,3,0,2,5,0,0
13,MGEL4,2022-06-27,14.98,14.98,14.4,14.42,700,2,0,2,4,0,0
14,MGEL4,2022-06-29,14.0,14.0,14.0,14.0,700,0,1,0,0,1,0
15,MGEL4,2022-06-30,13.8,13.8,13.8,13.8,2300,0,1,0,0,1,0
16,MGEL4,2022-07-01,13.77,13.77,13.66,13.66,900,2,1,2,4,1,0
17,MGEL4,2022-07-04,13.87,13.87,13.87,13.87,100,0,0,1,1,0,0
18,MGEL4,2022-07-05,13.4,13.4,13.1,13.2,3300,7,0,3,10,0,0
19,MGEL4,2022-07-06,13.4,15.07,13.4,15.07,2300,2,1,5,8,0,0
20,MGEL4,2022-07-07,14.0,15.07,14.0,15.07,400,2,0,2,4,0,0
21,MGEL4,2022-07-08,15.0,15.68,14.16,14.5,1600,3,1,4,8,0,0
22,MGEL4,2022-07-12,14.52,14.52,14.5,14.5,1300,2,0,2,4,0,0
23,MGEL4,2022-07-13,14.5,14.5,14.5,14.5,3400,0,1,0,0,1,0
24,MGEL4,2022-07-14,14.2,14.21,14.2,14.21,1100,1,0,2,3,0,0
25,MGEL4,2022-07-15,14.2,14.22,14.2,14.22,1000,2,0,2,4,0,0
26,MGEL4,2022-07-18,14.22,14.62,14.22,14.43,800,4,0,0,4,0,0
27,MGEL4,2022-07-19,14.55,14.55,14.55,14.55,100,1,0,0,1,0,0
28,MGEL4,2022-07-21,14.65,14.65,14.65,14.65,2400,0,1,0,0,1,0
29,MGEL4,2022-07-26,14.8,15.18,14.8,15.18,200,0,1,1,2,0,0
30,MGEL4,2022-07-27,15.3,15.7,15.3,15.7,1400,2,1,0,2,1,0
31,MGEL4,2022-07-28,15.7,15.7,15.7,15.7,2300,0,1,0,0,1,0
32,MGEL4,2022-07-29,15.7,15.7,15.7,15.7,2900,0,1,0,0,1,0
33,MGEL4,2022-08-01,15.51,15.51,15.51,15.51,200,1,0,0,1,0,0
34,MGEL4,2022-08-03,15.89,16.05,15.7,15.7,1500,5,0,4,9,0,0
35,MGEL4,2022-08-08,16.3,16.3,16.3,16.3,100,1,0,0,1,0,0
36,MGEL4,2022-08-09,15.82,16.22,15.82,16.22,700,3,0,1,4,0,0
37,MGEL4,2022-08-10,16.44,16.78,16.3,16.7,3900,4,0,1,5,0,0
38,MGEL4,2022-08-12,17.28,17.32,17.28,17.32,500,3,0,2,5,0,0
39,MGEL4,2022-08-15,17.29,18.79,17.0,18.7,7500,21,0,4,25,0,0
40,MGEL4,2022-08-16,18.75,19.69,18.6,18.9,4300,11,1,5,17,0,0
41,MGEL4,2022-08-17,18.9,19.75,18.9,19.75,2900,10,0,1,11,0,0
42,MGEL4,2022-08-18,19.7,19.75,19.7,19.75,2800,3,2,0,4,1,0
43,MGEL4,2022-08-19,19.5,19.55,19.46,19.46,300,2,1,0,3,0,0
44,MGEL4,2022-08-23,19.43,19.43,19.4,19.4,900,5,0,0,5,0,0
45,MGEL4,2022-08-24,19.4,19.41,18.0,19.29,1300,3,1,3,6,1,0
46,MGEL4,2022-08-26,19.07,19.07,19.07,19.07,200,2,0,0,2,0,0
47,MGEL4,2022-08-30,17.45,18.7,17.45,18.69,2100,13,0,3,16,0,0
48,MGEL4,2022-08-31,18.69,18.69,18.67,18.67,300,3,0,0,3,0,0
49,MGEL4,2022-09-02,17.88,18.59,17.88,18.59,1100,0,0,2,2,0,0
50,MGEL4,2022-09-05,17.5,17.5,16.5,16.51,1200,1,0,3,4,0,0
51,MGEL4,2022-09-06,17.0,17.0,17.0,17.0,100,0,0,1,1,0,0
52,MGEL4,2022-09-08,16.4,17.49,16.4,17.49,400,1,0,2,3,0,0
53,MGEL4,2022-09-09,17.0,17.25,15.56,17.25,1500,0,0,4,4,0,0
54,MGEL4,2022-09-13,17.28,17.28,16.42,17.16,900,6,1,1,8,0,0
55,MGEL4,2022-09-16,17.16,17.49,17.16,17.49,800,2,1,0,3,0,0
56,MGEL4,2022-09-19,18.18,18.18,18.18,18.18,200,2,0,0,2,0,0
57,MGEL4,2022-09-20,19.35,19.35,18.5,18.5,1200,1,0,5,6,0,0
58,MGEL4,2022-09-21,18.39,18.4,18.39,18.4,200,2,0,0,2,0,0
59,MGEL4,2022-09-22,18.0,18.1,16.7,17.98,3800,1,1,7,8,1,0
60,MGEL4,2022-09-23,17.5,18.19,17.5,18.19,3300,0,0,4,4,0,0
61,MGEL4,2022-09-28,17.0,18.41,17.0,18.3,1400,5,0,2,7,0,0
62,MGEL4,2022-09-29,17.01,18.0,17.01,17.6,6300,7,0,4,11,0,0
63,MGEL4,2022-09-30,17.9,18.83,17.9,18.39,2500,9,0,0,9,0,0
64,MGEL4,2022-10-03,17.5,17.83,17.2,17.83,2000,4,0,7,11,0,0
65,MGEL4,2022-10-04,17.0,18.0,17.0,18.0,500,1,0,3,4,0,0
66,MGEL4,2022-10-05,17.01,17.99,16.92,17.99,3100,6,0,15,21,0,0
67,MGEL4,2022-10-06,17.1,17.5,17.1,17.12,7300,9,0,9,18,0,0
68,MGEL4,2022-10-10,17.4,17.45,17.01,17.01,1300,4,0,3,7,0,0
69,MGEL4,2022-10-11,16.99,16.99,16.99,16.99,300,3,0,0,3,0,0
