,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MGLU3,2022-06-06,3.65,3.65,3.38,3.38,142570700,12702,476,19550,32721,7,0
1,MGLU3,2022-06-07,3.33,3.38,3.26,3.3,156194200,14149,344,23646,38136,3,0
2,MGLU3,2022-06-08,3.25,3.34,3.2,3.22,152815600,13155,770,14292,28217,0,0
3,MGLU3,2022-06-09,3.22,3.22,3.01,3.01,216248900,21135,1024,31632,53788,3,0
4,MGLU3,2022-06-10,2.95,3.06,2.88,2.9,166004400,25528,2029,32823,60380,0,0
5,MGLU3,2022-06-13,2.77,2.78,2.65,2.66,171739600,22984,1032,32402,56417,1,0
6,MGLU3,2022-06-14,2.7,2.73,2.53,2.53,164086700,16137,715,28771,45622,1,0
7,MGLU3,2022-06-15,2.6,2.67,2.47,2.55,232832800,20562,1113,32325,53575,425,0
8,MGLU3,2022-06-17,2.43,2.46,2.36,2.38,169697700,17453,1583,30674,49704,6,0
9,MGLU3,2022-06-20,2.41,2.63,2.32,2.6,199075800,20744,906,14364,35606,408,0
10,MGLU3,2022-06-21,2.61,2.63,2.47,2.52,134776000,23745,876,22027,46307,341,0
11,MGLU3,2022-06-22,2.43,2.56,2.36,2.45,134029200,13993,696,17217,31892,14,0
12,MGLU3,2022-06-23,2.45,2.69,2.44,2.56,204690200,23508,831,14711,39048,2,0
13,MGLU3,2022-06-24,2.65,2.65,2.44,2.48,141491300,16913,664,13633,31207,3,0
14,MGLU3,2022-06-27,2.49,2.55,2.4,2.46,105534800,14579,587,23797,38963,0,0
15,MGLU3,2022-06-28,2.45,2.48,2.34,2.38,130244600,10639,405,15731,26775,0,0
16,MGLU3,2022-06-29,2.41,2.49,2.37,2.42,113299200,15460,420,22589,38469,0,0
17,MGLU3,2022-06-30,2.37,2.42,2.31,2.35,231980300,53167,628,31652,85439,8,0
18,MGLU3,2022-07-01,2.32,2.34,2.19,2.2,114418200,11125,753,21786,33662,2,0
19,MGLU3,2022-07-04,2.17,2.22,2.11,2.12,103383200,8118,649,17345,26109,3,0
20,MGLU3,2022-07-05,2.09,2.42,2.03,2.4,271736400,29007,843,23288,53133,5,0
21,MGLU3,2022-07-06,2.4,2.61,2.38,2.48,263127600,32077,1337,21518,54919,13,0
22,MGLU3,2022-07-07,2.55,2.65,2.43,2.56,196227300,20315,609,20784,41705,3,0
23,MGLU3,2022-07-08,2.52,2.65,2.46,2.64,152161400,19410,464,12502,32374,2,0
24,MGLU3,2022-07-11,2.53,2.69,2.51,2.67,156371900,19946,605,17072,37617,6,0
25,MGLU3,2022-07-12,2.65,3.03,2.62,2.96,328506300,29549,683,26159,56377,14,0
26,MGLU3,2022-07-13,2.85,2.98,2.79,2.79,287592000,22191,887,59605,82670,13,0
27,MGLU3,2022-07-14,2.72,3.08,2.72,2.9,188592000,20332,755,15751,36833,5,0
28,MGLU3,2022-07-15,2.97,2.99,2.75,2.75,154730100,10406,607,16017,27026,4,0
29,MGLU3,2022-07-18,2.84,3.07,2.74,2.77,196656300,20292,646,21818,42755,1,0
30,MGLU3,2022-07-19,2.81,2.88,2.64,2.82,185692900,14619,423,19156,34193,5,0
31,MGLU3,2022-07-20,2.79,3.08,2.78,3.07,224980300,22957,824,25769,49548,2,0
32,MGLU3,2022-07-21,3.07,3.13,2.95,3.02,165905300,18722,575,20902,40195,4,0
33,MGLU3,2022-07-22,3.05,3.09,2.82,2.88,161429800,20668,455,17859,38982,0,0
34,MGLU3,2022-07-25,2.89,2.97,2.78,2.78,129819500,20912,474,14425,35810,1,0
35,MGLU3,2022-07-26,2.8,2.8,2.58,2.62,139841400,19318,556,21280,41154,0,0
36,MGLU3,2022-07-27,2.63,2.79,2.61,2.72,171950900,14587,290,57876,72752,1,0
37,MGLU3,2022-07-28,2.72,2.77,2.58,2.71,207985100,23644,787,19458,43731,158,0
38,MGLU3,2022-07-29,2.74,2.77,2.57,2.59,167546200,15603,609,48909,65116,5,0
39,MGLU3,2022-08-01,2.58,2.79,2.55,2.71,232592500,22865,529,60646,84037,3,0
40,MGLU3,2022-08-02,2.69,2.77,2.64,2.7,132842700,15592,423,13092,29104,3,0
41,MGLU3,2022-08-03,2.72,2.95,2.71,2.93,190735600,22758,406,26173,49335,2,0
42,MGLU3,2022-08-08,3.23,3.48,3.21,3.27,193037500,24110,590,20229,44924,5,0
43,MGLU3,2022-08-09,3.38,3.39,3.03,3.07,162252900,14736,616,19795,35138,9,0
44,MGLU3,2022-08-10,3.22,3.33,3.15,3.29,177874100,21116,914,13258,35284,4,0
45,MGLU3,2022-08-12,3.0,3.62,2.95,3.57,351712300,79746,1973,32171,113890,0,0
46,MGLU3,2022-08-15,3.52,4.07,3.52,4.06,283656900,80172,1788,34189,116141,8,0
47,MGLU3,2022-08-16,4.1,4.29,3.94,4.16,224968800,40738,703,29499,70937,3,0
48,MGLU3,2022-08-17,4.03,4.29,3.99,4.0,237516800,42589,805,47284,90675,3,0
49,MGLU3,2022-08-18,4.08,4.08,3.82,4.03,144720000,24287,605,22531,47421,2,0
50,MGLU3,2022-08-19,3.91,3.99,3.71,3.77,152089100,21590,727,22873,45189,1,0
51,MGLU3,2022-08-22,3.67,3.89,3.61,3.84,161519000,24681,638,23158,48475,2,0
52,MGLU3,2022-08-23,3.87,4.19,3.86,4.15,186720100,32319,482,26867,59667,1,0
53,MGLU3,2022-08-24,4.14,4.66,4.14,4.46,281621400,63493,1083,34894,99469,1,0
54,MGLU3,2022-08-25,4.66,4.79,4.58,4.66,192328700,39490,1015,22250,62750,5,0
55,MGLU3,2022-08-26,4.73,4.76,4.45,4.6,152412400,18958,588,20174,39718,2,0
56,MGLU3,2022-08-29,4.51,4.69,4.5,4.51,140458000,20857,673,19021,40549,2,0
57,MGLU3,2022-08-30,4.64,4.73,4.34,4.49,175781100,18767,627,24015,43407,2,0
58,MGLU3,2022-08-31,4.58,4.62,4.25,4.27,182011400,22781,758,33391,56928,2,0
59,MGLU3,2022-09-01,4.3,4.42,4.11,4.42,171014100,22473,519,24253,47245,0,0
60,MGLU3,2022-09-02,4.52,4.53,4.2,4.25,154005700,20987,814,23303,45101,3,0
61,MGLU3,2022-09-05,4.32,4.39,4.26,4.34,69933300,10933,523,11473,22859,70,0
62,MGLU3,2022-09-06,4.25,4.26,3.88,3.99,184640100,21088,761,34971,56820,0,0
63,MGLU3,2022-09-08,4.06,4.36,4.04,4.29,179893900,27376,570,27018,54964,0,0
64,MGLU3,2022-09-09,4.42,4.43,4.3,4.38,134934100,15606,747,18261,34614,0,0
65,MGLU3,2022-09-12,4.44,4.82,4.43,4.79,202900500,31838,725,19675,52237,1,0
66,MGLU3,2022-09-13,4.59,4.74,4.41,4.7,182885200,36959,1222,24220,62397,4,0
67,MGLU3,2022-09-15,4.51,4.59,4.27,4.34,162557000,19904,531,21707,42141,1,0
68,MGLU3,2022-09-16,4.25,4.54,4.15,4.43,177581200,28227,776,19504,48503,4,0
69,MGLU3,2022-09-19,4.35,4.65,4.34,4.57,155328700,19256,599,17269,37120,4,0
70,MGLU3,2022-09-20,4.53,4.65,4.41,4.45,136876400,23594,485,15706,39783,2,0
71,MGLU3,2022-09-21,4.47,4.91,4.4,4.77,251148000,26878,710,25348,52934,2,0
72,MGLU3,2022-09-22,4.87,4.97,4.54,4.57,242461400,51538,865,28635,81032,6,0
73,MGLU3,2022-09-23,4.49,4.71,4.49,4.61,151823300,18600,759,19500,38858,1,0
74,MGLU3,2022-09-27,4.47,4.58,4.13,4.14,247247800,21078,898,26449,48424,1,0
75,MGLU3,2022-09-28,4.2,4.39,4.1,4.33,163461500,18702,461,15424,34583,4,0
76,MGLU3,2022-09-29,4.23,4.29,4.02,4.05,158159500,17700,658,25959,44315,2,0
77,MGLU3,2022-09-30,4.09,4.55,3.98,4.5,245340100,23410,521,22380,46310,1,0
78,MGLU3,2022-10-03,4.75,4.97,4.61,4.89,226468600,54953,1280,24440,80672,1,0
79,MGLU3,2022-10-04,5.1,5.23,4.96,5.07,184420400,30448,796,28270,59514,0,0
80,MGLU3,2022-10-05,5.11,5.27,4.99,5.12,164826200,25965,579,25226,51769,1,0
81,MGLU3,2022-10-06,5.19,5.4,5.1,5.35,175336100,25409,567,18332,44276,32,0
82,MGLU3,2022-10-07,5.34,5.41,5.23,5.3,152240200,25651,494,18926,45071,0,0
83,MGLU3,2022-10-10,5.34,5.46,5.19,5.32,133587700,19491,477,15216,35180,4,0
84,MGLU3,2022-10-11,5.32,5.44,5.12,5.14,156212100,22391,483,19130,42001,3,0
85,MGLU3,2022-10-13,5.17,5.18,4.81,4.9,179563300,22040,739,31714,54489,4,0
86,MGLU3,2022-10-14,4.96,4.99,4.33,4.38,256264000,28430,1368,41101,70896,3,0
87,MGLU3,2022-10-17,4.47,4.68,4.35,4.39,182160100,37855,694,31792,70340,1,0
88,MGLU3,2022-10-18,4.49,4.53,4.21,4.35,185143700,21855,788,35241,57880,4,0
89,MGLU3,2022-10-19,4.31,4.31,4.07,4.17,358193200,56426,1048,73710,131158,26,0
90,MGLU3,2022-10-20,4.22,4.22,3.9,4.06,213851700,30483,496,34944,65919,4,0
91,MGLU3,2022-10-21,4.02,4.21,3.92,4.15,206473300,53643,632,21347,75616,6,0
92,MGLU3,2022-10-24,4.06,4.13,3.95,4.08,123682700,12929,618,15798,29344,1,0
93,MGLU3,2022-10-25,4.07,4.47,4.04,4.28,214751100,32904,439,22238,55579,2,0
94,MGLU3,2022-10-26,4.2,4.23,3.88,3.91,187240100,30539,817,29496,60851,1,0
95,MGLU3,2022-10-27,3.94,4.32,3.92,4.18,219975200,28341,584,19735,48654,6,0
96,MGLU3,2022-10-28,4.17,4.44,4.1,4.4,200353500,34664,542,20461,55666,1,0
97,MGLU3,2022-10-31,4.38,4.66,4.26,4.42,263655600,39486,850,51626,91962,0,0
98,MGLU3,2022-11-01,4.54,4.67,4.33,4.54,203364300,26967,553,35478,62997,1,0
99,MGLU3,2022-11-03,4.46,4.95,4.4,4.86,242822900,30784,937,25810,57529,2,0
100,MGLU3,2022-11-04,5.0,5.01,4.76,4.78,159879200,21648,943,22485,45072,4,0
101,MGLU3,2022-11-07,4.8,4.94,4.5,4.54,169371900,20443,602,29901,50762,184,0
102,MGLU3,2022-11-08,4.51,4.77,4.5,4.63,165858400,23619,468,22792,46876,3,0
103,MGLU3,2022-11-09,4.63,4.67,4.4,4.47,121050900,15573,369,21724,37666,0,0
104,MGLU3,2022-11-10,4.21,4.35,3.89,3.98,226321300,30834,953,45431,77216,2,0
105,MGLU3,2022-11-14,3.55,3.71,3.45,3.62,215541900,26545,671,28251,55466,1,0
106,MGLU3,2022-11-17,3.21,3.46,3.03,3.39,241026800,31455,571,85354,117375,5,0
107,MGLU3,2022-11-18,3.51,3.58,3.09,3.14,269326000,33940,834,32537,67306,5,0
108,MGLU3,2022-11-21,3.24,3.48,3.2,3.38,251248400,27044,585,27192,54820,1,0
109,MGLU3,2022-11-22,3.39,3.45,3.2,3.34,204502900,16320,446,17125,33889,2,0
110,MGLU3,2022-11-23,3.29,3.38,3.2,3.38,167070600,18505,497,21150,40152,0,0
111,MGLU3,2022-11-24,3.43,3.66,3.43,3.6,164391300,19806,175,11216,31194,3,0
112,MGLU3,2022-11-25,3.6,3.62,3.32,3.42,210074500,20877,413,20243,41533,0,0
113,MGLU3,2022-11-28,3.24,3.45,3.23,3.32,151668900,11973,792,26551,39316,0,0
114,MGLU3,2022-11-29,3.36,3.47,3.17,3.36,195372300,19133,408,23690,43230,1,0
115,MGLU3,2022-11-30,3.37,3.47,3.26,3.41,208756700,16918,437,19349,36702,2,0
116,MGLU3,2022-12-01,3.38,3.39,3.1,3.1,203784900,19082,967,22395,42438,6,0
117,MGLU3,2022-12-02,3.12,3.38,3.05,3.24,257430900,22463,438,24479,47379,1,0
118,MGLU3,2022-12-05,3.2,3.25,3.03,3.08,132806700,15190,416,23171,38777,0,0
119,MGLU3,2022-12-06,3.12,3.2,3.05,3.12,133899800,10883,412,11042,22333,4,0
120,MGLU3,2022-12-07,3.1,3.17,2.92,2.94,258328900,21927,668,29521,52107,9,0
121,MGLU3,2022-12-08,2.96,3.04,2.79,2.84,152151100,15737,562,22595,38892,2,0
122,MGLU3,2022-12-09,2.94,2.94,2.79,2.8,102725300,9476,581,13719,23774,2,0
123,MGLU3,2022-12-12,2.79,2.9,2.71,2.8,129832100,12840,473,21604,34916,1,0
124,MGLU3,2022-12-13,2.83,2.92,2.76,2.8,215615400,14210,504,21158,35859,13,0
125,MGLU3,2022-12-14,2.77,2.77,2.57,2.63,295146900,28631,898,37776,67004,301,0
126,MGLU3,2022-12-15,2.61,2.74,2.55,2.6,182381200,19773,471,17211,37453,2,0
127,MGLU3,2022-12-16,2.58,2.63,2.35,2.36,214952500,22841,727,25245,48811,2,0
128,MGLU3,2022-12-19,2.39,2.7,2.36,2.61,299528100,26383,1799,20173,48355,0,0
129,MGLU3,2022-12-20,2.56,3.03,2.54,2.82,356523400,69041,849,44095,113980,5,0
130,MGLU3,2022-12-21,2.85,2.89,2.59,2.61,296265100,24079,713,35615,60403,4,0
131,MGLU3,2022-12-22,2.64,2.66,2.51,2.6,184677300,16602,451,19249,36302,0,0
132,MGLU3,2022-12-23,2.64,2.83,2.62,2.68,195172100,16612,367,16353,33332,0,0
133,MGLU3,2022-12-26,2.71,2.73,2.56,2.66,73999000,10580,369,12440,23389,0,0
134,MGLU3,2022-12-27,2.67,2.71,2.5,2.52,147780600,13010,523,26021,39554,0,0
135,MGLU3,2022-12-28,2.55,2.74,2.51,2.69,195250600,26308,344,12777,39428,1,0
136,MGLU3,2022-12-29,2.71,2.8,2.66,2.74,130046200,11023,433,14213,25667,2,0
