,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MILS3,2022-06-06,7.26,7.32,6.85,6.96,1238700,1382,56,2962,4400,0,0
1,MILS3,2022-06-07,6.91,6.96,6.75,6.92,788500,1557,60,1670,3287,0,0
2,MILS3,2022-06-08,6.85,6.99,6.79,6.94,392000,974,47,744,1765,0,0
3,MILS3,2022-06-09,6.77,7.03,6.7,6.85,728400,1667,55,1323,3044,1,0
4,MILS3,2022-06-10,6.72,6.79,6.63,6.74,590100,1754,51,1240,3045,0,0
5,MILS3,2022-06-13,6.62,6.62,6.3,6.48,1262700,4156,51,2644,6851,0,0
6,MILS3,2022-06-14,6.46,6.56,6.29,6.37,672200,2437,55,1393,3885,0,0
7,MILS3,2022-06-15,6.43,6.64,6.35,6.42,856300,2779,37,2166,4982,0,0
8,MILS3,2022-06-17,6.35,6.42,6.14,6.36,1186500,2460,59,2382,4901,0,0
9,MILS3,2022-06-20,6.38,6.68,6.25,6.52,906500,1704,37,2394,4135,0,0
10,MILS3,2022-06-21,6.51,6.61,6.35,6.42,653600,1589,35,2279,3903,0,0
11,MILS3,2022-06-22,6.35,6.63,6.24,6.28,774900,2138,56,1897,4091,0,0
12,MILS3,2022-06-23,6.28,6.42,5.97,6.37,1250300,3370,41,3718,7129,0,0
13,MILS3,2022-06-24,6.41,6.57,6.39,6.41,701500,1684,41,1653,3378,0,0
14,MILS3,2022-06-27,6.46,6.48,6.21,6.35,1198900,1936,40,2722,4698,0,0
15,MILS3,2022-06-28,6.36,6.41,5.9,5.9,1471900,1947,72,2274,4292,1,0
16,MILS3,2022-06-29,5.95,5.99,5.75,5.93,1060300,2649,42,2944,5634,1,0
17,MILS3,2022-06-30,5.8,5.9,5.66,5.85,1174300,1734,50,2221,4005,0,0
18,MILS3,2022-07-01,5.85,6.1,5.76,6.07,1061500,2438,38,2877,5352,1,0
19,MILS3,2022-07-04,6.03,6.06,5.89,6.03,1298800,1259,32,2585,3876,0,0
20,MILS3,2022-07-05,5.97,6.24,5.88,6.19,1110600,2483,38,3175,5696,0,0
21,MILS3,2022-07-06,6.23,6.4,6.14,6.35,779800,2317,44,1601,3962,0,0
22,MILS3,2022-07-07,6.39,6.66,6.37,6.48,1166100,2050,42,1489,3578,3,0
