,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MLAS3,2023-02-27,2.21,2.27,2.17,2.17,1742300,1698,75,1633,3406,0,0
1,MLAS3,2022-10-28,4.87,5.12,4.82,5.06,1150900,1868,51,2623,4541,1,0
2,MLAS3,2022-09-30,5.1,5.31,5.09,5.2,1183700,2034,51,2675,4758,2,0
3,MLAS3,2023-08-03,3.4,3.45,3.31,3.33,2694400,1941,68,1499,3508,0,0
4,MLAS3,2023-04-25,1.88,1.88,1.8,1.86,2098400,2407,53,1880,4340,0,0
5,MLAS3,2022-12-05,3.87,3.87,3.64,3.64,1486200,2564,60,2925,5549,0,0
6,MLAS3,2022-06-10,4.45,4.63,4.35,4.55,2960500,6429,31,3503,9962,1,0
7,MLAS3,2023-08-25,3.52,3.52,3.33,3.35,1500800,1307,61,1789,3157,0,0
8,MLAS3,2023-04-04,1.3,1.35,1.26,1.3,6377500,3681,47,4421,8149,0,0
9,MLAS3,2022-11-04,5.5,5.59,5.37,5.44,1094100,3109,35,2515,5658,1,0
10,MLAS3,2023-06-12,2.67,2.7,2.55,2.59,2722900,2106,72,2993,5171,0,0
11,MLAS3,2022-12-14,3.24,3.34,3.12,3.27,1988700,3246,43,3834,7123,0,0
12,MLAS3,2023-07-25,2.82,3.08,2.82,2.9,3005000,1803,46,1986,3835,0,0
13,MLAS3,2022-12-13,3.47,3.52,3.18,3.25,2862500,3198,54,3613,6864,1,0
14,MLAS3,2022-12-20,3.23,3.51,3.21,3.36,1615800,2912,66,2913,5891,0,0
15,MLAS3,2022-09-28,5.2,5.23,5.08,5.19,1458100,3341,54,4845,8239,1,0
16,MLAS3,2022-10-11,5.51,5.61,5.39,5.49,1149600,2079,57,2350,4485,1,0
17,MLAS3,2022-08-01,4.41,4.5,4.3,4.34,1338000,3130,41,4444,7614,1,0
18,MLAS3,2023-04-10,1.29,1.47,1.28,1.44,6460000,3377,52,2003,5432,0,0
19,MLAS3,2023-01-05,3.57,3.67,3.45,3.54,3608100,2678,58,4584,7320,0,0
20,MLAS3,2023-08-11,3.19,3.27,3.04,3.07,1391200,1676,37,2340,4053,0,0
