,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MOAR3,2022-06-09,449.5,470.0,449.5,470.0,300,3,0,0,3,0,0
1,MOAR3,2022-06-10,475.0,475.0,475.0,475.0,100,0,0,1,1,0,0
2,MOAR3,2022-06-17,475.0,475.0,475.0,475.0,100,1,0,0,1,0,0
3,MOAR3,2022-06-20,459.0,475.0,459.0,475.0,300,2,0,1,3,0,0
4,MOAR3,2022-06-21,455.03,475.0,450.0,475.0,2400,12,0,10,22,0,0
5,MOAR3,2022-06-22,455.01,475.0,446.01,475.0,6800,34,0,32,66,0,0
6,MOAR3,2022-06-23,459.99,466.99,448.0,465.0,8300,29,9,40,78,0,0
7,MOAR3,2022-06-24,455.0,467.0,455.0,467.0,2800,6,7,13,26,0,0
8,MOAR3,2022-06-27,455.25,455.38,444.0,448.99,6200,6,9,18,33,0,0
9,MOAR3,2022-06-28,464.0,464.0,451.1,451.1,200,1,0,1,2,0,0
10,MOAR3,2022-06-29,453.03,453.03,442.03,453.0,2900,11,7,7,25,0,0
11,MOAR3,2022-06-30,456.73,464.99,456.73,464.99,200,2,0,0,2,0,0
12,MOAR3,2022-07-04,465.0,465.0,465.0,465.0,200,2,0,0,2,0,0
13,MOAR3,2022-07-07,450.0,451.03,449.0,449.0,2500,4,7,9,20,0,0
14,MOAR3,2022-07-11,448.0,448.0,447.5,447.5,200,1,0,1,2,0,0
15,MOAR3,2022-07-13,443.0,443.0,443.0,443.0,100,0,1,0,1,0,0
16,MOAR3,2022-07-14,430.01,453.89,430.01,453.89,400,3,0,1,4,0,0
17,MOAR3,2022-07-18,453.89,453.89,453.89,453.89,200,0,2,0,2,0,0
18,MOAR3,2022-07-19,461.01,461.01,460.0,461.0,500,4,0,1,5,0,0
19,MOAR3,2022-07-20,460.0,460.0,460.0,460.0,300,2,1,0,3,0,0
20,MOAR3,2022-07-21,450.03,461.5,450.03,461.5,200,0,0,2,2,0,0
21,MOAR3,2022-07-25,469.99,469.99,469.99,469.99,100,0,0,1,1,0,0
22,MOAR3,2022-07-27,469.0,469.99,469.0,469.99,200,2,0,0,2,0,0
23,MOAR3,2022-07-29,464.0,485.0,460.0,485.0,700,4,0,3,7,0,0
24,MOAR3,2022-08-01,461.0,472.0,459.0,469.0,6000,29,5,19,53,0,0
25,MOAR3,2022-08-02,460.0,465.0,459.0,459.0,3600,2,8,13,23,0,0
26,MOAR3,2022-08-03,460.24,460.24,455.03,455.03,300,2,1,0,3,0,0
27,MOAR3,2022-08-08,462.01,462.01,462.01,462.01,100,1,0,0,1,0,0
28,MOAR3,2022-08-09,462.01,462.01,462.01,462.01,100,1,0,0,1,0,0
29,MOAR3,2022-08-12,474.0,474.0,474.0,474.0,200,0,1,1,2,0,0
30,MOAR3,2022-08-18,471.0,476.85,463.03,476.85,1900,12,0,7,19,0,0
31,MOAR3,2022-08-23,470.0,476.0,460.0,476.0,3300,17,2,9,28,0,0
32,MOAR3,2022-08-31,470.03,470.03,469.95,469.95,1600,5,5,2,12,0,0
33,MOAR3,2022-09-01,465.02,479.99,465.02,479.99,200,1,0,1,2,0,0
34,MOAR3,2022-09-02,473.0,473.0,473.0,473.0,100,0,1,0,1,0,0
35,MOAR3,2022-09-27,463.18,473.99,454.0,454.0,1000,2,3,5,10,0,0
36,MOAR3,2022-09-28,462.28,475.0,462.28,475.0,800,8,0,0,8,0,0
37,MOAR3,2022-09-29,470.0,482.0,470.0,482.0,600,6,0,0,6,0,0
38,MOAR3,2022-09-30,465.0,485.0,460.22,485.0,1600,12,0,4,16,0,0
39,MOAR3,2022-10-03,470.0,480.0,465.01,469.0,2300,6,0,13,19,0,0
40,MOAR3,2022-10-04,462.0,469.99,455.0,455.0,4200,7,14,15,36,0,0
41,MOAR3,2022-10-05,460.0,465.0,460.0,465.0,600,6,0,0,6,0,0
42,MOAR3,2022-10-06,475.0,475.0,464.01,470.02,700,6,0,1,7,0,0
43,MOAR3,2022-10-07,475.0,475.0,459.0,459.0,2000,1,5,10,16,0,0
44,MOAR3,2022-10-10,458.9,458.9,458.9,458.9,100,1,0,0,1,0,0
45,MOAR3,2022-10-11,465.99,470.0,465.99,470.0,200,2,0,0,2,0,0
46,MOAR3,2022-10-17,474.99,485.0,474.73,475.0,1500,10,2,3,15,0,0
47,MOAR3,2022-10-18,451.08,479.99,445.0,463.51,3300,15,0,9,24,0,0
48,MOAR3,2022-10-19,460.02,473.0,460.0,460.01,5800,30,10,10,50,0,0
49,MOAR3,2022-10-20,472.98,475.0,465.83,469.0,1500,6,2,3,11,0,0
50,MOAR3,2022-10-21,467.0,474.99,466.99,474.99,900,4,1,4,9,0,0
51,MOAR3,2022-10-24,471.84,490.0,471.84,480.0,2500,22,1,0,23,0,0
52,MOAR3,2022-10-25,480.0,485.0,480.0,485.0,300,3,0,0,3,0,0
53,MOAR3,2022-10-26,469.17,470.0,468.0,468.0,1300,1,0,10,11,0,0
54,MOAR3,2022-10-27,472.08,475.0,472.08,475.0,400,4,0,0,4,0,0
55,MOAR3,2022-10-28,478.13,478.13,478.13,478.13,300,2,0,0,2,0,0
56,MOAR3,2022-10-31,470.41,479.0,470.41,479.0,400,2,0,2,4,0,0
57,MOAR3,2022-11-18,490.0,490.0,470.0,484.9,400,0,0,4,4,0,0
58,MOAR3,2022-11-21,475.0,477.99,467.0,467.0,1400,2,0,11,13,0,0
59,MOAR3,2022-11-22,454.0,454.0,440.0,440.0,2200,0,0,18,18,0,0
60,MOAR3,2022-11-23,439.99,444.0,439.99,444.0,800,8,0,0,8,0,0
61,MOAR3,2022-11-24,450.0,450.0,450.0,450.0,100,0,0,1,1,0,0
62,MOAR3,2022-11-25,465.0,466.0,465.0,466.0,200,2,0,0,2,0,0
63,MOAR3,2022-11-28,474.99,474.99,474.99,474.99,200,2,0,0,2,0,0
64,MOAR3,2022-12-01,450.0,470.0,450.0,470.0,500,4,0,0,4,0,0
65,MOAR3,2022-12-06,470.0,470.0,470.0,470.0,200,2,0,0,2,0,0
66,MOAR3,2022-12-12,424.01,483.0,424.01,482.32,1000,4,2,2,8,0,0
67,MOAR3,2022-12-14,450.0,483.0,450.0,483.0,600,5,0,1,6,0,0
68,MOAR3,2022-12-15,463.01,477.35,463.01,476.0,400,2,1,1,4,0,0
69,MOAR3,2022-12-19,500.0,500.0,464.0,464.0,400,0,1,3,4,0,0
70,MOAR3,2022-12-20,460.0,461.06,445.0,458.79,1100,5,0,6,11,0,0
71,MOAR3,2022-12-21,455.0,460.0,454.99,460.0,500,4,1,0,5,0,0
72,MOAR3,2022-12-22,465.0,465.0,465.0,465.0,100,0,1,0,1,0,0
73,MOAR3,2022-12-23,465.0,475.0,465.0,475.0,300,3,0,0,3,0,0
74,MOAR3,2022-12-26,491.0,491.0,475.0,475.0,200,2,0,0,2,0,0
75,MOAR3,2022-12-27,475.7,475.7,475.0,475.7,200,2,0,0,2,0,0
