,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MODL3,2022-06-06,3.2,3.3,3.05,3.27,36000,79,0,24,103,0,0
1,MODL3,2022-06-07,3.3,3.34,3.24,3.33,30300,164,0,8,172,0,0
2,MODL3,2022-06-08,3.33,3.33,3.1,3.29,2400,11,0,8,19,0,0
3,MODL3,2022-06-09,3.25,3.32,3.03,3.27,5600,7,0,39,46,0,0
4,MODL3,2022-06-10,3.01,3.06,2.97,2.97,8900,10,0,37,47,0,0
5,MODL3,2022-06-13,2.97,3.18,2.72,2.72,10100,6,0,61,67,0,0
6,MODL3,2022-06-14,2.75,2.85,2.7,2.85,3800,2,0,15,17,0,0
7,MODL3,2022-06-15,2.99,3.0,2.87,2.96,800,5,0,1,6,0,0
8,MODL3,2022-06-17,2.85,2.85,2.6,2.73,3200,11,2,11,24,0,0
9,MODL3,2022-06-20,2.73,2.76,2.65,2.7,800,2,0,6,8,0,0
10,MODL3,2022-06-21,2.78,2.78,2.55,2.65,1900,1,1,10,12,0,0
11,MODL3,2022-06-22,2.75,2.75,2.56,2.56,1400,7,0,3,10,0,0
12,MODL3,2022-06-23,2.74,2.74,2.61,2.7,2300,13,0,8,21,0,0
13,MODL3,2022-06-24,2.88,2.9,2.71,2.87,2500,16,0,4,20,0,0
14,MODL3,2022-06-27,2.81,3.0,2.7,3.0,2000,10,0,5,15,0,0
15,MODL3,2022-06-28,2.83,2.86,2.78,2.78,900,0,1,8,9,0,0
16,MODL3,2022-06-29,2.71,2.71,2.55,2.66,3400,2,0,17,19,0,0
17,MODL3,2022-06-30,2.51,2.69,2.51,2.6,2400,9,0,14,23,0,0
18,MODL3,2022-07-01,2.65,2.65,2.57,2.6,1000,5,0,5,10,0,0
19,MODL3,2022-07-04,2.6,2.6,2.53,2.54,1900,7,0,5,12,0,0
20,MODL3,2022-07-05,2.6,2.62,2.55,2.6,12100,45,0,8,53,0,0
21,MODL3,2022-07-06,2.6,2.63,2.59,2.63,2400,11,0,2,13,0,0
22,MODL3,2022-07-07,2.62,2.62,2.52,2.61,2100,2,0,9,11,0,0
23,MODL3,2022-07-08,2.75,2.79,2.67,2.79,1800,11,0,1,12,0,0
24,MODL3,2022-07-11,2.6,2.64,2.51,2.6,5200,13,0,32,45,0,0
25,MODL3,2022-07-12,2.53,2.77,2.53,2.7,2900,17,0,5,22,0,0
26,MODL3,2022-07-13,2.66,2.66,2.62,2.62,700,6,0,1,7,0,0
27,MODL3,2022-07-14,2.62,2.62,2.55,2.56,800,2,0,6,8,0,0
28,MODL3,2022-07-15,2.53,2.63,2.53,2.55,1000,7,0,2,9,0,0
29,MODL3,2022-07-18,2.64,2.78,2.64,2.73,2500,15,0,3,18,0,0
30,MODL3,2022-07-19,2.77,2.92,2.7,2.9,4700,26,0,11,37,0,0
31,MODL3,2022-07-20,2.79,3.22,2.65,3.0,6600,33,0,12,45,0,0
32,MODL3,2022-07-21,3.04,3.35,3.04,3.11,6000,28,0,21,49,0,0
33,MODL3,2022-07-22,3.16,3.16,2.93,3.12,700,0,1,5,6,0,0
34,MODL3,2022-07-25,3.28,3.39,3.17,3.22,5800,22,0,16,38,0,0
35,MODL3,2022-07-26,3.17,3.17,2.81,2.88,5900,8,0,25,33,0,0
36,MODL3,2022-07-27,3.03,3.35,3.01,3.34,9700,40,0,18,58,0,0
37,MODL3,2022-07-28,3.3,3.41,3.2,3.35,4900,20,0,20,40,0,0
38,MODL3,2022-07-29,3.35,3.52,3.29,3.44,6200,26,0,19,45,0,0
39,MODL3,2022-08-01,3.44,3.73,3.43,3.7,11500,82,1,13,96,0,0
40,MODL3,2022-08-02,3.7,3.8,3.66,3.77,2900,16,1,4,21,0,0
41,MODL3,2022-08-03,3.84,3.95,3.77,3.92,6900,50,0,9,59,0,0
42,MODL3,2022-08-08,3.91,4.12,3.91,4.06,8800,55,0,8,63,0,0
43,MODL3,2022-08-09,3.97,3.97,3.73,3.78,3300,12,0,18,30,0,0
44,MODL3,2022-08-10,3.79,3.79,3.25,3.26,185200,147,0,780,927,0,0
45,MODL3,2022-08-12,2.99,3.14,2.92,3.09,55600,205,0,50,255,0,0
46,MODL3,2022-08-15,3.05,3.44,3.05,3.32,109900,371,1,71,443,0,0
47,MODL3,2022-08-16,3.39,3.4,3.1,3.33,17700,60,2,41,103,0,0
48,MODL3,2022-08-17,3.25,3.35,3.16,3.34,11000,37,1,18,56,0,0
49,MODL3,2022-08-18,3.35,3.35,3.25,3.33,3400,14,2,9,25,0,0
50,MODL3,2022-08-19,3.18,3.28,3.11,3.18,7300,17,0,20,37,0,0
51,MODL3,2022-08-22,3.07,3.12,3.03,3.09,8500,18,0,29,47,0,0
52,MODL3,2022-08-23,3.06,3.29,3.02,3.21,8500,33,1,23,57,0,0
53,MODL3,2022-08-24,3.24,3.32,3.24,3.31,16800,95,1,6,102,0,0
54,MODL3,2022-08-25,3.32,3.32,3.23,3.29,5600,24,1,14,39,0,0
55,MODL3,2022-08-26,3.29,3.32,3.15,3.2,3800,14,3,8,25,0,0
56,MODL3,2022-08-29,3.14,3.14,3.03,3.1,7300,13,4,42,59,0,0
57,MODL3,2022-08-30,3.1,3.11,2.9,2.92,54600,63,1,187,251,0,0
58,MODL3,2022-08-31,2.85,2.9,2.75,2.79,14700,17,0,66,83,0,0
59,MODL3,2022-09-01,2.78,2.86,2.67,2.86,11800,26,0,29,55,0,0
60,MODL3,2022-09-02,2.79,2.98,2.76,2.86,9800,15,0,25,40,0,0
61,MODL3,2022-09-05,2.72,2.91,2.72,2.84,12900,23,0,26,49,0,0
62,MODL3,2022-09-06,2.83,2.86,2.74,2.82,20300,11,1,11,23,0,0
63,MODL3,2022-09-08,2.85,2.86,2.81,2.82,9500,18,0,7,25,0,0
64,MODL3,2022-09-09,2.84,2.86,2.83,2.86,9800,16,0,1,17,0,0
65,MODL3,2022-09-12,2.86,2.91,2.8,2.91,8000,20,1,3,24,0,0
66,MODL3,2022-09-15,2.84,2.85,2.8,2.81,1800,5,0,6,11,0,0
67,MODL3,2022-09-16,2.8,2.81,2.71,2.71,5500,8,0,15,23,0,0
68,MODL3,2022-09-19,2.71,2.81,2.62,2.8,8475100,1142,12,1352,2504,2,0
69,MODL3,2022-09-20,2.78,2.88,2.71,2.8,6613800,618,54,1934,2602,4,0
