,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MOVI3,2022-06-06,17.01,17.05,16.5,16.5,1702700,2721,91,3611,6421,2,0
1,MOVI3,2022-06-07,16.38,16.73,15.75,16.6,3816100,6311,63,6619,12992,1,0
2,MOVI3,2022-06-08,16.44,16.46,15.66,15.76,3747200,6384,86,6843,13311,2,0
3,MOVI3,2022-06-09,15.68,16.12,15.55,15.92,1934800,3242,85,2911,6235,3,0
4,MOVI3,2022-06-10,15.82,15.94,15.42,15.55,1702300,2941,87,3149,6175,2,0
5,MOVI3,2022-06-13,15.23,15.31,14.47,14.58,3104800,5437,119,5529,11084,1,0
6,MOVI3,2022-06-14,14.67,14.75,13.97,14.05,3882200,5122,111,6161,11393,1,0
7,MOVI3,2022-06-15,14.3,14.61,14.17,14.36,4263400,6626,172,7361,14159,0,0
8,MOVI3,2022-06-17,13.9,14.14,13.7,14.14,1984100,3322,105,4067,7494,0,0
9,MOVI3,2022-06-20,14.05,14.32,13.7,14.14,1575700,3030,119,2456,5605,0,0
10,MOVI3,2022-06-21,14.31,14.38,13.92,14.13,1990100,4271,84,3737,8092,0,0
11,MOVI3,2022-06-22,13.93,14.06,13.72,13.93,2334400,4693,110,4223,9025,1,0
12,MOVI3,2022-06-23,14.09,14.32,13.78,13.92,2873900,4390,100,4848,9338,0,0
13,MOVI3,2022-06-24,14.11,14.14,13.47,13.65,1955000,3233,73,3782,7088,0,0
14,MOVI3,2022-06-27,13.76,13.95,13.55,13.74,1434000,3676,72,3319,7067,0,0
15,MOVI3,2022-06-28,13.81,13.97,13.56,13.74,1607700,3054,64,2945,6063,0,0
16,MOVI3,2022-06-29,13.71,13.8,13.44,13.54,1409500,2647,76,4166,6889,0,0
17,MOVI3,2022-06-30,13.28,13.4,13.01,13.02,3943200,5814,192,7680,13685,1,0
18,MOVI3,2022-07-01,12.94,13.26,12.64,13.13,3354900,7154,107,7245,14505,1,0
19,MOVI3,2022-07-04,13.12,13.17,12.87,12.96,1455400,2839,69,3364,6272,0,0
20,MOVI3,2022-07-05,12.75,12.78,12.42,12.66,2825700,5180,66,6697,11943,0,0
21,MOVI3,2022-07-06,12.64,12.95,12.45,12.89,3234100,5783,55,5830,11668,0,0
22,MOVI3,2022-07-07,13.0,13.41,12.98,13.14,2543000,3783,62,5821,9666,0,0
23,MOVI3,2022-07-08,13.24,13.41,12.86,12.93,2537700,4357,104,3803,8263,1,0
24,MOVI3,2022-07-11,12.67,12.74,12.0,12.05,3187700,4395,122,6110,10627,0,0
