,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MTRE3,2022-06-06,5.41,5.5,5.16,5.22,242500,648,27,574,1249,0,0
1,MTRE3,2022-06-07,5.13,5.17,4.98,5.1,256900,748,12,705,1465,0,0
2,MTRE3,2022-06-08,5.01,5.21,4.98,5.04,355700,976,27,700,1703,0,0
3,MTRE3,2022-06-09,5.09,5.28,5.04,5.12,242700,583,16,569,1168,0,0
4,MTRE3,2022-06-10,5.1,5.13,4.84,4.87,509600,1054,44,1168,2266,0,0
5,MTRE3,2022-06-13,4.78,4.78,4.51,4.58,358600,979,26,936,1941,0,0
6,MTRE3,2022-06-14,4.61,4.62,4.33,4.47,420600,1173,20,1014,2207,0,0
7,MTRE3,2022-06-15,4.52,4.65,4.47,4.59,214400,679,22,617,1318,0,0
8,MTRE3,2022-06-17,4.45,4.62,4.38,4.62,336500,829,20,600,1448,1,0
9,MTRE3,2022-06-20,4.55,4.62,4.39,4.47,264800,462,16,558,1035,1,0
10,MTRE3,2022-06-21,4.5,4.55,4.27,4.32,281700,674,46,829,1549,0,0
11,MTRE3,2022-06-22,4.18,4.4,4.15,4.3,416800,1115,24,753,1892,0,0
12,MTRE3,2022-06-23,4.37,4.53,4.34,4.5,452900,909,14,798,1720,1,0
13,MTRE3,2022-06-24,4.5,4.6,4.37,4.43,325500,792,18,733,1543,0,0
14,MTRE3,2022-06-27,4.53,4.53,4.4,4.45,160300,533,21,541,1095,0,0
15,MTRE3,2022-06-28,4.46,4.53,4.21,4.32,214400,827,19,646,1492,0,0
16,MTRE3,2022-06-29,4.32,4.33,4.13,4.13,199800,758,18,646,1422,0,0
17,MTRE3,2022-06-30,4.11,4.2,4.0,4.14,421800,1700,21,1104,2825,0,0
18,MTRE3,2022-07-01,4.14,4.32,4.1,4.19,343700,1190,15,691,1896,0,0
19,MTRE3,2022-07-04,4.26,4.35,4.13,4.23,359700,610,33,1145,1788,0,0
20,MTRE3,2022-07-05,4.18,4.32,4.09,4.3,286800,908,16,690,1614,0,0
21,MTRE3,2022-07-06,4.3,4.6,4.29,4.46,475900,1166,9,886,2061,0,0
22,MTRE3,2022-07-07,4.58,4.81,4.54,4.74,495000,962,22,603,1581,6,0
23,MTRE3,2022-07-08,4.72,4.87,4.66,4.8,636600,639,30,665,1334,0,0
24,MTRE3,2022-07-11,4.69,4.73,4.54,4.61,167200,590,24,584,1198,0,0
25,MTRE3,2022-07-12,4.57,4.73,4.46,4.68,319100,666,21,626,1313,0,0
26,MTRE3,2022-07-13,4.67,4.84,4.62,4.7,285000,699,16,681,1396,0,0
27,MTRE3,2022-07-14,4.7,4.7,4.41,4.5,332100,777,35,776,1588,0,0
28,MTRE3,2022-07-15,4.62,4.62,4.38,4.45,189300,552,11,581,1144,0,0
29,MTRE3,2022-07-18,4.63,4.64,4.35,4.38,191700,637,18,632,1287,0,0
30,MTRE3,2022-07-19,4.37,4.45,4.26,4.39,164900,574,17,537,1128,0,0
31,MTRE3,2022-07-20,4.29,4.61,4.28,4.58,256000,706,14,531,1251,0,0
32,MTRE3,2022-07-21,4.49,4.8,4.49,4.78,257900,700,20,586,1306,0,0
33,MTRE3,2022-07-22,4.79,4.83,4.6,4.65,194400,468,17,453,938,0,0
34,MTRE3,2022-07-25,4.66,4.75,4.58,4.59,172100,558,26,581,1165,0,0
35,MTRE3,2022-07-26,4.6,4.6,4.35,4.42,231200,550,19,663,1232,0,0
36,MTRE3,2022-07-27,4.45,4.67,4.45,4.63,281000,638,16,624,1278,0,0
37,MTRE3,2022-07-28,4.72,4.98,4.64,4.83,373600,964,15,768,1747,0,0
38,MTRE3,2022-07-29,4.9,5.0,4.8,4.91,522100,823,718,729,1570,700,0
39,MTRE3,2022-08-01,4.87,5.07,4.7,4.91,744000,1330,15,1139,2484,0,0
40,MTRE3,2022-08-02,4.99,5.1,4.9,4.98,220500,709,26,632,1363,4,0
41,MTRE3,2022-08-03,4.96,5.1,4.91,5.06,228500,601,27,601,1229,0,0
42,MTRE3,2022-08-08,5.65,5.74,5.47,5.53,320500,899,22,898,1819,0,0
43,MTRE3,2022-08-09,5.56,5.58,5.38,5.58,1671000,515,17,876,1408,0,0
44,MTRE3,2022-08-10,5.61,6.48,5.59,6.39,1229900,1970,26,1463,3459,0,0
45,MTRE3,2022-08-12,6.1,6.24,5.94,6.15,614900,1127,44,1134,2305,0,0
46,MTRE3,2022-08-15,6.08,6.3,5.98,6.2,856900,1728,21,2086,3835,0,0
47,MTRE3,2022-08-16,6.31,6.4,6.14,6.34,218700,602,26,778,1406,0,0
48,MTRE3,2022-08-17,6.39,6.4,6.16,6.27,285600,674,44,741,1459,0,0
49,MTRE3,2022-08-18,6.3,6.3,5.87,5.87,396500,705,64,949,1718,0,0
50,MTRE3,2022-08-19,5.85,5.85,5.5,5.6,353600,538,20,801,1359,0,0
51,MTRE3,2022-08-22,5.58,5.62,5.39,5.59,189000,480,22,605,1107,0,0
52,MTRE3,2022-08-23,5.56,5.82,5.56,5.79,204800,517,27,442,986,0,0
53,MTRE3,2022-08-24,5.84,5.92,5.68,5.73,251800,672,19,627,1317,1,0
54,MTRE3,2022-08-25,5.76,5.83,5.66,5.72,169400,476,11,521,1008,0,0
55,MTRE3,2022-08-26,5.75,5.79,5.48,5.48,204800,451,19,796,1266,0,0
56,MTRE3,2022-08-29,5.47,5.73,5.39,5.6,316900,672,18,538,1227,1,0
57,MTRE3,2022-08-30,5.75,5.92,5.51,5.66,335300,533,34,607,1173,1,0
58,MTRE3,2022-08-31,5.68,5.69,5.45,5.45,242500,507,14,527,1048,0,0
59,MTRE3,2022-09-01,5.54,5.63,5.4,5.49,352100,1171,20,1073,2264,0,0
60,MTRE3,2022-09-02,5.67,5.76,5.41,5.5,1402300,1481,66,1781,3327,1,0
61,MTRE3,2022-09-05,5.4,5.6,5.31,5.34,417100,765,46,663,1474,0,0
62,MTRE3,2022-09-06,5.31,5.31,5.0,5.02,406800,674,27,763,1464,0,0
63,MTRE3,2022-09-08,5.05,5.17,5.0,5.15,272900,752,20,576,1348,0,0
64,MTRE3,2022-09-09,5.19,5.42,5.17,5.32,232700,701,0,500,1201,0,0
65,MTRE3,2022-09-12,5.39,5.54,5.39,5.45,229000,612,18,668,1298,0,0
66,MTRE3,2022-09-13,5.38,5.57,5.31,5.56,259300,678,20,714,1412,0,0
67,MTRE3,2022-09-15,5.6,5.64,5.37,5.47,261700,677,26,783,1486,0,0
68,MTRE3,2022-09-16,5.44,5.44,5.02,5.04,824400,1135,54,1762,2951,0,0
69,MTRE3,2022-09-19,4.98,5.03,4.87,4.97,494600,950,27,1410,2387,0,0
70,MTRE3,2022-09-20,4.99,5.02,4.85,4.9,408500,761,15,1072,1848,0,0
71,MTRE3,2022-09-21,4.94,4.94,4.8,4.85,397300,790,15,1527,2332,0,0
72,MTRE3,2022-09-22,4.93,4.95,4.72,4.89,523700,957,19,1071,2046,1,0
73,MTRE3,2022-09-23,4.89,5.09,4.79,5.05,441800,969,29,912,1910,0,0
74,MTRE3,2022-09-27,5.05,5.15,4.81,4.87,434100,745,28,740,1513,0,0
75,MTRE3,2022-09-28,4.9,5.0,4.77,4.94,252100,561,22,554,1137,0,0
76,MTRE3,2022-09-29,4.88,5.02,4.77,5.0,370000,904,19,706,1629,0,0
77,MTRE3,2022-09-30,5.0,5.28,4.96,5.18,379700,757,19,903,1679,0,0
78,MTRE3,2022-10-03,5.21,5.68,5.21,5.48,678100,1661,27,1222,2910,0,0
79,MTRE3,2022-10-04,5.49,5.8,5.46,5.51,475400,1049,28,1316,2393,0,0
80,MTRE3,2022-10-05,5.55,5.65,5.38,5.55,360400,1041,17,955,2013,0,0
81,MTRE3,2022-10-06,5.65,5.76,5.53,5.68,430600,1172,21,1298,2491,0,0
82,MTRE3,2022-10-07,5.74,5.74,5.53,5.6,325500,879,28,839,1746,0,0
83,MTRE3,2022-10-10,5.64,5.64,5.38,5.5,374400,747,0,824,1571,0,0
84,MTRE3,2022-10-11,5.49,5.56,5.34,5.46,279300,591,18,614,1223,0,0
85,MTRE3,2022-10-13,5.41,5.7,5.33,5.52,338300,844,18,746,1608,0,0
86,MTRE3,2022-10-14,5.64,5.64,5.31,5.31,358900,688,33,868,1589,0,0
87,MTRE3,2022-10-17,5.43,5.65,5.42,5.47,259800,599,24,620,1243,0,0
88,MTRE3,2022-10-18,5.51,5.56,5.39,5.47,217500,595,14,577,1186,0,0
89,MTRE3,2022-10-19,5.47,5.47,5.34,5.43,513800,1574,42,1742,3358,0,0
90,MTRE3,2022-10-20,5.47,5.47,5.19,5.24,542600,668,32,861,1561,0,0
91,MTRE3,2022-10-21,5.25,5.41,5.18,5.3,217800,750,17,669,1436,0,0
92,MTRE3,2022-10-24,5.37,5.56,5.21,5.5,494200,950,17,852,1817,2,0
