,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MTSA4,2022-06-06,39.41,39.9,39.4,39.9,1900,9,0,1,10,0,0
1,MTSA4,2022-06-07,40.2,40.2,40.0,40.0,300,2,0,1,3,0,0
2,MTSA4,2022-06-08,39.01,39.01,38.01,38.01,3900,11,0,10,21,0,0
3,MTSA4,2022-06-09,38.11,39.4,38.1,39.4,600,3,0,2,5,0,0
4,MTSA4,2022-06-10,38.21,39.19,38.21,38.5,700,1,0,6,7,0,0
5,MTSA4,2022-06-13,37.9,38.49,37.0,38.49,1300,4,0,7,11,0,0
6,MTSA4,2022-06-14,38.0,38.48,38.0,38.48,700,3,1,0,3,1,0
7,MTSA4,2022-06-15,38.69,39.0,38.69,39.0,2300,4,0,1,5,0,0
8,MTSA4,2022-06-17,38.94,38.97,38.94,38.97,200,1,1,0,2,0,0
9,MTSA4,2022-06-20,38.5,38.5,38.0,38.0,2000,8,0,8,16,0,0
10,MTSA4,2022-06-21,37.23,38.45,37.0,37.0,2900,7,0,12,19,0,0
11,MTSA4,2022-06-22,37.13,38.0,37.0,37.86,1900,7,0,9,16,0,0
12,MTSA4,2022-06-23,37.31,37.38,36.03,36.03,6800,9,0,19,28,0,0
13,MTSA4,2022-06-24,36.33,36.37,34.61,35.57,5700,5,0,31,36,0,0
14,MTSA4,2022-06-27,36.8,36.8,36.48,36.48,200,2,0,0,2,0,0
15,MTSA4,2022-06-28,36.48,37.39,36.2,37.38,1800,11,0,3,14,0,0
16,MTSA4,2022-06-29,37.38,37.93,37.38,37.93,500,4,0,1,5,0,0
17,MTSA4,2022-06-30,37.4,39.86,37.11,38.49,2800,10,0,8,18,0,0
18,MTSA4,2022-07-01,37.51,39.5,37.51,38.31,2900,13,0,13,26,0,0
19,MTSA4,2022-07-04,40.73,40.73,36.5,37.69,6200,20,0,24,44,0,0
20,MTSA4,2022-07-05,37.4,37.4,37.4,37.4,300,3,0,0,3,0,0
21,MTSA4,2022-07-06,37.4,37.4,36.99,36.99,900,3,0,5,8,0,0
22,MTSA4,2022-07-07,37.6,37.6,37.4,37.5,400,3,0,1,4,0,0
23,MTSA4,2022-07-08,37.13,38.49,37.13,38.4,1600,11,0,5,16,0,0
24,MTSA4,2022-07-11,38.3,38.3,38.3,38.3,100,0,0,1,1,0,0
25,MTSA4,2022-07-12,38.39,38.39,38.29,38.29,200,2,0,0,2,0,0
26,MTSA4,2022-07-13,38.3,38.98,38.3,38.5,1000,6,0,0,6,0,0
27,MTSA4,2022-07-15,37.51,37.99,37.5,37.5,1300,5,0,5,10,0,0
28,MTSA4,2022-07-18,37.0,37.51,37.0,37.51,700,6,0,1,7,0,0
29,MTSA4,2022-07-19,37.06,37.11,36.99,36.99,900,4,0,5,9,0,0
30,MTSA4,2022-07-20,36.99,36.99,36.25,36.25,200,2,0,0,2,0,0
31,MTSA4,2022-07-21,37.5,37.5,37.49,37.49,3700,6,0,0,6,0,0
32,MTSA4,2022-07-22,37.51,37.51,37.5,37.5,400,4,0,0,4,0,0
33,MTSA4,2022-07-25,37.5,37.5,36.5,37.0,1600,8,0,6,14,0,0
34,MTSA4,2022-07-27,37.2,37.29,36.45,36.45,1300,11,0,1,12,0,0
35,MTSA4,2022-07-28,36.56,37.28,36.56,37.28,300,2,0,1,3,0,0
36,MTSA4,2022-07-29,37.29,37.3,37.29,37.3,500,3,0,0,3,0,0
37,MTSA4,2022-08-01,36.62,37.3,36.62,37.0,500,2,0,3,5,0,0
38,MTSA4,2022-08-02,36.55,37.0,36.55,37.0,500,2,0,3,5,0,0
39,MTSA4,2022-08-03,36.73,36.82,36.25,36.25,300,1,0,2,3,0,0
40,MTSA4,2022-08-08,36.69,36.7,36.68,36.7,500,5,0,0,5,0,0
41,MTSA4,2022-08-09,36.99,37.19,36.99,37.19,400,3,1,0,4,0,0
42,MTSA4,2022-08-10,37.01,39.69,37.01,39.64,2100,10,0,6,16,0,0
43,MTSA4,2022-08-12,39.01,39.03,39.0,39.0,1900,0,0,6,6,0,0
44,MTSA4,2022-08-15,39.05,40.48,39.05,40.48,1400,9,0,2,11,0,0
45,MTSA4,2022-08-16,40.48,43.2,40.48,43.2,2300,7,0,4,11,0,0
46,MTSA4,2022-08-17,43.21,44.99,43.21,43.52,2400,10,0,8,18,0,0
47,MTSA4,2022-08-18,43.25,43.25,43.25,43.25,3800,0,1,0,0,1,0
48,MTSA4,2022-08-22,42.96,42.96,41.5,42.82,1300,8,1,0,8,1,0
49,MTSA4,2022-08-24,42.0,42.0,42.0,42.0,100,0,0,1,1,0,0
50,MTSA4,2022-08-25,42.96,42.96,42.0,42.0,200,2,0,0,2,0,0
51,MTSA4,2022-08-26,42.49,42.96,42.49,42.96,500,2,1,0,3,0,0
52,MTSA4,2022-08-29,42.11,42.89,42.11,42.87,600,3,0,3,6,0,0
53,MTSA4,2022-08-30,42.36,42.91,42.36,42.91,200,1,0,1,2,0,0
54,MTSA4,2022-08-31,42.91,42.95,42.21,42.95,3100,7,1,1,8,1,0
55,MTSA4,2022-09-01,42.04,42.36,42.02,42.02,700,0,0,6,6,0,0
56,MTSA4,2022-09-02,42.93,42.94,42.93,42.94,400,4,0,0,4,0,0
57,MTSA4,2022-09-05,40.21,42.92,40.21,42.91,700,3,0,3,6,0,0
58,MTSA4,2022-09-06,42.5,42.5,42.23,42.23,300,1,1,1,3,0,0
59,MTSA4,2022-09-08,42.0,42.0,42.0,42.0,100,0,1,0,1,0,0
60,MTSA4,2022-09-09,42.05,42.31,42.0,42.0,1700,4,0,13,17,0,0
61,MTSA4,2022-09-12,42.8,42.8,42.8,42.8,300,3,0,0,3,0,0
62,MTSA4,2022-09-13,42.01,42.79,42.0,42.77,600,1,0,5,6,0,0
63,MTSA4,2022-09-15,42.0,42.0,42.0,42.0,300,3,0,0,3,0,0
64,MTSA4,2022-09-16,42.02,43.0,42.02,43.0,500,2,1,2,5,0,0
65,MTSA4,2022-09-19,43.0,44.99,43.0,44.88,3400,15,0,15,30,0,0
66,MTSA4,2022-09-20,44.88,47.47,44.0,45.89,4000,14,0,15,29,0,0
67,MTSA4,2022-09-21,44.79,44.99,42.01,42.08,4800,19,1,25,45,0,0
68,MTSA4,2022-09-22,42.42,42.8,41.88,41.88,2200,6,0,15,21,0,0
69,MTSA4,2022-09-23,42.0,42.99,41.62,42.99,600,3,0,3,6,0,0
70,MTSA4,2022-09-27,41.3,41.8,41.3,41.8,700,5,0,2,7,0,0
71,MTSA4,2022-09-28,41.97,41.97,41.97,41.97,100,0,1,0,1,0,0
72,MTSA4,2022-09-29,41.1,41.97,41.02,41.89,700,4,0,3,7,0,0
73,MTSA4,2022-09-30,41.21,42.78,41.21,42.49,1100,6,0,2,8,0,0
74,MTSA4,2022-10-03,43.33,44.0,42.41,43.87,1200,8,0,2,10,0,0
75,MTSA4,2022-10-04,46.52,46.52,43.01,43.99,600,3,0,3,6,0,0
76,MTSA4,2022-10-05,43.46,43.6,43.46,43.6,700,4,1,0,4,1,0
77,MTSA4,2022-10-06,43.5,43.5,43.49,43.49,1700,5,1,0,5,1,0
78,MTSA4,2022-10-10,42.97,42.98,42.75,42.75,600,2,0,2,4,0,0
79,MTSA4,2022-10-13,42.78,42.78,42.7,42.7,9600,3,1,0,3,1,0
80,MTSA4,2022-10-14,42.69,42.69,41.66,41.66,400,2,0,2,4,0,0
81,MTSA4,2022-10-17,41.93,41.93,41.93,41.93,100,0,0,1,1,0,0
82,MTSA4,2022-10-18,42.3,43.9,41.42,43.9,27900,17,5,7,29,0,0
83,MTSA4,2022-10-19,43.6,43.6,42.61,43.47,2200,0,2,12,12,2,0
84,MTSA4,2022-10-20,42.66,42.71,42.63,42.63,2100,2,1,6,9,0,0
85,MTSA4,2022-10-21,42.63,42.63,42.63,42.63,500,0,0,1,1,0,0
86,MTSA4,2022-10-24,43.0,43.0,43.0,43.0,100,0,0,1,1,0,0
87,MTSA4,2022-10-25,42.6,42.6,42.6,42.6,300,2,0,1,3,0,0
88,MTSA4,2022-10-26,42.42,42.42,42.12,42.12,2200,1,0,3,4,0,0
89,MTSA4,2022-10-27,42.52,42.52,42.1,42.49,1500,3,0,4,7,0,0
90,MTSA4,2022-10-31,42.5,43.99,42.5,43.99,600,5,0,1,6,0,0
91,MTSA4,2022-11-01,44.99,45.0,42.89,44.53,1400,7,0,6,13,0,0
92,MTSA4,2022-11-03,44.53,44.53,44.52,44.52,500,5,0,0,5,0,0
93,MTSA4,2022-11-04,44.13,44.13,44.0,44.0,1900,0,4,10,14,0,0
94,MTSA4,2022-11-07,43.01,43.01,42.5,42.5,1600,3,0,12,15,0,0
95,MTSA4,2022-11-08,42.52,42.61,42.36,42.36,1400,0,0,11,11,0,0
96,MTSA4,2022-11-09,42.5,42.51,42.36,42.36,900,2,0,5,7,0,0
97,MTSA4,2022-11-10,42.36,42.9,41.34,42.9,1800,0,0,10,10,0,0
98,MTSA4,2022-11-14,45.1,46.0,44.85,44.85,4900,8,0,11,19,0,0
99,MTSA4,2022-11-17,42.57,44.49,42.57,42.61,2500,2,0,20,22,0,0
100,MTSA4,2022-11-18,45.99,45.99,44.0,44.0,700,1,0,5,6,0,0
101,MTSA4,2022-11-21,44.0,46.5,43.34,46.5,1000,5,1,3,9,0,0
102,MTSA4,2022-11-22,44.31,46.5,44.31,46.5,200,0,0,2,2,0,0
103,MTSA4,2022-11-23,46.19,46.19,46.19,46.19,100,1,0,0,1,0,0
104,MTSA4,2022-11-24,44.21,45.8,44.21,45.8,4900,13,0,2,15,0,0
105,MTSA4,2022-11-25,45.6,45.9,45.4,45.9,5700,9,0,2,11,0,0
106,MTSA4,2022-11-28,45.0,45.0,44.6,44.65,1000,1,0,5,6,0,0
107,MTSA4,2022-11-29,44.65,46.0,43.5,46.0,3400,15,0,13,28,0,0
108,MTSA4,2022-11-30,45.0,47.85,44.61,47.85,9600,20,0,11,31,0,0
109,MTSA4,2022-12-01,46.99,47.35,45.9,46.0,2000,7,3,1,10,1,0
110,MTSA4,2022-12-02,45.3,45.79,44.0,44.0,5900,3,0,21,24,0,0
111,MTSA4,2022-12-05,43.51,44.5,43.5,44.5,1700,2,0,11,13,0,0
112,MTSA4,2022-12-06,44.0,44.0,43.3,43.3,1900,6,0,10,16,0,0
113,MTSA4,2022-12-07,43.3,44.0,42.81,42.81,11900,8,0,48,56,0,0
114,MTSA4,2022-12-08,42.68,43.0,42.02,42.02,2700,0,4,18,22,0,0
115,MTSA4,2022-12-09,42.17,42.5,40.71,41.03,9900,2,6,32,40,0,0
116,MTSA4,2022-12-12,42.0,42.0,39.0,39.0,11700,22,0,45,67,0,0
117,MTSA4,2022-12-13,39.0,39.99,37.2,37.2,6400,17,0,32,49,0,0
118,MTSA4,2022-12-14,37.22,40.0,35.2,37.98,7300,19,0,36,55,0,0
119,MTSA4,2022-12-15,37.11,37.51,35.7,35.89,7500,2,0,48,50,0,0
120,MTSA4,2022-12-16,35.55,35.58,33.51,34.1,11800,8,0,56,64,0,0
121,MTSA4,2022-12-19,34.04,34.91,34.0,34.18,15900,22,3,40,65,0,0
122,MTSA4,2022-12-20,35.89,37.1,35.51,37.1,1800,9,0,2,11,0,0
123,MTSA4,2022-12-21,36.99,39.87,36.11,38.5,8500,29,0,14,43,0,0
124,MTSA4,2022-12-22,38.11,45.94,38.11,45.94,800,5,0,3,8,0,0
125,MTSA4,2022-12-26,45.44,45.44,45.44,45.44,200,2,0,0,2,0,0
126,MTSA4,2022-12-27,42.35,44.87,42.35,44.87,500,4,0,0,4,0,0
127,MTSA4,2022-12-28,45.0,46.6,44.76,46.6,2700,15,0,0,15,0,0
128,MTSA4,2022-12-29,45.01,46.29,45.0,46.28,2500,15,0,6,21,0,0
129,MTSA4,2023-01-02,46.17,46.17,44.05,45.92,1100,7,0,3,10,0,0
130,MTSA4,2023-01-03,45.89,45.89,44.4,44.4,300,2,0,1,3,0,0
131,MTSA4,2023-01-04,44.4,44.93,44.4,44.75,700,1,0,2,3,0,0
132,MTSA4,2023-01-06,44.72,44.72,40.01,40.01,4200,13,0,6,19,0,0
133,MTSA4,2023-01-09,42.0,42.0,42.0,42.0,200,2,0,0,2,0,0
134,MTSA4,2023-01-11,41.35,41.36,41.35,41.36,200,1,0,1,2,0,0
135,MTSA4,2023-01-12,41.21,41.26,40.8,40.8,2900,0,0,21,21,0,0
136,MTSA4,2023-01-13,40.42,40.42,40.42,40.42,100,1,0,0,1,0,0
137,MTSA4,2023-01-16,40.01,41.0,39.6,41.0,2100,3,0,10,13,0,0
138,MTSA4,2023-01-17,40.51,41.0,40.16,40.77,800,5,0,2,7,0,0
139,MTSA4,2023-01-18,40.15,41.0,39.51,39.51,13100,23,0,35,58,0,0
140,MTSA4,2023-01-20,42.52,42.52,40.99,40.99,200,2,0,0,2,0,0
141,MTSA4,2023-01-23,40.74,41.99,40.74,41.99,200,2,0,0,2,0,0
142,MTSA4,2023-01-24,40.95,41.42,40.95,41.42,600,2,1,2,5,0,0
143,MTSA4,2023-01-25,41.0,42.3,41.0,42.3,800,2,0,5,7,0,0
144,MTSA4,2023-01-30,41.1,42.98,41.1,42.98,1700,6,0,10,16,0,0
145,MTSA4,2023-01-31,42.99,44.2,41.4,44.2,4500,12,0,17,29,0,0
146,MTSA4,2023-02-01,43.2,43.93,43.0,43.72,1700,4,0,4,8,0,0
147,MTSA4,2023-02-02,43.72,43.8,42.0,42.0,2000,5,0,2,7,0,0
