,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MULT3,2022-06-06,24.81,24.91,23.97,24.04,4592400,10002,2288,8519,18629,2180,0
1,MULT3,2022-06-07,23.8,23.82,23.15,23.53,2959800,5490,132,5583,11203,2,0
2,MULT3,2022-06-08,23.2,23.49,22.98,23.37,2897700,6261,145,4882,11286,2,0
3,MULT3,2022-06-09,23.29,23.52,22.62,22.65,5364800,8787,153,6124,15064,0,0
4,MULT3,2022-06-10,22.49,23.0,22.41,22.57,5745800,7565,257,7788,15479,131,0
5,MULT3,2022-06-13,22.21,22.31,21.57,21.87,4192800,9155,197,8291,17643,0,0
6,MULT3,2022-06-14,21.63,22.02,21.57,21.71,2641600,4966,95,5882,10943,0,0
7,MULT3,2022-06-15,22.05,22.92,21.9,22.51,5966200,11322,142,12084,23544,4,0
8,MULT3,2022-06-17,22.09,22.61,21.9,22.36,4139500,6990,2970,6762,13945,2777,0
9,MULT3,2022-06-20,22.4,22.82,22.16,22.57,4224600,10526,100,9891,20517,0,0
10,MULT3,2022-06-21,22.71,23.1,22.39,22.79,3780400,7223,99,9631,16953,0,0
11,MULT3,2022-06-22,22.46,23.3,22.33,23.2,4359800,8964,190,8540,17692,2,0
12,MULT3,2022-06-23,23.16,23.4,22.96,23.0,2417100,5631,117,4920,10668,0,0
13,MULT3,2022-06-24,23.15,23.23,22.21,22.56,3313500,7348,112,5898,13358,0,0
14,MULT3,2022-06-27,22.39,22.8,22.22,22.8,2500300,5002,139,4764,9902,3,0
15,MULT3,2022-06-28,22.72,23.34,22.6,22.92,8199200,10271,141,12302,22706,8,0
16,MULT3,2022-06-29,22.95,23.2,22.33,22.39,4137100,6446,114,7345,13903,2,0
17,MULT3,2022-06-30,22.32,22.4,21.87,22.06,4397300,7067,230,7518,14755,60,0
18,MULT3,2022-07-01,21.65,22.4,21.61,22.4,3966700,7486,184,8913,16581,2,0
19,MULT3,2022-07-04,22.07,22.72,22.07,22.44,1747000,4188,118,4291,8597,0,0
20,MULT3,2022-07-05,22.28,22.85,22.0,22.85,3275400,7647,183,5704,13534,0,0
21,MULT3,2022-07-06,22.85,23.64,22.82,23.35,4487800,12888,190,8941,22018,1,0
22,MULT3,2022-07-07,23.78,24.47,23.78,24.25,5473700,14699,154,11079,25932,0,0
23,MULT3,2022-07-08,24.37,24.86,24.27,24.45,3958200,10629,125,7551,18304,1,0
24,MULT3,2022-07-11,24.29,24.35,23.48,23.61,3992300,7160,127,6399,13682,4,0
