,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MWET4,2022-06-06,10.68,10.94,10.4,10.68,1900,10,0,4,14,0,0
1,MWET4,2022-06-07,10.83,10.83,10.12,10.67,400,3,0,1,4,0,0
2,MWET4,2022-06-08,10.66,10.66,10.54,10.54,1100,7,1,0,7,1,0
3,MWET4,2022-06-09,11.35,11.35,10.1,10.12,4900,13,0,14,27,0,0
4,MWET4,2022-06-10,10.85,10.85,10.0,10.0,6600,14,0,14,28,0,0
5,MWET4,2022-06-13,10.29,10.29,9.3,9.93,2200,11,0,6,17,0,0
6,MWET4,2022-06-14,10.27,10.91,10.05,10.05,900,6,0,1,7,0,0
7,MWET4,2022-06-15,10.73,10.73,10.0,10.44,2900,13,1,6,19,1,0
8,MWET4,2022-06-17,10.0,10.0,9.4,10.0,3300,10,0,12,22,0,0
9,MWET4,2022-06-20,9.99,10.0,9.86,9.99,700,6,0,0,6,0,0
10,MWET4,2022-06-21,9.56,9.56,9.56,9.56,200,1,0,1,2,0,0
11,MWET4,2022-06-22,9.55,9.56,9.47,9.5,2200,7,0,1,8,0,0
12,MWET4,2022-06-23,9.6,9.6,9.6,9.6,1900,0,1,0,0,1,0
13,MWET4,2022-06-24,9.6,9.8,9.5,9.5,6000,9,0,5,14,0,0
14,MWET4,2022-06-27,9.58,9.77,9.58,9.77,300,2,0,0,2,0,0
15,MWET4,2022-06-29,9.4,9.4,9.27,9.32,5400,2,0,8,10,0,0
16,MWET4,2022-06-30,9.15,9.15,9.15,9.15,1000,0,1,0,0,1,0
17,MWET4,2022-07-01,8.8,8.82,8.69,8.69,400,2,0,2,4,0,0
18,MWET4,2022-07-04,8.69,9.45,8.69,9.11,800,4,0,2,6,0,0
19,MWET4,2022-07-05,9.09,9.1,8.64,9.1,3100,7,0,0,7,0,0
20,MWET4,2022-07-06,8.9,9.59,8.9,9.43,1200,1,0,5,6,0,0
21,MWET4,2022-07-08,9.15,9.22,9.15,9.22,300,0,0,3,3,0,0
22,MWET4,2022-07-11,9.27,9.27,9.05,9.27,2500,0,0,2,2,0,0
23,MWET4,2022-07-12,9.46,9.68,9.12,9.12,2100,8,0,4,12,0,0
24,MWET4,2022-07-13,9.22,9.22,9.0,9.01,1100,0,1,2,2,1,0
25,MWET4,2022-07-14,8.31,9.0,8.31,9.0,2100,5,1,11,17,0,0
26,MWET4,2022-07-15,9.69,9.69,9.49,9.5,1100,7,0,1,8,0,0
27,MWET4,2022-07-18,9.7,9.7,9.6,9.6,300,1,1,0,1,1,0
28,MWET4,2022-07-19,9.69,9.69,9.69,9.69,100,1,0,0,1,0,0
29,MWET4,2022-07-20,9.01,9.53,9.01,9.44,1700,8,0,2,10,0,0
30,MWET4,2022-07-21,9.23,9.3,9.12,9.17,5500,3,0,8,11,0,0
31,MWET4,2022-07-22,9.59,9.59,9.4,9.4,700,3,1,0,3,1,0
32,MWET4,2022-07-26,9.69,9.69,9.19,9.2,4800,6,0,1,7,0,0
33,MWET4,2022-07-27,9.3,9.3,9.3,9.3,600,0,1,0,0,1,0
34,MWET4,2022-07-28,9.1,9.11,9.1,9.11,1400,0,1,1,1,1,0
35,MWET4,2022-07-29,9.1,9.49,9.1,9.12,900,2,0,5,7,0,0
36,MWET4,2022-08-01,9.69,12.48,9.1,11.39,18300,76,1,31,108,0,0
37,MWET4,2022-08-02,11.39,12.2,11.38,11.39,4600,11,0,14,25,0,0
38,MWET4,2022-08-03,10.61,11.39,10.6,11.14,2900,6,0,10,16,0,0
39,MWET4,2022-08-08,10.5,10.98,10.27,10.5,11900,15,0,13,28,0,0
40,MWET4,2022-08-09,11.03,12.54,10.51,10.52,8300,27,0,26,53,0,0
41,MWET4,2022-08-10,10.55,11.33,10.55,11.0,2600,3,0,8,11,0,0
42,MWET4,2022-08-12,10.03,10.15,9.85,10.04,15300,10,0,17,27,0,0
43,MWET4,2022-08-15,10.2,10.64,10.03,10.55,9100,2,1,7,9,1,0
44,MWET4,2022-08-16,10.75,13.8,10.26,10.46,33400,91,0,90,181,0,0
45,MWET4,2022-08-17,10.88,11.6,10.4,10.96,9100,33,0,28,61,0,0
46,MWET4,2022-08-18,11.18,11.81,10.97,10.97,12000,13,0,30,43,0,0
47,MWET4,2022-08-19,11.1,11.1,10.46,10.79,1700,6,0,8,14,0,0
48,MWET4,2022-08-22,10.8,10.98,10.1,10.89,1300,7,0,5,12,0,0
49,MWET4,2022-08-23,10.76,11.45,10.7,10.7,5800,8,0,11,19,0,0
50,MWET4,2022-08-24,10.7,10.99,10.0,10.2,9900,8,1,31,39,1,0
51,MWET4,2022-08-25,10.69,10.69,10.0,10.0,1800,3,1,8,12,0,0
52,MWET4,2022-08-26,10.05,10.37,10.0,10.01,1900,6,0,6,12,0,0
53,MWET4,2022-08-29,10.05,10.15,9.3,10.09,10000,14,0,39,53,0,0
54,MWET4,2022-08-30,10.29,11.8,10.07,10.09,16000,32,4,27,63,0,0
55,MWET4,2022-08-31,10.0,10.37,10.0,10.25,1600,4,1,6,11,0,0
56,MWET4,2022-09-01,10.5,10.89,10.46,10.51,1500,5,0,6,11,0,0
57,MWET4,2022-09-02,10.38,11.03,10.2,10.95,7100,16,0,8,24,0,0
58,MWET4,2022-09-05,11.03,12.49,11.03,11.41,7800,34,0,17,51,0,0
59,MWET4,2022-09-06,11.73,11.73,10.8,11.11,4100,7,0,14,21,0,0
60,MWET4,2022-09-08,11.04,11.04,10.12,10.25,5100,5,0,25,30,0,0
61,MWET4,2022-09-09,10.39,10.53,10.27,10.27,700,2,0,5,7,0,0
62,MWET4,2022-09-12,10.5,10.78,10.2,10.78,2900,4,1,16,21,0,0
63,MWET4,2022-09-13,10.76,10.76,10.76,10.76,100,1,0,0,1,0,0
64,MWET4,2022-09-15,10.21,10.21,10.21,10.21,300,1,1,0,2,0,0
65,MWET4,2022-09-16,10.0,10.1,9.72,9.9,1000,3,0,6,9,0,0
66,MWET4,2022-09-19,9.86,10.26,9.53,10.26,7100,10,1,4,15,0,0
67,MWET4,2022-09-20,10.59,10.59,10.59,10.59,100,0,1,0,1,0,0
68,MWET4,2022-09-21,10.02,10.27,10.0,10.0,3000,0,1,17,18,0,0
69,MWET4,2022-09-22,9.51,9.98,9.51,9.63,2100,0,0,13,13,0,0
70,MWET4,2022-09-23,9.61,9.88,9.43,9.85,3700,7,0,14,21,0,0
71,MWET4,2022-09-27,12.5,17.49,12.5,13.76,121500,311,16,302,629,0,0
72,MWET4,2022-09-28,14.3,16.1,12.91,13.54,39500,106,0,162,268,0,0
73,MWET4,2022-09-29,13.12,13.86,11.81,11.93,34800,78,0,118,196,0,0
74,MWET4,2022-09-30,11.89,12.5,10.85,11.3,43000,87,17,118,222,0,0
75,MWET4,2022-10-03,11.21,11.35,10.93,11.35,10000,21,0,45,66,0,0
76,MWET4,2022-10-04,11.44,12.43,11.02,11.1,8300,27,1,40,68,0,0
77,MWET4,2022-10-05,10.97,11.1,10.97,11.07,1400,6,0,5,11,0,0
78,MWET4,2022-10-06,10.9,11.02,10.64,11.02,2100,9,0,8,17,0,0
79,MWET4,2022-10-07,11.58,11.58,11.14,11.19,5400,17,0,20,37,0,0
80,MWET4,2022-10-10,11.15,11.15,10.9,11.05,1000,8,0,1,9,0,0
81,MWET4,2022-10-11,10.92,10.92,10.49,10.49,5000,10,0,16,26,0,0
82,MWET4,2022-10-13,10.7,10.71,10.12,10.47,7200,13,0,11,24,0,0
83,MWET4,2022-10-14,10.47,11.49,10.4,10.4,8900,37,0,23,60,0,0
84,MWET4,2022-10-17,10.87,11.38,10.6,11.08,11000,52,0,12,64,0,0
85,MWET4,2022-10-18,11.57,11.57,10.99,11.08,6900,21,0,19,40,0,0
86,MWET4,2022-10-19,11.19,11.19,10.75,10.85,6600,24,0,26,50,0,0
87,MWET4,2022-10-20,10.72,10.84,10.55,10.7,7100,17,1,4,22,0,0
88,MWET4,2022-10-21,10.7,10.88,10.7,10.77,1900,8,1,3,12,0,0
