,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,MYPK3,2022-09-01,13.6,13.81,13.33,13.7,4097300,6773,3009,10632,17494,2920,0
1,MYPK3,2022-08-16,16.81,16.88,16.32,16.57,2541400,4550,72,4743,9363,2,0
2,MYPK3,2022-06-20,15.66,15.8,15.23,15.31,677500,1732,236,2108,3925,151,0
3,MYPK3,2022-07-08,15.54,15.98,15.34,15.55,1197000,3228,75,3034,6337,0,0
4,MYPK3,2023-05-31,12.57,13.04,12.35,12.84,2805800,3247,113,4056,7414,2,0
5,MYPK3,2023-06-02,12.85,13.2,12.7,12.75,2274600,4742,61,4390,9193,0,0
6,MYPK3,2022-12-29,11.82,11.89,11.59,11.77,1336500,2876,93,2248,5217,0,0
7,MYPK3,2023-01-18,11.23,11.24,10.96,11.05,3270600,3885,129,3938,7952,0,0
8,MYPK3,2022-08-12,17.32,17.51,17.06,17.31,1903300,4261,77,4496,8834,0,0
9,MYPK3,2023-07-20,13.75,13.84,13.6,13.7,1411400,1666,79,1616,3361,0,0
10,MYPK3,2023-02-20,11.34,11.45,11.19,11.19,930800,3127,50,2214,5391,0,0
11,MYPK3,2022-09-16,12.81,12.83,12.43,12.67,2643700,5200,87,7792,13079,0,0
12,MYPK3,2023-08-07,14.63,14.63,14.33,14.42,991200,2071,58,2612,4741,0,0
13,MYPK3,2023-03-13,11.45,11.5,11.27,11.43,955900,2019,53,1561,3632,1,0
14,MYPK3,2023-08-28,14.3,14.45,14.26,14.34,891000,1076,74,1230,2380,0,0
15,MYPK3,2023-07-13,12.48,12.79,12.41,12.56,797300,1855,51,1623,3529,0,0
16,MYPK3,2023-03-30,11.95,12.42,11.94,12.08,1364300,2216,47,2912,5175,0,0
17,MYPK3,2022-11-22,13.36,14.06,13.36,13.73,2353300,3760,95,5313,9168,0,0
18,MYPK3,2022-07-29,15.51,15.69,15.41,15.59,1240700,2881,83,4006,6970,0,0
19,MYPK3,2023-06-05,12.75,12.91,12.53,12.75,1251200,1520,65,1690,3275,0,0
20,MYPK3,2023-02-10,11.04,11.62,11.01,11.49,1355000,2715,47,2920,5682,0,0
21,MYPK3,2022-12-22,12.18,12.26,11.83,12.09,1390900,2646,68,2787,5501,0,0
22,MYPK3,2023-06-01,12.98,13.14,12.63,12.9,2847400,4882,104,5192,10177,1,0
23,MYPK3,2023-07-31,13.83,14.01,13.78,13.8,1495300,2100,83,1867,4050,0,0
24,MYPK3,2022-07-05,15.55,15.55,14.55,14.84,1879900,4625,143,6009,10734,43,0
25,MYPK3,2023-04-27,11.2,11.34,11.14,11.2,599100,1323,50,1038,2411,0,0
26,MYPK3,2022-12-19,12.49,12.63,12.25,12.3,1390100,3373,58,3041,6472,0,0
27,MYPK3,2023-07-18,13.2,13.53,13.07,13.43,1238200,1661,69,2089,3819,0,0
28,MYPK3,2022-12-09,12.44,12.79,12.4,12.57,945300,2057,42,2289,4388,0,0
29,MYPK3,2023-04-20,11.59,11.73,11.45,11.51,1447900,2973,51,2007,5031,0,0
30,MYPK3,2023-05-30,12.18,12.58,12.02,12.54,1558800,2435,86,2234,4755,0,0
31,MYPK3,2023-04-25,11.05,11.11,10.9,11.07,1030200,2029,45,1985,4059,0,0
32,MYPK3,2023-02-15,11.71,11.73,11.27,11.39,1431200,3114,85,2339,5538,0,0
33,MYPK3,2023-01-16,10.73,10.73,10.2,10.2,2430700,2950,174,5569,8692,1,0
34,MYPK3,2023-01-20,10.83,11.24,10.82,11.17,1383300,2892,42,3468,6402,0,0
35,MYPK3,2023-05-09,11.75,11.75,10.33,10.64,10396800,10881,110,13635,24626,0,0
36,MYPK3,2023-03-23,11.4,11.89,11.29,11.43,4216000,5466,101,7726,13291,2,0
37,MYPK3,2022-10-06,12.71,13.13,12.58,12.99,2072300,5767,63,4739,10569,0,0
38,MYPK3,2022-09-09,13.17,13.2,12.9,13.15,1671100,3288,77,2616,5981,0,0
39,MYPK3,2023-08-11,14.56,14.92,14.42,14.79,1535800,2200,78,3512,5790,0,0
40,MYPK3,2023-06-21,13.08,13.32,12.99,13.24,2570700,3225,69,2143,5435,2,0
41,MYPK3,2023-08-21,14.51,14.63,14.26,14.45,1347400,2183,75,2714,4971,1,0
42,MYPK3,2022-12-14,12.07,12.15,11.78,12.05,1598800,3043,63,2863,5969,0,0
43,MYPK3,2022-06-27,16.15,16.24,15.48,15.69,1095900,2923,120,3368,6352,59,0
44,MYPK3,2022-07-11,15.39,15.65,14.99,15.1,968400,2286,69,3769,6124,0,0
45,MYPK3,2023-08-14,14.72,15.04,14.69,14.88,1321400,1771,103,2813,4687,0,0
46,MYPK3,2023-03-02,11.0,11.01,10.81,10.92,857100,2020,80,1687,3787,0,0
47,MYPK3,2022-06-08,15.66,16.54,15.53,16.1,2010100,6716,86,6759,13561,0,0
48,MYPK3,2023-02-28,11.06,11.53,11.06,11.27,1558700,3436,98,2382,5916,0,0
49,MYPK3,2023-02-23,11.12,11.21,10.95,11.0,1130000,2372,85,2051,4507,1,0
50,MYPK3,2022-06-17,15.77,15.8,15.26,15.69,1093000,3096,292,3135,6320,203,0
51,MYPK3,2023-06-12,13.07,13.07,12.64,12.8,1081800,1828,69,1778,3674,1,0
52,MYPK3,2023-02-08,11.32,11.38,11.02,11.14,1312400,2533,69,2437,5039,0,0
53,MYPK3,2022-12-26,11.91,12.21,11.55,12.03,1135400,2193,44,3002,5239,0,0
54,MYPK3,2023-02-03,11.28,11.32,10.86,10.91,1474300,2500,57,2097,4654,0,0
55,MYPK3,2023-06-22,13.16,13.19,12.85,12.92,902600,1817,59,1469,3345,0,0
56,MYPK3,2023-02-14,11.74,11.93,11.44,11.71,1773900,3307,55,3079,6441,0,0
57,MYPK3,2022-11-04,14.32,14.41,13.74,13.89,2086200,4067,53,4884,9004,0,0
58,MYPK3,2022-07-06,14.82,15.38,14.66,15.37,1268200,3438,78,3421,6936,1,0
59,MYPK3,2023-05-11,10.96,11.8,10.96,11.65,5875100,6031,76,7260,13359,8,0
60,MYPK3,2023-07-04,12.05,12.06,11.81,11.94,1151600,2283,57,2408,4748,0,0
61,MYPK3,2023-04-18,11.96,12.03,11.7,11.73,967300,2244,46,1737,4027,0,0
62,MYPK3,2023-02-21,11.34,11.45,11.19,11.19,930800,3127,50,2214,5391,0,0
63,MYPK3,2023-05-15,11.74,11.88,11.7,11.83,1097900,2922,68,2631,5621,0,0
64,MYPK3,2022-11-18,13.74,14.1,13.36,13.37,1444300,4210,47,3378,7635,0,0
65,MYPK3,2022-11-10,13.0,13.0,12.05,12.37,7838600,9650,55,11960,21664,1,0
66,MYPK3,2022-10-03,13.01,13.74,12.99,13.5,2735300,6030,82,4631,10742,1,0
67,MYPK3,2022-10-04,13.54,13.6,13.01,13.19,2246500,5158,63,3931,9152,0,0
68,MYPK3,2023-06-29,12.08,12.32,12.03,12.23,1156700,2542,62,2297,4901,0,0
69,MYPK3,2022-09-27,12.79,13.1,12.65,12.75,2670800,4860,71,6640,11570,1,0
70,MYPK3,2023-05-23,12.28,12.59,12.28,12.34,1012100,2558,39,1894,4491,0,0
71,MYPK3,2022-07-18,15.27,15.42,15.01,15.11,872600,2858,56,3450,6364,0,0
72,MYPK3,2022-09-21,12.88,12.95,12.61,12.67,1306600,2800,63,2986,5849,0,0
73,MYPK3,2022-06-21,15.45,15.63,14.86,15.08,1060500,2854,190,3112,6047,109,0
74,MYPK3,2022-07-12,15.12,15.56,14.91,15.46,1078900,4030,59,3760,7849,0,0
75,MYPK3,2022-09-19,12.57,12.84,12.23,12.82,2173600,3418,58,4810,8286,0,0
76,MYPK3,2023-06-09,13.19,13.29,12.96,13.03,1098800,1623,78,1415,3116,0,0
77,MYPK3,2022-11-29,13.15,13.25,12.9,13.09,1935800,3338,90,3813,7240,1,0
