,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,NEOE3,2022-09-30,15.18,15.36,15.04,15.35,1760200,3495,79,2519,6092,1,0
1,NEOE3,2022-07-26,14.81,15.04,14.77,14.85,1726600,4605,99,3091,7794,1,0
2,NEOE3,2022-06-22,16.16,16.39,16.08,16.22,1072800,2891,128,2397,5348,68,0
3,NEOE3,2023-07-24,21.79,22.03,21.65,21.93,859600,2611,77,2209,4895,2,0
4,NEOE3,2022-10-13,15.38,15.88,15.15,15.8,2011700,4148,256,3299,7517,186,0
5,NEOE3,2023-01-06,14.5,14.5,14.28,14.39,1004000,1540,51,2812,4401,2,0
6,NEOE3,2023-02-23,14.43,14.43,14.13,14.15,1133900,2335,80,1659,4074,0,0
7,NEOE3,2023-08-07,19.69,19.71,19.46,19.6,976600,2326,102,1984,4412,0,0
8,NEOE3,2022-07-04,14.51,14.56,14.0,14.06,3196200,7098,164,4382,11589,55,0
9,NEOE3,2022-10-26,16.14,16.64,15.94,16.25,2106300,4641,81,4096,8817,1,0
10,NEOE3,2022-06-24,16.21,16.21,15.82,15.97,1646600,1952,167,2490,4526,83,0
11,NEOE3,2022-10-27,16.39,16.65,16.11,16.4,1940400,3797,67,5106,8968,2,0
12,NEOE3,2023-03-07,14.29,14.33,14.04,14.09,554900,1220,48,1607,2875,0,0
13,NEOE3,2022-12-12,14.88,14.91,14.52,14.58,2140900,3875,66,2101,6039,3,0
14,NEOE3,2023-05-26,15.9,15.91,15.69,15.87,929900,3200,66,2216,5482,0,0
15,NEOE3,2022-06-29,16.13,16.18,15.71,15.73,1379400,2679,167,2782,5562,66,0
16,NEOE3,2023-07-17,21.09,21.34,20.9,21.18,1000000,2455,96,2451,5002,0,0
17,NEOE3,2022-09-15,16.46,16.6,16.34,16.46,1805400,3166,58,4147,7370,1,0
18,NEOE3,2023-08-14,19.49,19.59,19.33,19.46,1014800,2041,141,3125,5273,34,0
19,NEOE3,2023-02-03,15.01,15.09,14.8,14.93,1089500,2915,46,3723,6684,0,0
20,NEOE3,2023-01-02,15.4,15.4,14.98,15.03,325000,683,40,1193,1915,1,0
21,NEOE3,2023-01-18,15.1,15.13,14.9,14.95,673200,1367,73,1203,2643,0,0
22,NEOE3,2022-12-08,14.7,14.81,14.6,14.75,1333900,3083,63,2465,5601,10,0
23,NEOE3,2023-04-04,15.04,15.45,14.99,15.35,1369900,2447,105,2068,4620,0,0
24,NEOE3,2022-07-19,14.32,14.35,14.03,14.11,1241100,3085,70,2337,5492,0,0
25,NEOE3,2022-08-29,16.33,16.7,16.24,16.59,643500,1488,57,2159,3703,1,0
26,NEOE3,2023-02-14,14.6,14.65,14.3,14.42,840900,1629,62,1984,3675,0,0
27,NEOE3,2022-07-29,14.85,15.01,14.61,14.76,3733500,3942,210,5764,9856,60,0
28,NEOE3,2023-02-27,14.14,14.23,14.04,14.12,593900,1510,68,1125,2703,0,0
29,NEOE3,2023-05-09,15.4,15.5,15.21,15.43,1225700,2826,90,2247,5163,0,0
30,NEOE3,2023-03-21,14.13,14.2,13.75,13.8,1182800,2027,72,2206,4305,0,0
31,NEOE3,2023-03-20,14.27,14.42,14.05,14.09,1268800,2370,52,2334,4756,0,0
32,NEOE3,2022-11-01,16.73,16.82,16.42,16.44,1872300,3765,72,5991,9827,1,0
33,NEOE3,2022-06-14,16.81,17.03,16.5,16.55,1479800,4100,67,1929,6094,2,0
34,NEOE3,2023-06-27,20.25,20.47,19.75,19.99,1368200,3269,102,3327,6698,0,0
35,NEOE3,2023-02-08,14.61,14.87,14.57,14.72,1117100,3384,63,1944,5391,0,0
36,NEOE3,2022-07-25,14.6,14.87,14.42,14.84,1714200,6139,65,3224,9427,1,0
37,NEOE3,2023-08-15,19.58,19.76,19.28,19.28,1606100,3775,159,4513,8447,0,0
38,NEOE3,2023-03-15,14.58,14.77,14.31,14.61,1169600,2078,77,2201,4356,0,0
39,NEOE3,2022-11-07,16.61,16.66,16.05,16.07,1252700,3633,69,3090,6790,2,0
40,NEOE3,2023-05-23,15.84,16.05,15.6,15.7,1093900,3014,69,2844,5927,0,0
41,NEOE3,2022-10-24,16.37,16.72,16.3,16.65,970700,2439,81,1816,4335,1,0
42,NEOE3,2023-06-29,19.65,19.98,19.52,19.98,3290000,5472,108,11079,16658,1,0
43,NEOE3,2022-09-29,15.2,15.33,15.04,15.26,1761700,3219,64,4025,7307,1,0
44,NEOE3,2022-12-29,15.48,15.56,15.39,15.45,635300,1149,40,1763,2952,0,0
45,NEOE3,2022-12-02,15.75,15.83,15.3,15.3,602300,1300,74,1859,3233,0,0
46,NEOE3,2022-11-09,16.56,16.86,16.4,16.5,1577900,2423,58,2483,4964,0,0
47,NEOE3,2023-06-01,16.22,16.39,15.83,16.03,2582100,5487,86,6807,12380,0,0
48,NEOE3,2023-04-25,15.73,15.73,15.23,15.54,2435100,3432,108,3158,6697,1,0
49,NEOE3,2022-10-17,15.61,15.72,15.26,15.67,3153500,7553,98,5146,12795,2,0
50,NEOE3,2023-05-16,15.81,15.93,15.51,15.58,1058000,2116,84,3434,5634,0,0
51,NEOE3,2022-12-20,14.74,15.36,14.73,15.15,1507300,3994,51,3435,7480,0,0
52,NEOE3,2023-01-12,14.84,15.11,14.67,14.74,1091300,1754,53,1904,3710,1,0
53,NEOE3,2022-06-08,17.89,17.89,17.33,17.5,2480200,5262,85,3809,9154,2,0
54,NEOE3,2022-09-12,16.59,17.03,16.51,16.54,2592200,3070,67,7249,10385,1,0
55,NEOE3,2023-06-05,16.24,16.26,15.99,16.25,1049000,2645,76,2626,5347,0,0
56,NEOE3,2023-04-21,14.9,15.25,14.9,15.2,10864900,6347,195,4170,10710,2,0
57,NEOE3,2022-10-18,15.83,16.1,15.69,16.1,1716500,3586,99,2970,6654,1,0
58,NEOE3,2022-10-20,16.35,16.42,16.07,16.38,2402300,3709,127,4831,8665,2,0
59,NEOE3,2023-08-23,19.12,19.35,18.95,19.16,1422600,4728,89,3085,7902,0,0
60,NEOE3,2022-07-20,14.13,14.87,14.1,14.84,1772000,4871,80,2784,7734,1,0
61,NEOE3,2022-11-22,15.75,15.78,15.41,15.41,1510300,3249,100,2053,5400,2,0
62,NEOE3,2022-09-05,16.62,16.72,16.4,16.5,806400,1255,93,2240,3587,1,0
63,NEOE3,2023-02-21,14.55,14.71,14.5,14.71,968700,1910,50,2329,4289,0,0
64,NEOE3,2023-01-20,14.98,15.09,14.74,14.9,2856000,3635,81,5307,9017,6,0
65,NEOE3,2022-12-19,14.56,14.96,14.56,14.74,1395900,3212,63,3097,6372,0,0
66,NEOE3,2023-05-10,15.5,15.58,15.23,15.58,1768500,3574,83,5457,9114,0,0
67,NEOE3,2022-09-01,16.32,16.49,16.17,16.42,2247900,3395,73,5241,8707,2,0
68,NEOE3,2023-07-28,19.92,19.99,19.26,19.6,2449200,6724,118,6017,12858,1,0
69,NEOE3,2022-08-17,16.9,17.49,16.81,17.29,3293500,4945,70,2932,7946,1,0
70,NEOE3,2022-07-22,14.56,14.57,14.23,14.3,627300,1261,57,1766,3083,1,0
71,NEOE3,2022-07-21,14.65,14.7,14.3,14.49,1506200,3128,84,3899,7110,1,0
72,NEOE3,2022-10-19,16.05,16.4,16.05,16.25,4278600,7066,202,6524,13790,2,0
73,NEOE3,2023-08-17,19.4,19.5,19.02,19.15,934900,2808,81,3063,5952,0,0
74,NEOE3,2023-02-02,15.21,15.39,14.95,15.06,1569000,3697,56,3319,7072,0,0
75,NEOE3,2023-07-27,20.61,20.61,19.75,19.91,2610500,4643,157,6819,11619,0,0
76,NEOE3,2023-05-01,15.47,15.5,15.21,15.44,4008600,6343,134,4589,11066,0,0
77,NEOE3,2022-12-14,14.1,14.41,13.95,14.29,3293400,6326,73,5072,11470,1,0
78,NEOE3,2023-07-12,21.0,21.14,20.87,21.04,969800,2280,89,2393,4762,0,0
79,NEOE3,2023-05-31,15.75,16.42,15.69,16.21,2453500,4561,79,5524,10162,2,0
80,NEOE3,2023-04-27,16.05,16.12,15.84,16.06,1306600,2961,71,1828,4860,0,0
81,NEOE3,2023-08-28,18.95,18.96,18.6,18.83,994500,2912,102,2490,5504,0,0
82,NEOE3,2023-08-11,19.31,19.59,19.23,19.49,1154300,2282,60,3496,5838,0,0
83,NEOE3,2023-06-02,16.24,16.46,16.04,16.12,1586500,4560,86,4355,9001,0,0
84,NEOE3,2022-10-03,15.42,16.32,15.41,16.06,1812900,4872,87,4927,9885,1,0
85,NEOE3,2023-03-03,14.28,14.4,14.16,14.2,654400,1690,57,1689,3436,0,0
86,NEOE3,2022-09-02,16.5,16.72,16.36,16.64,2159100,2195,76,2728,4996,3,0
87,NEOE3,2022-07-18,14.28,14.41,14.12,14.18,2115500,5505,66,7085,12650,6,0
88,NEOE3,2023-03-02,14.1,14.72,14.08,14.18,2830000,5085,82,5395,10560,2,0
89,NEOE3,2023-01-13,14.74,14.83,14.57,14.75,855900,1648,48,2306,4002,0,0
90,NEOE3,2022-07-14,14.13,14.22,13.89,14.13,1942300,4455,71,4256,8779,3,0
91,NEOE3,2023-08-25,18.93,18.98,18.64,18.92,735100,2088,85,1437,3610,0,0
92,NEOE3,2022-09-27,16.27,16.27,15.65,15.67,1588600,3624,84,4204,7911,1,0
93,NEOE3,2023-03-09,14.38,14.67,14.21,14.45,1691100,2726,50,4564,7338,2,0
94,NEOE3,2023-05-17,15.63,15.75,15.35,15.38,1378900,3437,116,3829,7382,0,0
95,NEOE3,2022-10-07,15.35,15.52,15.21,15.32,1442000,2276,88,2880,5243,1,0
96,NEOE3,2023-08-10,19.19,19.24,19.05,19.21,987900,1980,70,2572,4622,0,0
97,NEOE3,2023-06-07,16.7,16.94,16.59,16.7,2088000,5112,75,4459,9646,0,0
98,NEOE3,2023-02-22,14.62,14.62,14.3,14.34,564700,1265,65,1213,2543,0,0
