,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,NEXP3,2022-06-06,0.65,0.65,0.63,0.63,267300,81,0,89,170,0,0
1,NEXP3,2022-06-07,0.63,0.64,0.61,0.62,253800,79,0,86,165,0,0
2,NEXP3,2022-06-08,0.62,0.63,0.57,0.57,704900,74,1,183,258,0,0
3,NEXP3,2022-06-09,0.58,0.58,0.55,0.56,467300,90,0,114,204,0,0
4,NEXP3,2022-06-10,0.56,0.56,0.54,0.55,691200,107,0,107,214,0,0
5,NEXP3,2022-06-13,0.54,0.54,0.49,0.49,910500,184,0,650,834,0,0
6,NEXP3,2022-06-14,0.5,0.52,0.47,0.48,416500,98,1,383,482,0,0
7,NEXP3,2022-06-15,0.48,0.52,0.48,0.52,757800,176,0,557,733,0,0
8,NEXP3,2022-06-17,0.51,0.53,0.5,0.52,347900,145,5,315,465,0,0
9,NEXP3,2022-06-20,0.52,0.56,0.52,0.55,382700,112,7,306,425,0,0
10,NEXP3,2022-06-21,0.55,0.56,0.53,0.56,210300,45,34,125,204,0,0
11,NEXP3,2022-06-22,0.57,0.58,0.54,0.57,250400,63,38,193,294,0,0
12,NEXP3,2022-06-23,0.57,0.61,0.57,0.6,450400,163,0,298,461,0,0
13,NEXP3,2022-06-24,0.61,0.62,0.56,0.61,444700,148,1,361,510,0,0
14,NEXP3,2022-06-27,0.61,0.62,0.58,0.61,312200,78,34,188,300,0,0
15,NEXP3,2022-06-28,0.61,0.61,0.57,0.58,346000,96,1,352,449,0,0
16,NEXP3,2022-06-29,0.59,0.59,0.54,0.55,486400,94,38,369,501,0,0
17,NEXP3,2022-06-30,0.55,0.55,0.53,0.55,344500,109,38,332,479,0,0
18,NEXP3,2022-07-01,0.54,0.55,0.52,0.53,280400,55,0,295,350,0,0
19,NEXP3,2022-07-04,0.53,0.55,0.52,0.53,125000,49,1,41,91,0,0
20,NEXP3,2022-07-05,0.53,0.53,0.5,0.53,343100,87,4,85,176,0,0
21,NEXP3,2022-07-06,0.53,0.56,0.53,0.53,256100,70,3,70,143,0,0
22,NEXP3,2022-07-07,0.54,0.57,0.54,0.55,379700,96,3,105,203,1,0
23,NEXP3,2022-07-08,0.54,0.57,0.54,0.55,161200,43,0,77,120,0,0
24,NEXP3,2022-07-11,0.56,0.56,0.53,0.54,118200,53,0,45,98,0,0
25,NEXP3,2022-07-12,0.53,0.54,0.52,0.53,234300,62,0,96,158,0,0
26,NEXP3,2022-07-13,0.53,0.54,0.52,0.53,110900,41,8,48,97,0,0
27,NEXP3,2022-07-14,0.53,0.53,0.51,0.51,180900,31,0,73,104,0,0
28,NEXP3,2022-07-15,0.52,0.52,0.5,0.5,198200,43,2,69,114,0,0
29,NEXP3,2022-07-18,0.52,0.52,0.49,0.49,145200,45,0,85,130,0,0
30,NEXP3,2022-07-19,0.5,0.51,0.48,0.49,109600,74,1,68,143,0,0
31,NEXP3,2022-07-20,0.5,0.51,0.49,0.49,267000,71,0,97,168,0,0
32,NEXP3,2022-07-21,0.5,0.59,0.49,0.54,1008400,328,34,247,609,0,0
33,NEXP3,2022-07-22,0.55,0.57,0.51,0.53,670200,131,1,150,282,0,0
34,NEXP3,2022-07-25,0.52,0.53,0.51,0.51,190500,46,5,76,127,0,0
35,NEXP3,2022-07-26,0.51,0.52,0.49,0.5,246000,65,0,98,163,0,0
36,NEXP3,2022-07-27,0.51,0.51,0.49,0.51,284600,50,1,65,116,0,0
37,NEXP3,2022-07-28,0.5,0.51,0.49,0.5,115400,20,1,100,121,0,0
38,NEXP3,2022-07-29,0.5,0.51,0.49,0.49,137600,48,0,171,219,0,0
39,NEXP3,2022-08-01,0.49,0.51,0.49,0.5,245100,51,11,109,171,0,0
40,NEXP3,2022-08-02,0.49,0.51,0.49,0.5,141200,53,0,40,93,0,0
41,NEXP3,2022-08-03,0.51,0.55,0.5,0.53,485800,138,0,96,234,0,0
42,NEXP3,2022-08-08,0.54,0.59,0.54,0.55,752800,198,0,158,356,0,0
43,NEXP3,2022-08-09,0.55,0.57,0.53,0.54,275400,75,0,89,164,0,0
44,NEXP3,2022-08-10,0.54,0.57,0.54,0.57,310900,112,8,43,163,0,0
45,NEXP3,2022-08-12,0.59,0.59,0.55,0.57,476500,113,4,166,283,0,0
46,NEXP3,2022-08-15,0.57,0.58,0.55,0.56,204800,59,11,82,152,0,0
47,NEXP3,2022-08-16,0.58,0.58,0.55,0.56,227100,72,0,58,130,0,0
48,NEXP3,2022-08-17,0.57,0.58,0.56,0.56,92000,28,3,65,96,0,0
49,NEXP3,2022-08-18,0.57,0.58,0.54,0.55,322700,71,0,91,162,0,0
50,NEXP3,2022-08-19,0.55,0.56,0.53,0.55,256300,44,2,110,156,0,0
51,NEXP3,2022-08-22,0.56,0.56,0.53,0.54,124200,32,1,41,74,0,0
52,NEXP3,2022-08-23,0.54,0.56,0.54,0.54,126800,35,1,41,77,0,0
53,NEXP3,2022-08-24,0.55,0.56,0.54,0.55,150400,54,0,49,103,0,0
54,NEXP3,2022-08-25,0.55,0.56,0.53,0.55,271700,45,2,90,137,0,0
55,NEXP3,2022-08-26,0.55,0.55,0.53,0.53,181300,28,1,52,81,0,0
56,NEXP3,2022-08-29,0.54,0.54,0.53,0.53,81200,35,2,32,69,0,0
57,NEXP3,2022-08-30,0.53,0.54,0.52,0.52,137400,47,6,45,98,0,0
58,NEXP3,2022-08-31,0.52,0.53,0.5,0.51,324700,53,0,172,225,0,0
59,NEXP3,2022-09-01,0.52,0.52,0.5,0.51,154100,52,0,48,100,0,0
60,NEXP3,2022-09-02,0.52,0.52,0.51,0.51,61000,29,2,18,49,0,0
61,NEXP3,2022-09-05,0.52,0.52,0.51,0.52,71200,49,3,24,76,0,0
62,NEXP3,2022-09-06,0.52,0.52,0.5,0.52,69000,34,1,50,85,0,0
63,NEXP3,2022-09-08,0.52,0.52,0.5,0.51,100100,29,13,39,81,0,0
64,NEXP3,2022-09-09,0.51,0.53,0.51,0.51,93800,38,12,26,76,0,0
65,NEXP3,2022-09-12,0.52,0.53,0.5,0.51,237100,42,7,104,153,0,0
66,NEXP3,2022-09-13,0.51,0.52,0.5,0.5,129500,52,7,48,107,0,0
67,NEXP3,2022-09-15,0.51,0.52,0.51,0.52,100700,85,4,42,131,0,0
68,NEXP3,2022-09-16,0.52,0.53,0.5,0.5,199900,105,1,97,203,0,0
69,NEXP3,2022-09-19,0.51,0.51,0.49,0.5,213100,36,2,82,120,0,0
70,NEXP3,2022-09-20,0.5,0.51,0.49,0.49,137500,43,0,65,108,0,0
71,NEXP3,2022-09-21,0.5,0.5,0.48,0.48,177800,53,0,92,145,0,0
72,NEXP3,2022-09-22,0.49,0.5,0.48,0.49,151700,52,14,67,133,0,0
73,NEXP3,2022-09-23,0.48,0.49,0.48,0.49,102000,47,0,62,109,0,0
74,NEXP3,2022-09-27,0.47,0.48,0.44,0.45,275200,43,0,100,143,0,0
75,NEXP3,2022-09-28,0.46,0.47,0.44,0.45,108500,46,1,41,88,0,0
76,NEXP3,2022-09-29,0.46,0.46,0.42,0.44,176900,61,1,75,137,0,0
77,NEXP3,2022-09-30,0.44,0.46,0.43,0.45,166200,59,0,90,149,0,0
78,NEXP3,2022-10-03,0.45,0.47,0.45,0.45,139300,38,5,30,73,0,0
79,NEXP3,2022-10-04,0.46,0.48,0.45,0.46,183800,82,0,44,126,0,0
80,NEXP3,2022-10-05,0.46,0.46,0.45,0.46,135000,177,0,40,217,0,0
81,NEXP3,2022-10-06,0.46,0.47,0.46,0.47,113300,65,2,45,112,0,0
82,NEXP3,2022-10-07,0.47,0.47,0.46,0.46,43000,37,2,25,64,0,0
83,NEXP3,2022-10-10,0.47,0.47,0.46,0.46,63700,46,0,52,98,0,0
84,NEXP3,2022-10-11,0.46,0.47,0.42,0.43,572800,151,0,229,380,0,0
85,NEXP3,2022-10-13,0.43,0.48,0.43,0.46,674800,408,1,108,517,0,0
86,NEXP3,2022-10-14,0.46,0.49,0.46,0.47,275100,208,2,88,298,0,0
87,NEXP3,2022-10-17,0.48,0.49,0.47,0.49,67000,125,2,39,166,0,0
88,NEXP3,2022-10-18,0.48,0.49,0.47,0.48,109900,156,1,50,207,0,0
89,NEXP3,2022-10-19,0.47,0.49,0.46,0.47,200200,388,0,106,494,0,0
90,NEXP3,2022-10-20,0.47,0.48,0.45,0.45,125700,114,0,84,198,0,0
91,NEXP3,2022-10-21,0.46,0.5,0.43,0.45,1976300,815,17,407,1239,0,0
92,NEXP3,2022-10-24,0.46,0.46,0.43,0.43,522600,122,0,139,261,0,0
93,NEXP3,2022-10-25,0.44,0.45,0.43,0.43,168100,25,0,66,91,0,0
94,NEXP3,2022-10-26,0.43,0.43,0.42,0.42,256900,39,0,116,155,0,0
95,NEXP3,2022-10-27,0.42,0.43,0.42,0.42,174000,30,0,67,97,0,0
96,NEXP3,2022-10-28,0.42,0.44,0.42,0.43,169500,39,0,41,80,0,0
97,NEXP3,2022-10-31,0.43,0.44,0.42,0.43,261800,49,0,51,100,0,0
98,NEXP3,2022-11-01,0.44,0.45,0.42,0.43,484800,173,0,93,266,0,0
99,NEXP3,2022-11-03,0.43,0.52,0.43,0.49,2495200,935,0,272,1207,0,0
100,NEXP3,2022-11-04,0.5,0.54,0.48,0.48,982200,316,1,224,540,1,0
101,NEXP3,2022-11-07,0.48,0.5,0.45,0.46,687100,152,4,151,307,0,0
102,NEXP3,2022-11-08,0.46,0.49,0.45,0.46,454700,271,2,89,362,0,0
103,NEXP3,2022-11-09,0.46,0.47,0.44,0.45,424600,170,15,100,285,0,0
104,NEXP3,2022-11-10,0.45,0.46,0.42,0.44,415100,58,4,112,174,0,0
105,NEXP3,2022-11-14,0.44,0.44,0.42,0.43,192200,88,0,70,158,0,0
106,NEXP3,2022-11-17,0.42,0.42,0.4,0.42,232800,112,1,42,155,0,0
107,NEXP3,2022-11-18,0.42,0.42,0.39,0.39,458700,119,8,81,208,0,0
