,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,NGRD3,2022-06-06,2.19,2.2,2.11,2.12,1404100,3369,42,844,4255,0,0
1,NGRD3,2022-06-07,2.13,2.15,2.01,2.07,2777400,4251,62,3250,7563,0,0
2,NGRD3,2022-06-08,2.03,2.16,2.03,2.1,1583600,3191,20,860,4071,0,0
3,NGRD3,2022-06-09,2.08,2.19,2.08,2.13,1140100,3428,24,690,4142,0,0
4,NGRD3,2022-06-10,2.1,2.17,2.06,2.1,1273400,3444,17,632,4093,0,0
5,NGRD3,2022-06-13,2.08,2.08,2.0,2.02,1473300,3710,26,692,4428,0,0
6,NGRD3,2022-06-14,2.01,2.07,2.0,2.02,1254000,4171,22,1162,5355,0,0
7,NGRD3,2022-06-15,2.06,2.1,2.05,2.06,1449400,4537,519,1041,5603,494,0
8,NGRD3,2022-06-17,2.0,2.06,1.98,2.02,1422000,3727,531,1234,4995,497,0
9,NGRD3,2022-06-20,2.01,2.09,1.99,2.07,1112600,3770,358,663,4443,348,0
10,NGRD3,2022-06-21,2.07,2.14,2.05,2.06,1106400,2868,20,656,3544,0,0
11,NGRD3,2022-06-22,2.04,2.11,2.0,2.0,1187500,455,25,809,1289,0,0
12,NGRD3,2022-06-23,2.01,2.07,2.01,2.04,688200,1069,14,756,1839,0,0
13,NGRD3,2022-06-24,2.06,2.1,2.02,2.06,730000,550,13,661,1224,0,0
14,NGRD3,2022-06-27,2.07,2.11,2.03,2.04,808100,849,15,569,1433,0,0
15,NGRD3,2022-06-28,2.03,2.06,2.0,2.02,878500,505,15,1025,1545,0,0
16,NGRD3,2022-06-29,2.02,2.02,1.88,1.9,1480100,915,754,1117,2112,674,0
17,NGRD3,2022-06-30,1.84,1.87,1.79,1.79,1045900,809,0,705,1514,0,0
18,NGRD3,2022-07-01,1.8,1.88,1.79,1.87,720900,1037,10,828,1875,0,0
19,NGRD3,2022-07-04,1.89,1.89,1.76,1.81,339700,170,52,358,580,0,0
20,NGRD3,2022-07-05,1.8,1.89,1.74,1.89,988900,851,0,741,1592,0,0
21,NGRD3,2022-07-06,1.87,2.0,1.87,1.95,431600,846,15,418,1279,0,0
22,NGRD3,2022-07-07,1.98,2.07,1.97,2.07,679100,584,74,319,977,0,0
23,NGRD3,2022-07-08,2.05,2.07,2.0,2.03,350000,372,0,659,1031,0,0
24,NGRD3,2022-07-11,2.05,2.05,1.9,1.9,369100,166,54,559,779,0,0
25,NGRD3,2022-07-12,1.9,2.0,1.83,1.98,501400,671,29,389,1089,0,0
26,NGRD3,2022-07-13,1.95,2.0,1.9,1.93,518800,332,20,650,1002,0,0
27,NGRD3,2022-07-14,1.91,1.95,1.89,1.89,350300,288,0,361,649,0,0
28,NGRD3,2022-07-15,1.93,1.93,1.87,1.92,328200,221,3,655,879,0,0
29,NGRD3,2022-07-18,1.92,1.97,1.81,1.84,490300,330,30,434,794,0,0
30,NGRD3,2022-07-19,1.84,1.88,1.81,1.85,358000,683,19,212,914,0,0
31,NGRD3,2022-07-20,1.88,1.99,1.88,1.96,610100,586,23,266,875,0,0
32,NGRD3,2022-07-21,2.01,2.12,1.96,2.08,960500,893,16,706,1615,0,0
33,NGRD3,2022-07-22,2.1,2.14,2.06,2.09,706000,932,21,484,1437,0,0
34,NGRD3,2022-07-25,2.1,2.13,2.04,2.09,497800,498,13,570,1081,0,0
35,NGRD3,2022-07-26,2.08,2.09,1.99,1.99,569400,221,20,508,749,0,0
36,NGRD3,2022-07-27,2.0,2.05,1.97,2.04,579200,507,15,411,933,0,0
37,NGRD3,2022-07-28,2.04,2.1,2.0,2.06,589700,358,26,410,794,0,0
38,NGRD3,2022-07-29,2.07,2.1,1.96,1.99,933200,546,21,847,1414,0,0
39,NGRD3,2022-08-01,2.0,2.12,1.97,2.07,766000,740,23,426,1189,0,0
40,NGRD3,2022-08-02,2.02,2.12,2.02,2.09,572400,688,15,365,1068,0,0
41,NGRD3,2022-08-03,2.11,2.19,2.09,2.15,630800,485,17,484,986,0,0
42,NGRD3,2022-08-08,2.2,2.31,2.2,2.31,631700,879,12,468,1359,0,0
43,NGRD3,2022-08-09,2.23,2.23,2.02,2.04,1977700,1663,60,1606,3329,0,0
44,NGRD3,2022-08-10,2.06,2.08,2.0,2.01,2143300,1570,41,961,2572,0,0
45,NGRD3,2022-08-12,1.9,1.98,1.86,1.95,1540400,1569,40,1579,3188,0,0
46,NGRD3,2022-08-15,1.92,2.03,1.9,2.01,1202900,1640,49,1520,3209,0,0
47,NGRD3,2022-08-16,2.03,2.04,1.91,1.96,1561200,1344,30,2299,3673,0,0
48,NGRD3,2022-08-17,1.93,1.97,1.91,1.94,1269900,1167,32,2485,3684,0,0
